,書名,作者,出版日期,內容介紹,網址
1,英語研究室+英語研究室2+下流日語(博客來獨家套書),"小泉牧夫,馬特．法格Matt Fargo",2020-08-29,"
《英語研究室》 ◆打開天窗說亮話“talk turkey”為何和火雞有關? ◆從密蘇里州來的人“from Missouri”不能隨便唬弄? ◆除了die之外，形容到期的expire和從飯店退房的check out也有死亡之意! ◆截止日叫d......more
",https://www.books.com.tw/products/0010867943?loc=P_0003_001
2,法‧英‧中語言趣味對照祕笈,阮若缺,2020-08-20,"
政大歐文系阮若缺教授根據多年教學經驗， 彙整趣味性高的字彙、慣用語、諺語， 法‧英‧中三語同步對照，搭配文化說明， 學習語言也可以很不一樣!    ★4大單元讓您學會很不一樣的法語!   學習語言好像就是背...more
",https://www.books.com.tw/products/0010866890?loc=P_0003_002
3,史上最強語言高手 教你一次學會10國語言：世界第一簡單會話速成!只背200個單字‧30句表達法，正港台灣人也能無痛苦學會多國外語,秋山燿平,2020-07-02,"
用不到的就別背， 不再會考試、不會說 Youtube經驗分享影片245萬次觀看!日本節目爆紅! 精通10國外語的25歲東大語言天才 告訴你前所未有零挫折、超效率的學習法 只要背200單字‧30個常用句 英語‧法語‧西班牙...more
",https://www.books.com.tw/products/0010862739?loc=P_0003_003
4,學外語就像學母語：25語台灣郎的沉浸式語言習得,Terry（謝智翔）,2020-02-01,"
這位土生土長的台灣郎，竟會說25種語言?!   多語達人Terry親身試驗，歸納出人人都能學會外語的終極方法，   比起上語言課、出國留學、定居國外，更經濟實惠、快速，保證100%有效!   跟著Terry這樣做，在台...more
",https://www.books.com.tw/products/0010846862?loc=P_0003_004
5,給自己的10堂外語課(系列突破100000本激勵人生版),褚士瑩,2019-10-11,"
語言是認識世界的方式，幾種語言，幾種生活風格!   我為什麼要學外語?   老實說，我主要不是為了跟外國人溝通，我只是想跟自己好好溝通，   知道自己知道什麼，不知道什麼，讓自己成為一個頭腦清楚、會思...more
",https://www.books.com.tw/products/0010836527?loc=P_0003_005
6,如何捷進英語詞彙：人物篇,"【審訂】Formosa Media Agency,LLC,葉咨佑,謝汝萱",2019-05-11,"
用英語表情達意、行動思考、進退應對一本搞定，讓你社交互動零障礙!   三大情境分類、心智圖聯想查找、邏輯整理5000組詞彙   溝通、對話、翻譯、寫作，英語單字用得好，更用得漂亮   ◎ 不曉得該用哪些字，...more
",https://www.books.com.tw/products/0010821078?loc=P_0003_006
7,新住民語文學習教材柬埔寨第18冊,,2019-05-01,"
經過各階段的學習，透過教材，相信你對柬埔寨更加熟悉，透過語言的學習，對柬埔寨的歷史、經濟、藝文、節慶等文化也有更深一層的了解。...more
",https://www.books.com.tw/products/0010835126?loc=P_0003_007
8,新住民語文學習教材緬甸語第13冊,,2019-05-01,"
緬甸是一個佛教國家，因此婚禮也充滿佛教色彩，請和尚念祝福的佛經；新人會交換鮮花花環，再由長輩向新人灑水；客人可以送鐘，當作結婚禮物，這些婚禮的習俗，和我們是不一樣的呵!緬甸人民18歲就有選舉權...more
",https://www.books.com.tw/products/0010835127?loc=P_0003_008
9,新住民語文學習教材緬甸語第14冊,,2019-05-01,"
我們可以先去逛緬甸皇城，會發現所有建築，都是採用緬甸柚木所製造的，不難想像當年緬甸皇室曾經有過的輝煌；接著前往有2500年歷史，重611公噸的大金石朝聖，大金石以令人難以置信的姿態，佇立於懸崖峭壁...more
",https://www.books.com.tw/products/0010835130?loc=P_0003_009
10,新住民語文學習教材緬甸語第15冊,,2019-05-01,"
仰光曾經是緬甸的首都，市區有不少英式的建築，你想知道原因嗎?為什麼勃生傘聞名緬甸全國，甚至外銷歐美各國，也是遊客的最愛呢?緬甸沒有掃墓習俗，過年時要準備棕櫚糖、鮮花和白米，到寺廟拜佛誦經迴向給...more
",https://www.books.com.tw/products/0010835131?loc=P_0003_010
