,書名,作者,出版日期,內容介紹,網址
1,語言學 英、日、華術語對照與簡介(上)(平裝書),湯廷池,2019-12-25,"
本書分為上下兩冊，在致良的「語言研究入門叢書系列」中，屬於比較特殊的書籍。因內容並非專屬「語言學」某一領域的研究，而是綜合英語、日語、華語基本術語之對照與簡介。身處專門術語不斷地衍生與膨脹的...more
",https://www.books.com.tw/products/0010847223?loc=P_0003_001
2,語言學 英、日、華術語對照與簡介(上)(精裝書),湯廷池,2019-12-25,"
本書分為上下兩冊，在致良的「語言研究入門叢書系列」中，屬於比較特殊的書籍。因內容並非專屬「語言學」某一領域的研究，而是綜合英語、日語、華語基本術語之對照與簡介。身處專門術語不斷地衍生與膨脹的...more
",https://www.books.com.tw/products/0010847228?loc=P_0003_002
3,語言學 英、日、華術語對照與簡介(下)(平裝書),湯廷池,2019-12-25,"
本書分為上下兩冊，在致良的「語言研究入門叢書系列」中，屬於比較特殊的書籍。因內容並非專屬「語言學」某一領域的研究，而是綜合英語、日語、華語基本術語之對照與簡介。身處專門術語不斷地衍生與膨脹的...more
",https://www.books.com.tw/products/0010847232?loc=P_0003_003
4,語言學 英、日、華術語對照與簡介(下)(精裝書),湯廷池,2019-12-25,"
本書分為上下兩冊，在致良的「語言研究入門叢書系列」中，屬於比較特殊的書籍。因內容並非專屬「語言學」某一領域的研究，而是綜合英語、日語、華語基本術語之對照與簡介。身處專門術語不斷地衍生與膨脹的...more
",https://www.books.com.tw/products/0010847234?loc=P_0003_004
5,長照・看護基本用語・用例詞典 日・中・越・英 四國語,"三橋麻子,丸山真貴子,堀内貴子,西己加子",2019-05-15,"
學習日本長照知識不可或缺的基本用語!   專為赴日學習、實習、從事長照相關服務所編寫的基本用語・用例詞典。   本書收錄1500個長照基本日語詞彙，內容細分為「機構與設備」、「身體與身體狀況」、「長照...more
",https://www.books.com.tw/products/0010822299?loc=P_0003_005
6,中英日萬用詞彙【隨身手冊】：臨時需要的一個字(附中英日MP3),"檸檬樹英日語教學團隊,福長浩二",2016-06-17,"
外語交流不困難，   不必等到熟悉文型文法才開口   單字就是溝通捷徑!      ◎不怕語言程度「超初級」，「字彙」幫你扭轉「冷場」為「溝通」!   「字彙」是傳達意思的重要角色。出國非得使出外語時，說出「...more
",https://www.books.com.tw/products/0010717698?loc=P_0003_006
7,輕鬆搞定三語(中、英、印尼)情境單字,陳美萍Derni Tantela,2016-03-01,"
看Q圖快樂輕鬆學會中、英、印尼三語情境單字   .收錄約1800個日常生活中的三語單字，內容函蓋食、衣、住、行、育、樂的實用詞彙。   .每一個單字搭配可愛插畫，有繁、簡體字，英文、印尼文，並附上朗讀光...more
",https://www.books.com.tw/products/0010714499?loc=P_0003_007
8,跟各國人都可以聊得來：語言大師教你如何掌握三大關鍵快速精通各國語言，學了就不忘!,加百列‧懷納,2015-06-06,"
想要環遊世界卻苦於語言不通?   想跟外國人做朋友卻只會結巴?   只要看完本書，你跟各國人都可以輕易聊得來!   加百列‧懷納能夠說五種流利的語言，包括德語、義大利語、法語、俄語以及英語(並將在幾個月後...more
",https://www.books.com.tw/products/0010676880?loc=P_0003_008
9,三個月外語流利術,班尼．路易斯,2014-09-12,"
每個語言都有新的人生 每說一種新的語言，都能展開新的人生。 如果你只會一種語言，你只擁有一段人生。   一位學了6個月西班牙語，還不敢問東西價錢和廁所在哪裡，以為這輩子註定只能講英語的人，是如何轉...more
",https://www.books.com.tw/products/0010648698?loc=P_0003_009
10,一本搞定!中.英.日 上班族會話手冊：融入美英加、日本職場的外語實力【附 中英日順讀MP3】,Jessica Wang、黃子菁,2013-06-06,"
229個商務現場實境引導，教你從第一天上班自我介紹開始，   就能夠使用母語人士倍感親切的詞彙來說話!   全書有很多「小提醒」，告訴你不同國界的職場思維，   英文較不拘形式，日文重視上下關係、尊謙用...more
",https://www.books.com.tw/products/0010588156?loc=P_0003_010
11,一本搞定!中.英.日 商用詞彙手冊：培養到美英加、日本工作的外語實力【附 中英日順讀MP3】,檸檬樹英語教學團隊、福長浩二,2013-03-28,"
【生活常見】商用詞彙+【職場工作】商用詞彙，一本搞定!   華人說「績優股」，紐約客說「blue chip」，東京人說「優良株」   華人說「多頭市場」，紐約客說「bull market」，東京人說「強氣相場」   華人...more
",https://www.books.com.tw/products/0010580417?loc=P_0003_011
12,中英日韓 萬用商務字彙 (1書1 MP3),EZ叢書館編輯部,2012-12-07,"
讓上班族都說「讚!」的商務字彙書 首創中、英、日、韓四國語言同步查找，商務人士必備中高階單字 依據真實國際職場(global workplace)趨勢，量身打造必知 1000 單字 跟中、英、日、韓的商務人士溝通、書信...more
",https://www.books.com.tw/products/0010566340?loc=P_0003_012
13,中日英韓 歡迎光臨 餐廳用語!,西蔭浩子、田村雅昭、平石淑子、孔令敬、權在淑,2012-12-01,"
身處餐飲業的你， 在外國客人面前是不是只能當隻無口貓，老在Say Hello呢? 歡迎光臨!你需要的就是這一本!   由接待大國日本專業團隊，精挑細選選出的日、英、韓三國語必用經典常用句大集合!只要把句中的單...more
",https://www.books.com.tw/products/0010574852?loc=P_0003_013
