,書名,作者,出版日期,內容介紹,網址
1,日華大辭典(共九冊不分售),林茂,2020-09-01,"
《日華大辭典——一本可讀式的日文漢字辭典》   《日華大辭典》這套書，總共九鉅冊，是一套可讀式日文漢字辭典。編著者林茂先生，前後花了二十餘年心血完成，搜羅所有相關日華語文詞句轉換和用語的語典，是...more
",https://www.books.com.tw/products/0010874211?loc=P_0003_001
2,日文漢字一把抓：常用漢字表,何必,2020-04-01,"
不管是日本語能力試驗、日本留學試驗、日技二專統測日文考試、大學日文系轉學考、日文研究所、日本大學或日本研究所，常用漢字都是最佳的學習途徑以及應考寶典。   日本的文部省所公告的【常用漢字表】乃...more
",https://www.books.com.tw/products/0010863069?loc=P_0003_002
3,袖珍平裝版 日語漢字讀音字典(附中日發聲MP3)：常用2800漢字.共22000詞彙.列舉音讀、訓讀讀法.注音ㄅㄆㄇㄈ查法,DT企劃,2020-03-24,"
袖珍平裝版 尺寸輕盈小巧 攜帶隨查更方便!   注音ㄅㄆㄇㄈ查法，2,800個日語漢字快速查詢。   搭配超過30個小時中日發聲MP3   隨時隨地邊聽邊記   22,000多個日語詞彙輕鬆記憶   注音符號快速檢索書眉、音...more
",https://www.books.com.tw/products/0010852036?loc=P_0003_003
4,"攜帶本 日本語文法及單字辭典套書：攜帶本 新制對應版 日本語文法・句型辭典N1,N2,N3,N4,N5文法辭典+攜帶本 精修版 日本語10000字辭典N1,N2,N3,N4,N5單字辭典 熱銷套書(50K+DVD)","千田晴夫,吉松由美,大山和佳子,小池直子,田中陽子,西村惠子",2019-10-23,"
《攜帶本 新制對應版 日本語文法・句型辭典N1,N2,N3,N4,N5文法辭典》   本書本著利用「喝咖啡時間」，也能「倍增單字量」「高分通過新日檢」的意旨，出版方便隨身攜帶的小開本，不論是在公車站等車、坐捷...more
",https://www.books.com.tw/products/0010838154?loc=P_0003_004
5,日本人必說15000字!日文單字快記辭典(4版)：隨身背誦 強化實力,胡傳乃,2019-04-23,"
★ 會話 • 聽力 • 閱讀 • 寫作 • 檢定必備 ★   日語初學者的好幫手!無痛增加單字量   一本既可查、也可讀的字典，幫您贏在起跑點!    單字是學習語言最重要的基礎。累積足夠單字量，不論在會話、聽力、閱讀...more
",https://www.books.com.tw/products/0010819188?loc=P_0003_005
6,修訂新版 新時代日漢辭典,陳伯陶,2018-11-01,"
十多年來獲得廣大好評，銷售NO.1的日語辭典! 好查，好讀，好懂! 《修訂新版 新時代日漢辭典》，日語學習者的必備寶典! 想要找一本適合的日語辭典嗎?   字彙量豐富、說明詳細、例句實用、類義比較、漢字索...more
",https://www.books.com.tw/products/0010261681?loc=P_0003_006
7,日語漢字讀音字典(附中日發聲MP3)：.常用2800漢字.共22000詞彙.列舉音讀、訓讀讀法.注音ㄅㄆㄇ查法(二版),DT企劃,2018-07-05,"
注音ㄅㄆㄇㄈ查法，2,800個日語漢字快速查詢。   搭配超過30個小時中日發聲MP3   隨時隨地邊聽邊記   22,000多個日語詞彙輕鬆記憶   增加注音符號快速檢索書眉，查找漢字更有效率!   學習日語老是怨嘆沒有...more
",https://www.books.com.tw/products/0010792293?loc=P_0003_007
8,讀空氣、探表裏，笑談日本語：解讀曖昧日語隱藏真意及文化脈絡的超強辭典,KAGAMI & Co.,2017-11-23,"
一網打盡辭典查不到、課本沒有教，但日本人間心照不宣的「裏」日語! 收錄超過三百則道地慣用語、流行語及常見詞句， 從由來、檯面上及檯面下的含意、正確使用情境與文化背景全面解說! @王可樂(王可樂的日...more
",https://www.books.com.tw/products/0010770611?loc=P_0003_008
9,"平裝版 初學日漢辭典：15,000基礎日語必備辭彙!(3版)",胡傳乃,2017-09-22,"
日語初學者的好幫手!無痛增加單字量 附錄必學動詞、形容詞活用表、單位量詞統統包 一本既可查、也可讀的字典，幫您贏在起跑點!   按照あいうえお順序編排，解析透徹詳細，並列舉例句告訴讀者實際用法，而...more
",https://www.books.com.tw/products/0010764983?loc=P_0003_009
10,全圖解我的第一本親子日文字典：日本小學校長教你用日本小孩的方法記單字,深谷圭助,2016-12-16,"
日、中對照，大人、小孩都適用! 最實用的基礎語彙都在這一本!   史上第一本教親子日語字典!   兼具親子共讀與單字查找功能   學好日文同時促進親子關係!!   日本知名教育家深谷圭助的親自設計   讓初學者...more
",https://www.books.com.tw/products/0010736851?loc=P_0003_010
11,實用日華辭典(50K),辭典編輯委員會,2016-10-13,"
本辭典依日本字母表(五十音圖)的順序編排，兼收和語、漢語、外來語詞彙，注明詞類並釋義，附例句、成語或諺語等；書後並附日本地名表、日本姓氏索引等資料及漢字索引，方便實用，是學習日語的最佳幫手。...more
",https://www.books.com.tw/products/0010732520?loc=P_0003_011
12,實用日華辭典(附外盒)(32K),辭典編輯委員會,2016-09-26,"
本辭典依日本字母表(五十音圖)的順序編排，兼收和語、漢語、外來語詞彙，注明詞類並釋義，附例句、成語或諺語等；書後並附日本地名表、日本姓氏索引等資料及漢字索引，方便實用，是學習日語的最佳幫手。...more
",https://www.books.com.tw/products/0010731012?loc=P_0003_012
13,袖珍精裝版 日語漢字讀音字典 附中日發聲MP3,DT企劃,2016-01-31,"
★日語漢字讀音字典出袖珍精裝囉!★   ★方便攜帶 隨時隨地都能查詢新的單字★   ★即便看到厚厚的字典也能讀得賞心悅目★   ★一樣附上超過30個小時中日發聲MP3!★   ★絕對是一本能讓讀者用更便利的方式查單字的...more
",https://www.books.com.tw/products/0010703287?loc=P_0003_013
14,初學日漢辭典,胡傳乃,2014-02-22,"
日語初學者的好幫手!無痛增加單字量   附錄必學動詞、形容詞活用表、單位量詞統統包   一本既可查、也可讀的字典，幫你贏在起跑點!   按照あいうえお順序編排，解析透徹詳細，並列舉例句告訴讀者實際用法...more
",https://www.books.com.tw/products/0010627694?loc=P_0003_014
