,書名,作者,出版日期,內容介紹,網址
1,日本語初級 大地3・4 聽解文法練習,"佐々木 薫,大谷みどり,西川悦子",2020-03-15,"
日語初學者適用的基礎聽解練習題!    《日本語初級 大地》輔助教材。   練習從會話內容掌握重點概要，打好日語溝通表達基礎。    本書是專為日語初學者所設計的基礎聽解練習題。根據《日本語初級 大地③④》...more
",https://www.books.com.tw/products/0010854603?loc=P_0003_001
2,能聽能說這一本就到位，日語聽力大聲唸(25K+MP3),"吉松由美,大山和佳子,西村惠子",2019-12-02,"
您還在聽力跟口說上裹足不前嗎? 聽力是學好日語的金鑰匙! 聽力是日檢合格的金鑰匙! 聽力好，口說就好，   五顆星推薦，   用日檢模擬考試方式，練聽力，   就把光碟開著當背景音，   越聽越清楚，   從N5...more
",https://www.books.com.tw/products/0010841870?loc=P_0003_002
3,聽到哪學到哪：在日本聽廣播學日語(新版)附臨場感MP3,DT企劃,2019-08-16,"
☊收錄在日錄製實境廣播☊ 用廣播體驗赴日臨場感 張開耳朵傾聽，啟動日語學習模式 「聽力、閱讀力、學習力」一起UP!     旅行中周遭的廣播聽懂了多少?日本處處都有廣播在提醒著大眾各種消息，從機場、往返市...more
",https://www.books.com.tw/products/0010830053?loc=P_0003_003
4,出擊!日語聽力自學大作戰 高階版Step 4 (25K+MP3),"吉松由美,大山和佳子,西村惠子",2019-02-27,"
聽力是日語學習大門的合格金鑰!   只要找對方法，就能改變結果!   ★ 日籍金牌教師編著，百萬讀者推薦，日語秘訣一本達陣!!   ★ 被國內多所學校列為指定教材!   ★ 聽力習題 × 重點關鍵句 × 精準突破解析攻...more
",https://www.books.com.tw/products/0010815389?loc=P_0003_004
5,出擊!日語聽力自學大作戰 中高階版 Step 3(25K+MP3),"吉松由美,大山和佳子,西村惠子",2019-01-10,"
聽力是日語學習大門的合格金鑰! 只要找對方法，就能改變結果!   ★ 日籍金牌教師編著，百萬讀者一致推薦，日語聽力秘訣一本達陣!!   ★ 被國內多所學校列為指定教材!   ★ 聽力習題 × 重點關鍵句 × 精準突破...more
",https://www.books.com.tw/products/0010810971?loc=P_0003_005
6,出擊!日語聽力自學大作戰 中階版 Step 2(25K+MP3),"吉松由美,西村惠子",2018-11-12,"
聽力是日語學習大門的合格金鑰!   只要找對方法，就能改變結果!     ★ 日籍金牌教師編著，百萬讀者一致推薦，日語聽力秘訣一本達陣!!   ★ 被國內多所學校列為指定教材!   ★ 聽力習題 × 重點關鍵句 × 精準...more
",https://www.books.com.tw/products/0010804758?loc=P_0003_006
7,好聽力!用耳朵學日語：我的第一本聽力學習書 (附MP3),"朱讌欣,渡邊由里",2018-10-03,"
快速日語自學50招，馬上學馬上會。 速聽! 鬼速聽力訓練法，日本人怎麼說都聽得懂。 對， 學日語，就是從聽的開始， 日語不是用背的， 反覆聽，才是聰明的。 把一本日文書，反覆聽10遍， 就能聽說很道地的...more
",https://www.books.com.tw/products/0010800857?loc=P_0003_007
8,出擊!日語聽力自學大作戰：初階版(25K+MP3),"吉松由美,西村惠子",2018-08-27,"
聽力是日語學習大門的合格金鑰! 只要找對方法，就能改變結果!     ★ 日籍金牌教師編著，百萬讀者一致推薦，日語聽力秘訣一本達陣!!   ★ 被國內多所學校列為指定教材!   ★ 聽力習題 × 重點關鍵句 × 精準突...more
",https://www.books.com.tw/products/0010797354?loc=P_0003_008
9,大家的日本語 初級Ⅰ 改訂版 聽解タスク,"北川逸子,牧野昭子,田中よね",2018-08-01,"
★初級Ⅰ收錄第1~12課，每課3~5個初級重要句型，適合所有入門~N5學習者。   ★全書標有假名；書末附有聽力內容及解答!   本書引導您突破日語聽力的瓶頸!   【STEP 1】 從「詞彙、句型」開始著手!   掌握詞彙...more
",https://www.books.com.tw/products/0010798424?loc=P_0003_009
10,日本語初級 大地1・2 聽解文法練習,"佐々木薫,大谷みどり,西川悦子",2018-06-01,"
日語初學者適用的基礎聽解練習題!   《日本語初級 大地》輔助教材。   練習從會話內容掌握重點概要，打好日語溝通表達基礎。   本書是專為日語初學者所設計的基礎聽解練習題。根據《日本語初級 大地①②》教...more
",https://www.books.com.tw/products/0010798422?loc=P_0003_010
