,書名,作者,出版日期,內容介紹,網址
1,SAT單字攻略(全集),"王字強,陳方",2020-10-16,"
給美國人考的考試，到底要怎麼準備?! 母語不是英文，單字量到底怎樣才夠?!   SAT，又稱學術水準測驗考試，是美國普遍使用的大學入學考試，也是國際學生申請美國大學必須參加的考試之一。目前的SAT版本不僅...more
",https://www.books.com.tw/products/0010873824?loc=P_0003_001
2,高分衝刺，不背不行的2500必考英文單字,張慈庭英語教師團隊,2020-10-14,"
背好的單字從來不考，考出來的單字卻總是漏掉? 掌握出題機率最高的單字，你就能縱橫各大英文考試!    避免考前衝刺手足無措，先把不背不行的單字牢牢掌握，   抓住單字學習的三大要點，用最短時間創造最大...more
",https://www.books.com.tw/products/0010870752?loc=P_0003_002
3,英語基礎實力養成 套書(全3書) +LiveABC智慧點讀筆16G(Type-C充電版) 超值組合,LiveABC編輯群,2020-10-08,"
老師希望你別再用錯的英語易混淆字   worth & worthy 是什麼在「值得」?   skinny, slim & thin 都是瘦，到底怎麼「瘦」呢?   bite & sting 是被蜜蜂「叮」還是被蚊子「咬」?   hope &......more
",https://www.books.com.tw/products/0010873474?loc=P_0003_003
4,圖解 內臟單字大全,原島廣至,2020-10-08,"
~依詞源記誦解剖學名詞~   ★日本醫學排行NO.1   ★連年高居亞馬遜暢銷排行榜!   ★醫學、護理、研究人員、專科生必不可少!   ★國立成功大學基礎醫學研究所博士、長庚科技大學副教授 鄧志娟審定   ◆◆依詞源記...more
",https://www.books.com.tw/products/0010872780?loc=P_0003_004
5,一本「袋」著走!學習辨別字首、字根、字尾，英文單字不用猜,張慈庭,2020-10-07,"
見字拆字，天下無難字。 能「拆」開單字，就不需「猜」測意思! 只要牢記150大英單規則，陌生單字也能輕鬆解讀。    掌握單字組合要訣，讓你神速記憶。   輕鬆解析難字，長文流暢閱讀。   單字系統歸納，試...more
",https://www.books.com.tw/products/0010870745?loc=P_0003_005
6,關鍵英單7000字(1)1~2200【三版】(16K + 764分鐘MP3),"Judy Majewski,葉立萱",2020-09-18,"
《關鍵英單7000 字 1》   ▶108課綱公告建議單字量：學測必考常用4500字   ▶分冊/分級：Levels 1–2；1~2200字   ▶全民英檢分級：初級   《關鍵英單7000 字 2》   ▶108課綱公告建議單字量：學測必......more
",https://www.books.com.tw/products/0010870805?loc=P_0003_006
7,取個有意思的英文名字：中華文化名人英文名字六百家(增訂版),采詩,2020-09-01,"
全新增訂版!精選超過1000個男女英文名，讓你取個道地又好聽的英文名!    ◎精選超過1000個男女英文名，取英文名的最佳參考寶典。   ◎深刻剖析各國的姓名來源與取名文化，教您取個好聽又有意義的英文名。   ...more
",https://www.books.com.tw/products/0010868908?loc=P_0003_007
8,牛叔說故事學英語(上)：「潘朵拉魔盒裡沉睡千年」英文單字最快最有效的記憶法,"林漢忠,牛叔",2020-09-01,"
★ 打開了沉睡千年的「潘朵拉盒子」，英文單字最快、最有效的記憶法!   ★ 字根、字首、字尾、形聲、象形 ~ 一網打盡!   ★ 國考、教甄、學測、指考、多益、雅思 ~ 通通適用!   三個月學會 4,500 個單字，牛...more
",https://www.books.com.tw/products/0010868756?loc=P_0003_008
9,牛叔說故事學英語(下)：「潘朵拉魔盒裡沉睡千年」英文單字最快最有效的記憶法,"林漢忠,牛叔",2020-09-01,"
★ 打開了沉睡千年的「潘朵拉盒子」，英文單字最快、最有效的記憶法!   ★ 字根、字首、字尾、形聲、象形 ~ 一網打盡!   ★ 國考、教甄、學測、指考、多益、雅思 ~ 通通適用!   三個月學會 4,500 個單字，牛...more
",https://www.books.com.tw/products/0010868758?loc=P_0003_009
10,圖解文法分類單字2200字：英檢初級+常考片語練習及試卷,"林漢忠,蘇軾閔,鍾美怡,陳宇勝",2020-09-01,"
◆ 依照英檢中心提供之2200字初級單字表，整理出50種主題分類，易學、易背，透過臨摹字帖，寫出漂亮英檢字體，並拚出所有單字。   ◆ 隨字/句附上美音QR code，一面聽，一面寫，最佳複習範本。   ◆ 本書中初...more
",https://www.books.com.tw/products/0010867908?loc=P_0003_010
11,Cindy情境式必考多益單字滿分筆記(隨掃即聽「必考多益單字+短句」強效學習MP3 QR Code),宋品瑩（Cindy）,2020-08-26,"
想準備多益考試，卻毫無頭緒，沒有方向? Cindy 情境式多益單字課， 帶你掌握滿分關鍵、穩操勝券，不再心慌慌!    漂亮資歷+實戰經驗──   師大英語系/師大翻譯所榜首/多益滿分講師   YouTube頻道超過13萬訂...more
",https://www.books.com.tw/products/0010867521?loc=P_0003_011
12,世界最強字首、字根、字尾(附贈獨創世界最強字首、字根、字尾轉盤+1CD + VRP虛擬點讀筆App),懶鬼子英日語編輯群,2020-08-26,"
只要學好「字首、字根、字尾」， 就能掌握80%以上的英文單字! 想要快速背英文單字， 就要先學會「字首、字根、字尾」!    只要會念ABC，   就能學會161個字首、字根、字尾!   延伸學習超過1,300單字!    ...more
",https://www.books.com.tw/products/0010868741?loc=P_0003_012
13,英文一字多義速查字典：完整收錄7000英單必學多義字,黃百隆,2020-08-12,"
閱讀、寫作、對話、解題   一字多用、事半功倍!   明明單字全認識，為什麼串起來卻看不懂?   原來一個字常常會有好幾個意思，用錯真的差很大!   ★You must be bananas if you argue with a thre......more
",https://www.books.com.tw/products/0010866531?loc=P_0003_013
14,超圖解 秒懂核心英單：一張圖破解動詞、介系詞、片語的原理，瞬間讓英文變更強，一輩子不會用錯!,"中村俊佑,田中茂範",2020-08-06,"
繼《超圖解 秒懂英文法》暢銷書最新系列作! 只要掌握單字的「核心概念」， 秒刷關鍵單字不用錯，英文實力瞬間大提升! 「我要過去了」為什麼是 I’m coming? see a movie和watch a movie 有什麼差別? 「給…...more
",https://www.books.com.tw/products/0010865150?loc=P_0003_014
15,我的第一本考前衝刺英文單字攻略,李宇凡,2020-08-05,"
考試將近，如何把書念好念滿? 掌握「單字」，就能戰勝各大英文考試!  讓這本考前攻略陪你征戰各大考場， 幫助累積「單字╳搭配詞╳閱讀」能力， 在短時間內吸收快、記得深、得高分!     ■系統性分類單字，短...more
",https://www.books.com.tw/products/0010864446?loc=P_0003_015
