,書名,作者,出版日期,內容介紹,網址
1,可以馬上學會的超強英語口說課：一次搞定，TOEIC.TOEFL.IELTS.英檢.學測.會 考(附MP3),"珊朵拉,蘇盈盈",2020-11-04,"
最有效率的口說訓練法， 破解口說密碼、突破瓶頸， 英語口說革命，從此開始， 彈指之間，分數激增100分!    口說&聽力，同步UP!UP!   不管主考官怎麼問，都能馬上聽懂、對答如流。   無論口說測驗怎麼考，...more
",https://www.books.com.tw/products/0010874885?loc=P_0003_001
2,食衣住行完全圖解 套書(全3書)+LiveABC智慧點讀筆16G(Type-C充電版) 超值組合,LiveABC編輯群,2020-10-08,"
1. 好吃好喝好溝通 圖解美食英語   書+朗讀MP3   食物圖解+實用會話+短文閱讀，學會美食英語超有感!    民以食為天!這說明了飲食是人類文明與日常生活中相當重要的一部分，不同的文化也發展出不同的美食特...more
",https://www.books.com.tw/products/0010873438?loc=P_0003_002
3,超實用英文口語套書(3本書)+LiveABC智慧點讀筆16G(Type-C充電版)超值組合,LiveABC編輯群,2020-10-08,"
簡單卻實用 老外都在用的英語短句   老外天天都在說的英語短句，你不學嗎?    * 窮到吃土了。I m as poor as a church mouse.   * 你是在撩妹嗎?Are you hitting on her?   * 你......more
",https://www.books.com.tw/products/0010873472?loc=P_0003_003
4,英文寫真,馬米高,2020-09-21,"
這本書不是坊間看到一般的英文學習工具書，這裏沒有填充練習、句式操練或者Beeno。課堂形式的學習大部分人都經歷過，這本書裏，馬米高希望透過他一些生命中的故事、有趣經歷、個人感受，介紹一些「貼地」...more
",https://www.books.com.tw/products/0010872233?loc=P_0003_004
5,一看就會圖解英語發音+當場用得上的英語會話5000句+LiveABC智慧點讀筆16G(Type-C充電版)超值組合,LiveABC編輯群,2020-09-15,"
目標讀者：   適於各年齡層。   適於各種學習程度。   適於英語自學者。   可做為教師課後補充教材。   想學習英語基礎發音者。   自然發音與KK音標同步學習 學習發音事半功倍   你是否常常有這樣的疑問：...more
",https://www.books.com.tw/products/0010870726?loc=P_0003_005
6,跟美國人學，最常用美國口語：超簡單.超好學! (附MP3),"Steve Lindberg,施孝昌",2020-09-02,"
你相信嗎? 學英語和學123一樣簡單。 美國人天天必用的100句口語， 超簡單.超好學， 5天就能輕鬆溜美國話!    美國常用口語100句，簡潔生動、簡單易學，   每一句都是話中有話，話中有畫，令您會心一笑，難...more
",https://www.books.com.tw/products/0010869422?loc=P_0003_006
7,你肯定會用到的500句話,張瑜凌,2020-09-02,"
美國人平常說話大約只會使用到1000~1500個名詞，   要將這些用語拼湊成美語人所說的句子，才是學習英語的訣竅!   English for life   500組情境對話   簡單情境、實用學習!   用最生活化的方式學英文，   ...more
",https://www.books.com.tw/products/0010869441?loc=P_0003_007
8,一本「袋」著走!生活萬用英文會話1200句,張瑩安,2020-09-02,"
3大超實用會話類型 30種超完整生活情境 1200句生活必用會話 輕巧一本帶者走，各種情境都能輕鬆開口    ■小開本易攜帶，任何情況都能隨時開口說英文!   書上的句子記了千百次，臨時要用卻腦袋一片空白?急需...more
",https://www.books.com.tw/products/0010868054?loc=P_0003_008
9,英語力：英語聽說能力訓練【Starter】(菊8K+MP3),Owain Mckimm,2020-08-14,"
《英語力》是一套全方位的聽力與口說英語學習教材，透過有系統的規劃與引導，致力幫助讀者有效率地精通英語聽力與口語能力。   《英語力：Starter》專為英語初學者聽說入門設計，囊括日常生活中最實用的主...more
",https://www.books.com.tw/products/0010867265?loc=P_0003_009
10,英語模擬城市 生活必學英語會話：【書+電腦互動學習軟體(含朗讀MP3)】,LiveABC編輯群,2020-08-13,"
#適用對象：適用於各年齡層。尤其是如果您是想擴充日常生活實用英語單字及學習英語會話、提升口說能力的英語學習者，那這本書您非看不可!    本書主打特點：模擬生活實境，在家就能學英語!    語言要能真...more
",https://www.books.com.tw/products/0010867054?loc=P_0003_010
