,書名,作者,出版日期,內容介紹,網址
1,美國之音新聞英語聽力訓練【三版】(20K+MP3),"Jennifer Chen,Sheng-chieh Jeff Chang,Voice of America",2020-09-18,"
想學新聞英語又擔心CNN、BBC太難嗎? 就從美國之音的慢速英文新聞開始! 精選1500字寫成的最新VOA美國之音慢速英語新聞， 9週54篇新聞4步驟的扎實訓練，打開你的新聞英語耳!   每篇新聞精心設計4 Steps學習...more
",https://www.books.com.tw/products/0010870771?loc=P_0003_001
2,可以馬上學會的超強英語聽力課 一次搞定：TOEIC.TOEFL.IELTS.英檢.學測.會考(附MP3),"卡拉卡,蘇盈盈",2020-09-09,"
最有效率的聽力訓練法， 破解英聽密碼、突破瓶頸， 英語聽力革命，從此開始， 彈指之間，實力馬上提升! 聽說能力，同步UP!UP! 老外怎麼說，都能聽得懂、對答如流。 考試怎麼考，都能正確答題、考遍天下無...more
",https://www.books.com.tw/products/0010869925?loc=P_0003_002
3,一本掌握英文聽力╳閱讀，戰勝各大英文考試,張慈庭英語教學團隊,2020-09-02,"
英檢、多益、學測、指考…… 不論哪種英文考試 掌握「聽力」和「閱讀」 高分自然輕鬆手到擒來!  替「耳朵」和「眼睛」養成絕對語感， 靠一本書就能搞定所有考試!    ●內容包羅萬象，情境豐富，一本超滿足!  ...more
",https://www.books.com.tw/products/0010868056?loc=P_0003_003
4,一本速學!全面掌握英文新聞聽力訓練祕笈,許豪英語教學團隊,2020-09-01,"
嚴選55篇英美音新聞， 跟著名師一起一步步學習增進聽力技巧，不再煩惱聽不懂英文新聞    ‧新聞背景知識簡介，聽新聞原音前先補足所需相關知識。   ‧三種練習題型，反覆練習聽力、訓練英文語感。   ‧附上完...more
",https://www.books.com.tw/products/0010867887?loc=P_0003_004
5,高效衝刺!新制多益聽力大突破：超過400道模擬試題，培養破解題型關鍵實力!,許豪多益金色證書英語教學團隊,2020-09-01,"
全面分析新制多益考試出題關鍵， 收錄音檔多國發音，幫助熟悉口音 一本在手，備考得心應手!  本書特色    ●針對4大類題型，精準命中考題關鍵!   本書根據多益聽力考題的四大類型——「PART 1看圖辯義」、「P...more
",https://www.books.com.tw/products/0010867888?loc=P_0003_005
6,英語力：英語聽說能力訓練【Starter】(菊8K+MP3),Owain Mckimm,2020-08-14,"
《英語力》是一套全方位的聽力與口說英語學習教材，透過有系統的規劃與引導，致力幫助讀者有效率地精通英語聽力與口語能力。   《英語力：Starter》專為英語初學者聽說入門設計，囊括日常生活中最實用的主...more
",https://www.books.com.tw/products/0010867265?loc=P_0003_006
7,14天戰勝英文聽力超強秘笈,"許瑾,許豪",2020-07-01,"
想迅速提升英文聽力? 一天聽一回，按表操課， 14天戰勝日常生活聽力!   *貼近日常生活的對話訓練，輕鬆活用所學!   *完整涵蓋獨白、對話，附原稿中英文對照!   *補充單字、例句及題目詳解，全面解惑!   *...more
",https://www.books.com.tw/products/0010861784?loc=P_0003_007
8,睡前15分鐘打造英語聽力即戰力：利用「睡前20倍的最強記憶力」，提升英聽力和會話力 (附贈「中英對話」強效學習MP3 QR code),Michael Yang,2020-04-08,"
用睡前15分鐘、20倍的強效記憶力，成功換一顆英語腦! 鍛鍊好聽力、口說好流利， 直覺瞬間反應，英語聽說一次精通!    根據實驗結果：   大腦會在睡眠的情況下，   進行「整理資訊」與「強化記憶」的工作，...more
",https://www.books.com.tw/products/0010853716?loc=P_0003_008
9,20天閃電翻轉「聽.說」英語速成班!生活表達600句,金在憲,2020-04-01,"
市面上千百種英聽學習書， 你以為這只是另一本隨便翻閱就學習完畢的書嗎? 在進入速成班成為高手前， 請務必一同動起眼睛、耳朵、嘴巴， 依照「先做題後學習」的步驟， 訓練完美語感，一擊必殺!   ● 「一分...more
",https://www.books.com.tw/products/0010852815?loc=P_0003_009
10,新聞英語聽力完整攻略：聽《美國之音》新聞英語，提升英聽真實力!,楊熹允,2020-02-26,"
學了好幾年英語，   聽ICRT、看國外影集卻聽不懂?   一遇到老外也只能腦袋空白?    從VOA美國之音訓練聽力，   掌握最即時、最真實的新聞英語，   牛刀小試 ╳ 背景提示 ╳ 單字補給 ╳ 精準翻譯   一步步提...more
",https://www.books.com.tw/products/0010850197?loc=P_0003_010
11,瞬間反應!聽得快，聊時事：新聞英語練聽力!,蔡文宜,2020-02-25,"
會讀、會寫，但卻聽不懂、說不出?   聽ICRT、CNN新聞快報時常一知半解?    透過7大主題的世界新聞培養「英語耳」，   從臨場感十足的街頭訪問訓練「英語口」   你也能輕鬆從「聽懂新聞」到「暢談時事」!  ...more
",https://www.books.com.tw/products/0010849647?loc=P_0003_011
12,20天閃電翻轉「聽.說」英語速成班!日常會話 600 句,金在憲,2020-02-25,"
警告!   本書不是只用眼睛就可以學習的書!   請大家積極動起眼睛、耳朵、嘴巴，   進行「先做題後學習」的步驟，   讓你不用一次打十個，一招就能攻克英文大敵!    ● 「一分鐘」擊殺技 ①：   先六題直述句...more
",https://www.books.com.tw/products/0010849822?loc=P_0003_012
13,初階英語聽講練習 下 附光碟 (技術型高級中等學校外語群),Casey Malarcher,2020-01-13,"
Preface    “ 初階英語聽講練習” is a comprehensive split edition coursebook for students in their f irst year of vocational high ......more
",https://www.books.com.tw/products/0010848782?loc=P_0003_013
14,瞬間反應!零障礙，聽就懂：英文聽力大突破,約瑟夫．科爾曼,2019-12-25,"
平時英文聽力考試都聽得懂， 真正遇到老外卻什麼都聽不懂? 讓各國籍的外國人說給你聽， 不論口音怎麼變都無障礙! 全書收錄8國發音共28篇各國籍英語受訪者的訪談， 保證讓你擁有史上最道地的英語口音訓練，...more
",https://www.books.com.tw/products/0010843465?loc=P_0003_014
15,英文聽力即戰力：不同考試、相同技巧，聽力滿分一本決勝(附隨掃隨聽QR code),許豪,2019-07-31,"
還在看簡單的參考書，準備高難度的考試?   全新剖析四大題型，專注鎖定四大考試，   讓你準備好了就一次打四個!   ① 搞定新制多益╳高中英語聽力測驗╳英檢初、中級一次制霸!   ② 看圖辯義╳簡短對話╳基礎問...more
",https://www.books.com.tw/products/0010828400?loc=P_0003_015
16,朗文英語越聽越清楚1 聽力滿分練習(單書/MP3另售),,2019-07-01,"
全新改版! 朗文英語越聽越清楚系列   1. 專為初級學習者設計，提供不同程度的聽力測驗。   2. 各單元的主題情境皆採自於日常生活情景中常見的事物，讓學習者能熟悉各種情況下之不同對話及句型。   3. 配合...more
",https://www.books.com.tw/products/0010830401?loc=P_0003_016
17,朗文英語越聽越清楚2 聽力滿分練習(單書/MP3另售),,2019-07-01,"
全新改版! 朗文英語越聽越清楚系列   1. 專為初級學習者設計，提供不同程度的聽力測驗。   2. 各單元的主題情境皆採自於日常生活情景中常見的事物，讓學習者能熟悉各種情況下之不同對話及句型。   3. 配合...more
",https://www.books.com.tw/products/0010830403?loc=P_0003_017
18,朗文英語越聽越清楚3 聽力滿分練習(單書/MP3另售),,2019-07-01,"
全新改版! 朗文英語越聽越清楚系列   1. 專為初級學習者設計，提供不同程度的聽力測驗。   2. 各單元的主題情境皆採自於日常生活情景中常見的事物，讓學習者能熟悉各種情況下之不同對話及句型。   3. 配合...more
",https://www.books.com.tw/products/0010830406?loc=P_0003_018
19,朗文英語越聽越清楚1 聽力滿分練習 MP3(單片),,2019-07-01,"
全新改版! 朗文英語越聽越清楚系列   1. 專為初級學習者設計，提供不同程度的聽力測驗。   2. 各單元的主題情境皆採自於日常生活情景中常見的事物，讓學習者能熟悉各種情況下之不同對話及句型。   3. 配合...more
",https://www.books.com.tw/products/0010830407?loc=P_0003_019
20,朗文英語越聽越清楚2 聽力滿分練習 MP3(單片),,2019-07-01,"
全新改版! 朗文英語越聽越清楚系列   1. 專為初級學習者設計，提供不同程度的聽力測驗。   2. 各單元的主題情境皆採自於日常生活情景中常見的事物，讓學習者能熟悉各種情況下之不同對話及句型。   3. 配合...more
",https://www.books.com.tw/products/0010830409?loc=P_0003_020
21,朗文英語越聽越清楚3 聽力滿分練習 MP3(單片),,2019-07-01,"
全新改版! 朗文英語越聽越清楚系列   1. 專為初級學習者設計，提供不同程度的聽力測驗。   2. 各單元的主題情境皆採自於日常生活情景中常見的事物，讓學習者能熟悉各種情況下之不同對話及句型。   3. 配合...more
",https://www.books.com.tw/products/0010830413?loc=P_0003_021
22,唱吧!英文歌謠：聽歌謠說故事【二版】(25K軟精裝+144首歌謠MP3),Gloria Lu,2019-05-15,"
深受讀者喜歡的《唱吧!英文歌謠：聽歌謠說故事》改版囉!在二版中有全新的編排，全書採取對頁編排方式，並完整呈現歌謠段落，另外還更換許多彩色插圖，讓這本書閱讀起來更完整、更精彩!   精選144首經典兒...more
",https://www.books.com.tw/products/0010822283?loc=P_0003_022
23,7天學好英語聽力和會話：好聽力!好流利!說英文，So Easy!(附MP3),施孝昌,2019-03-13,"
聽力.會話.文法，一次精通， 分分秒秒，直覺英語，Quickly快口說。 花最短時間， 說一口漂亮英語的超快捷徑。 本書不是一本普通的英語會話教本。 而是一本很好的英語學習教材， 讓您學習省下20年。 Speak ...more
",https://www.books.com.tw/products/0010816331?loc=P_0003_023
24,書名：好聽力!用耳朵學英語：我的第一本聽力學習書 (附MP3),施孝昌,2018-09-12,"
速聽!   鬼速聽力訓練法，老外怎麼說都聽得懂。   對!   學英語，就是從聽的開始!   英語不是用背的，   反覆聽，才是聰明的。   把一本英文書，反覆聽10遍，   就能聽說很道地的英文了。   每天不用多，1...more
",https://www.books.com.tw/products/0010798692?loc=P_0003_024
25,CNN主播為你開的英語聽力課【1書+ 1片DVD-ROM電腦互動光碟(含課文朗讀MP3)+別冊】,LiveABC編輯群,2018-05-10,"
英語老師、教授一致推薦 聽CNN練英語聽力最有效率!   影片學習 CNN新聞影片原音教學   實戰測驗 每個單元安排多項英語聽力訓練題組   聽力技巧 反覆練習，按部就班找出英語聽力進步訣竅   想說道地的英語...more
",https://www.books.com.tw/products/0010787184?loc=P_0003_025
26,好聽力!用耳朵學英語：我的第一本聽力學習書 (附MP3),施孝昌,2017-12-06,"
鬼速聽力訓練法，老外怎麼說都聽得懂。 對! 學英語，就是從聽的開始! 英語不是用背的，那是蠢人； 反覆聽，才是聰明的。 把一本英文書，反覆聽10遍， 就能聽說很道地的英文了。 英語聾子，也能變身英語達...more
",https://www.books.com.tw/products/0010772510?loc=P_0003_026
27,關鍵字英文聽力訓練法：用句型公式掌握句子重點，抓住幾個字，瞬間聽懂老外整句話!(附聽力提升MP3),金哉憲,2017-10-13,"
提升聽力成績，不必每個字都要聽到、聽懂! 而是抓到「關鍵字」! 用簡單的句型公式馬上能預測句子的重點部位， 抓到重點部位的關鍵字，整句話就能立刻明白! 只要掌握最常用、經典的200句型 + 英聽訓練四部...more
",https://www.books.com.tw/products/0010765679?loc=P_0003_027
28,英文聽力聽這本就夠了：最即時、最真實的新聞英語，才能提升聽力即戰力!,楊熹允,2017-10-03,"
在學校、補習班學了好幾年英文， 一遇到老外卻還是聽不懂他們在說什麼， 難道……我真的沒有學英文的天份嗎?   現在放棄，你的英文就回不來了，   想要聽懂道地老外英文，光靠課本本來就不夠，   聽外電新聞...more
",https://www.books.com.tw/products/0010765995?loc=P_0003_028
29,一聽忘不了!兩段速英語精聽精練(附MP3),張翔,2017-09-27,"
漸進式聽法 + 爆量練習題 = 突破英聽無極限! 「慢速精聽」+「快速熟練」，用正統美音掃蕩台腔台調。   一談到英語聽力，你內心總有無盡的哀嘆?   (1)人人都說聽力簡單，可我不覺得……   → 除了知道是ABCD的...more
",https://www.books.com.tw/products/0010766189?loc=P_0003_029
30,FUN學伊索寓言：英語閱讀聽力訓練(25K +1MP3),"Richard Luhrs,V.S. Vernon Jones",2017-09-08,"
品味伊索寓言的同時，閱讀、聽力能力帶著走!    看故事學英語一直是樂趣無窮、學習成效看得見的學習方法，本書精選84篇伊索寓言，以全英文的課本(Main Book)與聽力訓練書(Training Book)兩大部分，堅實打...more
",https://www.books.com.tw/products/0010763412?loc=P_0003_030
31,美國之音新聞英語聽力訓練【二版】(25K彩色+1MP3),"Jennifer Chen,Voice of America",2017-08-14,"
您想讀懂英語新聞嗎?美國之音新聞英語聽力訓練是您最好的選擇! CNN、BBC對您來說太難了嗎? 想學新聞英語，就從以1500個單字寫成的VOA新聞開始!   本書精選VOA美國之音慢速英語的文章，訓練您的英語聽力，...more
",https://www.books.com.tw/products/0010761428?loc=P_0003_031
