,書名,作者,出版日期,內容介紹,網址
1,超完勝新制多益高分5回：黃金試題1000題【試題+中譯雙書版】(16K+MP3),"Gi-Won Yun,Global21語學研究所,Ui-Geol Lee",2020-10-26,"
百分百命中多益考題趨勢，New TOEIC完整五回經典黃金試題，多益高分超簡單!    2018多益改制後聽力測驗增加了「三人對話題」、「來回次數超過五次對話題」、「說話者意圖題」、「圖表整合題」；閱讀測驗增...more
",https://www.books.com.tw/products/0010874322?loc=P_0003_001
2,高勝率填空術：新多益660破分攻略,張翔,2020-10-21,"
搶分革命來一波!單字強勢進化 答題實力檢測+掃碼速聽MP3    『別再被效率低下的新多益背誦法折騰了，   突破660分的超實用密技，我們告訴你!』    密技1.用填空題取代枯燥的單字列表，動力UP。   密技2.在...more
",https://www.books.com.tw/products/0010873434?loc=P_0003_002
3,"全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題 + 聽力1,200題 + 閱讀1,200題【網路獨家套書】","李寬雨,林政翰,高京希",2020-10-16,"
「怪物講師教學團隊」 曾創下網路書店每分鐘賣出一本的銷售記錄! 「怪物講師教學團隊」 就是全新制多益的第一選擇!  最會猜題的「猜題怪物」! +最會解題的「解題怪物」! +最會考試的「考試怪物」! 等於「...more
",https://www.books.com.tw/products/0010873669?loc=P_0003_003
4,全新制多益滿分的怪物講師TOEIC單字+文法/閱讀/聽力攻略【網路獨家套書】(5書+2CD+防水書套),"怪物講師教學團隊（台灣）,鄭相虎,金映權",2020-10-16,"
五十次多益滿分保證! 曾創下網路書店每分鐘銷售一本的實力! 全新制多益的第一選擇!  「怪物講師教學團隊」最能幫助考生考高分， 帶你全面破解考試題型，完全戰勝全新制多益考試!    「真的可以公開這些祕...more
",https://www.books.com.tw/products/0010873712?loc=P_0003_004
5,全新制多益TOEIC考一次就過關：走到哪、寫到哪的多益模擬試題實戰本【附贈虛擬點讀筆App】,地表最強教學顧問團,2020-10-07,"
做每件事情都有預想「達成的目標」， 工作是為了賺錢、為了成就感， 旅行是為了放鬆、為了拓展視野， 在職進修是為了增強工作力、為了不被社會淘汰， 那你報考多益，是為了什麼? 是想要衝高分數，目標990...more
",https://www.books.com.tw/products/0010872568?loc=P_0003_005
6,新制多益聽力題庫：短獨白，附詳盡解析(MP3),Amanda Chou,2020-10-05,"
最強新多益學習方式── 聽、讀雙效強化書  由新多益聽力「短獨白」內容 巧妙運用「聽」、「讀」之間的關聯性 同步強化各類型考試及字彙、閱讀和聽力答題實力  一次性攻略數種國內大型考試 高一學生的首選英...more
",https://www.books.com.tw/products/0010871350?loc=P_0003_006
7,TOEIC L&R TEST 多益閱讀模測解密,"Paul McConnell,加藤優,野村知也",2020-10-01,"
只有不斷實際應考，才能掌握新制多益的出題趨勢! 由日本多益教學專業團隊領軍， 實際應考超過1000次多益測驗， 分析出題趨勢和解題關鍵，破解990高分的祕密!    Essence English School是日本第一的多益專...more
",https://www.books.com.tw/products/0010871465?loc=P_0003_007
8,TOEIC L&R TEST 多益聽力模測解密(四國口音MP3免費下載),"Bradley Towle,加藤優,小林美和,野村知也",2020-10-01,"
只有不斷實際應考，才能掌握新制多益的出題趨勢! 由日本多益教學專業團隊領軍， 實際應考超過1000次多益測驗， 分析出題趨勢和解題關鍵，破解990高分的祕密!   Essence English School是日本第一的多益專...more
",https://www.books.com.tw/products/0010871458?loc=P_0003_008
9,Smart新式多益保證班：900分黃金單字&片語,"Jason Buddo,謝璿蓁",2020-09-29,"
◎本書完全按照TOEIC®官方所列出的主題，將內容分成20個單元。   ◎每單元精選30個重點單字，佐以重要例句，讓讀者可用最精簡的例句熟記最重要的單字用法。   ◎每詞條附音標、中英文翻譯、例句、同義字、反...more
",https://www.books.com.tw/products/0010871559?loc=P_0003_009
10,Collins新制多益聽讀說寫全真測驗 (附MP3),HarperCollins,2020-09-29,"
本書因應多益新制考題全新改版，提供聽力、閱讀、口說及寫作四回完整試題與解答，讓有心準備及研讀的讀者有更全面的了解。坊間少見的多益口說與寫作，本書也提供絕佳解答範例，有效演練。附贈多益關鍵字字...more
",https://www.books.com.tw/products/0010870396?loc=P_0003_010
11,新制多益聽力題庫：會話大全(1)(附MP3),Amanda Chou,2020-09-03,"
最強新多益學習方式── 超過五倍的聽力模擬試題對話量 涵蓋更多元的商業和生活的聽力必考字彙    輔以「影子跟讀」無限次練習   鞏固聽力「專注力」和「理解力」   後期分數以指數型曲線狂飆    基礎型學習...more
",https://www.books.com.tw/products/0010868526?loc=P_0003_011
12,新制多益全真模擬試題【13】,,2020-08-28,"
本書內容完全比照2018年3月上路的TOEIC新制題型出題，全書包含完整的聽力、閱讀模擬試題，以及口說、寫作測驗。書內附有聽力QR碼，「聽力部分」由美、加、英、澳四國播音員錄製，讀者只要反覆聆聽，必能熟...more
",https://www.books.com.tw/products/0010869161?loc=P_0003_012
13,新制多益全真模擬試題【13】教師手冊,劉毅,2020-08-28,"
本書內容完全比照2018年3月上路的TOEIC新制題型出題，全書包含完整的聽力、閱讀模擬試題，以及口說、寫作測驗。試題後附有教師手稿解答讀本書和上課實況，必能幫助考生，一次就學好聽、說、讀、寫。書內附...more
",https://www.books.com.tw/products/0010869162?loc=P_0003_013
14,新制多益精選1120單字,"Helen Holleman,Kim Angevine,Sean Kenny,王瑀",2020-08-20,"
單字與例句均附音檔，英澳美加四國發音    本書運用大數據分析，蒐集趨近多益相關的1120個常用單字，搭配同義字、反義字、衍生字等延伸用法；並依照新制多益題型，聘請國外專家撰寫例句，國內專家翻譯例句...more
",https://www.books.com.tw/products/0010868814?loc=P_0003_014
15,新多益制霸題庫(6回神準試題+QR COD隨掃隨聽),"Andrew Betsis,Lawrence Mamas",2020-08-07,"
超神準6回 金色證書到手!   1,200 題全新試題幫您掌握新制多益七大題型!   QR CODE隨掃隨聽 練習更方便!   贏在練習充足   新制多益六回全真模擬試題，全新聽力閱讀題目，熟悉七大題型，輕鬆累積臨場應考...more
",https://www.books.com.tw/products/0010866754?loc=P_0003_015
16,新制多益TOEIC聽力+閱讀全方位指南/題庫解析【博客來獨家套書】(附3 MP3),Hackers Academia,2020-08-05,"
為忙碌現代人設計的「短期速效集中特訓」多益套書 一套解決「聽力+閱讀+文法+單字+模擬試題」!   短期、速效，讓你第一次考多益就能拿高分   正忙於工作、求職、準備升學的你，有沒有一套就能學完聽力、閱...more
",https://www.books.com.tw/products/0010864676?loc=P_0003_016
