,書名,作者,出版日期,內容介紹,網址
1,連韓國人都驚呆的韓文單字心智地圖(附17張超好學全彩心智地圖拉頁+1CD+VRP虛擬點讀筆App),李松熙,2020-10-28,"
韓劇看了又看、單字背了又背， 記不住的單字還是記不住； 那是因為── 你沒有將單字背進腦中的「長期記憶」裡! 背單字就要使用全球公認最有效的「心智地圖學習法」， 才能將單字牢牢地放入腦中的「長期記憶...more
",https://www.books.com.tw/products/0010874693?loc=P_0003_001
2,超好學!用中文學韓語單字：中文拼音對照，韓語開口就會說(附MP3+單字記憶卡),"Da-Jun Lin,朴永美",2019-11-06,"
零基礎者，韓語最佳學習書，   從發音、單字、會話，一次學會。   圖文式自然記憶，   韓語單字、會話，30秒全部記住，   依情境分類，還有中文拼音輔助，   讓「中文」成為學習韓語的最佳幫手，   馬上學...more
",https://www.books.com.tw/products/0010839328?loc=P_0003_002
3,初級韓國語詞彙,"劉素晶,李京保",2019-04-03,"
初級詞彙：   網羅TOPIK詞彙及國立國語院學習用初級詞彙，共收錄漢字詞542個、固有詞1,142個，總計1,684個詞彙。   詞種區分：   分別收錄漢字詞和固有詞，學習者可以清楚學會詞彙組成及用法差異，並先介...more
",https://www.books.com.tw/products/0010819049?loc=P_0003_003
4,史上最易用錯韓國語：學會正確的拼寫法，從此用韓文寫信、傳訊息都不會寫錯字(附MP3),金周㥥,2019-03-29,"
你的韓文真的用對了嗎?   好多音好像，變音又複雜，為什麼這種拼法才是對，那種拼法卻是錯?   學韓國朋友的line、Kakaotalk的韓文拼法，結果還是錯的!怎麼會這樣?   對照式編排，一目了然!   最容易出錯、...more
",https://www.books.com.tw/products/0010816353?loc=P_0003_004
5,Mind Map Korean圖解萬用韓語單字句型自學書：購物、點餐、問路、交友等等20情境×600句子×1500單字，照著學就會說(附韓語朗讀MP3),Naritha Sukpraman,2019-01-25,"
\專為韓語初學者量身打造/   圖解發音、單字、文法、句型的趣味韓語自學書!   想聽懂韓劇的歐巴歐膩在說什麼嗎?   想去韓國觀光時和店員或當地人用韓語聊天對話嗎?   想看懂韓國招牌、菜單和各種美食、美...more
",https://www.books.com.tw/products/0010811146?loc=P_0003_005
6,全新!史上最強韓語單字：從初學入門到專業譯者都需要的10000個超詳細單字書,今井久美雄,2018-12-28,"
全新寫作、重新編撰! 世界厲害的韓語學習必備工具 更強、更便利、更齊全、更生活化、更專業的 全方位韓語單字書   繼《史上最強韓語單字》今井久美雄老師又一最新力作!   收錄日常生活與各領域專業詞彙   ...more
",https://www.books.com.tw/products/0010808014?loc=P_0003_006
7,我的第一本圖解韓語單字【QR碼行動學習版】：實境式分類最完整生活單字書!(附韓語、中文對照MP3),李銀吾,2018-11-30,"
專為非韓國人設計的單字書!   單字圖解還不夠，用實境式照片更正確傳達單字意義!   只要一張圖片，腦內立刻連結不會忘     按「場景」分類，最完整的日常所需3500個單字量   韓文、中文雙索引，臨時需要立...more
",https://www.books.com.tw/products/0010804192?loc=P_0003_007
8,全圖解生活韓語一看就會說：從四十音開始，看圖、聽發音、跟讀，自然就會說!(附MP3光碟),"三志社語言研究會,張育菁",2018-06-29,"
《用韓國小孩的方法學韓語》暢銷修訂版 沒學過40音的初學習者也適用! 看圖輕鬆學會生活韓語!   一個單字配一張圖，再複雜都能記得住!   一個單字配一句話，一記住就可馬上用!   全書搭配羅馬拼音+mp3   同...more
",https://www.books.com.tw/products/0010789778?loc=P_0003_008
9,給留學生的韓語詞組學習辭典：300個高頻單字x超連結學習法，一手掌握韓國人的語言慣性,"周至善,金聖愛",2018-01-24,"
韓語學習者突破字彙量關卡，掌握語感的必備書籍! 用「語言慣性」學韓語，詞組超連結學習法&慣用表現， 讓你不死背單字也能快速累積詞彙量!   特色一：統整近300個高頻率使用單字，利用關連式詞組及例句，...more
",https://www.books.com.tw/products/0010776808?loc=P_0003_009
10,史上最強心智圖聯想速記韓語單字：一張圖就記住20個以上的生活必備詞彙(附MP3),"鄭寶永,韓厚英",2017-12-29,"
47個主題、75張心智圖 全台第一本心智圖韓語單字書 帶你用聯想的方式輕鬆記憶韓語單字!   ★告別以往傳統的記憶方式，運用圖像記憶學習韓語單字，效果加倍!   你還在用古老的方法背單字嗎?是不是覺得怎麼背...more
",https://www.books.com.tw/products/0010773246?loc=P_0003_010
