,書名,作者,出版日期,內容介紹,網址
1,韓語三部法：音韻‧構詞‧句法,吳忠信,2020-10-21,"
要理解韓語語法沒這麼難! 由韓語語法專家吳忠信博士， 帶您進入韓語語法千萬變化的世界， 透過本書，讓您對韓語語法豁然開朗!    韓語學這麼久，還是不敢確定是對還是錯嗎?就算學了過了大量的單字、語法，...more
",https://www.books.com.tw/products/0010873182?loc=P_0003_001
2,首爾大學韓國語6B(附QRCode線上音檔),首爾大學語言教育院,2020-09-30,"
韓國人、外國留學生唯一指定，韓國第一學府「首爾大學」! 台灣韓語學習教材首選! 全彩頁面、生活化內容、實用性教學，聽說讀寫一次搞定， 最適合韓語高級學習者!   ※關於首爾大學韓國語教材：   總共分成...more
",https://www.books.com.tw/products/0010870382?loc=P_0003_002
3,首爾大學韓國語5B(附QRCode線上音檔),首爾大學語言教育院,2020-09-03,"
韓國人、外國留學生唯一指定，韓國第一學府「首爾大學」!  台灣韓語學習教材首選! 全彩頁面、生活化內容、實用性教學，聽說讀寫一次搞定， 最適合韓語高級學習者!    ※關於首爾大學韓國語教材：   總共分...more
",https://www.books.com.tw/products/0010867124?loc=P_0003_003
4,韓語第一步 (附QR Code線上音檔)：一週學會寫韓文,金美順,2020-08-27,"
韓文字母完整收錄，課後練習豐富精彩，包含聽寫、連連看、猜猜看、唱歌學韓語、句子練習、文章練習等等。    本書由淺入深共分七個單元：第一單元提供韓國文字的基本概念；第二單元到第五單元則由簡馭繁循...more
",https://www.books.com.tw/products/0010868734?loc=P_0003_004
5,我的第一本基礎韓語學習：發音+課本+聽力【博客來獨家套書】(附2MP3),"吳承恩,吳美南,尹信愛,李殷珠,趙才嬉,金志珉",2020-08-05,"
最專業的系統化發音、課文、聽力訓練， 一開始學習就有完美韓語腔調及超強聽力理解力!  教師級發音矯正教材《全新開始!學韓語發音》 最多韓語入門學習者推薦，最好學的課本《我的第一本韓語課本》 台灣唯...more
",https://www.books.com.tw/products/0010864582?loc=P_0003_005
6,用韓語跟韓國人聊台灣：33篇台灣美食/景點韓語會話，提升韓文口說力!(附QRCode線上音檔),李炫周,2020-08-05,"
全台第一!從介紹台灣出發的韓語會話教學書， 用韓文說出我們最熟悉的台灣 !    學韓語時，我們總得一併學習韓國文化、韓國景點，因此課本也都以韓國為主，極少提到台灣。而終於有機會向韓國人介紹台灣時，...more
",https://www.books.com.tw/products/0010863994?loc=P_0003_006
7,韓語入門80堂課 字母+發音+實用短句+LiveABC智慧點讀筆16G( Type-C充電版) 超值組合,LiveABC編輯群,2020-07-31,"
✓想和最愛的韓國歐巴說一樣的韓語?   ✓想用最道地的發音唱出最愛韓團的歌曲?   ✓每天追韓劇、韓綜，好像聽得懂卻又說不出口?   ✓不想花大錢報名補習班卻又想學韓語怎麼辦?    只要這一本，輕鬆精通基礎韓...more
",https://www.books.com.tw/products/0010865586?loc=P_0003_007
8,韓國語，一學就上手!〈初級2〉(隨書附作者親錄標準韓語朗讀音檔QR Code),張莉荃,2020-07-20,"
文法書讀了十幾本，還是分不清謙讓語跟敬語嗎? 會話課上了數百小時，遇見韓國人還是連話都說不清楚嗎? 想寫篇文章，提起筆還是不知道該如何下手嗎? 那是因為你沒遇到中、韓文精通的張莉荃(Angela)老師!  ...more
",https://www.books.com.tw/products/0010863636?loc=P_0003_008
9,韓國語，一學就上手!〈初級1〉(隨書附作者親錄標準韓語發音+朗讀音檔QR Code),張莉荃,2020-06-22,"
文法書讀了十幾本，還是分不清謙讓語跟敬語嗎? 會話課上了數百小時，遇見韓國人還是連話都說不清楚嗎? 想寫篇文章，提起筆還是不知道該如何下手嗎? 那是因為你沒遇到中、韓文精通的張莉荃(Angela)老師!   ...more
",https://www.books.com.tw/products/0010857973?loc=P_0003_009
10,基礎韓語學習書,翁家祥,2020-05-21,"
●基礎韓語學習書   韓文字母書寫、發音、收尾音、變音、問候語、入門文法⋯等一次到位完整學習。   ★18開本方便攜帶隨時學習、複習   捨棄沉重的大型開本與25開小本的編排方式，以最適中的18開本，可以方 ...more
",https://www.books.com.tw/products/0010859407?loc=P_0003_010
11,韓語文法精準應用：延世大學韓語教育博士專業分析語法規則、語尾變化使用差異,"余純旻,閔珍英,韓周景",2020-04-30,"
本書由第一線，專門研究韓語教學的教育博士所撰寫， 集結所有外國學生學習韓語時，經常會犯的經典語法錯誤! 帶你分辨意義近似的詞彙、語尾 如果你在學習過程中感到疑惑 或是TOPIK備考過程中遇到瓶頸 只要...more
",https://www.books.com.tw/products/0010855086?loc=P_0003_011
12,首爾大學韓國語6A(附QRCode線上音檔),首爾大學語言教育院,2020-04-01,"
韓國人、外國留學生唯一指定，韓國第一學府「首爾大學」!   台灣韓語學習教材首選!   全彩頁面、生活化內容、實用性教學，聽說讀寫一次搞定，   最適合韓語高級學習者!   ※關於首爾大學韓國語教材：   總...more
",https://www.books.com.tw/products/0010852291?loc=P_0003_012
13,首爾大學韓國語5A(附QRCode線上音檔),首爾大學語言教育院,2020-03-05,"
韓國人、外國留學生唯一指定，韓國第一學府「首爾大學」! 台灣韓語學習教材首選! 全彩頁面、生活化內容、實用性教學，聽說讀寫一次搞定， 最適合韓語高級學習者!   ※關於首爾大學韓國語教材：   總共分成...more
",https://www.books.com.tw/products/0010849333?loc=P_0003_013
14,給初學者的第一堂韓語課【QR碼行動學習版】：基本發音、語法拆解、生活會話、基礎文法，全拆解學習最輕鬆!(附中韓對照QR碼線上音檔),石田美智代,2020-02-26,"
《給初學者的第一堂韓語課》暢銷改版 專為初學者編寫的基礎教材 發音教學+句子結構拆解+文法整理+QR碼上線音檔 只要拆開來學，讓你的韓語基礎一路順暢!   ◆《給初學者的第一堂韓語課》，帶你一覽韓語世界...more
",https://www.books.com.tw/products/0010850135?loc=P_0003_014
15,活用韓文擬聲‧擬態語：生動你的韓語表達 (附QRcode音檔),韓國語教育研究所,2020-02-05,"
台灣第一本!韓文擬聲語、擬態語專用學習書   透過40種生活中常見的描寫情境，搭配淺顯易懂的敘述和例句   用最直覺的方法，學會最生動的韓語表達詞彙!    ‧什麼是擬聲語、擬態語?   擬聲語、擬態語顧名思...more
",https://www.books.com.tw/products/0010847155?loc=P_0003_015
16,安妞!圖解韓語文法輕鬆學!(25K+MP3),金龍範,2020-01-31,"
獻給剛學韓文不久的您!   學完40音後，最重要的就是文法!   選對文法啟蒙教材是關鍵!    本書為您精挑細選，   初學者必學韓語文法!   利用調換語順，中文馬上變韓文，   再搭配生動有趣情境插圖，   不用...more
",https://www.books.com.tw/products/0010847876?loc=P_0003_016
17,安妞!看圖表第一次學韓語就上手：一秒愛上韓語第一課(25K+MP3),金龍範,2020-01-06,"
韓語只是看起來難!   其實它跟中文，有很深的淵源關係，   只要翻開第一課，   您會偷笑，   原來自己已經偷跑了100步，   有很多，不用學的!    本書，   由專業老師帶領，   就算零基礎也一定學得會!   ...more
",https://www.books.com.tw/products/0010846009?loc=P_0003_017
18,1天10分鐘，從零基礎變身韓語通!,趙叡珍,2020-01-01,"
★1天學1頁，1頁10分鐘，輕鬆簡單通過TOPIK I(韓檢一級)!   ★韓文發音好重要，掃描書中QR CODE，從40音開始正確學習!   ★收錄發音、詞彙、文法、句型、對話、文化、複習等多元內容!   想聽懂歐巴、努那說什...more
",https://www.books.com.tw/products/0010843703?loc=P_0003_018
19,安妞!一口氣學會韓語40音(25K+MP3),金龍範,2019-12-02,"
韓語有太多詞語跟發音跟中文相似， 我們不用學就會啦! 學韓語跟學日語一樣， 我們幾乎偷跑了100步， 不學就浪費啦!   愛看韓劇、追星，喜歡韓國文化，想學韓文，   但韓文看起來好像很難!   一直遲遲沒有...more
",https://www.books.com.tw/products/0010841869?loc=P_0003_019
20,哥教的是韓語語感(MP3線上免費下載),王稚鈞,2019-12-01,"
最SWAG的韓語學習書 例句超有哏，看書像看劇，各種語體一次學，TOPIK 3級輕鬆過!   全書約100則文法、2000個單字，程度達TOPIK 3級，但這些都不是賣點!   全台最熱門的線上語言學習平台──Jella! 金牌韓語...more
",https://www.books.com.tw/products/0010840863?loc=P_0003_020
21,韓國人為什麼偏要坐地板?!：看短文搞懂50種韓國文化，打造韓語閱讀力(附音檔QRCode),魯水晶,2019-11-06,"
邊讀韓國生活文化，邊累積韓語實力!   放著客廳好好的沙發不坐，偏要坐在地板上?   為啥早上出門會看到好多女生頭髮是濕的?   韓國屋頂一定都是綠色的?還不能換成其他顏色?!   看了好多韓劇、學了好久的韓...more
",https://www.books.com.tw/products/0010837525?loc=P_0003_021
22,有趣的韓語課(隨書附韓籍名師親錄標準韓語朗讀音檔QR Code),金家絃,2019-09-23,"
一本最用心為韓語學習者打造的基礎教材， 一本內容最講究、練習題最紮實、最有趣的韓語入門書! 讓《有趣的韓語課》成為您學習韓語的最佳夥伴吧!   ★內容豐富紮實，最適合韓語第二外語的教材!   在台灣擁有...more
",https://www.books.com.tw/products/0010833831?loc=P_0003_022
23,恩英老師 韓文(一)：韓語40音、基礎會話和語法規則,鄭恩英,2019-09-05,"
文藻大學專任韓文老師無私完整教材 給臺灣學生最地道韓語基礎課。 銜接《首爾大學韓國語》教材課程 本書特色：   一、以學校學期課程規畫：一學期輕鬆完成韓語基礎入門課程。   二、聽說讀寫，課本、習作...more
",https://www.books.com.tw/products/0010831196?loc=P_0003_023
