,書名,作者,出版日期,內容介紹,網址
1,狼與辛香料 (22) Spring Log V 特裝版,支倉凍砂,2020-12-17,"
【特裝版特典收錄】   ●本集小說   ●台灣版獨家限定：   ‧布掛畫(尺寸：W50cm × L30cm)   ‧特製懷錶(尺寸：直徑4.8cm，鍊長約38cm)   前旅行商人羅倫斯與賢狼赫蘿，將溫泉旅館交給瑟莉姆幾個照料後，再度...more
",https://www.books.com.tw/products/0010872645?loc=P_0003_001
2,涼宮春日的直覺,谷川流,2020-11-25,"
■各篇內容簡介    〈無厘數〉※原收錄於《いとうのいぢ畫集 春日百花》   SOS團全體出動作新年參拜。春日、長門和朝比奈學姊換上向鶴屋學姊借來的和服，令人嘆為觀止。路上古泉喃喃唸出的數字，究竟有何含...more
",https://www.books.com.tw/products/0010874619?loc=P_0003_002
3,幼女戰記 (11) Alea iacta est 特裝版,カルロ・ゼン,2020-11-11,"
【特裝版特典收錄】 ●本集小說 ●台灣版獨家限定： ‧特製隨身瓶(容量：約500ml) ★人氣網路小說經由大幅改稿後實體化登場! ★書名雖有幼女二字，內容卻是不折不扣的硬派軍武科幻戰記作品。特別推薦給喜愛軍武...more
",https://www.books.com.tw/products/0010867025?loc=P_0003_003
4,問題兒童的最終考驗 (7) 怒吼吧英傑，甦醒吧神之雷霆!(特裝版),竜ノ湖太郎,2020-11-11,"
【特裝版特典收錄】 ●本集小說 ●雙月桌曆(尺寸：L10 × W16 × D5cm) 一共收錄13張精典絕美插圖喔! ★考據眾多傳奇故事撰寫的故事! ★亞特蘭提斯大陸篇完結!【劇情介紹】   大陸異變尚未停歇☆   太陽主權初戰...more
",https://www.books.com.tw/products/0010870135?loc=P_0003_004
5,小狐狸們開飯囉!稻荷神的員工餐：こぎつね、わらわら 稲荷神のまかない飯,松幸果步,2020-11-09,"
傷心料理人+萌萌小狐狸+花美男狐仙   的超療癒美食物語暖心登場!   Amazon書店★★★★☆美味推薦!   日本讀者大呼：「真是太療癒了!」「毛茸茸小狐狸真是可愛到讓人受不了!」   擔任廚師的秀尚因為工作不順而...more
",https://www.books.com.tw/products/0010874856?loc=P_0003_005
6,異世界轉生…才怪!(2),碳酸,2020-11-02,"
備受期待的新成員，竟然是法力強大的美少女妖精?! 「愚者大軍」和「鐵人偶」來襲，幸助能不能化險為夷?   劇情超展開+戰鬥超熱血+北海道知名場景巡禮!   改編漫畫火熱連載中!Amazon讀者★★★★痛快推薦!   高...more
",https://www.books.com.tw/products/0010874433?loc=P_0003_006
7,帶著外掛轉生為公會櫃台小姐 6,夏にコタツ,2020-10-26,"
伊莉亞飛行在大海上，同時替龍神的孩子‧哈古進行飛行訓練。他們要前往的是被白色沙灘及透明海水包圍的人魚島。兩人一到達島上，便受到人魚們熱烈的歡迎。伊莉亞在這裡與以前曾經一起旅行的好友‧賽蓮重逢。...more
",https://www.books.com.tw/products/0010872724?loc=P_0003_007
8,眾神眷顧的男人 4,Roy,2020-10-26,"
初次踏上單人之旅， 旅途充滿新的邂逅與發現!   轉生少年‧龍馬與照顧他的公爵家眾人道別後，在受命管理的廢棄礦坑內再次展開獨居生活。   利用史萊姆開展的洗衣店事業遇到了各式各樣的難題，儘管如此，龍...more
",https://www.books.com.tw/products/0010872727?loc=P_0003_008
9,邊境的老騎士 (4) 巴爾特.羅恩與不死將軍,支援BIS ,2020-10-26,"
指揮由帕魯薩姆、葛立奧拉及蓋涅利亞三國所派出的部隊，   前往剿滅蜂擁而至的魔獸群──   老騎士巴爾特.羅恩心愛的弟子居爾南繼承了帕魯薩姆王位，   並對他下達了此一命令。   對把一生都奉獻在擊退魔獸...more
",https://www.books.com.tw/products/0010868770?loc=P_0003_009
10,鬼滅之刃 風之道標 全,"吾峠呼世晴,矢島綾",2020-10-23,"
(全一冊)少年時代的實彌結識了使用風之呼吸的夈野匡近，因而加入了鬼殺隊。以「柱」為目標互相砥礪修練的兩人，有一天被指派了某項任務……包含風柱˙不死川實彌的誕生祕辛在內，共收錄五篇故事!...more
",https://www.books.com.tw/products/0010871760?loc=P_0003_010
11,世界頂尖的暗殺者轉生為異世界貴族 (2),月夜涙,2020-10-22,"
盧各靠著今生習得的暗殺絕技擊退了挾超凡魔力逼戰的男子。   之後他接獲消息，應要殺害的目標「勇者」據稱終於降臨人世。   盧各得知在王國魔法英才群聚的王立騎士學園將見到勇者，   便與蒂雅、塔兒朵一...more
",https://www.books.com.tw/products/0010868764?loc=P_0003_011
12,99級冒險者的領地經營初體驗 1,藤崎,2020-10-22,"
轉移到異世界「湛藍世界」的高中生──天草勇人成為大魔術師，和同伴一起拯救了世界。女性聖堂騎士瓦爾托露蒂因拯救世界的功績被封爵，並且獲賜領地，勇人為了她展開領地經營的工作。面對變成廢墟的城市、繳...more
",https://www.books.com.tw/products/0010872726?loc=P_0003_012
13,平凡職業造就世界最強 11 (壓克力吊飾限定版),白米良,2020-10-22,"
成功攻略了【冰雪洞窟】之後，始終於得到了所有的神代魔法。但是，一行人還來不及為了能回到日本而高興，緊接而來的便是魔王派來的壓倒性戰力。始等人受邀前往魔王城，得知班上的同學們與繆都成了人質，他...more
",https://www.books.com.tw/products/0010872732?loc=P_0003_013
14,自稱賢者弟子的賢者(09),りゅうせんひろつぐ,2020-10-19,"
「汝在想啥，笨娜莉亞!」    米菈擊敗了宿敵「奇美拉克勞森」，卻發現他們不過是天使、惡魔與惡鬼之間騷動的冰山一角。君臨奇美拉克勞森的鬼姬是由公爵級惡魔產生的可能性也在這時浮現。米菈將搜查交給神...more
",https://www.books.com.tw/products/0010873495?loc=P_0003_014
15,最強廢渣皇子暗中活躍於帝位之爭 佯裝無能的SS級皇子背地支配王位繼承戰 (1),タンバ,2020-10-19,"
無能萎靡的皇子艾諾特聲望低落。   他生活浪蕩，還被帝國上下看扁成「優點都被傑出的雙胞胎弟弟吸收殆盡的『廢渣皇子』」。   然而，面臨皇子間的帝位之爭越趨激烈的危機，艾諾特終於決心拿出真本事。   ...more
",https://www.books.com.tw/products/0010868754?loc=P_0003_015
16,魔法科高中的劣等生 (29) 追蹤篇,佐島勤,2020-10-19,"
二〇九七年七月。   達也追捕潛伏在富士樹海的光宣，他思索著如何破解在樹海布設的結界「蹟兵八陣」。   另一方面，USNA軍非法魔法師暗殺者小隊「illegal MAP」出動暗殺達也。   他們的魔掌也伸向達也的朋...more
",https://www.books.com.tw/products/0010868798?loc=P_0003_016
17,靠著魔法藥水在異世界活下去! 4,ＦＵＮＡ,2020-10-19,"
獲得生產藥水這種外掛能力的香，轉生到了異世界。   每到一個地方便大肆使用外掛藥水的她，會引人注目也是世間常理。   香在尤思拉王國引發了奇蹟之後，(擅自認為)與她因緣匪淺的布蘭克特王國第一王子‧斐...more
",https://www.books.com.tw/products/0010872219?loc=P_0003_017
18,為所欲為的前勇者再度轉生，開始強大而愉快的第二輪遊戲 5,新木伸,2020-10-19,"
接下來的舞台是……暗黑大陸!!   恣意遨遊於汪洋大海的我們，這次抵達的地方是「暗黑大陸」。棲息在這塊大陸上頭的魔物，全是一些強度逆天的變態存在!光是野兔就有能力直接秒殺亞蕾妲!連藥草都會主動襲擊人...more
",https://www.books.com.tw/products/0010872728?loc=P_0003_018
19,在地下城尋求邂逅是否搞錯了什麼(15),大森 藤ノ（Fujibo Omori）,2020-10-19,"
跨越深層的決死之行，貝爾等人平安歸返地表。每個人達成的冒險成果正是「成長」的證明。他們與她們在為了長足進步而喜悅的同時，開始回顧至今走過的道路。    少年回到起始之日。   女神瞇眼望著映照回憶...more
",https://www.books.com.tw/products/0010873481?loc=P_0003_019
20,在地下城尋求邂逅是否搞錯了什麼(15)限定版,大森 藤ノ（Fujibo Omori）,2020-10-19,"
跨越深層的決死之行，貝爾等人平安歸返地表。每個人達成的冒險成果正是「成長」的證明。他們與她們在為了長足進步而喜悅的同時，開始回顧至今走過的道路。    少年回到起始之日。   女神瞇眼望著映照回憶...more
",https://www.books.com.tw/products/0010873483?loc=P_0003_020
21,在地下城尋求邂逅是否搞錯了什麼 眷族編年史 episode芙蕾雅,大森藤ノ（Fujibo Omori）,2020-10-19,"
這是由諸神眷族所交織而成的歷史片段──   「我的伴侶在哪呢?」   美神芙蕾雅的老毛病又發作了!    她毫不理會因此大傷腦筋的眷屬們，為了「尋找命運」獨自離開迷宮都市踏上旅程。率性而為的女神就此抵達──...more
",https://www.books.com.tw/products/0010873485?loc=P_0003_021
22,在地下城尋求邂逅是否搞錯了什麼 眷族編年史 episode芙蕾雅(限定版),大森藤ノ（Fujibo Omori）,2020-10-19,"
這是由諸神眷族所交織而成的歷史片段──   「我的伴侶在哪呢?」   美神芙蕾雅的老毛病又發作了!    她毫不理會因此大傷腦筋的眷屬們，為了「尋找命運」獨自離開迷宮都市踏上旅程。率性而為的女神就此抵達──...more
",https://www.books.com.tw/products/0010873487?loc=P_0003_022
23,自稱賢者弟子的賢者(09)特別版,りゅうせんひろつぐ,2020-10-19,"
「汝在想啥，笨娜莉亞!」    米菈擊敗了宿敵「奇美拉克勞森」，卻發現他們不過是天使、惡魔與惡鬼之間騷動的冰山一角。君臨奇美拉克勞森的鬼姬是由公爵級惡魔產生的可能性也在這時浮現。米菈將搜查交給神...more
",https://www.books.com.tw/products/0010873500?loc=P_0003_023
24,魔女之旅(09),白石定規,2020-10-19,"
「老師，我們絕對要達成這個委託。」    某個地方有一名魔女，她的名字叫伊蕾娜。   她正難得與師父芙蘭享受著優閒的旅行。    這次她將會遇見住在神祕餐廳裡的士官長與書記官、兩名勤於探訪歷史的女學生...more
",https://www.books.com.tw/products/0010873504?loc=P_0003_024
25,鬼滅之刃 風之道標 全 (首刷限定版),"吾峠呼世晴,矢島綾",2020-10-16,"
(全一冊)少年時代的實彌結識了使用風之呼吸的夈野匡近，因而加入了鬼殺隊。以「柱」為目標互相砥礪修練的兩人，有一天被指派了某項任務……包含風柱˙不死川實彌的誕生祕辛在內，共收錄五篇故事!...more
",https://www.books.com.tw/products/0010871761?loc=P_0003_025
26,神域的弒神者們 2.諸神黃昏之狼,丈月城,2020-10-15,"
新的弒神者「侯爵」登場──!!   蓮與梨於奈從神域‧特洛伊歸來後，享受了短暫的假期。結社總帥為了進一步增強結社的力量，向梨於奈提出與蓮「策略婚姻」的建議，令她心生動搖。此時，在兩人面前出現了自稱「...more
",https://www.books.com.tw/products/0010872217?loc=P_0003_026
27,擁有超弱技能「不起眼」的公會職員，其實是傳說中的暗殺者 1,ケンノジ,2020-10-15,"
被譽為傳說的最強暗殺者‧羅藍，獨自暗殺了人稱歷代最凶惡的魔王。實力甚至比勇者更高強的他，在戰役結束後所希望得到的獎賞，竟然是「過普通的生活」!?   為此，羅藍開始去冒險者公會上班。但是，由於他以...more
",https://www.books.com.tw/products/0010872220?loc=P_0003_027
28,持續狩獵史萊姆三百年，不知不覺就練到LV MAX(08),森田季節,2020-10-15,"
「居然狩獵可愛的史萊姆，這個世界究竟有多麼殺氣騰騰啊!?」   ──結果完全不是這樣，而是非常溫馨的作品。   《關於我轉生變成史萊姆這檔事》的伏瀨老師，窩心推薦♥    ACGER、C_Chat - 批踢踢實業坊、巴...more
",https://www.books.com.tw/products/0010872786?loc=P_0003_028
29,惡魔高校DXD (DX.5) 超級英雄的考驗,石踏一榮,2020-10-14,"
「跟我走吧，兵藤一誠。」「赤龍帝，幫個忙吧!」   兵藤一誠忙到翻過去了!   我變成惡魔之後的這一年來評價急速攀升，胸部龍也是大受歡迎。   不過，萊薩和曹操想找新夥伴，亞瑟一行人想參觀駒王學園等， ...more
",https://www.books.com.tw/products/0010868772?loc=P_0003_029
30,爆肝工程師的異世界狂想曲 (16),愛七ひろ,2020-10-14,"
佐藤一行人阻止了飛空艇攻擊事件，在驚滔駭浪之中抵達王都。   他們在王都與達成目標的娜娜姊妹重逢，接著開始觀光!   另外越後屋商會也展開新事業，   一行人與之前熟識的貴族們享受派對，品味王都生活。...more
",https://www.books.com.tw/products/0010868792?loc=P_0003_030
31,莫名成為邪龍的五千歲草食龍 2~這眷屬沒救了，得想想辦法~,榎本快晴,2020-10-12,"
邪龍(暫定)瑞梵帝亞與牠的眷屬・瑞湖在離開渠道城鎮・瑟蓮恩後，再度踏上討伐魔王的旅途。不過，他們所造訪的小國・亞斯嘉卻發生了『國王遭邪龍襲擊』的案件!?   對此事毫無印象的瑞梵帝亞一行人在逃亡時...more
",https://www.books.com.tw/products/0010871766?loc=P_0003_031
32,超強技能『召喚廚房』!1~在異世界做料理集點數~,しっぽタヌキ,2020-10-12,"
平凡的上班族小井椎奈在前往超市的途中，誤打誤撞地被捲入聖女召喚而來到了異世界!受到冷落的椎奈被趕至王宮的角落，但她其實擁有超強技能『召喚廚房』，能夠用料理集點，讓廚房升級。她立刻用點數換了各...more
",https://www.books.com.tw/products/0010871764?loc=P_0003_032
33,小書痴的下剋上：為了成為圖書管理員不擇手段!【第四部】貴族院的自稱圖書委員V,香月美夜,2020-10-12,"
動畫第三期製作決定!   羅潔梅茵即將升上貴族院二年級!   領地內的派系紛爭也越演越烈……   隨書附贈：「境界線上的婚禮和染布比賽」雙面拉頁海報!   特別收錄：番外篇〈在城堡的留守〉、〈人生的岔路〉、...more
",https://www.books.com.tw/products/0010872437?loc=P_0003_033
34,小書痴的下剋上FANBOOK(2)：為了成為圖書管理員不擇手段!,香月美夜,2020-10-12,"
小書痴們絕對要收藏! 精采設定資料和超豐富番外篇一本全收錄!  動畫第三期製作決定! 小說全系列(含電子書)熱賣突破300萬冊!    注目焦點   ★第三部Ⅱ~第四部Ⅰ角色設定資料集，包括登場要角初始草稿與最終定...more
",https://www.books.com.tw/products/0010872450?loc=P_0003_034
35,小書痴的下剋上FANBOOK：為了成為圖書管理員不擇手段!,香月美夜,2020-10-12,"
小書痴們敲碗期待的官方公式集終於推出啦!  動畫第三期製作決定! 小說全系列(含電子書)熱賣突破300萬冊!    華麗集結   第一部Ⅰ~第三部Ⅰ各集封面、海報彩圖和草圖全收錄!   第一部Ⅰ~第三部Ⅰ角色設定資料集...more
",https://www.books.com.tw/products/0010872453?loc=P_0003_035
36,密斯瑪路卡不興國物語~夏洛特出任務~ 全,林トモアキ,2020-10-08,"
(全一冊)密斯瑪路卡不興國物語~夏洛特出任務~   軍令本部長執務室──這間辦公室的主人‧帝國第一公主夏洛特傳喚馬希洛，一手拿著帝報這麼告訴他：「這是帝都的危機!」「……」「事情就是這樣，出發吧!」在夏洛...more
",https://www.books.com.tw/products/0010871767?loc=P_0003_036
37,從Lv2開始開外掛的前勇者候補過著悠哉異世界生活 3,鬼ノ城ミヤ,2020-10-08,"
費里歐開始經營心心念念的費里絲雜貨店。為了拯救和魔王軍對峙，而陷入危急狀況的庫萊洛德軍，費里絲雜貨店送了女王委託的物資過去。儘管這是件艱難的差事，費里歐他們仍一派輕鬆地完成委託，讓費里絲雜貨...more
",https://www.books.com.tw/products/0010871768?loc=P_0003_037
