,書名,作者,出版日期,內容介紹,網址
1,不起眼女主角培育法 Memorial 02(特裝版),丸戶史明,2020-12-10,"
【特裝版商品內容】 ●本集小說(特別設計書衣) ●台灣版獨家限定： ‧加藤惠 壓克力票卡夾(附壓克力吊飾) ※尺寸：W7 × L11 cm   ★超人氣青春塗鴉——不褪色的回憶集錦第2集!   ★描繪出眾人潛藏魅力的短篇集第二...more
",https://www.books.com.tw/products/0010869960?loc=P_0003_001
2,青春豬頭少年不會夢到迷惘女歌手 青春豬頭少年系列(10)(特裝版),鴨志田一,2020-10-21,"
【特裝版商品內容】   台灣版獨家限定：   (1)本集小說(特別設計書衣)   (2)麻衣學姊雙面抱枕套   (※尺寸：W40 × L40 cm)    忘不了的高中生活也宣告結束，咲太等人升上大學，   過著嶄新又平穩的生活，進...more
",https://www.books.com.tw/products/0010867185?loc=P_0003_002
3,青春豬頭少年不會夢到迷惘女歌手 青春豬頭少年系列(10),鴨志田一,2020-10-21,"
忘不了的高中生活也宣告結束，咲太等人升上大學，   過著嶄新又平穩的生活，進入初秋的某一天──   「剛才那個人真的是卯月嗎?」   偶像團體「甜蜜子彈」的隊長卯月感覺怪怪的，總是少根筋的她居然會看周遭...more
",https://www.books.com.tw/products/0010868781?loc=P_0003_003
4,中選為壞人大小姐的話，就優雅地演出吧!(01),柚子れもん,2020-10-19,"
國家級最大計畫「推動王子戀情隊伍」    這次的任務，就是要演出連撰寫羅曼史的作者都相形見絀的愛情戲碼，成就王子與女主角的戀情。   為此，被選為關鍵角「壞人大小姐」的，是國內首屈一指的千金(但卻有...more
",https://www.books.com.tw/products/0010873491?loc=P_0003_004
5,告白預演系列 (7) 心的主張,"HoneyWorks,香坂茉里",2020-10-08,"
幹勁十足地想著升上國中後要好好融入自己的班級，並交到朋友的高見澤亞里紗。   然而，她無法順利和女生們打成一片，   能聊上幾句的對象，大概也只有坐在後方的榎本虎太朗而已。   她對同樣在班上找不到...more
",https://www.books.com.tw/products/0010868773?loc=P_0003_005
6,御徒町輝夜姬騎士團,浅原 ナオト,2020-10-08,"
耍帥的14歲國中生，與來自月球的少女，   為了少女的明天，少年們自中二歲月畢業──    國三春天，浩人意外結識一名神祕少女。自稱「月亮公主」的她說，不久便要返回月亮。察覺少女另有隱情的浩人，於是和...more
",https://www.books.com.tw/products/0010868811?loc=P_0003_006
7,告白預演系列 (8) 壞心眼的相遇,"HoneyWorks,香坂茉里 ",2020-10-08,"
柴健──柴崎健是就讀櫻丘高中的輕浮男。   主張「開心享受戀愛的人才是贏家」的他，以敷衍隨意的態度過每一天。   因為一時興起，他也試圖接近從國中時就在意著的高見澤亞里紗，   卻得到了一句「你在演戲...more
",https://www.books.com.tw/products/0010868776?loc=P_0003_007
8,冰川老師想交個宅宅男友 第一堂課,篠宮 夕,2020-10-07,"
「好想要可愛又溫柔的宅宅女友!」   我，霧島拓也，是個抱持著虛幻夢想的宅宅高中生。   在春假期間──邂逅了我的理想女友。   「那、那個，我還想再跟你多聊一會兒……」   我遇見了宅宅美少女──冰川真白!  ...more
",https://www.books.com.tw/products/0010868763?loc=P_0003_008
9,空氣少女~叮咚!純度100%的臭氧歡樂送! 全,八千子,2020-09-30,"
平流層的少女王者臭氧特別到府服務!   毀滅式的「歡樂送制裁」降臨?   在工廠當保全的紹福，每天的日常就是吹冷氣打手遊，   偶爾撿撿門口的寶特瓶當運動。   所以他從沒想過，自己的房間會被一名少女入侵...more
",https://www.books.com.tw/products/0010870890?loc=P_0003_009
10,只要長得可愛，即使是變態你也喜歡嗎? 10 (首刷限定版),花間燈,2020-09-28,"
在秋令營裡歷盡艱辛地抵擋了變態女孩們的層層攻勢後，敝人桐生慧輝目前接受彩乃前所未見的誠懇請求──幫忙她打學生會會長的選戰。由於對手候選人鬼塚惠提出「戀愛禁止令」這肯定不得人心的政見，彩乃陣營照...more
",https://www.books.com.tw/products/0010870887?loc=P_0003_010
11,我的女友是老師 3 (首刷限定版),鏡遊,2020-09-24,"
我要讓你明白，誰才是你的女友。   自從美女老師‧藤城真香向討厭教師的我‧彩木慎告白之後，我每天都被她找去進行有點色色的指導。在這樣的日子裡，真香老師『教育』我的場面，某天被副校長撞見了!?「彩木...more
",https://www.books.com.tw/products/0010870471?loc=P_0003_011
12,龍王的工作! 11,白鳥士郎,2020-09-21,"
「殺了我……」   銀子在獎勵會三段循環賽中慘遭三連敗。心靈崩潰的她，向八一如此懇求道。   「我帶妳去吧。去絕對會死的地方。」   就這樣，兩人逃離了將棋。同時，那也是一趟重新審視自己為何下將棋的旅...more
",https://www.books.com.tw/products/0010870238?loc=P_0003_012
13,29與JK 5~無法磨滅的景象~ 5,裕時悠示,2020-09-21,"
「You are fired.」   亞侃費爾CEO突然現身於會議室，同時也帶來了解雇宣言。槍羽和JK‧真織被偷拍的「淫行照片」，讓他陷入萬劫不復的困境。   另一方面，真織遲遲無法在升學學校中取得理想的成績，內心深...more
",https://www.books.com.tw/products/0010870239?loc=P_0003_013
14,雖然不確定你會不會喜歡我，但是我有自信愛上你(02),鈴木大輔,2020-09-17,"
美女學妹?更嚴苛的考驗?只要有愛就都沒關係!   擊退來襲的聯盟後，神谷誠一郎與綾瀨真建立了可以越過界線的關係。   「因為我們之間已經有了比肌膚之親更加深刻的關係!所以今後請讓我以正式夥伴的身分來協...more
",https://www.books.com.tw/products/0010870383?loc=P_0003_014
15,回答我吧!關於學長的100個問題 (1),兎谷 あおい,2020-09-14,"
──學長，「今日一問」。   除了「在同一站等車」外毫無共通點的學長和學妹，   每天早上都會見到彼此。   他們某天訂下約定：每天問對方1個問題，   無論什麼問題都要誠實回答。   「我想認識學長，而學長...more
",https://www.books.com.tw/products/0010868322?loc=P_0003_015
16,果然我的青春戀愛喜劇搞錯了(01-03) 特別紀念書衣套組,渡航,2020-09-10,"
★慶祝果青動畫第三季上映，特別推出1~3集的紀念書衣版套書。收錄ponkan8單行本未收錄插圖製作封面&紀念卡三張!   ★ 系列突破1000萬本，超人氣青春物語──史無前例三連霸!繼2014、2015，再度榮登「2016這本...more
",https://www.books.com.tw/products/0010869018?loc=P_0003_016
17,終將成為妳 關於佐伯沙彌香 (2),"仲谷 鳰,入間 人間",2020-09-07,"
因為國中時代慘痛的失戀，讓沙彌香下定決心不要再喜歡上別人了。   但是在高中入學典禮第一次見到七海燈子身影的瞬間，   卻無法自拔地受到燈子吸引。   兩人分到同一班級，也一同加入了學生會，   之後甚...more
",https://www.books.com.tw/products/0010868330?loc=P_0003_017
18,我的妹妹哪有這麼可愛! (13) 綾瀨if 上 特裝版,伏見つかさ,2020-08-20,"
【特裝版特典收錄】 ●本集小說 ●迷你屏風(尺寸：展開時L18cm × W25cm) 屏風上印有「伏見 つかさ」老師及「かんざきひろ」老師的複製簽名喔! ●立牌吊飾-新垣綾瀨(尺寸：L14cm × W5.7cm)   ★用詼諧逗趣的手...more
",https://www.books.com.tw/products/0010861435?loc=P_0003_018
19,繼母的拖油瓶是我的前女友(1) 過去的戀情不肯結束,紙城境介,2020-08-20,"
一對男女在某一所國中成為男女朋友，   耍一陣子甜蜜，為了一點小事互相誤會，   生氣煩躁變得多過怦然心動……後來趁著畢業的機會分手了。   然而即將升上高中的兩人──伊理戶水斗與綾井結女，   竟以意想不...more
",https://www.books.com.tw/products/0010862013?loc=P_0003_019
20,轉生成女性向遊戲只有毀滅END的壞人大小姐(06),山口悟,2020-08-20,"
我轉生成女性向遊戲中，只有壞結局的壞人大小姐卡塔莉娜。   順利從魔法學園畢業，完全避免了毀滅!   ──明明應該是這樣……    咦?遊戲竟然存在續篇!?而且在續篇中，竟然有比前作更悲慘的壞結局，等待著半途...more
",https://www.books.com.tw/products/0010867698?loc=P_0003_020
21,公爵千金的本領 (7) 公爵夫人的本領,澪亞,2020-08-20,"
「既然身為『侯爵千金』，政治聯姻不是理所當然的義務嗎?」   父親卡傑爾對梅露莉絲下令，要捨棄刀劍和宰相家──阿爾梅利亞公爵家的嫡子相親。   她心想──她知道現在的自己，光靠拿起劍所能做到的極限在哪...more
",https://www.books.com.tw/products/0010862045?loc=P_0003_021
22,我的妹妹哪有這麼可愛! (13) 綾瀨if 上,伏見つかさ,2020-08-20,"
高中三年級的六月。綾瀨來找我商量事情。   「大哥，我有關於桐乃的事情想找你商量!」   綾瀨是妹妹的好友，非常討厭我……而這種情況應該也不會改變才對。   但是在諮詢的過程當中──   「我一直用惡劣的態...more
",https://www.books.com.tw/products/0010862059?loc=P_0003_022
23,理組的她，勾引人的技巧實在笨拙得可愛,長田信織,2020-08-17,"
「我一定會讓你對我神魂顛倒。」    儘管透過甄選進入，身為有錢人子弟就讀的貴族學校「私立瑛銘學院」首席的久遠寺梓，與出身數學天才名家的大小姐彌勒院由槻，參加了以學院特權為賭注的「戀愛遊戲」(總...more
",https://www.books.com.tw/products/0010867406?loc=P_0003_023
24,完美美少女般的天才正太與溺愛自己的漂亮姊姊共同創作震驚業界遊戲同時聽到製作遊戲的恐怖故事!,竹井10日,2020-08-17,"
本故事是以雖然被漂亮又溺愛自己的兩位姊姊從早到晚毫無間斷地寵溺，卻沒有變成沒路用的人，反而作出驚人遊戲震驚全世界的天才正太為主角的工作小說!──跟兩位在藝文方面天賦異稟的姊姊--美咲和咲良在南紀...more
",https://www.books.com.tw/products/0010867408?loc=P_0003_024
25,史上最強獸人的快樂播種後宮生活(01),月夜涙,2020-08-13,"
經過轉生的奧爾柯是女騎士與獸人生下的兒子。他遺傳較多來自母親的基因，因此在獸人的村莊裡備受欺凌。直到奧爾柯在邂逅精靈美少女，體內的無敵血脈總算覺醒。既然生為獸人之子，自當每天享受與可愛女孩肌...more
",https://www.books.com.tw/products/0010867118?loc=P_0003_025
26,弱角友崎同學(07),屋久悠樹,2020-08-06,"
★巴哈勇者A級推薦!   ★連續三年入選《這本輕小說最厲害》Top 10!   ★2020年動畫化確定製作中!   ★小學館GAGAGA文庫，繼《果青》後最受矚目話題作!日本AMAZON讀者高評價4.8星!   ★《動物朋友 歡迎來到傑帕...more
",https://www.books.com.tw/products/0010865690?loc=P_0003_026
27,請把我當成妹妹，給我超越女友的愛。 1 (首刷附錄版),滝沢慧,2020-08-03,"
我──真島圭太，居然得到了夢寐以求的電玩公司提供的高中生工讀機會!天降的奇蹟讓我樂不可支，工作內容則是……為了打造出最完美的妹妹角色，要我成為「出租哥哥」!?   而且，和我簽約的妹妹是學年第一的美少...more
",https://www.books.com.tw/products/0010865318?loc=P_0003_027
28,轉生成女性向遊戲只有毀滅END的壞人大小姐(05),山口悟,2020-08-03,"
我轉生成女性向遊戲的壞人大小姐卡塔莉娜。雖然已經躲過毀滅END，結果最大的毀滅END吉奧多王子卻依然是我的未婚夫。即使我已經再三向他重申過「我隨時都可以退讓!」……    本集收錄情敵登場篇，出現以吉奧...more
",https://www.books.com.tw/products/0010865857?loc=P_0003_028
29,情色漫畫老師 (12) 山田小妖精逆轉勝利之章,伏見つかさ,2020-07-30,"
征宗與紗霧成為了男女朋友。   在他們兩人面前，妖精現身發表宣言。   「如果本小姐在這時候獲勝的話，妳不覺得超有趣的嗎?」   就這樣，妖精施展了各式各樣的「祕策」。   讓紗霧變得更加可愛，提升兄妹...more
",https://www.books.com.tw/products/0010860979?loc=P_0003_029
30,約會大作戰DATE A LIVE 安可短篇集 (9),橘公司,2020-07-30,"
士道外出時，精靈們恰巧在五河家撞見了他的父母?   「我們也差不多該為將來做打算，買一間我倆的愛巢了。」漫畫家二亞計畫買房?   「搞什麼鬼啊?為什麼所有工作條件都要求溝通能力?」不想上學的七罪找起了...more
",https://www.books.com.tw/products/0010860991?loc=P_0003_030
31,不正經的魔術講師與追想日誌 6,羊太郎,2020-07-27,"
葛倫和西絲蒂娜約會，老爸跑來湊熱鬧!   ──『父親大人的凝望』。   大天使魯米亞終於開始耍叛逆!?   ──『無名的逆轉魯米亞』。   為了揭穿裝病的葛倫，三名少女向阿爾佛聶亞家宅邸發動突擊!   ──『裝病看...more
",https://www.books.com.tw/products/0010864128?loc=P_0003_031
