,書名,作者,出版日期,內容介紹,網址
1,魔悟：驅魔少女,龍雲,2020-09-30,"
使用「極限生命之道」時，意識彷彿進入一條通道中，   而身體只剩下一種能力——戰鬥，   直到將一切毀滅……    然而這個招式並不像鍾馗派本家的功夫，反倒像是魔悟後，才能學會的招式，   為何沒有入魔的呂...more
",https://www.books.com.tw/products/0010871254?loc=P_0003_001
2,遊戲結束之前02–支配禁止–,草子信,2020-09-30,"
生存守則②： 敵人和朋友，只有一線之隔。   ◆ 高智商玩家╳偏執系犯罪者   ◆ 金石堂、博客來暢銷作者草子信懸疑力作第二彈!   ◆ 特邀新銳繪師日々繪製精美封面   ◆ 殺戮、生存、信任、背叛，歡迎一起加入這...more
",https://www.books.com.tw/products/0010871546?loc=P_0003_002
3,民國異聞錄(限),尼羅,2020-09-11,"
民國軍閥割據四方，身穿一件破僧袍的窮酸妖僧九嶷，   帶著一條化成人形都不太利索的四腳蛇，到處裝神弄鬼行騙四方。   然而，夜路走多了，總是會陰溝裡翻了船。...more
",https://www.books.com.tw/products/0010869668?loc=P_0003_003
4,烏鴉送禍 幽聲夜語4,醉琉璃,2020-09-09,"
看到我的人，都會染上不幸。   當我點起蠟燭，就是死亡倒數——    這座村子，流傳著白大人的異聞——無月之夜乃他出現之時，不可外出；   這座村子，也流傳著黑女士的故事——烏鴉啼鳴之刻，她為人獻上死亡倒數...more
",https://www.books.com.tw/products/0010869244?loc=P_0003_004
5,青雨之絆【特裝版】,微混吃等死,2020-08-05,"
特裝版內含： 1.《青雨之絆》1本 2. [特裝獨享]〈森林氣息〉半身壓克力立牌(9*9cm) 3. [特裝獨享] 獨家設計靜電貼紙2款(20*14cm) 4. [特裝限定] 精緻唯美雨天收藏盒(21*15*3.8cm) 5. [首刷贈品]......more
",https://www.books.com.tw/products/0010865591?loc=P_0003_005
6,青雨之絆,微混吃等死,2020-08-05,"
曾經迷失的旋律再次響起，   也許，我們都在等待一場雨的相遇--    ★暖心作者微混吃等死全新微憂短篇!   ★攜手超人氣繪師手刀葉，繼《迷途之羊》再次帶來動人心弦的青春物語。   ★青澀的夏日末尾，男孩女...more
",https://www.books.com.tw/products/0010865872?loc=P_0003_006
7,你敢不敢一起來?：路邊攤詭誌錄,路邊攤,2020-08-01,"
看不見的，往往更駭人； 救贖，卻總藏在恐怖的另一端…… 23個身歷其境、出人意表、驚呼連連的怪奇物語， 路邊攤驚悚故事的原點，最有創意的精采短篇傑作!   ◆ 網路靈異界長青樹!PTT Marvel版熱門爆文版主路...more
",https://www.books.com.tw/products/0010864590?loc=P_0003_007
8,你敢不敢一起來?：路邊攤詭誌錄【限量作者親簽版】,路邊攤,2020-08-01,"
看不見的，往往更駭人； 救贖，卻總藏在恐怖的另一端…… 23個身歷其境、出人意表、驚呼連連的怪奇物語， 路邊攤驚悚故事的原點，最有創意的精采短篇傑作!   ◆ 網路靈異界長青樹!PTT Marvel版熱門爆文版主路...more
",https://www.books.com.tw/products/0010864681?loc=P_0003_008
9,迷途之羊 套書1-5 (含完結篇)+After Story，全套共六冊,微混吃等死,2020-07-15,"
▓ 迷途之羊 套書1-5(含完結篇)+After Story，全套共六冊，含：   迷途之羊01   迷途之羊02   迷途之羊03   迷途之羊04   迷途之羊05 (完結篇)   迷途之羊After Story   ★銷量破萬!上市即......more
",https://www.books.com.tw/products/0010863851?loc=P_0003_009
10,遺跡訪詭錄,路邊攤,2020-07-01,"
建築跟人一樣，都是有感受有故事的， 那些詭秘的生靈也是……   ◆ 網路靈異界長青樹!PTT Marvel版熱門爆文版主路邊攤全新長篇創作!   ◆ 橫跨真實與想像，立基於歷史與真實建物的老屋奇談!讓你不得不——對.號....more
",https://www.books.com.tw/products/0010861700?loc=P_0003_010
