,書名,作者,出版日期,內容介紹,網址
1,中正醫路：從醫師到總裁,蕭中正,2020-10-27,"
一位畢生堅守從醫崗位、視病猶親的婦產科醫師， 從年少到耆老的奮鬥歷程。 一部從戰後民生凋敝到經濟起飛， 見證台灣醫療史發展，一路改革轉型的自傳故事。    本書以自傳方式，描述蕭中正總裁在「醫路」...more
",https://www.books.com.tw/products/0010873261?loc=P_0003_001
2,癮，駛往地獄的列車，該如何跳下?：沈迷於毒品、菸癮、酒癮、工作或是古典音樂唱片，某種程度的強迫症、焦慮、執意，都可能是成癮,嘉柏‧麥特,2020-10-22,"
心理學必讀教科書 「癮」，是罪?是病?還是一種傷痕?  獲頒加拿大最高榮譽平民勳章的嘉柏‧麥特GABOR MATÉ對成癮感性而科學的診斷    ▶ 《波特蘭旅館》的人們   一個成癮者之所以造成，以及他所面臨的困境，...more
",https://www.books.com.tw/products/0010867707?loc=P_0003_002
3,未來醫療：再生醫療發展與趨勢,林世嘉,2020-10-20,"
本書彙集財團法人台灣醫界聯盟基金會自2014年推動建置我國再生醫療發展以來的成果，介紹再生醫療先進地區如美國、日本與歐盟各地的再生醫療發展現況、相關法治規範、學研策略與產業發展趨勢等。並盤點我國...more
",https://www.books.com.tw/products/0010874800?loc=P_0003_003
4,未知生，焉知死：敘事醫學閱讀反思與寫作,,2020-10-13,"
衷心期盼此一系列醫學人文叢書之疾病敘事與生命故事 能引領讀者面對其生命所必經之困境、兩難與無可奈何。 若能將此無奈幻化成彩虹，進而體悟生命的律動，感動生命的精彩， 那麼，也不枉此生了吧! 而，這...more
",https://www.books.com.tw/products/0010872848?loc=P_0003_004
5,變形記：一部醫學與人體變化的文化史,蓋文・法蘭西斯,2020-10-07,"
人類活著便是無休止的變形。 身為人，我們隨時都在變化，不論是內在或外在，肉身或心神。 歷經成長和復原、適應和老化—―在受孕到死亡之間，我們體現了改變。   「改變」是人類萬年來適應環境的求生本能，...more
",https://www.books.com.tw/products/0010871841?loc=P_0003_005
6,身心靈整體的自然醫學,虞和芳,2020-10-06,"
本書所談，只不過是以一種探索的方式，來看人類利用自然，在生老病死中，跟疾病奮鬥的發現經驗貢獻。在龐大的宇宙中，利用自然，累積經驗，對疾病的認識了解，探討發現的片片斷斷，在生命中，預防，治療疾...more
",https://www.books.com.tw/products/0010872570?loc=P_0003_006
7,競合力點亮醫療：北醫醫療體系的變革之路,"劉惠敏,陳培思,陳麗婷,黃筱珮",2020-09-30,"
獨樹一幟的劣勢成功學 驅動變革的競合法則   競合力，是北醫醫療體系變革成功的關鍵成功要素。   北醫醫療體系囊括多種營運模式，從大學附設醫院到OT、BOT、院中院、改造託管……，如何競爭?如何合作?   北...more
",https://www.books.com.tw/products/0010871277?loc=P_0003_007
8,滾動式創新轉型：北醫大如何卓越成長,"李宛澍,林惠君",2020-09-30,"
✧生於蒿萊，何以成就經典?   ✧歷經兩次教育部解散董事會，   如何創新轉型，成為世界級一流大學?    在台灣高教體系面臨諸多挑戰與眾多問題待解之際，北醫大的經驗有哪些值得參考、效法?   在沒有公部門或...more
",https://www.books.com.tw/products/0010871280?loc=P_0003_008
9,中國衛生健康制度變遷,徐程,2020-09-25,"
健康是人類的基本需要，也是人類實現發展的重要目標之一。人類能夠透過增加人力資本來促進國民經濟增長。近年來，中國衛生健康制度發生了巨大的變化。醫藥衛生技術日益更新，公共衛生服務越來越豐富，但各...more
",https://www.books.com.tw/products/0010872063?loc=P_0003_009
10,法醫奇案實錄(第二增訂版),吳月華,2020-09-22,"
◎香港開埠至今，死亡人數最多和死亡率最高的一次疫症，你知道是哪一次嗎?   ◎當年轟動全港的「灶底藏屍」案，專家以火漆封棺並蓋印。首次運用這特別的殮葬方法，原因何在?   ◎本港審訊時間最長、受害人最...more
",https://www.books.com.tw/products/0010872107?loc=P_0003_010
11,緊急召喚,救護車上的柯南．道爾,2020-09-22,"
救護員的工作跟偵探非常相似，只不過我們查的不是離奇案子，而是透過問症從病人獲取資訊，配合基本檢查，從而對病情作推理。   所謂救護，究竟類屬醫科，還是護理?   救護是醫療界內相對新興的行業。由於...more
",https://www.books.com.tw/products/0010872072?loc=P_0003_011
12,不在場證人：法醫精神科醫生工作手記,何美怡,2020-09-21,"
潛入犯人思想 拆解犯罪動機   4宗刑事案件 X 4宗民事訴訟 多角度呈現法醫精神科醫生日常工作    法醫精神科醫生的工作範圍，遠遠超出我們的想像!     為了立體重現法醫精神科醫生的工作日常，本書將分為兩...more
",https://www.books.com.tw/products/0010872235?loc=P_0003_012
13,國士無雙：伍連德,王哲,2020-09-15,"
本書是醫學家、公共衛生學家、中國檢疫與防疫事業的先驅、中華醫學會首任會長，1935年諾貝爾生理學或醫學獎候選人伍連德的生平傳記。書中極為詳盡地講述了「鼠疫鬥士」伍連德1911年東北抗擊鼠疫的過程，涉...more
",https://www.books.com.tw/products/0010869022?loc=P_0003_013
14,人智學醫療系統,IVAA(國際人智醫學聯盟),2020-09-01,"
人智醫學，並不艱澀也不遙遠，本書淺顯易懂、深入淺出，清晰地為讀者揭示人智醫學的梗概脈絡。書中內容為人智學醫師、患者、藥師等團體，以及瑞士歌德館醫學部門共同策劃，由IVAA(國際人智醫學聯盟)正式授...more
",https://www.books.com.tw/products/0010868995?loc=P_0003_014
15,百年大疫：COVID-19疫情全紀錄,中央通訊社,2020-08-31,"
人類世界的巨大衝擊，社會文明的關鍵時刻!    2020年伊始，人類世界卒然受到不明病毒與肺炎病症的侵襲，首先是中國武漢驟然宣布封城，接著是亞洲各國紛紛傳出疫情，病毒遍及世界各地……封鎖與隔離成為日常...more
",https://www.books.com.tw/products/0010869044?loc=P_0003_015
16,麻醉之後：揭開醫學中最奧妙難解、無人能清醒述說的感官與認知祕密,凱特‧科爾－亞當斯,2020-08-06,"
下針、倒數，然後……你就醒了。 這本書談的就是中間發生的事。  ★馬克與伊維特筆尖文學獎(Mark and Yvette Nib Literary Award)獲獎作品★ ★《紐約客》、《華爾街日報》、《洛杉磯書評》、《書目》、《出版...more
",https://www.books.com.tw/products/0010864638?loc=P_0003_016
