,書名,作者,出版日期,內容介紹,網址
1,禮物：與失智共舞的3600個日子,潘秀霞,2020-09-09,"
智能的退化，如同一篇篇被橡皮擦擦過的日記，未擦乾淨的地方會留下模糊的痕跡，這些隱約可見的痕跡就是失智患者變了形的記憶。    失智症，是記憶和判斷力退化而引發各種症狀的腦部疾病總稱，根據統計，根...more
",https://www.books.com.tw/products/0010868544?loc=P_0003_001
2,頂!情緒病,呀將,2020-08-20,"
「如果要我形容『抑鬱症』嘅感覺，就好似一隻突如其來嘅大怪物，鍾意殺你一個措手不及!」   作者呀將把自身對抗抑鬱症的經歷繪畫成書，由懷疑自己患病到確診患上抑鬱症，由不願面對患病、抗拒服藥到病情逐...more
",https://www.books.com.tw/products/0010867266?loc=P_0003_002
3,腦癒力：最強大的大腦神經功能鍛鍊術,李政家,2020-07-31,"
重啟弱化老化的腦神經功能， 消除疾病與焦慮，增強記憶力、預防失智症   •脖子一碰到衣服標籤就靜不下來、坐不住，代表大腦發展出問題!   •手腳冰冷、整天昏昏沉沉、爬沒幾階樓梯就氣喘吁吁，是大腦缺氧缺...more
",https://www.books.com.tw/products/0010865365?loc=P_0003_003
4,爸媽真的失智了嗎?：臨床心理師從上萬名個案身上看見的45個診間故事,黃耀庭,2020-07-29,"
「家屬認為是失智症的情況，90%其實都不是失智。」 從心理角度下手，重新看懂長輩最讓人大嘆無力的脫序行為!   從事臨床工作近二十年，衡鑑過上萬名長者的臨床心理師，   從只看見「個案的脫序行為」，到...more
",https://www.books.com.tw/products/0010864874?loc=P_0003_004
5,全彩圖解 失智症保健事典 [修訂版],"井藤英喜（Ito Hideki）,粟田主一（Awata Shuichi）,邱銘章　醫師",2020-07-25,"
[失智症的預防、診治新知&照護正確知識] 理解、預防與治療失智症，適當照護減輕負擔。 失智症病友及家屬最易懂、最實用的照護指南! 【藥物、活化腦力、照護，是治療失智症的金三角!】  ※ 避免肥胖、血壓、...more
",https://www.books.com.tw/products/0010864320?loc=P_0003_005
6,疼痛大突破,周明峰,2020-06-01,"
本書完全根據個人對治療疼痛的認知心得和臨床經驗而寫，並介紹筆者首創的精準療法。   筆者耗費時日四十年，一點一滴累積知識與經驗，終於開創出以輕按候住及輕拉候住手法專治筋肉傷的精準療法(Touch-and-...more
",https://www.books.com.tw/products/0010858232?loc=P_0003_006
7,真正的快樂處方：瑞典國民書!腦科學實證的健康生活提案,安德斯・韓森,2020-05-01,"
★熱銷50萬本以上，風靡瑞典的超級暢銷書!   ★世界級研究者的傾力之作，全球 16國搶購版權!   ★與《真確》作者漢斯.羅斯林齊名的瑞典重量級作家!   ★洛桑加參、許瑞云、謝伯讓──快樂推薦!   本書以振奮人心...more
",https://www.books.com.tw/products/0010855828?loc=P_0003_007
8,失智症患者職能治療指引,"大塚俊男,植田孝一郎,鈴木明子",2019-12-05,"
◎運用職能治療照護失智症患者，改善及提升患者與家屬們的生活品質   本書內容除了簡述失智症及職能治療理論，更介紹多項不同面向的職能活動及執行方法。藉由應用在日常生活中的職能活動，幫助患者執行有意...more
",https://www.books.com.tw/products/0010841212?loc=P_0003_008
9,跟記憶拔河：走過阿滋海默症迷宮的孤寂之旅,黛安娜．佛萊兒．麥高文,2019-10-21,"
★ 聖安東尼奧快報(San Antonio News Express)強力推薦! ★ 前台北榮民總醫院一般神經內科科主任——劉秀枝 強力推薦! ★ 辛辛那提詢問報(Cincinnati Enquirer)好評推薦! ★ 時人雜誌(Peopl......more
",https://www.books.com.tw/products/0010836330?loc=P_0003_009
10,天賦妙手：神經外科醫師班.卡森的傳奇故事,"塞西爾．墨菲,班．卡森",2019-10-21,"
★ 芭芭拉.華特絲(Barbara Walters)，美國ABC電視台名主播強力推薦! ★ 美國亞馬遜 5 顆星好評!   本書是成功家庭教育的典範，班.卡森博士從貧民窟的落後環境中成長為耶魯大學的高才生，再成為世界上最有名...more
",https://www.books.com.tw/products/0010836331?loc=P_0003_010
