,書名,作者,出版日期,內容介紹,網址
1,1天5分鐘的歪脊椎矯正術,栗原隆,2020-10-27,"
飽受肩頸僵硬、腰痛所苦的人，   不妨試試運動醫師推薦，自己就能做的整體術!   一天5分鐘、一週見效，只要「爬」就能矯正歪斜脊椎!    後腰痠痛、虛冷、失眠、喘不過氣、小腹便便……   日常小小的困擾，都...more
",https://www.books.com.tw/products/0010873929?loc=P_0003_001
2,艾揚格瑜伽修習寶典：大師親授體式精要，360°全方位步驟解析，幫助練習者持續走向身心整合的健康之路,艾揚格,2020-10-15,"
跟隨一代大師艾揚格學習瑜伽，必將改變你的一生! 艾揚格瑜伽是全球最紮實的瑜伽系統，能促進身體、心理與情緒的整體健康。 本書提供Step by Step的360°體式圖解與步驟說明，由艾揚格大師親身提點動作精要...more
",https://www.books.com.tw/products/0010872816?loc=P_0003_002
3,一天只要1次!胸椎運動救悶痛,黃雅玲,2020-10-14,"
(原書：神奇的肋骨運動救胸椎 封面修訂版)  胸口硬叩叩、天天失眠、永遠手腳冰冷、 消化不良、心跳加速， 悶到感覺日子很難過，情緒永遠在低谷， 這一切正是你的身體正在求救~ 胸椎角度不良!    學會胸椎...more
",https://www.books.com.tw/products/0010872264?loc=P_0003_003
4,Energy全方位運動教本：善用多功能運動巾與機能脊椎枕，每天5分鐘，強化核心不怕肌少，鬆筋修復，告別痠痛!,Energy（胡孝新）,2020-10-14,"
有多久的時間，忽略自己的身體了?   是不是讓疼痛慢慢成為常態而失去知覺、無感了呢?    關節是由肌肉與軟組織來連結，肌肉透過伸展可以變得更柔軟、透過訓練可以變得更強壯。現在就開始讓身體找回柔軟、...more
",https://www.books.com.tw/products/0010872172?loc=P_0003_004
5,1分鐘姿勢改善：遠離疼痛、疲勞、疾病、老化的「姿勢矯正操」!,岩井光龍,2020-09-30,"
~回歸自然姿勢，重塑健美體態!~ 日本AMS療法第一人，指導你如何發揮自體自癒力 每天1分鐘，躺著也能輕鬆做!    從小到大，父母長輩總是對我們耳提面命姿勢的重要性──   「站有站相、坐有坐相」、「抬頭挺...more
",https://www.books.com.tw/products/0010872245?loc=P_0003_005
6,10秒立即見效!最強穴位伸展操：觸摸交叉點進行伸展，就能啟動深層肌肉開關，使伸展效果倍增,柴 雅仁,2020-09-28,"
僵硬緊繃的表層肌肉與平常未活用的深層肌肉， 只要刺激「交叉點」，便能在10秒鐘完成調節，恢復平衡， 讓每個人都能找回如兒童般活動自如的身體!   人體的肌肉可大致分為「表層肌肉」與「深層肌肉」，兩者...more
",https://www.books.com.tw/products/0010870824?loc=P_0003_006
7,瑜伽解剖著色學習手冊(附12色彩色鉛筆)：學習人體組織的醫學知識，用色鉛筆畫出正確的瑜伽動作,凱蒂．林奇,2020-09-28,"
全台最新.解構人體著色學習書──讓我們現在開始做紙上瑜伽!   這是一本非做不可的瑜伽書，也是一本人體解剖醫學畫冊!   所要準備的不是瑜伽墊、手術刀，而是一盒色鉛筆；   透過著色，我們可以認識人體的全...more
",https://www.books.com.tw/products/0010870928?loc=P_0003_007
8,不勉強的瑜伽練習：不夠柔軟也OK!,近藤真由美,2020-09-16,"
1個體式×3種姿勢變化，自主決定強度(3種姿勢選1)， 身體僵硬、肌耐力不足也能放心舒適做瑜伽。   ◎推薦給已有瑜伽練習經驗/還沒開始瑜伽體驗的所有人◎   開始瑜伽練習前，你一定要知道──   ※柔軟度不是必...more
",https://www.books.com.tw/products/0010870310?loc=P_0003_008
9,解痠止痛，筋膜伸展解剖書：全體幹32項拉筋全伸展，有效鬆筋解鬱，啟動體內自癒機能,中田雄大,2020-08-26,"
日本亞馬遜10大暢銷書(健康類)! 人體解剖學、拉筋伸展權威專家， Step-by-step影片示範，隨時隨地照著做 頸、肩、手、腿、腰、臀、臉 肌群解剖圖解X 32項全體幹伸展 每次1分鐘!不同強度放鬆全身肌筋膜 排...more
",https://www.books.com.tw/products/0010867641?loc=P_0003_009
10,魔法瑜伽：日本No.1瑜伽YouTuber教你10分鐘重整自律神經,B-life,2020-08-26,"
想瘦得健康漂亮、想充滿精神的過每一天、想讓身心徹底放鬆舒暢!   一次解決這些煩惱的20個瑜伽動作跟生活習慣   90萬人追蹤的日本頂尖瑜伽YouTuber「B-life」   教你如何讓自己變得更健康、美麗、自信，生...more
",https://www.books.com.tw/products/0010867866?loc=P_0003_010
