,書名,作者,出版日期,內容介紹,網址
1,人工智慧開發實務：使用Swift,"Jon Manning,Marina Rose,Paris Buttfield-Addison,Tim Nugent",2020-06-11,"
從基礎理論到開發人工智慧驅動的App   『從長遠來看，絕大多數人工智慧將不會只在資料中心使用，而是在資料真正的所在處—數十億個真實世界的設備上。由於其速度和表現力的結合，Swift已經成為實現這一轉變...more
",https://www.books.com.tw/products/0010860651?loc=P_0003_001
2,iOS 13 App程式開發實務心法：30個製作專業級iOS App完全實戰攻略,Simon Ng,2020-03-11,"
掌握廣受歡迎的教學內容的精髓   逐步實作出具有精美UI及實用功能、支援雲端資料傳輸的「Food Pin」App    作者公開多年來的iOS開發經驗，並集結廣受歡迎的iOS教學文章，以Swift 5.1與Xcode 11重新編寫，...more
",https://www.books.com.tw/products/0010851322?loc=P_0003_002
3,輕鬆學會iPhone APP實作開發：精心設計17個Lab讓你輕鬆上手,"張力元,黃士嘉",2020-01-13,"
使用Xcode11 × Swift5 × iOS13開發   「BlueNet交通大平台」APP開發技巧大公開 × 逐步掌握範例的實作精髓   作者以自己開發的「BlueNet交通大平台」APP作為本書範例，解析此APP所使用的開發技巧。「......more
",https://www.books.com.tw/products/0010844920?loc=P_0003_003
4,圖解蘋果核心開發技術-Objective-C 物件導向程式設計極效攻略,傅志輝,2019-07-25,"
蘋果作業系統核心語言   高效/高安全/極靈活   通用/進階/物件導向   Objective-C語言，以其高效性和安全性的特點在蘋果作業系統中經久不衰。   本書由淺入深，全面性、系統性介紹Objective-C開發技術，從...more
",https://www.books.com.tw/products/0010829620?loc=P_0003_004
5,iOS 12 App程式開發實務心法：30個製作專業級iOS App完全實戰攻略,Simon Ng,2019-01-02,"
使用最新Xcode 10 × iOS 12 × Swift 4.2開發 知名iOS教學部落格AppCoda作家親授實作關鍵技巧讓你不NG   介紹iOS 12的新技術 × Step by Step實戰操作解說 × 做出具有設計感且支援雲端運......more
",https://www.books.com.tw/products/0010809041?loc=P_0003_005
6,iOS 11 App程式設計實戰心法：30個開發專業級iOS App的必學主題與實務講座,Simon Ng,2018-01-27,"
使用最新Xcode 9 × iOS 11 × Swift 4開發   介紹iOS 11的新技術 × Step by Step實戰操作解說 × 做出具有設計感且支援雲端運用、地圖、3D Touch與使用者通知等功能的App × 支援最新的iP......more
",https://www.books.com.tw/products/0010774865?loc=P_0003_006
7,iOS App開發實務,蔡明志,2017-12-05,"
讓您成為iOS App設計開發達人的必備基礎書 運用高親和力界面和強大軟體架構開發iOS App   本書共分二部份：   第一部份是iOS App相關元件的實作，主要在探討建立iOS App時會用到的相關UI，以詳細的步驟並...more
",https://www.books.com.tw/products/0010772143?loc=P_0003_007
8,iOS開發大師：iPhone感應裝置全解析,關東升,2017-10-02,"
超過100個完整的案例專案原始程式碼 全部採用iOS API和操作介面   在iOS應用程式開發中有很多涉及硬體存取和感測器程式設計的知識，本書全面介紹蘋果iOS裝置主要的感測器應用程式開發。   全書共分為9章，...more
",https://www.books.com.tw/products/0010767074?loc=P_0003_008
9,UI設計藝術：翻轉iOS互動式介面,"趙大羽,關東升",2017-05-25,"
這是一本由互動應用程式設計的使用者體驗設計師與互動開發技術專家聯手撰寫，關於互動應用設計的書。   涵蓋互動應用的交互(ID)、使用者介面(UI)，和使用者體驗(UX)等諸多設計環節。   針對iOS 平台，以及...more
",https://www.books.com.tw/products/0010754318?loc=P_0003_009
10,Swift - AR擴增實境與感應器開發,關東升,2017-04-26,"
本書介紹蘋果iOS 裝置主要的感測器應用程式開發的相關知識，其中包含手勢識別、加速度計、陀螺儀、指南針、磁力計、照相機、攝影機、音訊裝置存取、定位和藍牙通訊等。 全書包含內容：   iOS 中的手勢識別...more
",https://www.books.com.tw/products/0010751335?loc=P_0003_010
11,iOS 10 App開發全面修鍊實戰(附教學影片/範例檔/增量電子書),柯博文,2017-04-12,"
[嚴選經典]美國矽谷創業家/全球數十家科技大廠與業界指定講師之iOS App開發入門鉅作!   本書是針對iOS有興趣的程式開發者而編寫，由入門到深入的設計實戰，將iOS程式語言以淺顯易懂的文字解說，並透過實際...more
",https://www.books.com.tw/products/0010749506?loc=P_0003_011
12,iOS 10 App程式設計實力超進化實戰攻略：知名iOS教學部落格AppCoda作家親授實作關鍵技巧讓你不NG,Simon Ng,2016-12-30,"
Step by Step實戰操作、詳細解說，逐步帶領你設計出一款支援雲端運用、地圖、3D Touch與使用者通知等功能，以及設計感一流的美食App   本書是作者集結廣受歡迎的iOS10教學文章，並收納全球數千名讀者的意...more
",https://www.books.com.tw/products/0010736555?loc=P_0003_012
13,iOS遊戲開發從零開始：Base on Cocos2d-x & cocos2d,李華明,2016-12-27,"
本書以C++ 與Objective-C 語言為工具，從iOS 遊戲程式設計最基礎的內容開始講解，讓讀者能一步一步循序漸進地進行學習並熟練遊戲程式設計要領。對於有C++ 與Objective-C 基礎的讀者，能夠更容易、更快速地...more
",https://www.books.com.tw/products/0010739444?loc=P_0003_013
