,書名,作者,出版日期,內容介紹,網址
1,快速學會AutoCAD 工業製圖,elearningDJ,2020-10-01,"
隨著資訊科技不斷的演進，近年來CAD系統的發展趨勢由單純的2D平面繪圖系統，轉向了3D模型的繪圖架構，CAD設計系統結合管理、工程、設計、建造、資訊更成為工程企業追求的目標。AutoCAD產品組合的設計目標...more
",https://www.books.com.tw/products/0010874632?loc=P_0003_001
2,快速學會AutoCAD 工業製圖,魏廣炯,2020-10-01,"
工業製圖主要係指工程圖(Engineering Graphics)的繪製，由於「圖」本身是沒有國界的差別的，特別是工程圖，所以有人說工程圖是一種世界語言(World Language)。也就是說在台灣所應用的工程圖，到了美國，到...more
",https://www.books.com.tw/products/0010874637?loc=P_0003_002
3,AutoCAD 2020 電腦輔助設計 最新版 附MOSME行動學習一點通,邱嘉佑,2020-08-31,"
1.本書係依工程製圖授課方式，讓讀者循序漸進學習，以熟悉指令應用技巧。   2.圖例均依據CNS工程製圖標準繪製，引導讀者繪製正確的圖面。   3.本書雖以AutoCAD 2020版本編寫，但樣板與範例圖檔及內容仍適...more
",https://www.books.com.tw/products/0010870014?loc=P_0003_003
4,AutoCAD武功祕笈,張丁尹,2020-06-01,"
深入AutoCAD的核心，深入淺出的圖解步驟式導引   AutoCAD無疑是佔有率最高的電腦輔助繪圖軟體，原因就在於通用性非常廣，無論你是建築、機械、電子、化工，甚至是美容、製衣，都有適用之處。再加上AutoCAD...more
",https://www.books.com.tw/products/0010864525?loc=P_0003_004
5,電腦輔助繪圖AutoCAD 2020(附範例光碟),"王雪娥,陳進煌",2020-05-29,"
對於各種繪圖指令與步驟皆詳盡介紹其功能與應用，指令的輸入與提示範例操作都以明瞭易懂的方式呈現，並將各指令彙整於每一張練習圖後，使讀者能將各指令的應用加以串連，書中並附有綜合練習供學習者自我挑...more
",https://www.books.com.tw/products/0010863325?loc=P_0003_005
6,AutoCAD 2D 解題技巧 武功祕笈,廖高德,2020-05-01,"
最佳無師自通的入門實務指南，   現在就全面領略AutoCAD的極緻表現!   十多年來繪圖、製圖、教學及寫書，在剛工作的前些年有段時間，甚至除了睡覺及吃飯外，所有的時間都是AutoCAD，在如此長的時間沉浸下...more
",https://www.books.com.tw/products/0010859690?loc=P_0003_006
7,AutoCAD 2020電腦繪圖與絕佳設計表現：室內設計基礎(附560分鐘基礎影音教學/範例檔),"劉庭佑,姚家琦,邱聰倚",2020-04-07,"
成就AutoCAD室內設計繪圖能力與職場技能的11個入門關鍵   觀念、圖解、實作與設計的絕佳表現，   開啟最佳繪圖模式，從基礎入門到整合應用!    從現在開始，更快的打好AutoCAD室內設計基礎!    ■直擊AutoC...more
",https://www.books.com.tw/products/0010853937?loc=P_0003_007
8,精通 AutoCAD 2020 建築設計,周曉龍,2020-03-01,"
本書內容主要介紹AutoCAD在建築與室內設計方面的應用。前面六章講解了AutoCAD基本的繪圖與編輯技巧，特別適合沒有基礎的入門者作為練習熱身。第七章與第八章精心挑選建築圖紙作為範例，全面詳盡的講述建築...more
",https://www.books.com.tw/products/0010853738?loc=P_0003_008
9,AutoCAD 建築製圖高手,陳世勳,2020-02-01,"
AutoCAD支援強大且靈活的2D與3D設計功能，可以建立任何想像得到的形狀，它可協助您以直覺的方式探索構想，提供各種創新功能，可提高設計與文件製作的效率，讓您以更安全、準確且流暢的方式，與工作團隊共...more
",https://www.books.com.tw/products/0010851700?loc=P_0003_009
10,Autodesk AutoCAD電腦繪圖與輔助設計(適用AutoCAD 2017~2020，含國際認證模擬試題),"姚家琦,邱聰倚",2020-01-09,"
附書光碟DVD*1   電腦輔助製圖必修/原廠認證考試必備   這是一本相當完整的AutoCAD入門書，適用AutoCAD 2017~2020軟體版本。內容涵蓋基本的介面與功能解說，以及進入電腦輔助製圖必備的選取、基本圖面繪製...more
",https://www.books.com.tw/products/0010845365?loc=P_0003_010
11,循序學習AutoCAD 2018(附範例、動態教學光碟),"康鳳梅,許榮添,詹世良",2019-12-27,"
本書以新版本「AutoCAD 2018」繪圖軟體做為教學平面，內文以簡單易懂的步驟式文字敘述配合詳細的操作指令，使初學者能在短時間內了解繪圖的操作。   AutoCAD強大平面圖形繪製功能，一般市售書籍著重指令介...more
",https://www.books.com.tw/products/0010848744?loc=P_0003_011
12,AutoCAD 2020 實戰演練：建築設計,陳世勳,2019-12-01,"
「輕鬆學習零負擔! 精準繪圖百分百!」   AutoCAD 2020支援強大且靈活的2D與3D設計功能，可以建立任何想像得到的形狀，它可協助您以直覺的方式探索構想，提供各種創新功能，可提高設計與文件製作的效率，讓...more
",https://www.books.com.tw/products/0010844646?loc=P_0003_012
13,精通 AutoCAD 2020 機械設計,周曉龍,2019-12-01,"
CAD，Computer Aided Design的縮寫，意為電腦輔助設計。隨著電腦技術與工業技術不斷地發展，電腦輔助設計(CAD)技術廣泛應用於機械、建築、電子、宇航、紡織、化工等行業的各個環節。對CAD技術的應用已成為...more
",https://www.books.com.tw/products/0010844648?loc=P_0003_013
14,AutoCAD機械製圖 高手,elearningDJ,2019-11-01,"
「範例引導教學，功能逐一詳解!」   AutoCAD產品組合的設計目標是提高熟練使用者的生產效率，也讓新的使用者更快地創造效益。AutoCAD創新擴展成為一個無可匹敵的產品組合，涉及各個行業的具體解決方案，例...more
",https://www.books.com.tw/products/0010841594?loc=P_0003_014
