,書名,作者,出版日期,內容介紹,網址
1,Painter 彩繪寶典,馬志玲,2020-07-01,"
技法與實務完美的結合與應用，激發您創意的發想與設計的實現。   Corel公司推出的Painter是目前世界上最強大的電腦美術繪畫軟體，它以其特有的Natural Media模擬天然繪畫技術，在電腦上將傳統的繪畫方法與...more
",https://www.books.com.tw/products/0010865414?loc=P_0003_001
2,CG角色人物製作寶典：從2D設計到3D展示的實務流程,陳維迪,2019-10-01,"
本書的定位與其說是CG應用軟體的工具書，不如說是重視觀念的實務工作參考書。   本書以作者在美國、日本多年的留學及工作經驗,彙整了海外CG人物角色製作的業界專業流程之作法。內容以近年CG產業背景為基礎...more
",https://www.books.com.tw/products/0010838256?loc=P_0003_002
3,職人繪師CG繪圖技術講座(Vol.2)講師：藤ちょこ,藤ちょこ,2019-04-18,"
繁中版內容強化更勝日版!連作者本人都驚嘆!「極彩的魔術師」藤ちょこ超詳細CG繪圖教學書!   ★ 日本超人氣繪師「極彩的魔術師」藤ちょこ超詳細CG教學書!   ★ 繁中版「強化編寫」教學內容，修正並新增了很多...more
",https://www.books.com.tw/products/0010820109?loc=P_0003_003
4,天工開畫：專業級電繪全技法超詳解,曹傑凱,2018-10-31,"
想畫出一手好圖、提升作畫質感與速度嗎?這裡面不說廢話呼攏你，而你...是認真的嗎?   電繪是一門很高深的學問，從開始繪畫到結束需要耗費許多時間，但每個人所繪畫出來的作品截然不同，每個人都有自己的獨...more
",https://www.books.com.tw/products/0010802745?loc=P_0003_004
5,超幻境魔性時空：極巔大師CG祕藏精典,火神CG工廠,2018-09-25,"
本書輯錄眾多CG藝術家作品，包括遊戲角色設計、場景設計、2D原畫、3D創作，以及插畫、模型等作品，展示他們多元風格和高超的CG繪畫技巧。   書中還對部分藝術家進行訪談，讓讀者可以更加深入瞭解這些CG藝...more
",https://www.books.com.tw/products/0010800436?loc=P_0003_005
6,東洋奇幻風景插畫技法：CLIP STUDIO PRO/EX繪製空氣感的背景&角色人物插畫,"Zounose,藤choco,角丸圓",2018-08-03,"
本書是以「東洋」為主題，為各位介紹奇幻風景插畫的描繪方法。   所謂「東洋」，其實包含了日本、韓國、中國、泰國、越南、印度、蒙古等各種不同風格的國家。自很久以前就有將這些國家的文化及母題物件作...more
",https://www.books.com.tw/products/0010794847?loc=P_0003_006
7,絕讚奇幻插畫繪製2：以CLIP STUDIO PAINT PRO表現空氣感的技法大公開,"ゾウノセ,角丸つぶら",2018-04-12,"
絕對深得您心的奇幻風景插畫技法書   具有空氣感的奇幻般風景插畫是任誰都想要一度嘗試描繪的人氣題材。   反面來說，也有風景插畫很困難的這種強烈印象，容易讓人敬而遠之。   但是，近幾年隨著繪圖軟體...more
",https://www.books.com.tw/products/0010783932?loc=P_0003_007
8,美式Q版人物設定集：使用Painter(附光碟),潘得禮,2017-10-02,"
作品一、這樣的老人惹不起   刻劃皮膚歲月皺紋光影、槍枝質感、肅殺氣氛、油畫堆疊技法   作品二、火爆浪子也KUSO   粗獷眉宇鬍渣汗毛描繪、油污襯衫、繃帶傷口之KUSO營造   作品三、銀髮魔鬼女主管   優...more
",https://www.books.com.tw/products/0010766985?loc=P_0003_008
9,Painter 十強武者的華麗幻繪奇想,"BO2,劉俊良,文成,東方月,柯光耀,梁月,蒙其,藝千,陳俊宏,黃俊傑",2017-08-24,"
十位在國內插畫界中各有所長的名師 獨佔鰲頭的主流工具軟體 以全新且有趣的方式盡情揮灑創意   Painter是在現今電腦插畫領域中，獨佔鰲頭的主流工具軟體，本書以最新版的Painter做為基礎，並請到十位在國...more
",https://www.books.com.tw/products/0010763828?loc=P_0003_009
10,風華絕代：典藏電繪大師經典畫冊,遊藝網編輯部,2017-07-27,"
集合全球優秀CG藝術家的高水準作品   除部分大師級人物以外，這其中也不乏新生代且才華橫溢的年輕藝術家們。   本書將以藝術家訪談和作品展示的方式，向讀者展示出他們最具創作魅力的作品。   收錄不同類...more
",https://www.books.com.tw/products/0010760910?loc=P_0003_010
