,書名,作者,出版日期,內容介紹,網址
1,InDesign 排版 高手,趙雅芝,2020-08-01,"
掌握圖文整合的各種排版設計技巧 將技法與實務作完美的結合與應用   Adobe公司推出的InDesign軟體在排版設計領域一直處於領先地位，該軟體提供精確的排版控制與內建創意工具，這些工具可以為印刷、線上或...more
",https://www.books.com.tw/products/0010868254?loc=P_0003_001
2,跟Adobe徹底研究InDesign CC,"Kelly Kordes Anton,Tina DeJarld",2020-04-30,"
以最快速、最容易、最全面的方式來學習Adobe InDesign CC   跟著本書步驟說明，建立完整印刷、頁面佈局和文件建立堅實的基礎與技能，製作多種印刷品和電子出版，不論是簡單的明信片到互動Adobe PDF皆可應...more
",https://www.books.com.tw/products/0010856775?loc=P_0003_002
3,InDesign CC 武功祕笈,趙雅芝,2020-04-01,"
數位排版設計創意不受限，   現在就全面領略InDesign的極緻表現!    新版的Adobe InDesign CC軟體服務將更加符合現代的雲端概念，除了作品設計之外，更可透過Behance社群網站進行創意分享!InDesign軟體在...more
",https://www.books.com.tw/products/0010856534?loc=P_0003_003
4,InDesign CC超強數位排版達人必備工作術：文書排版、書冊製作、互動電子書一本搞定(附光碟),數位新知,2019-07-25,"
→ InDesign是Adobe公司所開發的版面編排軟體，透過本書的詳實介紹，可以讓初學者建立正確的排版觀念，配合範例解說與步驟演練，可快速熟知InDesign的各項功能技巧。   → 帶領學習者最正確的設計完稿概念，...more
",https://www.books.com.tw/products/0010829505?loc=P_0003_004
5,PhotoShop、Illustrator、InDesign CC 視覺設計寶典,趙雅芝,2019-03-01,"
「快速掌握設計原則，創作完美設計作品」   Adobe 用於影像處理的Photoshop CC、向量繪圖的Illustrator CC、版面設計的InDesign CC結合了全新版本的操作工具，讓您在快速整合的直覺式設計環境中，製作從專...more
",https://www.books.com.tw/products/0010817671?loc=P_0003_005
6,InDesign CC 平面視覺設計寶典,趙雅芝,2019-02-01,"
一本完整介紹InDesign的工具書，在學會基礎操作的同時，也能舉一反三成為平面設計達人!   新版的Adobe InDesign CC軟體服務將更加符合現代的雲端概念，除了作品設計之外，更可透過Behance社群網站進行創意...more
",https://www.books.com.tw/products/0010815265?loc=P_0003_006
7,跟Adobe徹底研究InDesign CC(熱銷版)(附光碟),"John Cruise,Kelly Kordes Anton",2018-12-04,"
本書是Adobe所推出的官方教材，內容由Adobe產品研發的專家編寫而成，可幫助讀者以最快速、輕鬆的方式來學習Adobe InDesign，是最暢銷的自學訓練工具書。   《跟Adobe徹底研究 InDesign CC》共有15章節，從...more
",https://www.books.com.tw/products/0010807086?loc=P_0003_007
8,平面設計創意實務：PhotoShop 、Illustrator、InDesign,elearningDJ,2018-11-01,"
Adobe Creative Suite中用於版面設計的Adobe InDesign、專業影像編輯的Photoshop、建立向量圖形的Illustrator結合了全新版本的基本工具，讓您在快速整合的直覺式設計環境中，製作從專業版面設計到豐富......more
",https://www.books.com.tw/products/0010806317?loc=P_0003_008
9,精彩 InDesign CS6 排版視覺設計,趙雅芝,2018-10-01,"
作者以其從事影像創作多年的經驗來撰寫本書，將技法與實務作完美的結合與應用，激發您創意的發想與設計的實現。課程安排由淺入深，語言平實易懂，範例美觀實用，帶領初學者逐步進入InDesign CS6的魔法設計...more
",https://www.books.com.tw/products/0010803032?loc=P_0003_009
10,跟Adobe徹底研究InDesign CC(附光碟),"Kelly Kordes Anton,Tina DeJarld",2018-07-25,"
以最快速、最容易、最全面的方式來學習Adobe InDesign CC   本書是Adobe所推出的官方教材，內容由Adobe產品研發的專家編寫而成，可幫助讀者以最快速、輕鬆的方式來學習Adobe InDesign CC(2018版)，是最......more
",https://www.books.com.tw/products/0010794456?loc=P_0003_010
