,書名,作者,出版日期,內容介紹,網址
1,After Effects Expression全面解剖：由淺入深極速上手AE頂層技術,"白乃遠,趙國松,陳冠鵬,黃文興",2020-09-25,"
After Effects表達式(AE Expressions)是一段段使用Extendscript或Javascript等語言，操控AE圖層屬性(例如scale、position、rotation)的程式碼；當您在一個屬性上編寫表達式時，......more
",https://www.books.com.tw/products/0010871626?loc=P_0003_001
2,Premiere CC影音視訊武功秘笈,數位內容工作室,2020-08-01,"
輕鬆駕御Premiere，隨心所欲製作令人讚賞的影音作品!   快速、簡單的方式讓您全盤掌握Premiere功法。   Premiere軟體以其功能強大、操作簡單、易學易用等特點，很快贏得了業界的一致認可。它不但是專業影...more
",https://www.books.com.tw/products/0010868245?loc=P_0003_002
3,從入門到運用掌握After Effects CC動態圖像設計：剖析AE/MG動態圖像設計常用的製作案例,吳信成,2020-06-24,"
本書從快速基礎上手，強化AE的核心觀念與實務操作，如：MG動態圖像設計觀念與流程、操作介面與如何讓物體「動」起來的技巧，透過每個章節的案例，讓讀者快速入門動態圖像設計產業。    不管你是動畫家、設...more
",https://www.books.com.tw/products/0010870860?loc=P_0003_003
4,After Effects高級特效技術手冊：十大插件應用精粹,"白乃遠,陳冠鵬,黃文興",2020-02-25,"
實務好用-搭配具體案例、效果與範例完整演示。   學習實用-各外掛軟體皆提供其出處與效果說明。   技術耐用-所提列之外掛插件皆可安裝於AE。   本書以實際動畫師應用專案導向為主體，提供相對應的插件外掛...more
",https://www.books.com.tw/products/0010850365?loc=P_0003_004
5,跟Adobe徹底研究Premiere Pro CC,Maxim Jago,2019-12-31,"
以最快速、最容易、最全面的方式來學習Adobe Premiere Pro CC   學習在Adobe Premiere Pro CC中編輯影片，並讓你的工作流程發揮最大效益。管理媒材、把元素結合成連續不斷的序列、加入音樂和背景音訊、建...more
",https://www.books.com.tw/products/0010844900?loc=P_0003_005
6,PremiereProCC影音剪輯大師,張家盛,2019-12-25,"
本書內容包括對基本剪輯流程、Effects 視訊特效、Transitions 轉場特效、素材的調整動畫、電影去背效果、文字動畫製作、與Premiere的整合應用等實務應用與操作技巧的詳細講解。透過範例引導式教學，將概念...more
",https://www.books.com.tw/products/0010844903?loc=P_0003_006
7,跟Adobe徹底研究After Effects CC,"Brie Gyncild,Fridsma,Lisa",2019-11-29,"
以最快速、最容易、最全面的方式來學習Adobe After Effects CC   學習如何運用本軟體並為影片、視訊、DVD、網頁和行動裝置製作動態圖像並最佳化。你將會親手學習為文字與影像加上動態、自行設定各式各樣的...more
",https://www.books.com.tw/products/0010842010?loc=P_0003_007
8,AfterEffects CC電影特效大師,張家盛,2019-11-25,"
內容包括對基本動畫製作、關鍵影格動畫、動態路徑、Write-on 特效動畫、Mask 遮罩應用、Effects 特效應用、文字路徑特效、電影特效、精彩片頭製作等實務應用與操作技巧的詳細講解。透過範例引導式教學，將...more
",https://www.books.com.tw/products/0010842005?loc=P_0003_008
9,網路行銷、社群經營必會!Premiere Pro 影音剪輯實務,阿部信行,2019-06-18,"
自學 Premiere Pro 必備的參考、查閱寶典!   早期拍攝影片需要專業的攝影器材，隨著智慧型手機、數位相機的普及，人人都可以用手邊的設備來拍攝。雖然拍影片變簡單了，但可不是隨便上傳到社群網站就會有大...more
",https://www.books.com.tw/products/0010824867?loc=P_0003_009
10,精彩 AfterEffects CC 視訊影音特效製作,王國衛,2018-12-01,"
作者以其從事影像創作多年的經驗來撰寫本書，將技法與實務作完美的結合與應用，激發您創意的發想與設計的實現。課程安排由淺入深，語言平實易懂，範例美觀實用，帶領初學者逐步進入AfterEffects CC的魔法...more
",https://www.books.com.tw/products/0010809373?loc=P_0003_010
