,書名,作者,出版日期,內容介紹,網址
1,圖解量子電腦入門：8堂基礎課程+必懂關鍵詞解說，從計算原理到實務應用、通訊到演算，破解讓人類大躍進的科技新浪潮,"宇津木健,德永裕己（監修）",2020-11-07,"
――――科技新顯學，超越人工智慧大未來―――― 第一本全面圖解量子電腦本質的專書! 從古典電腦、超級電腦到量子電腦，從量子通訊、量子計算到量子霸權， 完整掌握改變世界的量子時代關鍵議題! 2016年，歐盟發表...more
",https://www.books.com.tw/products/0010874732?loc=P_0003_001
2,人工智能：看圖解成為AI高手,,2020-10-28,"
「什麼是人工智能?」 「AI是我們的夥伴還是對手呢?」 「人類應該培養什麼樣的能力才好呢?」   對於最近時常可以聽到的「人工智能」和「AI」感到好奇的忠太，和立刻把AI裝到自己腦裡的未來貓，本書將由他們...more
",https://www.books.com.tw/products/0010874222?loc=P_0003_002
3,趨勢未來 機器學習技術實戰：醫療大數據深度應用,洪松林,2020-10-26,"
從生活到工作、從理論到實踐，採用複雜問題簡單化的方法，對機器學習的概念、主要技術和典型應用加以介紹。   本書共8章，主要內容包括：   第1章-介紹機器學習應用的基礎內容，快速引領讀者進入機器學習...more
",https://www.books.com.tw/products/0010874641?loc=P_0003_003
4,TensorFlow 2.x人工智慧、機器學習超炫範例200+(附影音教學影片、範例程式),柯博文,2020-10-22,"
【嚴選經典】美國矽谷創業家/全球科技大廠與業界指定工研院顧問講師 親自錄製231支影音教學影片，如臨現場授課!   本書為作者柯博文老師繼《Python+TensorFlow人工智慧、機器學習、大數據|超炫專案與完全...more
",https://www.books.com.tw/products/0010873631?loc=P_0003_004
5,圖解AI：機器學習和深度學習的技術與原理,"山口達輝,松田洋之,株式会社アイデミー",2020-10-16,"
收錄豐富的圖示與詳盡的解說，即便完全零知識也能夠輕鬆學習。 機器學習與深度學習的原理與技術，單靠這一本 就能深入瞭解的教科書   「人工智慧」、「機器學習」、「深度學習」這些以前在科幻小說中才會...more
",https://www.books.com.tw/products/0010873183?loc=P_0003_005
6,Python機器學習第三版(下),"Sebastian Raschka,Vahid Mirjalili",2020-10-06,"
第三版-最新修訂版，新增TensorFlow 2、GAN和強化學習等實用內容 使用Python的scikit-learn和TensorFlow 2融會貫通機器學習與深度學習    循序漸進、由淺入深，好評熱銷再進化!最新修訂的《Python......more
",https://www.books.com.tw/products/0010871454?loc=P_0003_006
7,Python+TensorFlow 2.x人工智慧、機器學習、大數據|超炫專案與完全實戰,柯博文,2020-09-29,"
【嚴選經典】美國矽谷創業家/全球科技大廠與業界指定工研院顧問講師之Python TensorFlow人工智慧機器學習入門鉅作!    本書為作者柯博文老師在各大企業教授Python、機器學習、人工智慧的課程內容匯集而成...more
",https://www.books.com.tw/products/0010871522?loc=P_0003_007
8,人工智慧導論,"蘇志雄,謝邦昌",2020-09-28,"
本書命名為「人工智慧導論」，希望讓有意願學習人工智慧(AI)的人，認識AI的發展，AI的基本學習三元素：影像視覺、語音辨識與自然語言處理。本書共分六個單元：    1.人工智慧簡介：從1950年代開始三波人工...more
",https://www.books.com.tw/products/0010869972?loc=P_0003_008
9,AI語音辨識：用Kaldi實作應用全集,"張俊博,那興宇,都家宇,陳果果",2020-09-21,"
從Hey、Siri、OK Google開始，我們早已習慣用語音來控制設備，語音輸入法取代鍵盤，Google幫你朗讀文章，你一定很好奇這些語音系統是如何建造出來的。    本書以Kaldi為主，完整介紹Librispeech等資料處理...more
",https://www.books.com.tw/products/0010870146?loc=P_0003_009
10,用主題範例學運算思維與程式設計：使用mBot機器人與Scratch3.0(mBlock5)含AIoT應用專題(範例素材download),王麗君,2020-09-14,"
1.整合mBot機器人應用在人工智慧、物聯網、機器深度學習與智慧相機。   2.理解mBot機器人的百變功能，跳脫傳統機器人的思維框架。   3.應用Halocode遙控mBot機器人，創新實踐體驗硬體遙控功能。...more
",https://www.books.com.tw/products/0010871398?loc=P_0003_010
11,Python機器學習第三版(上),"Sebastian Raschka,Vahid Mirjalili",2020-09-14,"
第三版-最新修訂版，新增TensorFlow 2、GAN和強化學習等實用內容 使用Python的scikit-learn和TensorFlow 2融會貫通機器學習與深度學習   循序漸進、由淺入深，好評熱銷再進化!最新修訂的《Python機......more
",https://www.books.com.tw/products/0010869555?loc=P_0003_011
12,GAN 對抗式生成網路,"Jakub Langr,Vladimir Bok",2020-09-07,"
「GAN 是近年來機器學習領域中最有趣的點子!」這是臉書首席 AI 科學家、也是當今深度學習三巨頭之一的 Yann LeCun 對 GAN (對抗式生成網路) 技術下的註解。   GAN 從誕生至今已經創造了許多令人瞠目結舌的...more
",https://www.books.com.tw/products/0010868212?loc=P_0003_012
