,書名,作者,出版日期,內容介紹,網址
1,像程式設計師這樣思考：鍛鍊程式設計思維,V. Anton Spraul,2020-08-12,"
培養解決問題的創造力   程式設計真正的挑戰不在於學習程式的語法，而是學會怎麼有創意地解決問題，製作出一流的作品。   作者V. Anton Spraul在本書中針對程式設計師如何解決問題的方法做了詳實解說，也...more
",https://www.books.com.tw/products/0010866671?loc=P_0003_001
2,Visual C# 2019全面攻略：從程式新人到開發設計的快速學習,資訊種子研究室,2020-07-23,"
編寫本書的主要目的是為了讓初學者快速進入C#程式設計的殿堂，透過書中精挑細選的範例程式學習程式設計技巧，養成初學者具有紮實和獨立程式設計能力，訓練初學者使用C#開發視窗、多媒體、資料庫與ASP.NET ...more
",https://www.books.com.tw/products/0010864361?loc=P_0003_002
3,運算思維修習學堂：使用C語言的10堂入門程式課,吳燦銘,2020-06-30,"
學習寫程式已經是和語文、數學、藝術一樣的基礎能力，過程中將可培養解決問題、分析、歸納、創新、勇於嘗試錯誤等能力。本書以程式初學者的角度出發，規劃了結合運算思維與演算法基本觀念的內容，運用目前...more
",https://www.books.com.tw/products/0010861771?loc=P_0003_003
4,運算思維修習學堂：使用C++的8堂入門程式課,吳燦銘,2020-06-30,"
學習寫程式已經是和語文、數學、藝術一樣的基礎能力，過程中將可培養解決問題、分析、歸納、創新、勇於嘗試錯誤等能力。本書以程式初學者的角度出發，規劃了結合運算思維與演算法基本觀念的內容，運用目前...more
",https://www.books.com.tw/products/0010861872?loc=P_0003_004
5,零基礎C程式設計入門,數位新知有限公司,2020-04-27,"
C語言不但嚴謹簡潔，在設計上具有高階語言的結構化流程控制與模組化特性，更可以利用函數(function)與運算子(operator)來增加程式碼的可讀性，還具有功能強大的函式庫(library)，節省程式設計師重新撰寫程...more
",https://www.books.com.tw/products/0010856603?loc=P_0003_005
6,A Tour of C++ 中文版(第二版),Bjarne Stroustrup,2020-04-01,"
C++創造者Bjarne Stroustrup於本書中描繪了建構現代C++語言的要素。這本精簡又完整的指導手冊涵蓋了大部份的主要語言功能和標準程式庫元件──當然不會過於深入，但已足以提供程式設計師有關C++的概觀性介紹...more
",https://www.books.com.tw/products/0010853667?loc=P_0003_006
7,零基礎C++程式設計入門,數位新知有限公司,2020-02-25,"
程式語言種類相當多，每種語言都有其特性及優點，C++ 語言主要是改良C 語言而來，除了保有C 語言的重要優點外，並改進C 語言中容易造成撰寫錯誤的語法。   全書以入門者的角度去介紹，除了學習以C++ 語言...more
",https://www.books.com.tw/products/0010850338?loc=P_0003_007
8,詳細解析PIC 16F18857 / 77 原理與應用：使用組合語言與C語言,洪正瑞,2020-02-05,"
1.針對8位元單晶片市占率第一的Microchip公司之最新一代的產品 PIC16F18857/77單晶片之每一項功能，做詳盡之原理及用法的說明，並輔以程式範例，務使讀者能透徹了解單晶片中之每一項功能。    2.本書為學...more
",https://www.books.com.tw/products/0010849310?loc=P_0003_008
9,C++17 教學範本 第五版,"Ivor Horton,Peter Van Weert",2020-01-02,"
從新手晉身為C++專家   使用新的C++17學習如何撰寫程式。經由循序漸進的範例引導，你將從菜鳥蛻變成為專業的C++程式設計師。透過本書和最新C++17編譯器，可讓你在最短的時間內撰寫出真正的C++程式，即便原...more
",https://www.books.com.tw/products/0010844594?loc=P_0003_009
10,C Traps and Pitfalls中文版,Andrew Koenig,2019-12-13,"
C語言大師經典名作至今仍然歷久不衰 幫助你避開編寫C語言時各種意外陷阱 無論是新手老手高手都應該要案頭備存   作者以自己1985年在Bell實驗室時發表的一篇論文為基礎，結合自己的工作經驗，進而成為這本...more
",https://www.books.com.tw/products/0010841945?loc=P_0003_010
11,圖解資料結構：使用C語言(第四版),胡昭民,2019-11-30,"
對於第一次接觸資料結構課程的初學者來說，過多的內容及不清楚的表達常是造成學習障礙的最主要原因。本書是以C程式語言實作來解說資料結構概念的入門書，內容淺顯易懂，藉由豐富的圖例來闡述基本概念及應...more
",https://www.books.com.tw/products/0010840853?loc=P_0003_011
