,書名,作者,出版日期,內容介紹,網址
1,Visual Basic 程式設計 武功秘笈,松橋工作室,2020-10-01,"
範例淺顯易懂且具代表性和實用性， 現在就全面領略Visual Basic的極緻表現!    本書有別於一般市面書籍，是由大專院校教授程式語言課程十多年，具有教學經驗且是Visual Basic教科書暢銷作者，針對目前初學...more
",https://www.books.com.tw/products/0010874639?loc=P_0003_001
2,VisualBasic 程式設計 高手,"松橋3小組工作室,黃瑞祥",2020-08-01,"
Visual Basic Express-免費授權，卻又令人驚豔的新程式語言工具。   擁有更人性化的操作介面，更強的功能。但是，軟體擁有更精彩的Help寶庫，卻也是初學者更大的惡夢。因為，對初學者來說，真得不容易看懂...more
",https://www.books.com.tw/products/0010868250?loc=P_0003_002
3,無師自通的物件導向程式設計：結合生活與遊戲的 Visual Basic 語言,邏輯林,2020-06-25,"
★13種生活體驗+12種益智遊戲，結合日常的行動學習法 ☺初心者評價：「從沒想過學程式可以那麼歡樂!」    隨書附贈光碟：全書範例程式+習題程式完整收錄，再沒理由學不會。     「Visual Basic，那是什麼?」...more
",https://www.books.com.tw/products/0010863256?loc=P_0003_003
4,不需要Hadoop：用Excel+VB更高竿玩轉大數據(熱銷版),朱正和,2019-10-04,"
❑ 本書為一本實用性強大的VB書籍，書中所介紹關於篩選、進階篩選、排序、文字比對、VLOOKUP等VB程式寫法，常用於資料分群方法。   ❑ Excel VB程式所執行複雜且重複巨量的資料工作，必須使用陣列、迴圈與選...more
",https://www.books.com.tw/products/0010836273?loc=P_0003_004
5,Visual Basic 程式設計寶典,"松橋3小組工作室,黃瑞祥",2019-04-01,"
「零挫折!免基礎!學習成就最有感」   書中將以一個個由淺入深的實例，詳細說明 Visual Basic 的指令語法及控制項用途，使您在學習完本書內容後，即可自行設計程式解決自已所遭遇問題。敘述詳盡易懂，佐以...more
",https://www.books.com.tw/products/0010820385?loc=P_0003_005
6,用Visual Basic學程式設計運算思維(適用VB 2017/2015),李啟龍,2018-12-10,"
*秉持從做中學的寫作理念，提供生活化的程式範例，將精彩的程式範例與VB知識，做一妥善的結合，提供最完整的學習方案!   *詳盡地介紹Visual Basic程式設計的重要觀念與技巧，包括：VB的運算、判斷流程控制...more
",https://www.books.com.tw/products/0010807511?loc=P_0003_006
7,不需要Hadoop：用Excel+VB更高竿玩轉大數據,朱正和,2018-08-08,"
全書共分為9個章節，包含：   ❑第01章：Visual Basic (VB) 編輯環境   ❑第02章：VB程式設計概念   ❑第03章：VB常用的基本操作指令   ❑第04章：陣列、迴圈與選擇結構   ❑第05章：陣列、迴圈與選擇結構V......more
",https://www.books.com.tw/products/0010794715?loc=P_0003_007
8,Visual Basic 2017程式設計(適用2017/2015),陳惠貞,2018-06-29,"
本書使用Visual Basic和Visual Studio Community來開發Windows Forms與主控台應用程式，這個整合開發環境具有所視即所得、拖放式資料設計、IntelliSense、自動完成程式碼、設計階段編譯等功能，......more
",https://www.books.com.tw/products/0010790804?loc=P_0003_008
9,Visual Basic 教學範本,"松橋工作室,林義証",2018-06-01,"
本書特色   本書介紹國內教育界、業界普遍使用之Visual Basic程式語言。Basic語言一直是初學者入門程式設計的首選，在經歷電腦硬體架構改變、軟體設計觀念更新、網際網路興起等過程中，Basic語言也演進到...more
",https://www.books.com.tw/products/0010790882?loc=P_0003_009
10,Android App活學活用：使用VB (Basic4Android)(絕賣版)(附光碟),王安邦,2018-04-26,"
基礎到進階，Basic4Android功能全解析! 讓您掌握通往Android App開發程式的捷徑，現在用Visual Basic一樣可以輕鬆設計!   ‧是一本內容豐富的書 Basic4Android及Android 的相關主題都有介紹......more
",https://www.books.com.tw/products/0010786435?loc=P_0003_010
