,書名,作者,出版日期,內容介紹,網址
1,情境式雲端APP設計：商用雲端APP軟體設計師認證應考指南(使用App Inventor 2),"温志皓,許銘家,陳嘉瑩,陳桂芬",2020-11-02,"
★使用App Inventor 2開發工具，快速學習並建構起第一個交易平台APP。   ★透過「基礎元件」、「資料串接」與「訂餐情境」等主題的實作，完整傳達商用APP的規劃與設計知識。   ★ERP學會「商用雲瑞APP軟體設...more
",https://www.books.com.tw/products/0010874535?loc=P_0003_001
2,主題螺旋式教學AppInventor 2 中文版,李春雄,2020-08-31,"
適合想開發App專案使用者。App專案包含：「個人簡歷App、問卷調查App、動畫應用App、成績處理系統、隨機抽籤系統、雲端資料庫ThingSpeak」等主題。全書彩色印刷，易讀易學易懂!書附光碟：提供讀者各章專案...more
",https://www.books.com.tw/products/0010868454?loc=P_0003_002
3,原來跨平台開發可以這麼簡單：React Native全攻略(附範例光碟),"周冠瑜,姜琇森,楊鎧睿,蕭國倫,許瑋芩,黃子銘,黃煒凱",2020-07-01,"
本書帶領讀者從了解React Native概念、入門到進階技術應用，一路由淺入深學習，並在各章節中都搭配練習範例，以「做中學」的方式帶領讀者深入了解React Native，最後結合實務專題：旅遊推薦景點APP與跨境...more
",https://www.books.com.tw/products/0010863771?loc=P_0003_003
4,Kotlin權威2.0：Android專家養成術,"David Greenhalgh,Josh Skeen",2020-04-20,"
★ Amazon好評不斷!Kotlin入門與進階一書掌握!   ★ 助你贏得Google、Facebook、Microsoft等巨頭公司青睞的培訓講義 本書特色   ♦ 源自大名鼎鼎的 Big Nerd Ranch 訓練營培訓講義，該訓練營......more
",https://www.books.com.tw/products/0010855787?loc=P_0003_004
5,Android App程式設計寶典,孫惠民,2020-03-01,"
☆ 搭配主題式實作練習，以做中學方式驗證單元內容，加強學習效果。   ☆ 以圖文一步一步導引實作，讓讀者循序漸進學習Android Apps相關技術。    ◆ 市面最完整Android 程式範例用書   ◆ 本書全部範例都可在...more
",https://www.books.com.tw/products/0010853736?loc=P_0003_005
6,運算思維與App Inventor2程式設計：含GTC全民科技力認證Basic Computational Thinking and Visual Programming運算思維與圖形化程式入門 App Inventor2 (影音與範例download),簡良諭,2020-01-30,"
1.依據App Inventor 2特有的積木方塊式程式設計、網路雲端開發環境、完整配套元件、支援樂高方塊、搭配Google Play商店等5大特性，搭配主題程式設計應用學習。   2.本書共13章，內容簡單易懂，操作說明表...more
",https://www.books.com.tw/products/0010848618?loc=P_0003_006
7,Android App 程式設計 高手,趙曉楓,2020-01-01,"
近年來，行動裝置的盛行，帶動Android作業系統的蓬勃發展，Android作業系統隨著市占率節節攀升的同時，不論是業界的韌體工程師，軟體應用工程師或是學術界的教職，莫不投入極大的心力下去，本書的一大特色...more
",https://www.books.com.tw/products/0010849707?loc=P_0003_007
8,Android御用語言：用Kotlin豪華開發APP,向治洪,2019-11-19,"
全書內容共分為18章，由Kotlin入門與基礎、Kotlin語法和Kotlin專案實例三個部分組成。   ■第一部分 Kotlin 入門與基礎部分(第 1 ∼ 3 章)   主要包含Kotlin 語言簡介、Kotlin 開發環境架設、JVM......more
",https://www.books.com.tw/products/0010841131?loc=P_0003_008
9,Android初學特訓班(第九版)(附影音/範例/機器學習教學與Kotlin開發入門電子書),文淵閣工作室,2019-10-23,"
最新Android 10，全新Android Studio 3.5開發實戰 舊版熱銷累計近3萬冊，眾多教師與讀者選書第一指名， Android暢銷人氣經典!   【超值學習資源】   範例程式/近100分鐘關鍵影音教學/延伸練習   「機器......more
",https://www.books.com.tw/products/0010837471?loc=P_0003_009
10,LINE Bot與人工智慧辨識開發實戰 增訂版|使用C#與Azure Cognitive Services,董大偉,2019-09-27,"
近年來，各種人工智慧、bot的開發工具與套件紛紛出籠，各大廠紛紛拿出壓箱寶，把手上各種放在實驗室中已久的人工智慧服務、套件、API端上檯面，讓這個市場突然之間熱鬧了起來。   至今筆者的團隊已經建構...more
",https://www.books.com.tw/products/0010834789?loc=P_0003_010
