,書名,作者,出版日期,內容介紹,網址
1,超端智慧型高畫質視訊監控系統應用(好評絕賣版),潘國輝,2020-09-28,"
本書共分17章；第1章是概述部分，第2章簡單介紹了模擬電視監控系統，第3~7章分別介紹了編碼壓縮技術、DVR技術、DVS技術、NVR技術、IPC技術，第8章介紹了高畫質監控系統，第9章介紹了視訊內容分析技術，第1...more
",https://www.books.com.tw/products/0010871874?loc=P_0003_001
2,5G革命,許宏金,2020-09-07,"
了解5G的技術理論、發展歷程與未來發展    近年來，5G始終是通訊產業的熱門議題，其優勢在於高傳輸率、低延遲和超大頻寬。在未來，隨著5G的發展，它將與大數據、區塊鏈、人工智慧等技術相結合，應用到更廣...more
",https://www.books.com.tw/products/0010869166?loc=P_0003_002
3,最親切的Google Analytics入門教室,"小川卓,工藤麻里",2020-06-18,"
★提供60張以上的圖解說明，新手也能輕鬆看懂   這是一本從基礎開始詳細解說的書，目標是要讓從未接觸過Google Analytics(分析)的讀者也能清楚理解。為了方便不熟悉網站及網頁系統的人也能以直覺理解，書中...more
",https://www.books.com.tw/products/0010861143?loc=P_0003_003
4,最親切的SEO入門教室：關鍵字編輯x內容行銷x網站分析,福田多美子,2020-04-07,"
? 幫助你的網站出現在搜尋結果的前段班   本書是專為想要學習SEO基礎知識，希望自己的網站能出現在搜尋結果前段班的人所撰寫的書籍。藉由本書豐富的圖解以及生動的對話設計，即使在此之前您連搜尋引擎最佳...more
",https://www.books.com.tw/products/0010853934?loc=P_0003_004
5,最完整5G技術架構白皮書,"張傳福,張宇,趙立英",2019-08-20,"
這是一本介紹第五代行動通訊技術(5G)的書。   首先回顧行動通訊技術的發展歷史和4G通訊網路所面臨的挑戰，引出5G的願景與需求、5G的標準化、5G的性能要求，接著介紹為滿足5G性能要求所需要的無線技術、網...more
",https://www.books.com.tw/products/0010831899?loc=P_0003_005
6,Google聯手IBM：Istio架構一統微服務世界,崔秀龍,2019-08-12,"
在微服務浪潮的推動之下，微服務的治理成為新的技術熱點，從Linkerd提出Service Mesh(服務網格)概念開始，這一理念的幾個相關產品經過一番短暫較量，Google/IBM/Lyft合作推出的 Istio 系統成為目前服務網...more
",https://www.books.com.tw/products/0010831810?loc=P_0003_006
7,巨型公司的網路架構：分散式系統內部解密(熱銷版)(二版),柳偉衛,2019-07-25,"
本書分為三大部分，即分散式系統基礎理論、分散式系統常用技術以及經典的分散式系統案例分析。   第一部分主要介紹分散式系統基礎理論知識，總結一些在設計分散式系統時需要考慮的範式、知識點以及可能會...more
",https://www.books.com.tw/products/0010829512?loc=P_0003_007
8,流量分析與考題大揭秘：Google Analytics(第二版),"張佳榮,施佩萱,鄭江宇,黃哲彥",2019-06-28,"
虛實整合的產業趨勢下，擁有大數據分析能力之人才無疑成為諸多企業最重視的一環。使用GoogleAnalytics進行網站流量分析的企業與日俱增，該項工具幾乎成為一般企業網站的基本配備，亦有越來越多求職者期望...more
",https://www.books.com.tw/products/0010830501?loc=P_0003_008
9,電腦網路概論(第八版),陳雲龍,2019-04-10,"
作者曾在中華電信從事寬頻網路研究及教學，累積多年的實務經驗，其所累積的實力具體呈現於本書當中，可帶給資訊網路人員對TCP/IP網路有一清晰的觀念，並能透徹的瞭解電腦網路的基本原理。作者以Wireshark...more
",https://www.books.com.tw/products/0010821622?loc=P_0003_009
10,剖析Google Analytics：從報表理解到實作增訂版,Harris先生,2019-03-25,"
從報表到實務，最適合初學者的GA教學書   Google Analytics是當前市占率最高的網站資料分析工具，但大多的行銷人只知道報表如何操作，卻不知道如何結合到實務中，本書特別為初學者設計，協助初學者理解Goo...more
",https://www.books.com.tw/products/0010816983?loc=P_0003_010
