,書名,作者,出版日期,內容介紹,網址
1,和艦長一起 30 天玩轉 GitLab(iT邦幫忙鐵人賽系列書),陳正瑋,2020-11-06,"
♛ 第一本屬於台灣本土的 GitLab 專書 ♛  還在苦苦尋覓適合團隊的 DevOps 工作流程與工具? 不如儘早擁抱 GitLab Workflow 已為您備齊的開發維運生態系!    入門指引 ☛ 幫助讀者迅速進入 GitLab Wo......more
",https://www.books.com.tw/products/0010874748?loc=P_0003_001
2,尖端神手Ansible 究極自動化組態管理工具(第二版),史晶晶,2020-10-26,"
Ansible是對機群進行軟體安裝、設定和應用部署的自動化工具。   本書涵蓋Ansible中的精華，側重於實戰，全書程式碼均實測過，是一本不可多得的Ansible入門書。   本書以新的自動化運維工具Ansible為主要內...more
",https://www.books.com.tw/products/0010874644?loc=P_0003_002
3,原來世界是這樣運轉的：微服務架構原理與實戰,吳治輝,2020-10-20,"
◎ Google、雅虎、蝦皮、亞馬遜是怎麼運行的?   ◎ 以Container為主的微服務早就一統網路世界!   ◎ Docker、Kubernetes才是王道，別再管伺服器或虛擬機了   ◎ 立即投身雲端容器的世界，商業巨頭才擁有的技術...more
",https://www.books.com.tw/products/0010873152?loc=P_0003_003
4,實況直播：用Docker建構大型資料中心,馬獻章,2020-09-20,"
帶你一窺全球巨型IDC的Docker佈建實況   本書重點   全書主要分為三大部分，可分別對應到雲端服務的IaaS, PaaS及SaaS。   第一部分 偏向硬體及基礎設施的佈建，說明資料中心的建置計劃及導論。從人員、流...more
",https://www.books.com.tw/products/0010870144?loc=P_0003_004
5,AIoT人工智慧在物聯網的應用與商機(第二版),"裴有恆,陳玟錡",2020-01-16,"
第二版主要增訂內容：針對科技的進步，AIoT設備進步，包含有邊緣運算強化、區塊鏈強化AIoT等，以及因應5G服務即將開展。 聯合推薦   (依推薦人姓名筆畫順序排序)   數位智慧服務推動聯盟會長 王定愷   新...more
",https://www.books.com.tw/products/0010846635?loc=P_0003_005
6,雲端深入你我身邊：新一代邊緣運算技術直達,,2019-12-20,"
全書分為6章：   第1 章 對邊緣運算進行整體說明，有關邊緣運算的發展歷史、契機、現狀、定義和架構原理。   第2 章 詳細介紹邊緣運算網路、儲存、運算基礎資源架構技術以及架構設計準則。總結邊緣運算與...more
",https://www.books.com.tw/products/0010843006?loc=P_0003_006
7,AWS實戰：快速開發、建立和部署應用程式,"Amit Shah,Aurobindo Sarkar",2019-12-10,"
使用AWS雲端元件來設計、建立、部署應用程式   Amazon Web Services(AWS)是現今最熱門、使用最廣泛的雲端服務平台。只要將應用程式部署在AWS平台上，就能讓應用程式擁有絕佳的彈性與強健性。本書會帶領你...more
",https://www.books.com.tw/products/0010841486?loc=P_0003_007
8,機器學習開發神器!Google Cloud Platform 雲端開發應用超入門,"中井悅司,阿佐志保",2019-11-29,"
伴隨大數據的崛起和 AI 技術的演進，對於當前所有的開發人員，我們會誠心建議採用公有雲服務來佈署應用程式，不僅享有優質穩定的託管維護服務，更重要的是可靈活運用的先進虛擬技術與超高運算效能，更是你...more
",https://www.books.com.tw/products/0010841312?loc=P_0003_008
9,Docker專業養成：活用基礎與實踐技能(暢銷回饋版),熊昌隆,2019-11-08,"
★重版出來!本書上市以來即榮獲讀者們一致好評讚賞★   ★特價回饋限量上市!精通Docker的精彩內容盡在本書★   本書介紹許多Docker的使用方法，並以專門章節示範Docker的實踐之道。透過這些操作範例的引導，避...more
",https://www.books.com.tw/products/0010838932?loc=P_0003_009
10,Spring Cloud 極致精巧的微服務架構開發技術,翟永超,2019-10-04,"
本書從時下流行的微服務架構概念出發，結合Spring Cloud解決方案，深入淺出剖析Spring Cloud在建置微服務架構中所需之各個基礎設施和技術要點，包含服務治理、容錯保護、API閘道、設定管理、訊息匯流排等...more
",https://www.books.com.tw/products/0010836127?loc=P_0003_010
