,書名,作者,出版日期,內容介紹,網址
1,TQC+ AutoCAD 2021特訓教材：基礎篇(隨書附贈102個精彩繪圖心法動態教學檔),"吳永進,林美櫻",2020-09-21,"
本書適用 機械、建築、土木、室內設計、模具、電機電子、工業設計...等多種領域，完整而詳實的AutoCAD 2021功能介紹範例解析  本書特色    讓初學者 → 紮紮實實的學好AutoCAD 2D基礎，靈活發揮於設計&繪圖...more
",https://www.books.com.tw/products/0010870417?loc=P_0003_001
2,TQC+ 電腦輔助平面製圖認證指南 AutoCAD 2020,財團法人中華民國電腦技能基金會,2020-08-10,"
「TQC+ 電腦輔助平面製圖認證AutoCAD 2020」係為TQC+ 工程設計領域之專業平面製圖能力鑑定。亦為考核工程製圖專業人員、零件設計專業人員與機械設計專業人員必備專業技能之一，以「工程圖學與機械製圖」及...more
",https://www.books.com.tw/products/0010866380?loc=P_0003_002
3,TQC+ 電腦輔助平面製圖認證指南 AutoCAD 2020(附練習光碟),電腦技能基金會 ,2020-08-03,"
「TQC+ 電腦輔助平面製圖認證AutoCAD 2020」係為TQC+ 工程設計領域之專業平面製圖能力鑑定。亦為考核工程製圖專業人員必備專業技能之一，以「工程圖學與機械製圖」及「電腦輔助平面製圖」之專業能力作為基...more
",https://www.books.com.tw/products/0010869538?loc=P_0003_003
4,TQC+ 網頁程式設計認證指南 HTML 5(第二版),財團法人中華民國電腦技能基金會,2020-07-15,"
1.範例題目之設計均以實務應用為導向，品質及認證公信力最具權威!    2.範例題目共七大類，HTML5、CSS3與JavaScript的基本概念、HTML5頁面設計、HTML5表單設計、HTML5多媒體設計、CSS3樣式設計、動態效果...more
",https://www.books.com.tw/products/0010864451?loc=P_0003_004
5,中英數輸入實力養成暨評量(2020年版),財團法人中華民國電腦技能基金會,2020-06-05,"
實力養成篇-輸入法   ★本書為中文、英文、數字輸入三合一版本。   ★完整收錄鍵盤、簡介、字根、單字、文章練習等學習過程中必要功能。   實力評量篇-上機實際練習、學習效果百戰百勝   ★提供「TQC輸入輔助...more
",https://www.books.com.tw/products/0010860842?loc=P_0003_005
6,中英數輸入實力養成暨評量(2020年版)(附練習光碟),電腦技能基金會 ,2020-05-20,"
1.輸入法學習一網打盡：適合任何一種輸入法學習，文章練習功能提供單、雙視窗練習模式，提供讀者充分練習，自我評量。   2.學習認證二合一：練習系統與正式測驗同一介面，學生輕鬆練習，測驗滿分。   3.基...more
",https://www.books.com.tw/products/0010860330?loc=P_0003_006
7,電腦會計IFRS實力養成暨評量(第二版),財團法人中華民國電腦技能基金會,2020-04-15,"
1.範例題目之設計均以實務應用為導向，品質及認證公信力最具權威!    2.適用金融監督管理委員會公告於2018年之「IFRS 9金融工具」、「IFRS 15客戶合約之收入」，以及2019年之「IFRS16租賃」等公報。    3....more
",https://www.books.com.tw/products/0010854753?loc=P_0003_007
8,TQC+ 使用者介面設計認證指南 Adobe XD CC,財團法人中華民國電腦技能基金會,2020-04-15,"
「TQC+ 使用者介面設計認證Adobe XD CC」，係為TQC+ 視傳設計領域之使用者介面設計認證能力鑑定，以實務操作方式進行認證，評核符合企業需求的新時代專業設計人才。   1.範例題目之設計均以實務應用為導向...more
",https://www.books.com.tw/products/0010855017?loc=P_0003_008
9,PowerPoint 2019實力養成暨評量解題秘笈,陳美玲,2020-02-21,"
本書特色   1.本書專為PowerPoint 2019實力養成暨評量的術科題庫所寫的解題技巧。   2.「PowerPoint 2019實力養成暨評量解題秘笈」需搭配「PowerPoint 2019實力養成暨評量」使用。   3.精選術科......more
",https://www.books.com.tw/products/0010851638?loc=P_0003_009
10,Word 2019實力養成暨評量解題秘笈,陳美玲,2020-02-19,"
本書特色   1.本書專為Word 2019實力養成暨評量的術科題庫所寫的解題技巧。   2.「Word 2019實力養成暨評量解題秘笈」需搭配「Word 2019實力養成暨評量」使用。   3.精選術科題庫5大類共50題，包含Word 2....more
",https://www.books.com.tw/products/0010851635?loc=P_0003_010
11,Excel 2019實力養成暨評量解題秘笈,楊明玉,2020-02-19,"
本書特色   1.本書專為Excel 2019實力養成暨評量的術科題庫所寫的解題技巧。   2.「Excel 2019實力養成暨評量解題秘笈」需搭配「Excel 2019實力養成暨評量」使用。   3.精選術科題庫5大類共50題，包含Exc....more
",https://www.books.com.tw/products/0010851641?loc=P_0003_011
