,書名,作者,出版日期,內容介紹,網址
1,ThinkPad使用大全：商用筆電王者完全解析,Galaxy Lee,2020-10-01,"
全球百科級ThinkPad專書，搞懂商用筆電王者，一本就通!   ◎取材自歷次參訪ThinkPad日本研發中心(Yamato Lab)，詳細揭露ThinkPad三大硬體特色與設計哲學。   ◎全彩圖文介紹平時較難接觸的原廠各式周邊裝置...more
",https://www.books.com.tw/products/0010871116?loc=P_0003_001
2,2019.2020系統重灌、調校、故障排除與資料搶救自己來(超值附贈314分鐘影音講解),硬角色工作室,2019-08-19,"
附書DVD*1   電腦有問題怎麼辦?輕鬆重灌不求人!   自己的電腦自己搞定，快速恢復工作狀態，不誤事。本書讓大家在短時間內掌握系統修復必要技能，快速修復系統問題。   .情境切入、解析、處理，修復系統不...more
",https://www.books.com.tw/products/0010831120?loc=P_0003_002
3,2019.2020電腦選購、組裝與維護自己來(超值附贈328分鐘影音講解),硬角色工作室,2019-05-31,"
附書DVD*1 認識最新硬體，選購組裝PC不求人    自己組裝電腦?應該很難吧!我又不是工程師等級的高手。(你應該也是這麼想的吧!)    放心!DIY 並沒有你想的那麼難，因為電腦元件都是標準化生產，插槽也是統一...more
",https://www.books.com.tw/products/0010823115?loc=P_0003_003
4,PCDIY 2017 電腦選購‧組裝‧應用,施威銘研究室,2016-11-18,"
最新 CPU‧主機板‧顯示卡、SSD 完全對應, 最暢銷的電腦硬體圖解書!   電腦硬體日新月異, 許多人常常會有這樣的感嘆：要同時符合『價格便宜、功能強大、滿足需求』等 3 大條件的電腦, 似乎很難......因為從...more
",https://www.books.com.tw/products/0010736238?loc=P_0003_004
5,Make：國際中文版25,MAKER MEDIA,2016-09-20,"
2016開發板指南   有些人可能會說，現代科技已經到了一個瓶頸，電腦計算速度的進展步調也會急遽下滑，但是這並不代表整個科技的發展也在趨緩。現在我們擁有的是比較成熟的科技基礎，隨著科技逐漸成熟，取...more
",https://www.books.com.tw/products/0010727893?loc=P_0003_005
6,2015系統重灌、調校、故障排除與資料搶救自己來(超值附贈618分鐘影音講解),硬角色工作室,2015-04-23,"
附DVD一片   重灌、故障排除，搶救資料大作戰，擁有這本書比乖乖更有效喔!   .基礎篇：簡要的說明問題產生的原因，並提供修復方法。   .搶救篇：最大限度的修復電腦，讓系統得以盡量維持並有效的使用下去...more
",https://www.books.com.tw/products/0010672098?loc=P_0003_006
7,第一次用筆電就上手：選購x雲端應用x重灌還原x維護,孫維康,2014-09-04,"
看懂規格，買到最符合自己需求的筆電   本書為打算購買筆電的您準備了一些選購技巧，讓您避免誤踩地雷，同時也可以把錢花在刀口上，買到CP值最高，最適合自己的筆電。   善用雲端服務，處理公務零時差   ...more
",https://www.books.com.tw/products/0010648344?loc=P_0003_007
8,電腦組裝一本搞定(附教學影片及試用版光碟),呂志敏 ,2013-10-18,"
本書透過淺顯易懂的文字說明，一步步為讀者解說電腦中各個零組件的功能與規格。讓使用者在面對零組件採購、組裝和維修時，有完整的硬體基本知識。並搶先瞭解Windows 8作業系統安裝流程。...more
",https://www.books.com.tw/products/0010616202?loc=P_0003_008
9,電腦組裝DIY全能王(第三版)(附範例及試用版光碟),呂志敏、馬肇亨,2011-04-28,"
1.透過淺顯易懂的文字說明，一步步為讀者解說電腦中各個零組件的功能與規格。   2.面對零組件採購、組裝和維修時，有完整的硬體基本知識。   3.搶先瞭解Windows 7作業系統安裝流程。   4.提供多樣、實用性...more
",https://www.books.com.tw/products/0010508650?loc=P_0003_009
10,SOEZ2u多媒體學園：電腦組裝、維修 DIY 達人 超值包(8片影音教學DVD),新造數位,2010-03-01,"
本書特色 SOEZ 2U 互動式多媒體影音教學DVD 全新改版，綜合動態教學、上機練習、互動練習、互動測驗、學習評量、學習成果的六大主題全方位學習。 動態教學：由大師親自設計，影音同步播放，外加旁白與註解...more
",https://www.books.com.tw/products/0010465153?loc=P_0003_010
