,書名,作者,出版日期,內容介紹,網址
1,發酵的科學,中島春紫,2020-10-12,"
你喜歡發酵食物嗎? ── 食品科學家的熱門研究課題!美食狂熱者的最愛!養生保健者的必吃食物!──   日常生活中，我們熟悉的味增、醬油、清酒、醋、泡菜、優格、麵包等，   都是藉由微生物力量所製作而成的發酵...more
",https://www.books.com.tw/products/0010873028?loc=P_0003_001
2,基礎餐桌料理盤飾：概念與技法,吳青華,2020-09-23,"
本書針對廣面的裝飾參考，有別於市面上出版書籍多著墨為單一單元，並希望以大專院校、綜合高中、餐飲社團、產業投資專班及家庭主婦或是對於烹飪、烘焙、飲調擺飾有想要更優化的讀者，提供一本簡單操作，大...more
",https://www.books.com.tw/products/0010870772?loc=P_0003_002
3,基礎餐桌料理盤飾：概念與技法(親簽版+贈品),吳青華,2020-09-23,"
本書針對廣面的裝飾參考，有別於市面上出版書籍多著墨為單一單元，並希望以大專院校、綜合高中、餐飲社團、產業投資專班及家庭主婦或是對於烹飪、烘焙、飲調擺飾有想要更優化的讀者，提供一本簡單操作，大...more
",https://www.books.com.tw/products/0010870773?loc=P_0003_003
4,美味的原理：食物與科學的親密關係,馬提‧傑佛森,2020-08-26,"
為什麼食物這樣烹調才會好吃?   為什麼用錯鍋具就造成一場災難?!   這一切都要從廚房裡胡搞開始……   雖然長輩有交代，不要玩食物!   但是看食譜照步驟來，還是會煮出一坨坨令人反胃的NG品……   是手殘眼瞎...more
",https://www.books.com.tw/products/0010867597?loc=P_0003_004
5,食材保存保鮮術：一看就懂，不浪費˙更美味,島本美由紀,2020-08-20,"
\不浪費，更鮮美!就靠這本書/ 從生鮮食材、乾貨到加工食品， 總計200項食材的保存方法， 立刻看懂!即時可行!    打開冰箱，是否發現食物冰得太久已經腐壞?   或是因為處理、保存不當，才沒幾天就已經不新...more
",https://www.books.com.tw/products/0010864630?loc=P_0003_005
6,美味的科學：為什麼咖啡和鮭魚是絕配?探究隱藏在食材、烹調背後的美味原理!,佐藤成美,2020-08-01,"
「好吃」，就是美味 ! 「味道」，就是訊號! -- 掌握美味背後的科學，成為名副其名的美食家 --   近年來，關於飲食方面的科學研究有了很大的進展，對於蘊藏在食材中的美味分析更是經常引起人們的關注。但是...more
",https://www.books.com.tw/products/0010865519?loc=P_0003_006
7,科學料理：從加工、加熱、調味到保存的美味機制,齋藤勝裕,2020-07-03,"
做料理就是化學實驗! 讓你恍然大悟的一本書 知道了「為什麼」，做起來更開心!    知曉食材的化學變化，窮究食物的美味!   一切的調味來自滲透壓原理   烤肉要輻射熱+傳導熱才好吃   水波爐的效果來自過熱...more
",https://www.books.com.tw/products/0010861809?loc=P_0003_007
8,沒有配方一樣能煮得好吃 料理的科學文法：學會美味的烹調公式，全部料理自動升級,前田量子,2020-06-17,"
調味&材料的科學百分比 + 溫度&時間的科學比例 + 順序&口感的科學邏輯 =成為烹飪高手的決斷關鍵    本書分成油煎、燉煮、熱炒、油炸、醋漬‧沙拉、水煮等調理方式，解說常見的家庭料理的烹調過程，經由科學...more
",https://www.books.com.tw/products/0010861403?loc=P_0003_008
9,味覺獵人：舌尖上的科學與美食癡迷症指南,芭柏．史塔基,2020-05-11,"
味道、香氣、質地、外觀、聲音—— 全面啟動你的五種感官， 體會食物可以賦予靈魂的滿足    誰能比頂尖食品開發公司裡專門品嘗、研發的專家，更懂得「味道」的本質與誘惑?   本書作者熟諳味覺的科學、味道的...more
",https://www.books.com.tw/products/0010857019?loc=P_0003_009
10,風味搭配科學：58個風味主題、150種基本食材，世界名廚以科學探索食物原理，運用大數據分析，開啟無限美味與創意十足的廚藝境界,"布露克・帕克赫斯特（Brooke Parkhurst）,詹姆斯．布里西翁（James Briscione）",2020-05-07,"
【得獎紀錄】 美國《史密森尼雜誌》(Smithsonian Magazine)年度十大食譜書。 【專業推薦】 江振誠/國際名廚 宜手作/國民媽媽.暢銷食譜書作家 松露玫瑰/愛旅行的煮婦 林裕森/專業葡萄酒作家 葉怡蘭/飲食生...more
",https://www.books.com.tw/products/0010856423?loc=P_0003_010
11,肉品聖經+鹽油酸熱,"亞瑟・凱納,莎敏．納斯瑞特",2020-04-18,"
《肉品聖經》 一本書 深入認識肉品種&知識 一張圖 完整破解肉切割&料理 史上最值得收藏的肉類食用指南   超強!全球絕品肉圖鑑 前腿或臀肉?慢燉或快煎? 透徹知曉原理，讓肉更美味!  舉凡你吃過、或看都沒看...more
",https://www.books.com.tw/products/0010854593?loc=P_0003_011
12,主廚也想知道的美味密技：4大工法、22堂實戰課程、40道應用食譜，烹調祕訣都在科學中,章致綱,2020-04-01,"
廚房的魔法來自科學，一切都不是祕密!   為何大鍋煮的紅燒肉好吃?   冷凍食材如何解凍才能維持鮮度?   哪一種油可以控制油溫不過火?   蝦如何烹調才會鮮脆?   放冰箱的水果為什麼也會壞?   從豬、牛、魚鮮...more
",https://www.books.com.tw/products/0010853388?loc=P_0003_012
13,調味學：玩轉基本六味「鹹、酸、甜、油、苦、鮮」，掌握調味、口味與風味的根本，解鎖你從沒想過的隱藏版料理密技,貝琪．瑟林加特,2020-01-09,"
讓調味生手變能手；烹飪老手變高手的廚房必讀寶典 掌握基本中的基本，任誰都能調得一手好味道 ★飲食行家齊聲推薦★ 娜塔|【我可是生活家】 張凱程|【菜單研究所 Kevin】 楊馥如|飲食作家 葉怡蘭|飲食生活作...more
",https://www.books.com.tw/products/0010845090?loc=P_0003_013
14,植物油全書,茹絲．布朗史萬格,2019-12-21,"
油脂是人體不可或缺，我們每天都需要油脂，吃什麼油、怎麼吃最好?植物油與精油又有什麼不一樣?本書揭露50種植物油的營養與對人體的效果   如果你在「一般」的商店裡，觀察眾多不同的植物油，也許你會覺得...more
",https://www.books.com.tw/products/0010843069?loc=P_0003_014
15,廚事斷捨離：日本銷售第一的「不思考廚房」家事SOP，從採買烹調、冰箱活用、整理收納到工具使用都搞定!,高木惠美,2019-12-06,"
★不思考廚房 暢銷修訂版!   ★日本年度家事生活類暢銷書TOP1、累積銷量突破12萬本!   ★日本第一烹飪專家傳授「廚房白癡變高手」訣竅，從做菜到清理，原來這麼容易!   上桌秒殺美食料理家粉絲團版主 Viola  ...more
",https://www.books.com.tw/products/0010840864?loc=P_0003_015
16,廚刀之書：圖解料理職人愛用的廚刀文化、工藝與入門知識,蒂姆．海沃德,2019-11-30,"
廚刀，不只是陪伴職人料理生涯最忠實的夥伴。 更是食材與料理手法演變的凝縮、牽動中西飲食文化的重要推手。  一覽英美法中日等世界各國廚刀歷史文化， 通透專業料理人應知的廚刀材質、應用特點，以及入門...more
",https://www.books.com.tw/products/0010840875?loc=P_0003_016
17,給料理新手的食材與料理全書,Better Home協會,2019-11-14,"
日本暢銷650,000冊料理入門專書 立即上手，終生受用! 食材、食譜到實際操作全圖解， 料理新手一次到位! 好評實用推薦 美味生活執行長矽谷美味人妻 KT|作家、Smile Eric創辦人 徐銘志|自炊食代 極光|家事‧...more
",https://www.books.com.tw/products/0010838193?loc=P_0003_017
18,鹽漬、油封、烘烤、冷藏食材的熟成與活用(暢銷紀念版),下北澤熟成室 福家征起,2019-11-07,"
熟成食材的無國界料理 專家級技術、老饕級饗宴 從熟成牛肉到熟成蛋糕 在自家廚房也能端出極致之味 本書是日本熟成料理專門餐廳──「下北澤熟成室」店主為小家庭重現的食譜， 讓一般人在家就能輕鬆製作出餐...more
",https://www.books.com.tw/products/0010838588?loc=P_0003_018
19,超圖解營養學：從零開始建構營養學基礎,渡邊 昌,2019-10-28,"
預防疾病x正確飲食x維持健康 現代人不可不知的營養學知識 藉由精細的插畫搭配說明文字 以圖像方式解說人體構造及運作方式   現代社會有各式各樣和營養相關的問題，   我們應該對食物的製造及供給過程有所...more
",https://www.books.com.tw/products/0010837958?loc=P_0003_019
20,越簡單越健康!看圖學做100分營養料理：顛覆傳統料理習慣，學會針對各種食物「因材施教」的科學方法，每一口都能獲得100%的營養活力!,"小田真規子,東京慈惠會醫科大學附屬醫院營養部",2019-10-05,"
☆超過5萬日本讀者好評推薦☆ 「100分營養料理」輕鬆讓身體吸收到食物的能量最大值， 認識最新營養科學，每一口都獲得100%的滿分元氣! 「人如其食。」──我們的身體由吃下的食物構成!飲食是連結「營養」與「...more
",https://www.books.com.tw/products/0010834395?loc=P_0003_020
21,什麼?我的廚房有毒!(二)：自己煮飯的健康風險更大?,范志紅,2019-09-25,"
◎對於廚房用具的正確知識，您了解多少?   放到冰箱反而更快發霉?哪些東西千萬不能放冰箱?   х絕對不要放進冰箱：芒果、香蕉等熱帶水果以及茶葉、奶粉、咖啡粉   將熱帶水果放入冰箱，反而會讓它們受到冷害...more
",https://www.books.com.tw/products/0010834263?loc=P_0003_021
22,讓你不再流淚的廚房妙方 如何切洋蔥及不在廚房痛哭流涕的秘密!400個答案，回答你從來不好意思問的問題。,安蘿荷埃斯特芙,2019-09-14,"
你也有同感嗎? 你做的菜有時候會跟你開玩笑， 需要有人助你一臂之力，找出解決之道。 保鮮膜不聽話該怎麼對付? 如何補救做壞的美乃滋? 想挽救奄奄一息的食材? 總是切洋蔥切到淚流不止? 替甜椒去皮，真是生...more
",https://www.books.com.tw/products/0010833368?loc=P_0003_022
23,什麼?我的廚房有毒!(一)：那些你以為的基本常識，都是致癌的風險,范志紅,2019-07-22,"
◎對於廚房常見食物的正確知識，您了解多少?   ►自己醃的泡菜，比外面賣的更健康?   (X) 在家做泡菜很難保持加工與保存過程中的穩定溫度，營養流失的機率更大。   AND...泡菜中的亞硝酸鹽含量從開始醃製以...more
",https://www.books.com.tw/products/0010827481?loc=P_0003_023
24,日本常備菜教主「創新自製調理包!」隨時輕鬆煮的冷凍保存法，103道沒有壓力從容上菜!,松本有美,2019-05-10,"
日本常備菜教主最新著作，單月點閱破240萬，累積銷售破30萬本!   不是一般的常備菜，比常備菜更方便的「創新自製調理包!」   週末一次處理好，週間無需動菜刀。隨時都能快速上菜好安心!   「有效保存」+「...more
",https://www.books.com.tw/products/0010821133?loc=P_0003_024
25,讓料理更美味的香料事典：43種基本香料x24種混合香料x世界經典香料食譜,實業之日本社,2019-04-12,"
舉手玩芬芳，為每日料理添加營養美味!   促進消化、代謝、血液循環並預防老化    ◆入門!香料圖鑑與基本知識   從百里香、香茅、胡椒到山葵，收錄東西方共43種基本香料。   ◆活用!來自世界各地的混合香料  ...more
",https://www.books.com.tw/products/0010818503?loc=P_0003_025
26,烹飪的科學：聚焦7大類食物，用最新科學研究食材原理，圖解160個烹調上的疑難雜症，讓廚藝臻至完美,斯圖亞特．法里蒙,2019-04-03,"
~食品科學家的奶、蛋、肉、魚料理門道~   ★英國百科權威DK出版社製作，亞馬遜5星至高好評!   ★以「高解析度」解剖圖片直擊美味的關鍵科學!   「我撰寫本書時力求口語化，盡量避免專門術語，目的是協助讀者...more
",https://www.books.com.tw/products/0010817203?loc=P_0003_026
