,書名,作者,出版日期,內容介紹,網址
1,宮廷點心：收錄64款御膳大廚的精工名點,顏金滿,2020-10-19,"
打開京城的珍貴門扉 猶如身處皇宮 盡享帝后級的尊貴糕點   所謂的「宮廷點心」指的是皇宮御膳房所做的點心，這些點心因地域區分成北方和南方；由唐宋開始發展期，到清朝更是興盛，因清皇朝在北京，北方點...more
",https://www.books.com.tw/products/0010873215?loc=P_0003_001
2,臺灣烘焙伴手禮,何國熙,2020-09-18,"
人類雖然已經進入太空，滿天都是飛機，滿地都是電腦，但對美食的想像仍然停留在那古早的絕代風華。   食不厭精，膾不厭細!歷經千年風雨而不衰的中式糕點，承載著文化記憶的經典滋味在達人的巧手下完美復甦...more
",https://www.books.com.tw/products/0010871190?loc=P_0003_002
3,正統中式點心全書：師承香港傳奇料理大師：從知識到實作、從技巧到手法，完整而專業的全面教程,吉岡勝美,2020-05-25,"
基礎X進階、學科X術科、經典X創新 紮實的理論和技術，為你開啟包羅萬象的中國點心世界。    掌握基本，才懂變化；擁有傳統，才能創新。   從認識麵糰開始學習千變萬化的中點萬花筒。    1981年，吉岡勝美...more
",https://www.books.com.tw/products/0010858995?loc=P_0003_003
4,老師傅教你做中式點心,黎國雄,2020-05-08,"
還在外面買傳統中式點心嗎? 多油多鹽不健康，不如自己動手做!   中式點心是以麵粉、雜糧、蔬果原料等為主，糖、水、蛋、油等為輔，透過擀、按、捲、包、捏等方法製成。中式點心樣式豐富、味道鮮美，受到社...more
",https://www.books.com.tw/products/0010856993?loc=P_0003_004
5,老甜媽咪手繪私房造型饅頭：600個步驟，45款超可愛萌造型，精緻手繪製作教學,王甜芳,2020-03-31,"
自從當了媽媽以後，隨著時間過去，我好像漸漸地，沒有了自己。   某天在朋友家，第一次摸到麵團，這觸感…好像黏土?    基於好奇心我開始大量的嘗試，冒險的探索著未知，   什麼都不會的從學習揉麵開始，每...more
",https://www.books.com.tw/products/0010852308?loc=P_0003_005
6,老甜媽咪手繪私房造型饅頭：600個步驟，45款超可愛萌造型，精緻手繪製作教學(親簽版+贈品),王甜芳,2020-03-31,"
自從當了媽媽以後，隨著時間過去，我好像漸漸地，沒有了自己。   某天在朋友家，第一次摸到麵團，這觸感…好像黏土?   基於好奇心我開始大量的嘗試，冒險的探索著未知，   什麼都不會的從學習揉麵開始，每...more
",https://www.books.com.tw/products/0010852305?loc=P_0003_006
7,麵點新手必備的第一本書(暢銷紀念精裝版)：140道So Easy中式麵食與點心全圖解,胡涓涓(Carol),2020-02-26,"
★暢銷20萬冊，全球華人最愛的麵點製作教科書精裝版登場★ 全球華文最受歡迎的烘焙達人Carol，最極具珍藏價值的重磅著作 140道必學麵點 x 3200張以上照片圖解 x 圓背精裝好讀呈現!   廣受二億六千三百萬網友...more
",https://www.books.com.tw/products/0010849713?loc=P_0003_007
8,樂作包子饅頭趣(贈品版),彭秋婷,2020-01-15,"
彭秋婷老師《樂作包子饅頭趣》重磅出擊!    70道發酵麵食，水果、乾果、堅果、蔬果、米穀類、植物花類，完全使用天然食材   製作從簡單到困難，從基礎到進階，是新手、老手必須收藏的麵食葵花寶典   製作...more
",https://www.books.com.tw/products/0010862670?loc=P_0003_008
9,懷舊糕餅1：90道老師傅不藏私的古早味點心(熱銷增訂版),呂鴻禹,2019-11-07,"
國寶級糕餅師傅不藏私的烘焙食譜書 增訂版熱銷上市!   不論是兒時記憶的鬆軟發糕、雙色菜燕，   坊間逐漸消失的茯苓糕、杏仁糕、傳統鹹糕，   還有早期婚宴禮餅的合婚糖、米香餅、   幾近失傳的古早味魔芳...more
",https://www.books.com.tw/products/0010839140?loc=P_0003_009
10,卡哇伊一口小饅頭：約6公分大小，簡單、好做、萌翻天的40款立體造型小饅頭,王美姬,2019-11-05,"
親愛的，我把饅頭變小了!   ◎只有約5∼6公分大小的一口小饅頭，超級卡哇伊!   ◎40款萌翻天的小饅頭造型，讓人愛不釋手!   ◎專闢單元，解說造型饅頭所需的各種捏塑小技巧。   ◎用心配色，讓每一款小饅頭都粉...more
",https://www.books.com.tw/products/0010839144?loc=P_0003_010
11,家常餅 酥餅 煎餅,"王景茹,鄭元魁",2019-11-01,"
內容分為煎餅技法大集合、人氣當紅家常餅、燒餅酥餅大集合、家常餅大變身等四大類，收錄130種煎餅、家常餅，方便讀者根據口味喜好，挑選喜愛的食譜製作。   食譜作法步驟清楚，配合技法，對技巧要領、準備...more
",https://www.books.com.tw/products/0010838905?loc=P_0003_011
12,職人手作中式發麵,彭秋婷,2019-10-23,"
亞洲超人氣麵點女王——彭秋婷老師親授   收錄多年來口碑爆棚，席捲亞洲的超人氣中式麵食課程!   「對我來說，這是本意義非凡，極具紀念性的書。   是我第一本著作，   絕版多年後再次重新拍攝、改版、編排...more
",https://www.books.com.tw/products/0010837088?loc=P_0003_012
13,職人手作中式發麵(贈品版),彭秋婷,2019-10-23,"
亞洲超人氣麵點女王——彭秋婷老師親授   收錄多年來口碑爆棚，席捲亞洲的超人氣中式麵食課程!    「對我來說，這是本意義非凡，極具紀念性的書。   是我第一本著作，   絕版多年後再次重新拍攝、改版、編排...more
",https://www.books.com.tw/products/0010862666?loc=P_0003_013
14,家常麵食點心,王景茹,2019-09-27,"
如何培養天然酵母做麵點?發麵的時間如何把握?   和麵該用熱水、溫水還是冷水?手勁該大或小?   饅頭該怎麼揉?如何掌握餃子餡的比例?麵條如何自己做?   這些問號往往令人卻步，打擊自己做麵點的勇氣!   經驗...more
",https://www.books.com.tw/products/0010835068?loc=P_0003_014
15,懷舊糕餅4：牛舌餅、老婆餅、脆皮流沙球、古早味蛋糕的回憶點心,呂鴻禹,2019-09-06,"
如何做出酥脆的牛舌餅、老婆餅? 濃郁鬆軟的脆皮流沙球、綿密古早味蛋糕製作秘訣怎麼掌握? 跟著老師傅的親手配方，搭配上千張步驟圖， 讓你也能重現73道糕點的甜蜜滋味!   懷念的好味道無須再尋尋覓覓，傳...more
",https://www.books.com.tw/products/0010833028?loc=P_0003_015
16,中島志保 紅豆餡甜點幸福滋味：紅豆餡的百變樂趣,中島志保,2019-05-20,"
絕對實用的甜點攻略   紅豆控必備食譜!   不失敗的紅豆餡煮法   從小就最喜歡紅豆餡的中島老師，在這邊提出以紅豆餡為主的美味甜點!   包括西點、經典日式點心和季節和菓子，跳脫紅豆餡只能做日式點心的框...more
",https://www.books.com.tw/products/0010822485?loc=P_0003_016
17,阿芳的新三杯麵粉,蔡季芳,2019-05-09,"
經典玩麵粉技巧重現，獨創容量版食譜，最適合在家操作、成功率最高的製程， 只要有量杯、量匙和麵粉，跟著阿芳的圖解步驟， 巧手做出80道傳家蒸點、烤點、變化麵點  ★阿芳老師獨創「容量版」麵點食譜，玩...more
",https://www.books.com.tw/products/0010820051?loc=P_0003_017
18,野生酵母研究室：從零開始認識酵母、養酵母、做50款中西式麵點的自然發酵手記，原味零添加的好味道,蜜塔木拉,2019-05-02,"
一旦品嚐過野酵麵食的「樸味」，就再也無法「回頭」了。   百分之百用自己養的酵母製作麵食，不加任何商業酵母、泡打粉、膨脹劑、人工香料，純粹、天然、美味。   本書以一位家庭主婦的視角，為追求「原汁...more
",https://www.books.com.tw/products/0010819925?loc=P_0003_018
19,卡哇伊立體造型湯圓：美姬老師獨家研發無添加、軟糯香Q口感配方， 打造好捏塑、不變形、不易裂的完美造型湯圓,王美姬,2019-04-02,"
4個NO.1，最值得擁有的造型湯圓專書!   ●專業度NO.1   為了設計最Q彈的湯圓口感，特別花了近2年實驗配方，搓揉上百次粉團後，有如黏土般手感的造型湯圓外皮終於誕生了!美姬老師的專業度，真的是NO.1。   ●...more
",https://www.books.com.tw/products/0010817623?loc=P_0003_019
20,Q萌造型湯圓X元宵：療癒系暖心甜品,董馨濃,2019-01-29,"
零失敗X人氣爆表的療癒系造型湯圓，甜品必備新吃法!   動物、蔬果等定番造型X情人節、聖誕節等節慶款全收錄，   簡易內餡自製，讓你在家也能輕鬆做元宵，美味再升級，   任選冷、熱食吃法；鹹、甜湯煮法，...more
",https://www.books.com.tw/products/0010811689?loc=P_0003_020
21,廣東糖水鋪,佘自強,2019-01-24,"
甜湯是廣東人養生理論中相當重要的一環， 本書作者以中醫養生的角度，教你以甜湯保健   共分五大食材   時令水果、蛋奶製品、五榖堅果、補益中藥、花草乾貨   集352款糖水食譜，   除傳統的糖水外，還有近...more
",https://www.books.com.tw/products/0010812181?loc=P_0003_021
22,香港特色小吃(新訂版)(中英對照),陳粉玉,2018-12-21,"
《香港特色小吃》於一九九八年初版，由教學經驗豐富、資深家政老師陳粉玉精心鑽硏及撰寫，暢銷二十載的烹飪叢書，現載譽重新編訂。本新訂版精心為讀者推介一系列家傳戶曉、極具香港特色的美食，內容包括經...more
",https://www.books.com.tw/products/0010809184?loc=P_0003_022
23,有故事的糕與粿：古早味的傳承,顏金滿,2018-12-19,"
重溫記憶中的好滋味   台灣傳統的碗粿、芋粿巧、粉粿、黑糖糕……   外省口味的涼糕、寧波年糕、芋泥八寶糕……   客家風味的九層糕、粿粽、鹹甜粿……   不同文化的蕨餅、娘惹糕、杏仁棋子糕……   在一波波的流...more
",https://www.books.com.tw/products/0010808743?loc=P_0003_023
24,造型饅頭：新手也能做出超萌饅頭,許毓仁,2018-10-13,"
乳牛、哈士奇、聖誕老人、財神爺……   通通變身健康又好吃的饅頭!   從基礎塑型到進階組裝，   跟著詳盡的圖解步驟，Step by Step   輕鬆做出40款卡哇伊造型饅頭   一起走進萌萌的饅頭世界!   ◆最可愛、最...more
",https://www.books.com.tw/products/0010801495?loc=P_0003_024
25,100種美味餡料的中式麵食,程安琪,2018-08-03,"
好吃包起來，美味藏不住! 餃子、包子、餛飩、春捲、燒賣、淋餅、盒子和酥皮類…… 共100種美味餡料中式麵食，依次收錄。   您將驚奇的發現，雖然都是餡料，卻依著外皮不同的特性和烹煮時用的不同方法而有差...more
",https://www.books.com.tw/products/0010794884?loc=P_0003_025
26,Jessie老師玩創意!造型中式麵食點心,Jessie老師(徐庭萱),2018-08-01,"
烘焙職人全新力作!   零失敗x純天然X多造型   省時省力，不省美味的33道造型麵點   簡單輕鬆做!創意中式點心每一口都捨不得吃   ◎百變饅頭、可愛湯圓、人氣大福一次全收錄，讓你開心大口吃!   外面賣的饅...more
",https://www.books.com.tw/products/0010793893?loc=P_0003_026
