,書名,作者,出版日期,內容介紹,網址
1,純天然手作果醬,Miki,2020-03-13,"
果醬是保留水果風味不錯的方式。那麼，怎樣才能做出不含防腐劑、口感滋味佳且有一定保存期的果醬呢?本書收錄了數十款人氣果醬配方，從單品果醬、雙種果醬，到加入香料、花草等的復合果醬，凝聚了果醬達人...more
",https://www.books.com.tw/products/0010852194?loc=P_0003_001
2,自製美味手工果醬,裵弼省,2019-12-06,"
你知道嗎?每種果醬都有決定其味道和香氣的製作公式，根據食材種類，按不同比例搭配，便能製作出美味和營養兼備的果醬。只要掌握了這一要領，就算不依賴於食譜，也能量身定做出符合自己味蕾(口感、濃稠度等...more
",https://www.books.com.tw/products/0010842000?loc=P_0003_002
3,果豐美醬「極品果醬&鹹味常備醬」：日本高人氣名師配方大公開，顛覆你對傳統果醬的印象， 3~5分鐘短時加熱，濃縮封存大地的鮮美豐味,ムラヨシマサユキ,2019-09-06,"
班班爆滿的人氣名師「ムラヨシマサユキ」 傳授大獲好評、濃縮絕妙風味的極品果醬與鹹味常備醬 保證快速、零失誤的在家成功複製   ★為什麼要連皮煮?連果核煮?   ★從材料的選擇、工序開始，到搭配與應用，傳...more
",https://www.books.com.tw/products/0010831521?loc=P_0003_003
4,這才叫果醬!：果醬女王56款使用在地台灣食材的手作果醬【金獎增訂版】,柯亞,2019-07-31,"
用全世界最美好的果醬，讓生活閃閃發光! 堅持使用台灣在地水果熬煮成醬，天然健康且無化學添加， 獨家首創「璀璨星星果凝」X 56款最in風味果醬X 30款幸福好食光美味提案 1300張照片完整圖解每款果醬製作過...more
",https://www.books.com.tw/products/0010828769?loc=P_0003_004
5,10步驟完成!四季水果甜點、果醬33款,飯塚有紀子,2019-02-26,"
味道誘人做法簡單的水果甜點   使用當季水果做甜點時，就能慢慢感受到季節的推移。   鮮紅草莓的飽滿香氣、擠檸檬時散發出的清爽酸味、   燉煮橘子醬時所飄散出來的香甜氣味。   秋天時，將一顆顆水煮栗子...more
",https://www.books.com.tw/products/0010814393?loc=P_0003_005
6,享受季節的果醬與果實酒,谷島せい子（Seiko Tanishima）,2018-12-29,"
封存當季水果風味的美好時光 萃取最直接的果實香氣 品嚐季節的優雅 製作果醬和水果酒時，是封存當季水果風味的美好時光。 所以即使是剝除果皮、去除內籽等需要費點功夫的事前準備，都能帶著愉悅的心情進行...more
",https://www.books.com.tw/products/0010808878?loc=P_0003_006
7,極品果醬學：師承法國果醬女王的專門技術,田中博子,2018-02-05,"
水果和糖是廚房裡的固定成員， 只要在它們身上撒下名為「溫度」的魔法粉末， 就會產生奇妙而驚喜的化學變化!   手工製作果醬的教科書。永久保存版。   果醬是一種保存的智慧，也是珍惜品嚐大自然恩惠的方...more
",https://www.books.com.tw/products/0010778919?loc=P_0003_007
8,果醬普拉斯：純天然/無添加美味100%手作果醬40道plus食譜8道,張曉東,2018-01-06,"
果醬不只是用來吃的， 是一種藝術，也是一種生活態度； 是日常裡的文學， 也是一種味蕾的奇幻冒險! 寶島臺灣是水果王國 蔥鬱的山水孕育著豐富多樣的農產 湛藍的海洋涵養育美麗的生物 這些美麗是我們的日常...more
",https://www.books.com.tw/products/0010774797?loc=P_0003_008
9,超圖解!第一次做果醬就成功：46款純天然蔬果製作的沾醬、拌醬、料理萬用醬,DODO出版編輯部,2017-11-10,"
《在家做蔬果醬》全新封面版   濃縮當季蔬果的完整原味，46款天然製醬配方大公開!     春夏的西瓜、芒果，秋冬的柑橘、草莓……   將盛產季節的水果洗洗切切，以小火慢慢熬煮成醬，   抹在麵包上、加入飲品...more
",https://www.books.com.tw/products/0010768185?loc=P_0003_009
10,堅果奶、堅果醬料理大全,凱薩琳‧阿特金森,2017-07-12,"
乳糖不耐症的最佳食譜來了!   輕鬆手作堅果奶與醬   入料家常菜更添營養風味     在家手作堅果奶與醬很簡單，   還可以加入家常菜中烹調出營養的佳餚。   而把堅果變好吃又營養的秘訣，其實也很容易，   ...more
",https://www.books.com.tw/products/0010757858?loc=P_0003_010
11,嚴選優製蜂蜜果醬：低糖低卡、口感輕盈,磯部由美香,2017-04-25,"
★收錄約100種果醬，每天都能製作想要品嚐的口味。 ★製作方法清楚、時間也容易掌控。 ★版面清爽、圖片也很漂亮。   猶如美麗的寶石，在瓶中閃耀著迷人的光芒   好當令、好新鮮、好自然、好果醬   可以享受...more
",https://www.books.com.tw/products/0010750276?loc=P_0003_011
12,鮮作手工抹醬100：15款基礎底醬撞擊出百種風味抹醬Χ好學易做的7款配搭免揉麵包,李耀堂,2016-12-23,"
白吐司的100口好滋味 捨棄原味奶油和不草莓的罐頭草莓果醬吧! 吃麵包，你還能有更棒的100種選擇。   本書提供百款風味抹醬，全部都是運用天然油脂、高營養油品、真食物製作的「安心牌抹醬」，不僅不用擔心...more
",https://www.books.com.tw/products/0010738292?loc=P_0003_012
13,果醬二三事：22種時令水果 X 手作果醬 X 果醬料理,Jacqueline Ng,2016-10-21,"
本書作者幼時生活在鄉間，後回香港讀書，但鄉間的慢活生活一直留在心底而無法忘卻。終於幾年前下決心辭去中環律師樓的工作，嘗試自己手作果醬，未料大受歡迎。本書挑選春夏秋冬四季的20來款時令水果，教你...more
",https://www.books.com.tw/products/0010733032?loc=P_0003_013
14,「果醬女王」克莉絲汀.法珀的果醬聖經：270道詳盡食譜---無化學添加物、嚐得到天然風味。自己做!享受獨特濃郁的水果芳香 (贈送限量果醬貼紙),克莉絲汀．法珀,2015-11-27,"
「果醬女王」的克莉絲汀.法珀Christine Ferber 2015最新版 法國亞馬遜網路書店5顆星★★★★★推薦 270道精準食譜果醬製作的疑難排解Q&A 沒嚐過Christine Ferber等於沒吃過果醬!    在Google 打......more
",https://www.books.com.tw/products/0010696280?loc=P_0003_014
15,Good Jam 法式手作果醬食譜與應用 (附4款Flag`s幸運草單柄醬料碗含浮雕碗蓋),林怡辰,2015-09-10,"
[附 4 款 Flag`s 幸運草單柄醬料碗含浮雕碗蓋]  果醬上桌當然要搭配美美的餐具，我們為本書特別訂製 4 種顏色 (清新粉，薰衣紫，晴空藍，湖水綠) 的單柄醬料碗，並且獨家設計了幸運草浮雕碗蓋，打開漂亮的...more
",https://www.books.com.tw/products/0010687053?loc=P_0003_015
16,Good Jam 法式手作果醬食譜與應用,林怡辰,2015-09-10,"
煮果醬的基本工具   台灣本地水果的產期   果醬該使用什麼糖?   果醬瓶的消毒與封罐   果醬製作篇   草莓覆盆子果醬   甜桃茂谷柑果醬   百香蘋果醬   香草鳳梨果醬   綜合野莓醬   基本焦糖醬   果醬應用...more
",https://www.books.com.tw/products/0010687057?loc=P_0003_016
17,自己做!安心吃!超市買不到的極品果醬：純天然、最健康!不擔心會吃出問題的34款手工果醬配方+54種絕讚吃法(暢銷增訂版),施佳伶 (Linda),2015-04-10,"
(自己動手做無添加.純天然極品果醬 暢銷增訂版)   琳瑯滿目的市售果醬內含色素、香料、防腐劑……，   你吃得安心嗎?   想找一瓶「不會吃死人」的美味果醬?   手工果醬女王Linda老師教你DIY!   本書傳授用「...more
",https://www.books.com.tw/products/0010669755?loc=P_0003_017
18,自己做最安心!麵包機的幸福食光：麵包糕點╳果醬優格 健康美味零失敗,呂漢智,2014-10-01,"
廚房新手必備利器 不藏私大公開!   Step by step，告訴你CP值最高的麵包機實用教學。   備好料，按下按鍵，麵包、糕點、優格、果醬，   最天然健康的美味一機搞定!   本書三大重點 讓你一看就會!   重點一...more
",https://www.books.com.tw/products/0010650977?loc=P_0003_018
19,果醬女王Part 2,于美芮,2014-06-06,"
玩果醬 創作出屬於自已的滋味   以小火慢慢煮的水果，香氣散發出百分百的獨特誘人魅力，濃縮後帶著強勁甜酸，如同奶茶上的珍珠，人見人愛。    台式刨冰的配料很夠味，換成法式吃法，加上手工果醬，讓水果...more
",https://www.books.com.tw/products/0010639388?loc=P_0003_019
