,書名,作者,出版日期,內容介紹,網址
1,28天得舒飲食健康輕體計畫：結合100道營養低鈉食譜、睡眠、運動和壓力管理，全方位降低血壓與預防心血管疾病的終生受用減重法,"安迪·德·桑蒂斯,朱莉·安德魯斯",2020-10-19,"
本書以得舒飲食為主軸，貫穿規律運動、壓力管理與培養良好睡眠衛生等三面向，全方位探討如何透過均衡飲食及建立良好生活習慣達到降血壓、改善膽固醇、控制血糖與長效減重等多重目標。全書提供4週餐食規劃...more
",https://www.books.com.tw/products/0010873148?loc=P_0003_001
2,234瘦身飲食法：美女營養師實證!減肥不減健康，55道好油低醣家常菜，肉品海鮮、飯麵鍋物都能吃，1年激瘦23公斤!,宋侑璇,2020-09-17,"
超人氣減重營養師宋侑璇 重磅回歸!! 睽違6年最新力作《234瘦身飲食法》 根據人體所需的營養素比例原則， 給你最正確的「低醣好油飲食建議」並親研「55道低醣家常菜」 營養師親身實證一年激瘦23公斤!  →你...more
",https://www.books.com.tw/products/0010869763?loc=P_0003_002
3,日本常備菜教主「日日速配。快速上菜調理包」103道：利用空暇製作，可以直接上桌、變化組合、省錢快速立即開動!,松本有美,2020-08-13,"
書籍銷售45萬冊!   日本常備菜教主最新食譜，沒時間也能快速上菜的「快速上菜調理包」   美味 ╳ 多變化 ╳ 無壓力=「日日速配。快速上菜調理包」!   空暇時製作好「快速上菜調理包」，20分鐘就能輕鬆速配成...more
",https://www.books.com.tw/products/0010866194?loc=P_0003_003
4,日日減醣超市料理攻略,張晴琳（圈媽）,2020-08-05,"
【日日減醣持久實踐版】 減醣不能三分鐘熱度! 讓隔壁的那間超市，做你最便利的應援隊友， 把減醣變成長久的「飲食習慣」   ◎甩掉18公斤不稀奇，不復胖才是重點!──圈媽教你如何讓減醣變成飲食習慣   很多人...more
",https://www.books.com.tw/products/0010865248?loc=P_0003_004
5,【超完整】減醣控醣大百科,水野雅登,2020-08-03,"
減醣控醣的7大重點 +弱‧中‧強不同等級的健康減醣提案 +提升減醣效果的吃法 +118道減醣版料理 +308種食品含醣量指南 =全力支援你的醣質OFF生活   \只要減醣就能/   ✓恢復年輕：改善髮質、改善肌膚問題、預...more
",https://www.books.com.tw/products/0010865286?loc=P_0003_005
6,《高蛋白低碳水減重料理》1+2 套書：從70減到48kg韓國超人氣IG網紅，不復胖177道「美味瘦身食譜」，共二冊,Mini朴祉禹,2020-07-15,"
■《高蛋白低碳水減重料理》1+2 套書：從70減到48kg韓國超人氣IG網紅，不復胖177道「美味瘦身食譜」，共二冊，含：   《高蛋白低碳水減重料理》0失敗0壓力，狂瘦22kg不復胖的87道美味瘦身食譜   《更快更簡...more
",https://www.books.com.tw/products/0010863709?loc=P_0003_006
7,做自己的運動營養師：掌握增肌減脂營養關鍵x主廚特製運動餐，吃好吃飽才能瘦，打造理想體態不求人,"好食課營養師團隊,張詣Eason",2020-07-15,"
運動吃貨主廚&網路人氣營養師團隊 教你吃更瘦、動更瘦! 做好運動營養管理，減醣x減脂x增肌讓你代謝佳、穿什麼都好看 更提早為10年後的你儲備穩固「肌力資本」，抗老化超前部署!   ★營養師教你運動前中後怎...more
",https://www.books.com.tw/products/0010863293?loc=P_0003_007
8,健身狂料理全書：增強肌肉、精實身材、保持健康的科學飲食法與120道實用食譜,麥可．馬修斯（Michael Matthews）,2020-07-11,"
【強力推薦】 (依姓名筆劃順序排列) iYA-Inyoung Athletes 運動營養團隊|知識型網紅 May Liu|人氣健身女孩 江旻諺|JohnFit創辦人、Coach Chiang Strength & Conditioning部......more
",https://www.books.com.tw/products/0010863007?loc=P_0003_008
9,減脂力!21天有感快瘦計劃：53道懶人也不怕的低卡美味料理X超實用外食攻略,雀兒Chelsea chiang,2020-07-06,"
\人氣飲食規劃達人──雀兒/ 擁有13萬粉絲、協助超過百人成功減脂! 即使減重，也要每天吃得像皇后!吃得開心才能持續不復胖!   減重，是一段身心靈的磨練!   21天打造不被數字綁架的飲食習慣，   靈活飲食讓...more
",https://www.books.com.tw/products/0010862619?loc=P_0003_009
10,增肌.減脂.高蛋白 MEAL PREP備餐便當：營養師研發， 500卡健身瘦身便當,牛尾理恵,2020-06-24,"
增肌.減脂.健身，從適當的飲食下手 風靡歐美健身圈的「MEAL PREP備餐便當」 設計菜單、計算營養、提前準備 三步驟化繁為簡，一次做好四便當    ◎ 什麼是MEAL PREP備餐便當?   「MEAL PREP」這個新詞彙，為...more
",https://www.books.com.tw/products/0010861468?loc=P_0003_010
11,越吃越瘦 享瘦家常菜,文怡,2020-06-19,"
60道一定要學起來的好味道 讓你窈窕‧健康‧享瘦    「吃」是想瘦族的天敵?唯有節食，才能達到瘦身的目的嗎?從現在起，「瘦身族」不必再受這些傳統觀念的束縛。只要照著文怡提供的60道食譜，不僅可以滿足你...more
",https://www.books.com.tw/products/0010861855?loc=P_0003_011
12,養好肺 強體質 64道增強肺臟日常食療,萬里編輯委員會,2020-06-12,"
要增強肺部及呼吸道健康，遠離疾病，除了密切做足個人衞生措施外，也可以通過食療強化肺臟，以增強自身抵抗力，將外在病菌通通趕絕。    本書介紹64道湯水、日常菜餚、茶飲及甜品，透過常用的食材，在日常...more
",https://www.books.com.tw/products/0010861538?loc=P_0003_012
13,營養師杯蓋的500大卡一定瘦便當：針對減脂&減醣&增肌研發菜單，自由搭配每餐菜色，正常吃不會餓,營養師杯蓋（蕭瑋霖）,2020-06-02,"
主食+主菜+副菜1+副菜2=1個便當 全書每一種類便當菜都可以互換，餐餐不重複 另附菜單設計大解密，素人可輕鬆自學!    曾為數萬個小學生、數千個員工研發營養午餐的營養師杯蓋，   具有營養專業背景，特長...more
",https://www.books.com.tw/products/0010859139?loc=P_0003_013
14,大口吃肉的減醣瘦身法：72道美味料理，控制血糖吃出健康好身材,江部康二,2020-05-28,"
這次絕對能成功!不挨餓的限醣飲食，一次公開72道低糖又美味的肉料理。   不是不吃醣類、油脂就能減重，讓日本限醣飲食界權威——江部康二醫師，導正你的限醣觀念!   限醣飲食總是無法持之以恆?低醣料理都吃...more
",https://www.books.com.tw/products/0010853037?loc=P_0003_014
15,不靠食譜就能做好菜：料理研究家的65則「煎煮炒炸」烹飪心法，在飯菜香中體現食物真味,有元 葉子,2020-05-28,"
★熱銷突破20萬冊˙榮獲「日本年度料理書大賞」★ 不用食譜也能做好菜的神技滿載! 大幅提升烹調技能，翻轉料理生涯的唯一指南。    ★料理，從來就該是一件享受的事。   不受制式步驟拘束，依然能夠端出「令人...more
",https://www.books.com.tw/products/0010858227?loc=P_0003_015
16,健身減脂就是這麼簡單!吃不膩的302道低醣料理,,2020-05-27,"
「我想認真實行生酮飲食!」   「我只是想稍微減醣，不想太勉強自己。」   「很想實行減醣飲食，可是沒時間每餐都自己煮……」   「減醣以後能吃的就那些，一下子就吃膩了，無法持續!」   不用擔心，這本書能...more
",https://www.books.com.tw/products/0010858641?loc=P_0003_016
17,千萬粉絲都想學!歡歡馬麻教你做小孩最愛的50道點心料理,歡歡馬麻（郭仁阿）,2020-05-21,"
『溫暖大人&孩子的50道幸福料理』全新封面再版  超過3000萬的粉絲引頸期盼 韓國YES24書店，讀者五星好評推薦! 韓國千萬人氣料理部落客-歡歡馬麻， 教你做出最營養、超好吃的50道溫暖料理。             跟...more
",https://www.books.com.tw/products/0010857942?loc=P_0003_017
18,想瘦嗎?跟著我吃吧!,李婉萍,2020-05-08,"
吃對食物，不用餓肚子簡單瘦!   排毒順暢蔬果汁+低卡輕食沙拉+高纖蔬食料理+低脂養生湯品   =代謝力UP!頑固脂肪OUT!   要減肥，澱粉一定要吃!節食減肥，只會越來越胖!   吃對食物就變瘦‧超簡單甩肉減肥法 ...more
",https://www.books.com.tw/products/0010857009?loc=P_0003_018
19,健康吃.營養瘦：400卡減醣餐+營養知識打造不復胖體質,呂孟凡,2020-04-29,"
錯誤的減重方式，只會傷害身體而且更難瘦下來! 吃得健康、正確地攝取營養，才能真正甩掉負擔、瘦得漂亮!   ★營養瘦=透過正確的營養及熱量攝取，   確實達到減重的效果。   ★最有效的方法，往往也是最簡單...more
",https://www.books.com.tw/products/0010855647?loc=P_0003_019
20,土克鍋完全料理指南：從日常的料理到宴客菜，都用土克平底鍋完成的61道食譜,野口英世,2020-04-27,"
新手必看▶第一本土克平底鐵鍋專門食譜   廚房必備▶各國餐廳職人推崇的鍛造鐵鍋   進階必學▶網羅從主食到甜點全品項料理    土克鍋是由德國工匠打造的一體成形鍛鐵鍋，透過搥打燒至炙紅的生鐵，直到成形，...more
",https://www.books.com.tw/products/0010855499?loc=P_0003_020
