,書名,作者,出版日期,內容介紹,網址
1,Patsy煮意：教你策劃自家完美派對Your Party Your Way,張廼華,2019-12-12,"
這是一本為每一位富品味、着重細節，享受與摯愛親朋共度美好時光的女性而設的書。   香港首本由專業廚師、營養師、糖花蛋糕師、精油師、統籌活動專家撰寫的籌劃派對專書，教你如何有條不紊地為準新人、情...more
",https://www.books.com.tw/products/0010843846?loc=P_0003_001
2,基哥盛宴,李文基,2019-12-12,"
世界御廚鮑魚大王楊貫一真徒、香港資深名廚人稱基哥的李文基，繼《鮑參翅肚燕》後，再下一城為讀者炮製佳餚食譜《基哥盛宴》，除了繼續收錄極受歡迎的鮑魚、遼參、花膠等的獨門烹飪心得外，亦新增了基哥獨...more
",https://www.books.com.tw/products/0010843904?loc=P_0003_002
3,滿漢筵席,群生飲食技術人員協會,2019-06-21,"
「學術、傳承、慈善」是澳門烹飪協會及群生飲食技術人員協會出版是次成書的目標。   滿漢全席是中華民族具代表性的飲食文化，是清朝的一種皇族筵席，融合滿族及漢族高端的烹調技術，分為四款宴席：金花宴...more
",https://www.books.com.tw/products/0010859137?loc=P_0003_003
4,出得廳堂宴客菜(中英對照),Forms Kitchen 編輯委員會,2019-05-03,"
將「料理教室」系列重新編著，書內包含38個食譜，有冷盤、主菜、飯麵、甜品，可因應賓客需求設計合心意的宴席菜單，少油少鹽隨你選配，每道菜詳細解釋烹調秘技，令你掌握要點，消除宴席做菜的疑慮。...more
",https://www.books.com.tw/products/0010821117?loc=P_0003_004
5,自作煮張(中英對照),Jacky Yu,2018-12-28,"
此書有前菜、主菜、湯•鍋和甜品，Jacky推廣原創的自煮風味，有意想不到的組合，讓你在家煮食樂趣無窮。...more
",https://www.books.com.tw/products/0010809647?loc=P_0003_005
6,令人驚豔的夢幻剖面料理：華麗的剖面模樣，加上擺盤巧思，讓家常菜變得更有趣，派對宴客也絕對大獲好評!,市瀬悦子,2018-10-05,"
細細捲起、層層堆疊， 再一刀切開目睹料理的內在風采!   本書介紹花捲料理、千層料理、凍派料理這三大料理，料理本身作法和材料都簡單易取得，均是平易近人的家常料理，只須要花一點心思和技巧，就能讓菜...more
",https://www.books.com.tw/products/0010801025?loc=P_0003_006
7,好吃又澎湃!創意熱炒40道：一鍋三步驟，從家常到宴客，豐盛食材美味上桌!,瓦勒利．多樂,2018-10-03,"
1個鍋X3個步驟=怦然心動的好滋味!   在家也能輕鬆搞定宴客菜，享用熱騰騰的澎湃好味道   雞鴨牛豬X海鮮X蔬食X水果X主食=中西融合+創意熱炒   40道豐盛美味炒鍋X嶄新食譜X味蕾饗宴，你家就是幸福小食堂!   ...more
",https://www.books.com.tw/products/0010798947?loc=P_0003_007
8,懷舊宴客菜：餐廳宴客篇、家庭宴客篇、點心篇,"林振廉,楊豐榮,江裕春,潘宏基",2018-07-18,"
台菜，顧名思義是道地的『台灣菜』，四百多年的經驗累積，先民一代一代的傳承菜色，是最私土斯民的台灣特色菜。   早期的移民基本上都是以閩粵為主，其中多數來自漳、泉兩州。遷移台灣後因地理、氣候、農...more
",https://www.books.com.tw/products/0010793294?loc=P_0003_008
9,誰也能輕鬆上手的派對料理書,研出版眾作者,2018-06-15,"
賣點：   要舉辦精彩絕倫的派對，少不了美食點綴。   開派對最費神的，莫過於滿足不同來賓口味。   這本書提供四十七種選擇，四十七種美味，四十七種私人訂製的滿足感…….   即使面對再大型的派對，也不用...more
",https://www.books.com.tw/products/0010789930?loc=P_0003_009
10,過年囉!歡喜團圓做年菜,程安琪,2017-12-05,"
烹飪教育家傅培梅精心傳承， 廚藝名師程安琪首次分享家傳年菜， 91道程家私房菜及手工菜， 說典故、巧手做、點訣竅，毫不藏私。 讓你輕鬆學會名廚家的年節料理。   作者從回想與家人的溫馨、快樂的年夜飯...more
",https://www.books.com.tw/products/0010772352?loc=P_0003_010
11,今天，到Rika家聚餐吧!：餐桌上，大人小孩都喜歡的100道快樂食譜,Rika(新井利佳),2017-09-06,"
不需再為請客聚餐傷腦筋，這裡提供100道美味料理，   除了可以當成每天的日常飲食，也可以是聚餐時，當成款待重要客人的宴客菜。   不僅菜色多變化，更能讓所有人享受餐桌上溫馨、歡愉的氣氛。   即使只是...more
",https://www.books.com.tw/products/0010763330?loc=P_0003_011
12,館子必點料理完整收錄,楊桃文化,2017-09-06,"
暢銷食譜二合一合訂版!原定價449元，限量特價250元!下殺56折大回饋!   本書是以下兩本書之合訂版，內容資料恐有重覆，購買前請詳閱內容。     別刊152 用電鍋做150道人氣館子菜   電鍋是每個家庭必備的法...more
",https://www.books.com.tw/products/0010763887?loc=P_0003_012
13,來開一場派對吧!：10大餐桌風格提案X63道聚會料理,江川晴子,2017-07-25,"
~我家的宴會只需要一樣東西，就是驚喜!~ 日本頂尖PARTY DESIGN公司18年來PARTY心法+技法傾囊相授， 展現日本「款待」精神+「輕鬆」氛圍營造， 組合料理X器皿X季節的派對提案!   ——派對是一場人與人聯繫情...more
",https://www.books.com.tw/products/0010758892?loc=P_0003_013
14,台菜的一年：重溫記憶裡的四季台灣味，地瓜稀飯、紅燒鰻、紅蟳米糕、烏魚米粉……。(隨書附贈精美海報食譜),黃婉玲,2017-04-05,"
我們吃的是一整個時代的滋味。   一本人文食譜，帶你回味過去的時光，走過從前的春夏秋冬。   *本書收錄傳統老台菜食譜，最純粹簡單的食材，最容易上手的作法，輕鬆複製舊時的美味。   *隨食譜撰寫關於味...more
",https://www.books.com.tw/products/0010747986?loc=P_0003_014
15,我的快樂家宴：在家請客So easy,陳亮萌,2017-03-15,"
50道美味創意料理‧12個月的幸福能量     我愛朋友、愛美食、愛料理   更喜歡為朋友烹好料、做好菜   書中各式餐點Menu   專為不同飲食習慣的朋友貼心設計   基本食材 × 時令蔬果 × 輕鬆烹調   讓「家」成...more
",https://www.books.com.tw/products/0010746841?loc=P_0003_015
16,快速完成的聚餐菜大收錄,楊桃文化,2016-12-29,"
15分鐘內完成聚餐菜 [快速上桌]   本篇收錄10~15分鐘就能完成的各種聚餐請客菜，快速但豐盛!不用花太多時間，大家馬上就能享用。   備好隨時上桌聚餐菜 [備好省時]   利用有空時來準備一些可以保存的料理...more
",https://www.books.com.tw/products/0010738158?loc=P_0003_016
17,跟著季節走 完美派對料理提案：結合天氣、節日和當季食材，每個月都來一場美食饗宴吧★,Food sommelier,2016-10-05,"
有用心製作的料理，再加上大家的笑容，就是一場成功的料理派對!     派對應該是一種更貼近生活、更簡單的東西。因此，我們必須在開始前，先稍微準備一下。請參考food-sommelier團隊的料理訣竅和食譜，以輕...more
",https://www.books.com.tw/products/0010729859?loc=P_0003_017
18,大廚小宴(第二版)(中英對照),廖教賢,2016-08-19,"
入廚新手必學宴會祕笈   依法選料，把握重點，炮製零失敗宴客菜   榮獲2013年 Gourmand World Cookbook Awards 香港最專業食譜和最佳主廚食譜大獎   作者特別設計了六款不同主題的宴客餐單，適合夏季、秋...more
",https://www.books.com.tw/products/0010725864?loc=P_0003_018
19,精緻宴會菜,"陳國棟,陳恆潔,陳楓洲,陳琮錤",2016-08-12,"
首重飲食，次重宴樂   「宴」為酒席、筵席也，主家以酒飯款待賓客。《易經.需卦.象曰》：「雲上於天，需，君子以飲食宴樂。」   「客」為賓、為友。《禮記.曲禮下》：「主人敬客，則先拜客；客敬主人，則...more
",https://www.books.com.tw/products/0010724771?loc=P_0003_019
20,用電鍋快鍋辦桌(新版),楊桃文化,2016-08-04,"
說起「電鍋」，長一輩人的心裡絕對忘不了「大同，大同，國貨好……」大同寶寶可愛的模樣及家家戶戶都有一台大同電鍋，幾乎是五、六零年代的代表，但曾幾何時這樣的景象已不復見，現在的新新人類視「電鍋」為...more
",https://www.books.com.tw/products/0010722657?loc=P_0003_020
21,日常沙拉與宴客沙拉：日本最難預約烹飪教室的食尚法則，99道頂級擺盤X24款活用淋醬，不可思議的款待料理!,佐藤紀子,2016-07-02,"
在家做出日本超人氣料理研究家的沙拉盛宴! 有時獨樂享用 有時圍桌聚餐 兼顧健康與風味 以一盤沙拉為自己、為他人獻上盛情款待   空閒時簡單備料，享用前輕鬆拼裝，99道精緻合宜擺盤   24款百變淋醬靈活搭...more
",https://www.books.com.tw/products/0010718529?loc=P_0003_021
22,小餐桌的60道宴客料理,世一文化編輯小組,2016-06-01,"
你還在煩惱親朋好友上門時，要如何準備滿桌好菜，才能既不失禮，又能博得熱烈掌聲嗎?本書隆重介紹60道澎湃、好看、又好學的宴客菜，讓你在家也能輕輕 鬆鬆搞定整桌宴客好料，讓客人吃得開心，自己煮得開心...more
",https://www.books.com.tw/products/0010718347?loc=P_0003_022
23,總鋪師辦桌：再現老台菜的美味記憶(增訂新版),"林偉民,黃婉玲",2016-03-01,"
啟發電影《總鋪師》的美食書 重現古早味辦桌菜，不僅分享廚藝故事， 通心鰻、菊花筍絲干貝、雞仔豬肚鱉、布袋雞等大菜料理祕笈一一公開上菜!   還記得早期的台灣，舉凡婚喪喜慶，總喜歡在自宅門前、曬穀場...more
",https://www.books.com.tw/products/0010706067?loc=P_0003_023
24,餐桌上的款待藝術：向料理家學習擺盤技巧與人氣食譜，人人都能在家請客、優雅上菜,中村美穗,2016-01-28,"
★一看就會、即學即用★ 第一本以日常料理為主題的家宴餐桌擺盤書   ▸▸▹選用容易取得又能體現季節風味的食材   ▸▸▹以「沙拉」、「義大利麵」和「甜點」打造氣派款客菜單   ▸▸▹善用香草及優雅巧思裝飾出一盤...more
",https://www.books.com.tw/products/0010703588?loc=P_0003_024
25,最受歡迎聚餐菜大集合,楊桃文化,2016-01-05,"
最受歡迎聚餐菜大收錄   最受歡迎聚餐菜   三杯雞，醉雞腿，蒜泥白肉，糖醋排骨，宮保雞丁，紅燒獅子頭，滑蛋牛肉，椒麻雞腿，魚香肉絲，粉蒸排骨，筍乾蹄膀，滷味拼盤，紅燒魚，豆酥鱈魚，蒜蓉蒸草蝦，檸...more
",https://www.books.com.tw/products/0010701755?loc=P_0003_025
26,點菜率最高餐廳菜排行榜,楊桃文化,2015-10-31,"
點菜率最高熱門餐廳菜排行榜   熱門餐廳菜排行榜Top30   蟹黃豆腐煲,鮮蝦粉絲煲,紅燒豆腐,三杯雞,糖醋里肌,五更腸旺,鳳梨蝦球,鹽酥大蝦 , 薑絲大腸,台式蒸魚,豆酥鱈魚,香煎松阪豬,醬爆螃蟹,口水雞,魚香肉...more
",https://www.books.com.tw/products/0010694576?loc=P_0003_026
27,跟著大廚學做餐廳菜,楊桃文化,2015-10-06,"
把450道餐廳菜學回家   本書精選450道台灣人最喜歡吃的餐廳菜，把餐廳做菜的美味祕訣，不藏私地分享給您。   Part1 50大熱門餐廳菜排行榜   Part2 精緻快炒   Part3 蒸煮滷燉   Part4 酥炸燒烤   Part......more
",https://www.books.com.tw/products/0010691063?loc=P_0003_027
28,從擺盤到上菜125道獨創開胃菜,柳館功,2015-09-29,"
所謂開胃菜，是套餐最開始所提供的少量料理，原先主要是用來搭配餐前酒，但最近開始有不少餐廳會精心製作開胃菜，將它作為促進食慾、銜接前菜或主菜的角色。   對於料理人而言，開胃菜也是能激發創作靈感...more
",https://www.books.com.tw/products/0010690392?loc=P_0003_028
29,星級菜自家煮,Bonnie玻璃朱,2015-08-20,"
在外用餐嘗到難以忘懷的好滋味，其實只要把握到秘訣，就能化繁為簡，在家輕鬆煮出大廚級美味!   ● 50道多國精緻料理，中英對照步驟詳細   ● 星級低溫慢煮食譜，加上慢煮建議溫度表，呈現食材鮮活原味   ● ...more
",https://www.books.com.tw/products/0010686859?loc=P_0003_029
30,開懷歡聚節慶菜(中英對照),馮筱儀,2015-08-14,"
作者馮筱儀重視與家人友好聚會過節，堅持親自炮製美食，以食會友。   本書分為六個節日主題，包括冬至、團年飯、開年飯、清明節、中秋節、聖誕及元旦大餐，針對不同的節日，以煎炒煮炸燜燉蒸等多元化烹調...more
",https://www.books.com.tw/products/0010686441?loc=P_0003_030
