,書名,作者,出版日期,內容介紹,網址
1,150道排毒瘦身涼拌菜,李婉萍,2020-05-29,"
跟著營養師吃出輕瘦美‧健康窈窕新選擇 清爽高纖‧美味低卡‧無油煙料理   150道大受歡迎清爽料理，飽足好享瘦   炎炎夏日、食慾不振怎麼辦?涼拌菜搭配少量澱粉，美味營養輕鬆上桌；150道人氣料理，輕鬆做好...more
",https://www.books.com.tw/products/0010859952?loc=P_0003_001
2,涼拌菜,"李哲松,李志鴻",2020-05-22,"
●清爽開胃涼拌菜技法全公開   料理達人完整公開「生拌、醃拌、熟拌、灼拌、溫拌、嗆拌」6大涼拌技法，每種技法分別示範數道美味涼拌沙拉，即使是廚房新手也能輕鬆上手。   ●輕食沙拉涼拌低卡瘦身   利用生...more
",https://www.books.com.tw/products/0010859514?loc=P_0003_002
3,一次學會100道世界美味涼拌常備菜,"葉光涵,黃經典",2019-10-03,"
完整收錄 中式、臺式、南洋、日式、韓式、法式、義式、美式、墨西哥、德式、西班牙 一吃就上癮的超人氣醬料，一日三餐隨意組合，美味好料立即上桌  用清爽順口、爽胃開脾的各國涼拌佳餚，陪伴您度過快樂的...more
",https://www.books.com.tw/products/0010834804?loc=P_0003_003
4,台灣漬･24節氣的保存食[三版],種籽設計,2019-09-14,"
★深受料理人、飲食文化研究職人喜愛，暢銷改版再上市! ★帶你認識台灣的風土，台灣的漬物，吃出百年傳承好智慧、好滋味! 依照不同節氣出產、來自台灣各地的食材果蔬物產，以【糖漬】、【鹽漬】、【醋漬】、...more
",https://www.books.com.tw/products/0010833369?loc=P_0003_004
5,醃漬與釀酒,曹健,2019-07-26,"
從蔬果的醃漬原理，到各類泡菜的作法； 從醬菜的基本概念，到各類醬菜的製作； 從釀酒的基本概念，到酒麴的製作； 作者傳授了各類穀物酒與水果酒的釀造方法， 並教你如何自製不同的食醋。   為了讓大家重...more
",https://www.books.com.tw/products/0010829354?loc=P_0003_005
6,媽媽教你人氣蔬食涼拌菜,"張志賢,李哲松,李志鴻",2019-05-03,"
1. 引爆蔬食潮流新風尚   在追求樂活輕食的風潮中，蔬食料理成為當紅炸子雞。蔬食不等於素食，以蔬果雜糧為要角的主食，加轉為配角的少量魚肉豆蛋奶，「蔬食」可以吃的更健康、更均衡、更百搭，不但變化多...more
",https://www.books.com.tw/products/0010820831?loc=P_0003_006
7,自己醃：DIY醃蘿蔔乾、梅乾菜、酸白菜、筍乾、鹹豬肉34種家用做菜配料,"古麗麗,徐茂揮",2018-08-15,"
學會基本醃漬的原則技巧，等於學會所有醃漬菜。   以天然方法醃製的做菜配料，減糖、減鹽，多了酵素，吃了更健康。     蘿蔔乾、蘿蔔絲、蘿蔔錢→ 蘿蔔變身各種做菜配料，提鮮必備。    酸菜、福菜、梅乾菜...more
",https://www.books.com.tw/products/0010795330?loc=P_0003_007
8,玻璃罐中西式食譜二書：戀戀家常備菜+罐沙拉小時光,"戀戀家,茱莉亞‧梅拉貝拉",2018-07-17,"
玻璃罐中西式食譜二書，全套共含：   ◆罐沙拉小時光：74道 Mason Jar食譜，從沙拉、義麵、燉飯到醬料，多層次美味就在罐子裡!   ◆戀戀家的玻璃罐中西式常備菜   ◆罐沙拉小時光   Mason Jar玻璃罐最棒的三...more
",https://www.books.com.tw/products/0010792156?loc=P_0003_008
9,涼拌、熱炒、醃漬小菜108：自家天天食用、可當常備菜，省時省力，菜色多變化,郭月英,2018-07-13,"
清爽、開胃、吃不膩，料理名師郭月英的私房拿手小菜!   省時、快速，立刻烹調立刻吃，   忙人、懶人、料理新手都適合!   遇到以下這六種狀況，你更需要這本書!   ❶炎炎夏日沒食慾，總是煩惱要吃什麼!   ❷...more
",https://www.books.com.tw/products/0010792305?loc=P_0003_009
10,手釀梅子廚房：小分量釀梅+以梅入菜的32道食譜,若山曜子,2018-02-01,"
小分量釀梅，步驟簡單不繁複， 一個人也能輕鬆上手， 搭配圖解Step by Step，釀出小而美的酸甜好滋味!   不需要傳統的大醬缸，也不需要寬廣遼闊的庭院，   只需要有密封玻璃罐或附夾鍊的保鮮袋，   都市裡...more
",https://www.books.com.tw/products/0010777373?loc=P_0003_010
