,書名,作者,出版日期,內容介紹,網址
1,自炊時代，我的自煮料理：一週煮三次，將當令食材輕巧用完，款待自己的七十二道美味食譜。,山口祐加,2020-11-05,"
「自己煮來款待自己」，滿足的並不僅是胃， 而是回歸「好好吃飯」的療癒時刻!    #你今天自煮了嗎?   你今天也為辛苦的自己煮一頓好吃的飯了嗎?   是否想在那快速的料理過程，打造出俐落得不得了的自己?  ...more
",https://www.books.com.tw/products/0010873602?loc=P_0003_001
2,只看一眼就會煮：「免秤量」「免菜刀」「免剩食」「免開火」，4大類食譜任你挑!24萬粉絲加持的JOE桑｡圖解103道美味料理!,JOE桑｡,2020-10-14,"
明明沒做什麼，怎麼會這麼好吃! 獨門食譜獨家公開 日本亞馬遜書店讀者五星評價!   免秤量/免菜刀/免剩食/免開火   4大類食譜，103道美味料理，每道頂多4步驟!   方便簡單易上手，省時省工省麻煩的日常美味...more
",https://www.books.com.tw/products/0010872647?loc=P_0003_002
3,【完勝】冰箱常備菜：一口氣做起來放!快速、簡單、變化多端(二版),nozomi,2020-10-13,"
一個人也很適合!擺在一起就是便當! 從單盤到套餐，2週常備菜計劃，從此不再苦惱晚餐! ★ 日本料理食譜大賞最新續作 ★ 系列銷量已突破1,000,000冊 ★ instagram 100萬人追蹤!    更進化、更超值的常備菜日常 ...more
",https://www.books.com.tw/products/0010873106?loc=P_0003_003
4,懶人耍廢食堂：115道食慾全開的無敵美味,薩巴蒂娜,2020-10-08,"
零壓力!開心煮!宅在家也能吃爽爽  從採買、備料到調味、烹飪， 懶人必學家常菜，簡單料理零失敗， 輕鬆實踐自炊生活，天天在家開飯!    ★超省時小撇步!懶人料理×美味上桌的日常好食提案   下廚嫌麻煩?備料...more
",https://www.books.com.tw/products/0010872040?loc=P_0003_004
5,〔終極〕冰箱常備菜：更簡單!更快速!更好吃!常備菜一週計劃，主菜、副菜與炊飯的美味組合(二版),nozomi,2020-09-28,"
日本料理食譜大賞! 系列銷量突破110萬本! 創造出屬於你的一週常備菜計劃!  太便利了!熟悉《冰箱常備菜》之後， 料理手順再進化!智慧烹調，彈性的常備菜生活， 從準備到收拾一氣呵成，又快又好!    *******...more
",https://www.books.com.tw/products/0010873892?loc=P_0003_005
6,沒廚房·零廚藝·易胖體質減脂求生記：私人教練Ola單身小套房裡的完美健康餐桌,Ola喬,2020-09-23,"
一台微波爐就夠了! 輕鬆搞定三餐 & 滿足愛甜點的胃。 ***************************************** \作者心路歷程/ 沒有瓦斯爐➡️只有一台微波爐 沒有流理台➡️書桌切菜.廁所洗菜 沒有餐桌➡️書桌上......more
",https://www.books.com.tw/products/0010870251?loc=P_0003_006
7,食驗煮義：克里斯丁&廚師漢克的創意廚房，讓你隨心所欲做出50道超美味料理!,"克里斯丁,廚師漢克",2020-09-14,"
食譜是死的，料理是活的。 發揮「食驗」精神，創造個人「煮義」!   37萬粉絲敲碗期待!超人氣料理YouTuber克里斯丁&「性感派主廚」廚師漢克首度攜手美味出擊!   每個人的生活風格，可以用飲食來建立，「人...more
",https://www.books.com.tw/products/0010869692?loc=P_0003_007
8,日本常備菜教主「日日速配。快速上菜調理包」103道：利用空暇製作，可以直接上桌、變化組合、省錢快速立即開動!,松本有美,2020-08-13,"
書籍銷售45萬冊!   日本常備菜教主最新食譜，沒時間也能快速上菜的「快速上菜調理包」   美味 ╳ 多變化 ╳ 無壓力=「日日速配。快速上菜調理包」!   空暇時製作好「快速上菜調理包」，20分鐘就能輕鬆速配成...more
",https://www.books.com.tw/products/0010866194?loc=P_0003_008
9,料理神手吳秉承的最強懶人烹調術：複雜OUT!手殘OK!善用電鍋、烤箱、氣炸鍋，一指搞定中、西美味，運用市售調味料、麵條，一味也能做出千百味!,吳秉承,2020-07-15,"
型男主廚吳秉承的新創意料理，好吃到驚呼連連! 利用各種小家電，電鍋、烤箱與氣炸鍋做出絕品好菜! 善用市售調味料，輕鬆做出美味佳餚! 異國料理，在家也能輕鬆上桌。 100道快速好上手的美味料理! 保留食物...more
",https://www.books.com.tw/products/0010863115?loc=P_0003_009
10,極廢食堂：人生無力，更要填飽肚子!65道筋疲力盡時必備超簡單食譜,犬飼TSUNA,2020-06-24,"
今天也辛苦了!你現在的體力(HP)剩多少?  點閱率300萬次↑日本Web食譜研究家精選65道—— ★★★廢系療癒極簡食譜!體力剩5%也能煮★★★    市面上食譜書何其多，為何需要這一本?   累趴倒地的時候，本食譜正是你的...more
",https://www.books.com.tw/products/0010860784?loc=P_0003_010
