,書名,作者,出版日期,內容介紹,網址
1,海味遇上湯,"榮式住家飯,海味二代",2020-09-22,"
幸福海味住家湯   80後烹飪KOL傳授煲湯訣竅   上環海味老店二代教揀靚料   57款中英對照養生湯水食譜   亂世裡，我們需要暖胃也暖心，好好保重身體。...more
",https://www.books.com.tw/products/0010872121?loc=P_0003_001
2,養生燉補湯,郭泰王,2020-09-04,"
濃湯、羹湯、清湯、燉湯和煲湯，美味湯頭要怎麼做?   示範120道家常湯品和12種美味高湯熬煮秘訣，附煮湯技巧與食補功效，精彩又完整，讓你搖身變成「湯王」!  本書特色    ◆介紹煮湯的技巧訣竅：內容有可...more
",https://www.books.com.tw/products/0010869788?loc=P_0003_002
3,湯湯水水好養人,薩巴蒂娜,2020-06-12,"
湯的品種多種多樣，做法也各異。本書精選九十款靚湯，根據湯的功效分為：成長助力湯、養顏美容湯、知心愛人湯、延年益壽湯、四季養生湯五個章節，無論是兒童，年輕人還是老人都有適合的湯品。本書推薦的靚...more
",https://www.books.com.tw/products/0010861575?loc=P_0003_003
4,燉補好湯增強抵抗力,陳彥甫,2020-05-22,"
四季對症調理進補+元氣好湯百變風情+自己做最安心 百大健康食物&滋補藥材全公開，聰明搭配喝出好體質   ◎8大類補湯動手做，強健體質不生病   收錄雞肉、鴨肉、豬肉、牛肉、羊肉、魚類、海鮮水產、蔬菜8大...more
",https://www.books.com.tw/products/0010859522?loc=P_0003_004
5,長壽味噌湯：醫學實證!一天一碗，輕鬆喝出不生病的免疫力!,小林弘幸,2020-04-30,"
在日銷售突破80萬冊!日本2019年度實用書暢銷NO.1! 醫學實證!一天一碗，輕鬆喝出不生病的免疫力! 日本知名自律神經專家小林弘幸長年研究出的「長壽味噌湯」!   最簡單的味噌湯，化身最強免疫食療!   作法簡...more
",https://www.books.com.tw/products/0010855184?loc=P_0003_005
6,100道預防都市病家常湯水,當中藥哥遇上湯姐時,2020-04-23,"
緩解16種症狀，改善易病體質   給家人最窩心的保健靚湯   喉嚨乾、容易咳嗽、睡不好、濕重疲倦、   熱氣、面色差、飽飽滯滯、全身痠痛……   飲湯幫到你!   祖輩傳下來的養生智慧x媽媽級的豐富煲湯經驗   無...more
",https://www.books.com.tw/products/0010855271?loc=P_0003_006
7,寬鬆生酮減醣.抗癌蔬菜湯：日本防癌研究權威醫師的65道優質抗癌湯，有效預防失智、慢性病，遠離癌時代!,,2020-04-01,"
★日本防癌研究權威‧福田醫師的最強蔬菜湯★ 人人都可輕鬆實踐，簡單喝出抗癌力! 「寬鬆減醣」+「生酮湯品」 將每天醣質攝取量限制在80g，就能預防及不復發癌症! ✓無壓力瘦身✓抗老化✓增強免疫力✓預防生活習...more
",https://www.books.com.tw/products/0010852681?loc=P_0003_007
8,大忙人的電鍋素燉補：零失敗、免廚藝、提升免疫力的養生湯品天天做,江豔鳳,2020-04-01,"
萬能的電鍋不僅能煮飯，製作起燉補料理更是簡單又方便   最適合大忙人、大懶人，以及零廚藝、無基礎的廚房新手!   這本書收錄江豔鳳老師多年使用電鍋的心得，設計出一道道美味又養生的燉品，一天一道，遠...more
",https://www.books.com.tw/products/0010853804?loc=P_0003_008
9,薩巴廚房：在家吃火鍋,蕯巴蒂娜,2020-02-28,"
火鍋是永遠吃不够也吃不膩的，更沒有食材和季節的局限性，即使是一種湯底，每次都能吃出不同的味道。不管火鍋正不正宗，隨心所欲地吃才最重要，不是嗎? 本書介紹經典口味的湯底、各式各樣的涮料、不同湯底...more
",https://www.books.com.tw/products/0010850811?loc=P_0003_009
10,愛回家吃飯‧日日輕鬆煲靚湯,梁燕,2019-12-12,"
本書介紹常用煲湯器具、常用步驟、處理材料、烹調技巧和營養貼士，以及老火湯、羹湯、滾湯、燉湯共100個食譜，中、英、印尼文對照，四類湯水各有好處，有時間可煲老火湯或燉湯，沒時間就做羮湯及滾湯，天...more
",https://www.books.com.tw/products/0010844166?loc=P_0003_010
11,燉補煲好湯,郭泰王,2019-11-22,"
濃湯、羹湯、清湯、燉湯和煲湯，美味湯頭要怎麼做?   示範120道家常湯品和12種美味高湯熬煮秘訣，附煮湯技巧與食補功效，精彩又完整，讓你搖身變成「湯王」! 本書特色   ◆介紹煮湯的技巧訣竅：內容有可口...more
",https://www.books.com.tw/products/0010841354?loc=P_0003_011
12,對應身體需求的早安健康湯X晚安蔬菜湯：省時x低卡x速效x對症，選擇適合當天狀態的湯品，針對需要迅速調養身心,浜内千波,2019-10-25,"
早上喝>>只要用熱水沖泡的即席快速湯 晚上喝>>調理今天身體狀態的健康湯 天天喝>>持續不斷就能一步步改善體質   湯是一種不易造成身體負擔、容易消化吸收的料理，喝湯，能完整吃下全部的營養，不僅是五大...more
",https://www.books.com.tw/products/0010838002?loc=P_0003_012
13,滋潤有益老火湯(中英對照),Forms Kitchen 編輯委員會,2019-05-24,"
一碗熱騰騰、滋潤有益的湯水，能令你所愛的人暖在心頭。   書內的湯譜分為：肉類、家禽、魚鮮海味和蔬果，材料容易購買，你只需花兩三小時熬煮，就有美味、滋潤的老火湯享用，是最化算的時間投資。...more
",https://www.books.com.tw/products/0010823062?loc=P_0003_013
14,簡易快煮好味湯餸(中英對照),Forms Kitchen 編輯委員會,2019-05-24,"
下班後想吃美味的住家飯餸，不再是幻想。   參考本書的食譜及竅門~先醃味、預備醬料、巧用不同廚具烹調，下班回家可短時間品嘗悠閒晚餐，一道熱辣辣的湯及餸，是繁忙工作後的心靈療癒劑。...more
",https://www.books.com.tw/products/0010823063?loc=P_0003_014
