,書名,作者,出版日期,內容介紹,網址
1,基礎餐桌料理盤飾：概念與技法,吳青華,2020-09-23,"
本書針對廣面的裝飾參考，有別於市面上出版書籍多著墨為單一單元，並希望以大專院校、綜合高中、餐飲社團、產業投資專班及家庭主婦或是對於烹飪、烘焙、飲調擺飾有想要更優化的讀者，提供一本簡單操作，大...more
",https://www.books.com.tw/products/0010870772?loc=P_0003_001
2,基礎餐桌料理盤飾：概念與技法(親簽版+贈品),吳青華,2020-09-23,"
本書針對廣面的裝飾參考，有別於市面上出版書籍多著墨為單一單元，並希望以大專院校、綜合高中、餐飲社團、產業投資專班及家庭主婦或是對於烹飪、烘焙、飲調擺飾有想要更優化的讀者，提供一本簡單操作，大...more
",https://www.books.com.tw/products/0010870773?loc=P_0003_002
3,補充特定營養素的全植物蔬食料理：60道豐盛蔬食，為你打造營養均衡的美味餐桌,"蕭煜達,高韻均",2020-09-02,"
第一本 由素食營養師精心營養規劃 教你用一日三餐，補充身體所需特定營養素的全植物蔬食料理   ⦾無五辛.無蛋.無奶.無酒精.無素料⦾   健康天然無添加   補充鐵質該吃什麼?不喝乳製品要如何攝取鈣質?   不吃...more
",https://www.books.com.tw/products/0010868515?loc=P_0003_003
4,維根食尚，愛上蔬食新纖活 Let’s Start Vegan Life──Stay Fit with Mi全植物飲食計畫+New Me勻體運動指導,Michelle,2020-08-01,"
有意識的飲食是讓人們活得更有意義的起點。 專業健身教練/超人氣部落客Michelle，親身實證分享全植物蔬食如何改變了她的生活，透過選擇「原型穀物」、「當季蔬果」、「簡易烹調」，就能感受截然不同的身心...more
",https://www.books.com.tw/products/0010865081?loc=P_0003_004
5,跟著節氣學吃酸.檸檬[二版],種籽設計,2020-07-23,"
【節氣飲食研究開發.我們是種籽】   .我們相信飲食的靈魂在風土   .我們相信因愛料理是當代的情感印記   .我們揣摩不同土地植生的農法、農作、農食、農加工以及食物原味   .我們收集土地甜度的故事   .我...more
",https://www.books.com.tw/products/0010863943?loc=P_0003_005
6,素西餐：84道米其林級美味蔬食饗宴【暢銷新裝版】,杜林,2020-07-02,"
第一本米其林級純素西式料理 嚴選主廚獨家配方，濃縮食材美味精華， 快速掌握西餐的完美比例，從此愛上蔬食!   ★無添加蛋奶的純素西式料理，豐盈口感超乎你的想像!   上海名店主廚杜林完整公開私房食譜，...more
",https://www.books.com.tw/products/0010862316?loc=P_0003_006
7,蔬食共和國：酪梨vs番茄和速配的蔬果、五穀雜糧的百變吃法，每一口，都美味、滿足與療癒!,李耀堂,2020-06-17,"
蔬食是未來的生活風格與料理新潮流! 全台第一本以酪梨、番茄為主， 和速配的食材，完美無國界蔬食料理，日日幸福上桌!   全世界都在瘋酪梨，營養價值高，含有可幫助維持免疫系統健康的維生素E，和幫助維持...more
",https://www.books.com.tw/products/0010860796?loc=P_0003_007
8,蔬食吃出免疫力,陳彥甫,2020-05-22,"
全方位健康飲食祕訣‧7色蔬菜超強食療力 養生蔬食好煮意‧強健體質不生病 高纖排毒‧防癌保健‧健腸順暢‧美容養顏‧增強免疫力 護眼明目‧提升代謝‧抗氧化‧舒緩壓力‧完美抗老   10大類蔬菜保健特效排行+59種對症...more
",https://www.books.com.tw/products/0010859283?loc=P_0003_008
9,酸香爽口!超下飯檸檬料理 ：80道停不了口的澎湃好味道，完整品嚐檸檬的百變風味!(超值贈送：不鏽鋼吸管三件式套組),"樂活廚房,維多利亞",2020-05-07,"
顛覆單一吃法! 體驗檸檬百搭多變的料理趣味 公開與檸檬最速配的主食、常備菜、甜點， 菜色豐富變化多，餐餐都有清爽好滋味!   ★檸檬營養CP值超高，找回身體的活力與健康   檸檬富含維生素C、檸檬酸、黃酮...more
",https://www.books.com.tw/products/0010855952?loc=P_0003_009
10,蔬果切雕藝術-基礎入門,魏仕杰,2020-04-16,"
◆獨家收錄『9種』蔬果切雕、多達『60種』蔬果切雕示範操作◆   涵蓋基礎蔬果雕內容：蔬果雕概論、食材認識選購、切雕工具、刀法示範、蔬果雕操作、盤飾應用、自我評量。   學習蔬果雕刻這一件事，其實是需...more
",https://www.books.com.tw/products/0010854577?loc=P_0003_010
