,書名,作者,出版日期,內容介紹,網址
1,日本茶食譜：47種創新風味飲品與料理,本間節子,2020-07-30,"
煎茶冰沙、櫻花煎茶、煎茶口味鳳梨茶、煎茶燉飯、抹茶香蕉奶昔、巧克力奶茶、咖啡焙茶……。茶不只能喝，還能加入甜點、料理中，製作出口感更具深度，滋味更豐富的風味點心，甘醇深邃，值得細細品嚐!    日...more
",https://www.books.com.tw/products/0010863665?loc=P_0003_001
2,手調飲品研究室：飲料再進化!用水果X果釀X冰磚，自製基底與裝飾，6步驟調出征服IG百萬粉絲的視覺系手作飲,藝娜 Yeana,2020-06-11,"
百萬粉絲天天敲碗期待、超人氣手調飲品師——藝娜來了! 她把IG上一杯杯令人驚艷連連的手調飲品， 化成一篇篇簡單又實用的Know-how， 無私公開自製特色基底、視覺系冰磚、以及讓飲料大升級的裝飾技巧， 讓你...more
",https://www.books.com.tw/products/0010860141?loc=P_0003_002
3,零基礎一學就會的100款手搖飲：學會冷熱茶飲沖泡、漸層飲料製作、果乾水果茶操作的技術&祕訣,蔣馥竹,2019-12-03,"
集結20年教學經驗的精華配方，   讓零基礎的人按照步驟操作百分百成功，   飲品高手獲得飲料製作的創意與靈感。   「這本書只是我回顧飲調生涯的開端，無論是基本的泡茶技術，還是最新穎的炫茶機，我提供...more
",https://www.books.com.tw/products/0010841608?loc=P_0003_003
4,日日健康 低卡甘糀：用日本傳統天然發酵米麴完全取代糖，輕鬆享瘦美味新生活,"吳惠萍,謝宜芳",2019-10-17,"
★從日本神社初脂或祭祀時喝的傳統發酵飲料，發現對身體低負擔的超級食物   ★不含酒精也不添加砂糖，來自米、米麴自然發酵的營養素高達350種以上   ★在日本被視為「喝的點滴」，甚至預測為下一波的美容發燒...more
",https://www.books.com.tw/products/0010837100?loc=P_0003_004
5,體內自療一杯有感：減重×排毒×提升免疫力×好精神,"微微蔡,楊平",2018-07-04,"
想減重?但工作累到沒體力、忙到沒時間運動；   想排毒?但整個城市都是化工廠，毒素無處不在；   想提升免疫力，但不曉得實際做法，不知從何做起；   想維持好精神，但又怕靠藥物和提神飲料會預支健康……   ...more
",https://www.books.com.tw/products/0010791430?loc=P_0003_005
6,第一本從基底開始做!手調飲品BOOK：自製果醬X濃縮汁X糖漿X飲品粉X水果乾基底，調出100款經典到創新的手作飲,申頌爾,2018-06-15,"
★韓國人氣網路書店「YES24」，5顆星好評推薦! ★第一本教你從「飲料基底」開始做的手調飲品書!   炎炎夏日，真想來一杯沁涼暢快的飲料!   ☆簡單‧安心‧健康‧美味，學會5種基底，百變口味任你調製!   本書由...more
",https://www.books.com.tw/products/0010788145?loc=P_0003_006
7,花草茶養生：瘦身養顏老偏方,,2018-06-12,"
花草茶養生   流傳千年的草本古方有效、安全、天然   美白、保濕、水靚、去斑、勻亮、去痘   瘦臉、豐胸、纖腰、翹臀   瘦大腿、修長小腿、瘦身、抗衰老   太平公主從豆花妹變公主顏的桃花方   《新唐書》...more
",https://www.books.com.tw/products/0010790363?loc=P_0003_007
8,喝出健康與美麗!玻璃罐排毒水食譜：醫學博士教你如何用喝的就能消除疲勞、排毒瘦身&美容抗氧,"日比野佐和子,田內Shoko",2018-05-30,"
誰說健康與美味無法兼具?   風靡多國的健康話題飲品「Detox water」   簡單調合蔬果&水，輕鬆將有害物質排出體外   47種醫學博士推薦配方，燃脂解便秘、美白護膚、消除水腫，疲勞恢復樣樣行!   符合現代人...more
",https://www.books.com.tw/products/0010787772?loc=P_0003_008
9,保存水果精華的果實酒‧果實醋‧果醬‧水果糖,渡邊真紀,2018-05-18,"
封存住四季的水果原味──76款水果酒‧水果醋‧果醬‧糖漿食譜，68道變化食譜&創意新吃法。   讓水果華麗再升級，吃到的每一口都是優雅、品味與幸福!       春天的草莓果醬、初夏的梅酒、秋天的栗子醬和冬天的...more
",https://www.books.com.tw/products/0010787096?loc=P_0003_009
10,"私果釀  果酒‧果醋‧水果糖漿101：How to make fruit liquor, fruit vinegar & syrup",飯田順子,2018-04-26,"
天然♡甜美♡簡單   和水果談場時間的戀愛   透明的玻璃瓶中，   鎖住美麗顏色與芬芳香氣的   水果酒、水果醋和水果糖漿，   有別於直接吃新鮮水果，   是截然不同的品味季節的方式。   「今年梅子的季節又...more
",https://www.books.com.tw/products/0010785738?loc=P_0003_010
