,書名,作者,出版日期,內容介紹,網址
1,開家賺錢的冰品專賣店：剉出百萬營收、刨出滾滾財源,吳佩諭,2020-08-24,"
5萬創業、5成利潤 古早味到流行款、冰涼品到熱甜品 240種冰店的全品項菜單，不分四季都能賣!    站穩創業基礎、開啟財源大門   市佔率第一人氣的清涼刨冰‧最受歡迎口感獨特的雪綿冰‧屹立不搖香濃的冷熱豆...more
",https://www.books.com.tw/products/0010867746?loc=P_0003_001
2,刨冰 夢幻冰涼逸品開店教本,旭屋出版編輯部,2020-07-06,"
白白的雪花佐以五顏六色的果漿 嚐一口 綿密的滋味如同仲夏舌尖上的雲朵    高解析度刨冰美圖，挑逗你的視覺極限!   詳盡的糖漿製作步驟，圖文解說讓你一步步跟著實踐!   美味店家資訊，為你介紹日本人氣朝...more
",https://www.books.com.tw/products/0010863058?loc=P_0003_002
3,芭菲 設計一杯IG網美風水果百匯,柴田書店,2020-06-22,"
市面上唯一僅有的百匯特輯! 最吸睛的甜點通通在這裡! ♪~♫~ 水果、巧克力、抹茶、冰淇淋、咖啡，各種口味應有盡有 精選15家東京超人氣店家，花漾繽紛百匯大公開! 一端上桌，就讓人忍不住想拍照打卡，PO網分...more
",https://www.books.com.tw/products/0010861596?loc=P_0003_003
4,GELATO 義式冰淇淋開店指導教本,根岸清,2020-05-10,"
多達70種以上，多款冰淇淋&雪酪食譜 純天然的冰涼甜美滋味!綿密滑順而入口即化~ 不論是常態商品或款待甜點，都非常合適!   您經營的店鋪內，少了幾道令人耳目一新的甜點商品嗎?   您想增加幾項吸引女性或...more
",https://www.books.com.tw/products/0010857615?loc=P_0003_004
5,無罪惡感冰品甜點在家就能做!：吉川文子無奶油堅持：義式冰淇淋、雪酪、義式冰沙、霜凍優格,吉川文子,2019-06-01,"
不含奶油!不用冰淇淋機!   在家就能製作的極簡冰品   享瘦0負擔的繽紛甜點   如果家裡冷凍庫裡放了喜歡的冰品，人也會感到幸福。本書將為各位介紹各式各樣的冰品，包含使用雞蛋製作，味道濃郁的冰淇淋與清...more
",https://www.books.com.tw/products/0010825464?loc=P_0003_005
6,超冰爽!每日C鮮果冰沙：100%天然果肉，93款健康美味飲!,鄭穎,2018-05-10,"
零添加!無負擔!天然手作水果冰沙 簡單2步驟，切一切，攪一攪 3分鐘打造香甜營養、消暑解渴的鮮果酷冰沙   ★現打水果冰沙最新鮮、最健康!   市售的冰沙雖然美味，卻不健康   可能含色素、香料、防腐劑等化...more
",https://www.books.com.tw/products/0010784668?loc=P_0003_006
7,免機器滑順冰淇淋頂級配方：40種不用買冰淇淋機也能做的安心美味Gelato!,齋藤由里,2017-09-07,"
香蕉+馬斯卡邦起司+牛奶+檸檬汁=香蕉冰淇淋   抹茶粉+牛奶+大豆粉+白巧克力=抹茶冰淇淋   混合材料→冷凍攪拌   就是這麼簡單!   不用冰淇淋機，在家就能輕鬆做出   吃得安心又便宜的滑順冰淇淋!     呈現...more
",https://www.books.com.tw/products/0010762898?loc=P_0003_007
8,日韓賣到瘋，熱銷千萬支!手工水果冰棒：挑選、切塊、打攪、冷凍，水果與果醬的無限延伸，顛覆想像的絕對安心冰棒派對!【隨書附贈：8支兔子冰棒模型】,尤品聰,2017-07-01,"
今年夏天，你一定會需要這本冰棒書! 歐美都在夯、日本和韓國賣到瘋 台灣的第一本!堅持水果原味純手工冰棒 「BIN BON手工鮮果冰棒」征服了無數人   ★★★隨書附贈：8支兔子冰棒模型★★   不需要專業機器，只要...more
",https://www.books.com.tw/products/0010757190?loc=P_0003_008
9,150種手工冰淇淋冰沙,楊桃文化,2016-09-21,"
本書特色    自己做冰淇淋、冰沙 簡單又安心   冰淇淋甜蜜蜜的感覺總讓大人小孩為之瘋狂，特別是濃香綿密的滋味讓人越吃越想吃，隨著現代人的多變口感和健康養生的觀念，各種五花八門的冰淇淋更是紛紛出籠...more
",https://www.books.com.tw/products/0010728244?loc=P_0003_009
10,零失敗!天然x可愛的手作冰棒與雪糕：不用冰淇淋機就能做的創意冰甜點,荻田尚子,2016-07-30,"
炎炎夏日，就用天然健康的食材， 自己在家製作色彩繽紛又可愛的造型冰棒消暑吧! 來一根沁涼冰棒，讓被烈陽烤焦的身體和心靈都能得到撫慰充滿活力! 本書特色   ◆簡單易做，3個步驟就能完成!   只要攪拌、入...more
",https://www.books.com.tw/products/0010721536?loc=P_0003_010
