,書名,作者,出版日期,內容介紹,網址
1,增強免疫力喝養生豆漿,陳彥甫,2020-05-08,"
※5大族群保健豆漿‧喝出食療自癒力   愛美族 養顏美容+高纖瘦身   小朋友 發育長高+益智健腦   上班族 紓壓安眠+增加體力   病症族 養生健體+活力元氣   銀髮族 預防骨鬆+抗老降三高   ※豆漿神奇健康力Q&A...more
",https://www.books.com.tw/products/0010857020?loc=P_0003_001
2,營養豆漿.米漿,"劉建承,梁慧敏,陳冠廷,陳彥甫",2020-03-27,"
●全家人的養生豆漿   天然手作的養生豆漿，是老少咸宜的活力飲品。每天來一杯新鮮現打的高纖豆漿，輕鬆呵護全家人健康。   ●養生豆花、米漿   五穀雜糧和豆漿巧妙搭配，變身各式營養料理。親手製作飲品、...more
",https://www.books.com.tw/products/0010853699?loc=P_0003_002
3,自製養生豆漿大全(全新修訂版),李寧,2019-11-01,"
北京協和醫院營養科主任的私藏養生方   全方面，針對不同年齡、不同體質、不同族群，   最適合、最健康的養生豆漿秘笈，   二十年營養科主任的私房秘方大公開!   豆漿不僅僅只是早餐時的搭配飲品，其中富...more
",https://www.books.com.tw/products/0010838103?loc=P_0003_003
4,養生豆漿米糊蔬果汁全書,,2019-08-26,"
本書由營養專家精心挑選了逾四百多種經典豆漿、米糊和蔬果汁配方，按照不同功效、適宜人群、常見疾病，以及四季分類。每款豆漿、米糊、蔬果汁都有具體做法，詳細養生功效，即使是廚房初哥也可輕鬆易上手。...more
",https://www.books.com.tw/products/0010832460?loc=P_0003_004
5, 豆漿機自然原力飲：255種全方位混搭營養，升級好體質! 依循《黃帝內經》指導，融中醫養生祛病智慧于飲食中。,劉建平,2017-03-02,"
清熱解毒★養心安神★保肝明目★和胃健脾★滋陰潤肺★ 固精補腎★調血益氣★預防三高★排毒養顏★增強免疫力   一天一杯!全方位混搭營養升級   《本草綱目》記載：「豆漿，利水下氣，制諸風熱，解諸毒。」   《延年...more
",https://www.books.com.tw/products/0010745586?loc=P_0003_005
6,美人豆漿飲，1天1杯最有感!：219道營養專家精心特調的美肌X瘦身X抗癌X排毒豆漿配方，依個人體質自行搭配，1天1杯，找回身體好感覺!,張曄,2017-02-13,"
寵愛自己，就從美人豆漿飲開始! 219道營養專家精心特調的美肌X瘦身X抗癌X排毒豆漿配方 依個人體質自行搭配，1天1杯，找回身體好感覺!   邁入輕熟女之際的妳，是否感到皮膚暗沉無彈性?吃進去的食物都變成肚...more
",https://www.books.com.tw/products/0010743363?loc=P_0003_006
7,開啟一天活力的184杯濃純香豆漿：0添加、無負擔，DIY最天然的輕斷食飲品!,楊曉佩,2017-01-04,"
一天的開始，就用一杯濃純香豆漿為你補充活力吧! 最天然、最健康的輕斷食飲品 讓你養顏美容、健康樂活一杯搞定!   動手做，天天來一杯!   守護家人的健康很簡單，   把平凡豆漿做出不一樣的新風味，   最...more
",https://www.books.com.tw/products/0010740144?loc=P_0003_007
8,自己作豆漿米漿香濃又健康(新版),楊桃文化,2016-12-08,"
來杯活力滿滿的豆漿、米漿吧!   有東方牛奶稱號的豆漿，其營養價值一點都不輸給牛奶，溫熱的喝，是傳統早餐必備的飲品，冰涼的喝，也可作為消暑飲料。別小看做豆漿的小小的黃豆，它可是一豆三用喔!自己做...more
",https://www.books.com.tw/products/0010736214?loc=P_0003_008
9,184杯濃‧純‧香豆漿：一天一杯美容養生、對症調養輕鬆喝，讓你健康享瘦一身輕!,楊曉佩,2016-03-23,"
早安，來一杯濃˙純˙香豆漿吧! 一天一杯，享瘦健康美， 新一代養生飲品，全球健康新選擇。   少一點咖啡因，多喝一點豆漿   零負擔，喝出自然美   由體內而外散發出好氣色，   對症調養輕鬆喝，   讓你調出...more
",https://www.books.com.tw/products/0010709910?loc=P_0003_009
10,當豆漿遇上蔬果汁：補充營養用喝的就對了!(全二冊),李寧,2016-01-01,"
《自製養生豆漿大全》+《健康Juicy百分百：對症養生蔬果汁》 兩本一套，原價640元，特價499元!   營養師的養生小撇步!   養生，這麼喝就對了!   豆漿的營養大家都知道，但豆漿只有一種喝法嗎?   讓營養師...more
",https://www.books.com.tw/products/0010701075?loc=P_0003_010
11,豆漿291種妙用法,,2015-09-08,"
291款精心挑選的養生豆漿， 用最常見的材料磨出最健康的豆漿。   男人養生豆漿、女人養生豆漿，特殊人群養生豆漿，   您和您的家人都能在這裡找到最適合的豆漿。   健康來自磨出的漿，   原料取自五穀雜糧...more
",https://www.books.com.tw/products/0010688572?loc=P_0003_011
12,百變豆漿機：自己做最安心!無添加、最天然，105種新鮮現打飲品+54道中西料理，健康美味滿載,"小廚娘Olivia,樂活廚房",2015-01-31,"
超滿足!在家也能輕鬆做的豆漿機食譜 買了豆漿機，不必怕後悔! 105種新鮮現打飲品+54道中西料理 蔬果汁、濃湯、麵食、配菜、輕食…… 多種C/P值破表的豆漿應用變化， 從中式、日式、西餐到甜點，統統沒問題! ...more
",https://www.books.com.tw/products/0010662558?loc=P_0003_012
13,養生豆漿喝健康(中英對照),"劉建承,梁慧敏,陳冠廷",2014-11-07,"
豆漿，不單香濃美味，而且對健康有很大的幫助，含有豐富的高優質植物性蛋白質、大豆異黃酮、大豆配醣體、卵磷脂，且不含膽固醇，能防止高血壓、冠心病、腦中風、糖尿病，甚至能預防癌症、增強免疫力，延緩...more
",https://www.books.com.tw/products/0010655564?loc=P_0003_013
14,自己做紅豆薏仁豆漿最好,楊桃文化,2014-09-23,"
暢銷食譜二合一合訂版!原定價275元，限量特價199元!下殺72折大回饋! 本書是以下兩本書之合訂版，內容資料恐有重覆，購買前請詳閱內容。   吃薏仁紅豆最好   紅豆和薏仁是家喻戶曉、市面容易購得的豆類，常...more
",https://www.books.com.tw/products/0010650576?loc=P_0003_014
15,養生豆漿美味又健康,健康養生堂編委會,2014-07-23,"
現代人飲食過分精緻，且運動量減少，造成許多人體內廢物堆積、容易生病。本書以臺灣人常喝的健康飲料「豆漿」當做基底，打入黃豆、綠豆、小米、燕麥、蕎麥等粗糧，或是添加新鮮蔬果。書中提供111道營養美...more
",https://www.books.com.tw/products/0010645775?loc=P_0003_015
