,書名,作者,出版日期,內容介紹,網址
1,我的姐姐秋瑾,秋宗章,2020-11-06,"
她是中國女權主義者，她是女學思想的倡議者，她更是民主革命志士!    秋瑾，字璿卿，別號競雄，又稱鑑湖女俠，浙江會稽人，隸籍山陰。幼隨其父宦於閩，旋復隨父入湘；年十八，嫁湘人王廷鈞。廷鈞入資為部...more
",https://www.books.com.tw/products/0010874287?loc=P_0003_001
2,三國大爆笑全集：史上最八卦、最麻辣的明朝正史,七月來雪,2020-11-03,"
三國，中國歷史上最傳奇、最精采的時代。三名各領風騷的英雄霸主，從瘋狂的時代浪潮中脫穎而出，上演著談談打打、爾虞我詐的戲碼。    那是一個英雄輩出的時代，同時也是一個活寶遍地的時代!自大的曹操、...more
",https://www.books.com.tw/products/0010874647?loc=P_0003_002
3,天下麒麟榜(全四冊),晁中辰,2020-11-01,"
歷朝輩出的麒麟之才， 降於千朝百代之間， 於萬代江山之中， 各顯風華，撼動天下!    垂釣渭濱的姜太公，釣起周朝半壁江山；   制禮作樂的周公旦，定下歷代千載文化。    萬世山河，在各朝遞嬗間易主無數...more
",https://www.books.com.tw/products/0010874506?loc=P_0003_003
4,汪政權的開場與收場(上)【經典新版】,朱子家,2020-10-20,"
汪政權盛大開場 荒謬劇黯然收場   權力角逐下的犧牲品?   國共內鬥的傀儡政權?   汪精衛真是賣國求榮?   歷史終將寫下這一頁!   ◆民國史上最震撼政權   ◆近衛三原則是什麼   ◆何謂公館派?何謂CC派?   ◆還...more
",https://www.books.com.tw/products/0010870353?loc=P_0003_004
5,汪政權的開場與收場(中)【經典新版】,朱子家,2020-10-20,"
汪政權倉促開場 荒謬劇閃電收場   權力角逐下的犧牲品?   國共內鬥的傀儡政權?   汪精衛真是賣國求榮?   歷史終將寫下這一頁!   ◆陳璧君在粵被誘捕詳情   ◆戴笠撞機事件詳細始末   ◆上海第一個被接收的人 ...more
",https://www.books.com.tw/products/0010870357?loc=P_0003_005
6,汪政權的開場與收場(下)【經典新版】,朱子家,2020-10-20,"
汪政權喜劇開場 荒謬劇悲劇收場   權力角逐下的犧牲品?   國共內鬥的傀儡政權?   汪精衛真是賣國求榮?   歷史終將寫下這一頁!   ◆汪氏赴日談判組府條件   ◆汪氏親撰「舉一個例」全文   ◆汪精衛國事遺書發...more
",https://www.books.com.tw/products/0010870359?loc=P_0003_006
7,金庸逸事,沈西城,2020-10-08,"
香港著名編劇 & 作家沈西城， 描繪金庸日常事蹟，還原金庸的真實面貌。    ▍三次面晤金庸，談小說、聊創作。交遊廣闊，熟識金庸的交際圈。從創作、事業、感情、朋友四點，側寫金庸事蹟。    本書是香港著...more
",https://www.books.com.tw/products/0010872556?loc=P_0003_007
8,我的祖父譚嗣同,譚訓聰,2020-10-08,"
中國為國流血第一士!    在清末那個動盪的年代，一大批青年才俊挺身而出，為國家、為同胞而奮鬥，譚嗣同就是其中之一。    康有為稱譚嗣同是「挾高士之才，負萬夫之勇，學奧博而文雄奇，思深遠而仁質厚，...more
",https://www.books.com.tw/products/0010872589?loc=P_0003_008
9,毛澤東全方位解剖(上),蘆笛,2020-10-01,"
思想家、謀略家、詩人、國務家……從不同的角度入手，給您最全面的毛澤東!   ◎作者經歷中國整個動亂的年代，多年來致力於研究毛澤東，為歷史留下真相。   ◎上冊從思想家、謀略家、詩人三個角度去探討，為讀...more
",https://www.books.com.tw/products/0010871394?loc=P_0003_009
10,毛澤東全方位解剖(下),蘆笛,2020-10-01,"
思想家、謀略家、詩人、國務家……從不同的角度入手，給您最全面的毛澤東!   ◎作者經歷中國整個動亂的年代，多年來致力於研究毛澤東，為歷史留下真相。   ◎下冊從治國的角度出發，揭露毛澤東實屬治國白癡的...more
",https://www.books.com.tw/products/0010871397?loc=P_0003_010
