,書名,作者,出版日期,內容介紹,網址
1,宋朝，被誤解的科技強國：天文鐘、潮汐觀測、觀星、昆蟲破案、石油命名，引入自來水，這些世界第一，都來自你以為很弱的宋朝。,曲相奎,2020-10-27,"
蒙古大軍橫掃歐亞，唯一能抵抗、還長達45年的國家，   只有宋朝。宋朝弱嗎?   活字印刷、指南針、天文鐘、潮汐觀測法、十二節氣曆法、   觀星法、飛鳥繪地圖、用油紙傘製作紫外線探照燈，用屍體上的昆蟲破...more
",https://www.books.com.tw/products/0010873154?loc=P_0003_001
2,中華文明圈：從中華王朝看世界,陳志海,2020-10-16,"
隨著中國的再次崛起，中國成為了利益所在。   這一次的「中華文明圈」會不會不單是在東亞和東南亞，而是走向世界的?    中華文明源遠流長，中華民族的血，漢中有胡，胡中亦有漢。而「中華文化圈」(或稱「...more
",https://www.books.com.tw/products/0010872594?loc=P_0003_002
3,歷史往往迷霧重重,,2020-10-15,"
中國歷史自黃帝時代起算，至今約有4700多年。在漫長的歷史長河之中，飽經風霜的華夏民族，以其堅毅睿智的精神、聰敏廣博的智慧、勤勞實幹的雙手，織就了一幅幅風華絕代的畫面、一卷卷精彩紛呈的篇章。    ...more
",https://www.books.com.tw/products/0010872843?loc=P_0003_003
4,中國古代服飾研究,"沈從文,王㐨",2020-10-08,"
本書是第一本系統研究中國古代服飾的專著，內容起自舊石器時代晚期迄於清朝，對數千年間各個朝代的服飾問題進行了抉微鈎沉的研究和探討，全書計有圖像810餘幅，近30萬字。撰述多發明創見，言前人所未言。...more
",https://www.books.com.tw/products/0010873432?loc=P_0003_004
5,沉睡的帝國：皇權的篡奪與后妃、外戚、宦官間的寵鬥,"張國慶,蔣瑋,魏鑒勛",2020-10-01,"
古代的政權轉移、優勝劣汰是怎麼開始的? 道德與良知被泯滅殆盡，陰險狡詐被喚起， 世人都知道，沉睡的，從來就不只是帝國。    一個個鬥爭故事，就從這裡揭開序幕……。    倫理道德在統治者的心目中，從來...more
",https://www.books.com.tw/products/0010871201?loc=P_0003_005
6,說不盡的大槐樹：祖先記憶、家園象徵與族群,趙世瑜,2020-09-30,"
本書圍繞在華北一帶流傳幾百年的山西洪洞大槐樹移民傳說展開論述，對於理解歷史上文化之共用與互動，瞭解山西以至華北歷史，這是個很好的切入點。    全書共分三部分，第一部分講洪洞大槐樹移民傳說，包括...more
",https://www.books.com.tw/products/0010873024?loc=P_0003_006
7,中國城市文明史,薛鳳旋,2020-09-18,"
城市不但是文明出現的標記， 也是文明最重要的載體， 文明的演變亦因而往往在城市結構、功能和城市的空間分佈中體現。    「對『中國城市文明史』的構建，我走過了漫長的五十年。」薛鳳旋教授專攻城巿、區...more
",https://www.books.com.tw/products/0010871410?loc=P_0003_007
8,香港鐵路 百年蛻變,"李健信,陳志華",2020-09-18,"
鐵路發展百載記錄香港交通的演變鉅細   數百幅珍貴照片展現香港鐵路的歷史軌跡   初版《香港鐵路100年》於2012年出版，記錄香港鐵路100年以來的發展。回首19世紀末，作為英屬殖民地的香港，山頂纜車、有軌...more
",https://www.books.com.tw/products/0010871413?loc=P_0003_008
9,塘西花月痕(全二卷),羅澧銘,2020-09-18,"
香港開埠之初的妓院分為華、洋妓院，華人妓院集中於上環水坑口一帶，洋妓院則集中於灣仔春園街一帶。一九零三年香港政府為改善衛生，強逼在水坑口營業的華人妓院及相關酒樓，限期前搬往石塘咀，自此便進入...more
",https://www.books.com.tw/products/0010871444?loc=P_0003_009
10,毗陵吳氏園林錄,薛煥炳,2020-09-11,"
本書介紹了常州吳氏家族在明清兩代建造的二十餘座園林，作者經翻閱典籍與實地考察，探索吳氏園林的創始與變遷，同時講述了吳氏家族與其親友在其家園中的交遊活動。  推薦書評    我相信，明代止園及其常州...more
",https://www.books.com.tw/products/0010870710?loc=P_0003_010
11,千面樂園：我們的兒童樂園,邱健恩,2020-09-11,"
翻開《兒童樂園》的感動，你還記得嗎?   《千面樂園》是一本關於《兒童樂園》的書。    《兒童樂園》是──   ⊕香港第一本彩色兒童刊物；   ⊕香港歷史上最暢銷的兒童刊物；   ⊕香港歷史上最長壽的兒童刊物；...more
",https://www.books.com.tw/products/0010870723?loc=P_0003_011
12,千面樂園：我們的兒童樂園(特別版),邱健恩,2020-09-11,"
翻開《兒童樂園》的感動，你還記得嗎?   《千面樂園》是一本關於《兒童樂園》的書。    《兒童樂園》是──   ⊕香港第一本彩色兒童刊物；   ⊕香港歷史上最暢銷的兒童刊物；   ⊕香港歷史上最長壽的兒童刊物；...more
",https://www.books.com.tw/products/0010870725?loc=P_0003_012
13,辦一桌大唐饗宴：唐朝廚房有什麼?從西域胡食到帝王御膳，兼容天下的美食文明初體驗,張金貞,2020-09-10,"
唐朝開啟中國洋食文化 從一日三餐、朱門庖廚、自來酒會窺看盛世歷史 ★崇尚胡人文化的太子李承乾，熱愛突厥宴會品嚐西域飲食 ★宋之問以「雞舌香」掩口臭，扭轉武則天對他的第一印象 ★唐中宗的頂級燒尾宴，...more
",https://www.books.com.tw/products/0010869002?loc=P_0003_013
14,鑄幣三千年：50枚錢幣串聯的極簡中國史,王永生,2020-09-10,"
半兩錢、開元通寶、交子、元鈔、永曆通寶 乾隆寶藏、餉金金幣、袁大頭…… 50種錢幣，讀懂3000年中國史    小小錢幣，乘載浩瀚歷史   我們的日常生活離不開錢   錢的意義，不只是交易用的貨幣   更是歷史的...more
",https://www.books.com.tw/products/0010869537?loc=P_0003_014
15,新編御製天元玉曆祥異賦 套書(國家圖書館珍藏×中研院李豐楙教授編審，塵封百年的明代禁書，古代天文星占書集大成之作，市面上最詳細的彩繪本),,2020-09-08,"
一本書了解中國千年的天文與星象學   蒐羅從晉至明，歷代典籍如何詮釋天文現象，加以趨吉避凶   明清兩代列為禁書，二十一世紀重新問世   重新復刻國家圖書館珍藏手抄本，中文世界首度出版   政大名譽教授...more
",https://www.books.com.tw/products/0010868500?loc=P_0003_015
16,紅色史褶裡的真相(六)：貪官紅瘡·世相紅淚,裴毅然,2020-09-05,"
晾示重要「紅色細節」   撩揭典型「紅色傷疤」   據實控訴「赤潮禍華」   ——千萬不要忘記!    叢書集結作者二十年發表的「紅色」主題，縱向展示中共滴血針腳，具體剖析紅色謬根。叢書史料經歷時間檢驗，滴...more
",https://www.books.com.tw/products/0010867841?loc=P_0003_016
17,中國古代黑科技：古人比你想得更厲害,"崔希棟,齊欣",2020-09-04,"
中國古代有哪些發明?   你是不是只記得國中課本上的紙、火藥、印刷術、指南針?   事實上，古人比你想得還厲害!   屹立千年不倒的木造房屋、世界上第一口超過一公里的深井、春秋戰國時代就已經有了鑄幣機……...more
",https://www.books.com.tw/products/0010869896?loc=P_0003_017
18,香港當舖遊蹤,徐振邦,2020-09-04,"
本書以當舖為中心，分五個部分介紹關於當舖的知識，包括當舖的設計、當押流程、當舖營運與管理手法、當舖的現代化以及與當舖發展有關的故事，書中亦穿插著香港當舖的特點和香港個別當舖的發展歷史。作者在...more
",https://www.books.com.tw/products/0010870051?loc=P_0003_018
19,君不可一日無茶：中國茶文化史,王玲,2020-09-04,"
講到西方就會想到咖啡，講到東方必定少不了茶。 漫漫中國史三千年，不管是異族統治還是漢人天下， 只有茶笑看世事，儼然才是永不動搖的文化霸主。 茶到底有什麼魅力，可以席捲古今中外，甚至主宰今日的華...more
",https://www.books.com.tw/products/0010869897?loc=P_0003_019
20,太陽神鳥國女王·妙雨,黃毓麟,2020-09-01,"
《太陽神鳥國女王·妙雨》   一位穿越人間與神界的遠古女王    多年前，當《綠隱書房》的藏品受邀到英國維多利亞暨阿爾博特博物院(V&A)展出時，佈展的會議中有人提出在展廳裡模擬一個置放隨葬玉禮器的遠古...more
",https://www.books.com.tw/products/0010871529?loc=P_0003_020
21,中國抗疫簡史,張劍光,2020-08-28,"
自有文字記錄的三千五百多年來，疫病的流傳成百上千，疫病的種類各式各樣，人類的發展歷史，可以說是一部與疫病作鬥爭的歷史。隨着科學技術的不斷進步，我們已告別了對疫病無端的恐懼，也告別了將防疫希望...more
",https://www.books.com.tw/products/0010869325?loc=P_0003_021
22,中國官制大辭典 (上、下),俞鹿年,2020-08-07,"
官制是歷代國家機構的組織形式和結構形式的一種反映，官制研究歷來受到人們的重視中國歷史悠久，各代官制遞相沿襲，按一定軌跡向前發展。歷朝官修史書雖對職官均設專志記載，通典、通考等政書也有專門考述...more
",https://www.books.com.tw/products/0010867096?loc=P_0003_022
23,經學、教育與香港大學：二十世紀的足跡,許振興,2020-08-07,"
書中概述香港大學設置經學課程的時代與背景，着意探究陳伯陶、區大典、溫肅、朱汝珍、劉百閔的若干著述以及香港大學中文學院師生的若干經學篇章，綜述他們對經學教育的貢獻，揭示香港經學教育的傳承與發展...more
",https://www.books.com.tw/products/0010867097?loc=P_0003_023
24,唐宋吃喝玩樂文化史：園林遊憩、飯館餞別與牡丹花會,盧建榮,2020-08-07,"
唐宋上層人士從事什麼休閒活動?    ◆白居易：唐代卓絕一時的生活達人，留下大量參訪各大園林的記遊詩作。   ◆裴度：擁有兩座超級豪華的園林。「兼六」的評園準繩即來自他的私園。   ◆歐陽修：愛上京師館子...more
",https://www.books.com.tw/products/0010865593?loc=P_0003_024
25,為什麼古人這樣說套書(四冊)：《一柱香到底有多久?》、《閉門羹是什麼，可以吃嗎?》、《人在江湖，身不由己，但什麼是江湖?》、《馬桶原本是給馬用的嗎?》,"姜湧,楊慶茹,蘇建新,邵穎濤",2020-08-03,"
我們的文化原來藏在古人的詞語裡。   最素樸的問與答，解開這些知其然，卻不知其所以然的問題。   看宮鬥、玩手遊，增進中文力，你一定要知道字句背後的精彩故事!    《一柱香到底有多久?》   ‧為什麼皇帝...more
",https://www.books.com.tw/products/0010865195?loc=P_0003_025
26,皇上愛吃肉：老饕作家李舒的主廚套餐(《皇上吃什麼》+《就愛吃肉》),,2020-07-31,"
美食文化暢銷作家李舒主編 《皇上吃什麼》+《就愛吃肉!》，一次收藏! 讓你吃得精巧，吃得痛快， 吃得有文化，吃得有故事， 吃得滿腔熱血，吃得淚流滿面~   《皇上吃什麼》   紫禁城內，皇帝的吃喝日常，神...more
",https://www.books.com.tw/products/0010864734?loc=P_0003_026
27,就愛吃肉!人生盡歡，肉慾橫流，一起享用蘇東坡的羊脊骨、史湘雲的烤鹿肉、村上春樹的牛排,,2020-07-31,"
人生盡歡，肉慾橫流!   《皇上吃什麼》暢銷作家李舒，再一次帶領團隊，推出香氣四溢、鮮嫩多汁、肥美可口、色香味俱全的吃肉文化史。   不僅告訴你古至今文人雅士吃肉的故事，還教你雞怎麼炸、鴨怎麼烤、...more
",https://www.books.com.tw/products/0010864736?loc=P_0003_027
28,就愛吃肉!人生盡歡，肉慾橫流，一起享用蘇東坡的羊脊骨、史湘雲的烤鹿肉、村上春樹的牛排(博客來獨家贈品把肉帶回家),,2020-07-31,"
人生盡歡，肉慾橫流!   《皇上吃什麼》暢銷作家李舒，再一次帶領團隊，推出香氣四溢、鮮嫩多汁、肥美可口、色香味俱全的吃肉文化史。   不僅告訴你古至今文人雅士吃肉的故事，還教你雞怎麼炸、鴨怎麼烤、...more
",https://www.books.com.tw/products/0010864707?loc=P_0003_028
29,圖解中國傳統服飾,春梅狐狸,2020-07-31,"
~從傳統走入近代，追溯三千年中國服飾之流變~   從服飾的歷史，見證科技與藝術雙重詮釋下的結晶   服飾，不僅是日常生活的必需品，也是地域文明融會、風土民情的縮影。   致力於傳播中國傳統服飾知識，同...more
",https://www.books.com.tw/products/0010865621?loc=P_0003_029
30,中國文化的展望(上冊),殷海光,2020-07-28,"
這是一本針對中國近百餘年來社會文化問題的一個簡略的報告、人文的巨著。   在這樣一個科技文明快速發展的時代和環境，我們多麼需要設法停下來，在學問和思想上打開僵結的人物。   本書主要列出中國近百餘...more
",https://www.books.com.tw/products/0010865238?loc=P_0003_030
31,中國文化的展望(下冊),殷海光,2020-07-28,"
這是一本針對中國近百餘年來社會文化問題的一個簡略的報告、人文的巨著。   在這樣一個科技文明快速發展的時代和環境，我們多麼需要設法停下來，在學問和思想上打開僵結的人物。   本書主要列出中國近百餘...more
",https://www.books.com.tw/products/0010865240?loc=P_0003_031
32,歡樂宋：中國歷史上最幸福的朝代，沒去過宋朝，別說你到過人間天堂!,李純瑀（魚小姐）,2020-07-27,"
尬電!宋朝原來這麼潮!   超人氣國文老師李純瑀帶你體驗全方位的宋朝幸福生活!   吃、玩、買、看，樣樣都有趣，   想要快意生活，就要去宋朝!   ●宋朝就有情人節，還有「把妹聖典」教你如何脫單?   ●美食外...more
",https://www.books.com.tw/products/0010864723?loc=P_0003_032
33,仙人指路：10個故事帶你進入道教的神秘世界,,2020-07-20,"
驅魔道士的法力怎麼練成的?   飛升成仙，長生不死是真的嗎?   內丹修練是怎麼一回事?仙丹有用嗎?   一張符咒就能召請天兵神將鬼神助陣?   長生不老、畫符、齋醮、大睡八百年、修仙、煉丹、出陽神、天師道...more
",https://www.books.com.tw/products/0010863772?loc=P_0003_033
34,守藝工匠：香港傳統工藝面貌,Rain Haze,2020-07-01,"
工藝是一份創造，也是時代的文化象徵。   記錄傳統香港工藝風光，   用一筆一畫、一字一句，   把無可避免的流逝保留下來。    欣賞守藝工匠簡單而執着的信念   舊時代的香港，到處都有精緻的工藝品，到處...more
",https://www.books.com.tw/products/0010872462?loc=P_0003_034
35,誌同道合：香港標牌探索,吳思揚,2020-07-01,"
穿梭城市之中，   總會看見不同類型的標牌，   由商場的洗手間，   到公路上的告示，   標牌都以最簡單易明的方式，   指示着公眾的方向與行為，   可是，   標牌除了指引方向   還在訴說甚麼?   本書從世...more
",https://www.books.com.tw/products/0010872454?loc=P_0003_035
36,不在中國的中國人：中國對華僑歷史的思考,譚天星,2020-06-19,"
他們身在他方，卻有著中國人的面孔，他們是不在中國的中國人嗎?   他們也不禁心生疑問：自己究竟是誰?    最哀戚華麗的華僑史，史詩鉅獻!    華語是世界上使用人口第三多的語言，大城市裡幾乎都會有「唐人...more
",https://www.books.com.tw/products/0010862155?loc=P_0003_036
37,回到古代去旅行：逛名城、訪美景，跟各朝大咖聊八卦,解愛芹,2020-06-17,"
來趟時空之旅，到各個朝代走走逛逛吧!   ‧回到唐朝在哪打卡最炫?長安、揚州你非去不可   ‧回到宋朝玩什麼最酷?茶肆喝茶聽說書、四大夜市必去   ‧回到明朝tag誰最讚?拜訪劉伯溫和唐伯虎，順便要個簽名   最...more
",https://www.books.com.tw/products/0010860789?loc=P_0003_037
38,近代中國的史家與史學 (增訂版),王汎森,2020-06-12,"
本書收錄了作者10篇學術論文，所涵蓋的範圍大概是晚清最後十年到1930年代左右，前後將近三十年的時間。偏重的是「變」的部分，即新的歷史觀的形成過程、對近代中國史學革命所產生的影響、不同學者學術眼光...more
",https://www.books.com.tw/products/0010861550?loc=P_0003_038
39,瀛洲華聲：日本中文報刊一百五十年史,周佳榮,2020-06-12,"
本書概覽式介紹1868年以來一百五十年間在日本出版的中文和中日文雙語報刊，重點論述了晚清時期留日學生出版物、維新人士和革命人士在日本的辦報活動，補充了民國時期一些為人忽略的要點，以及戰後中文報章...more
",https://www.books.com.tw/products/0010861548?loc=P_0003_039
40,明代的新發現,周運中,2020-06-01,"
作者出版本書，主要是研究明代宮廷〈絲路山水地圖〉，復原圖上從嘉峪關到土耳其、阿拉伯的路線，提出是明朝正統年間繪製的絲路山水地圖。當此之時是中亞在帖木兒帝國沙哈魯統治的和平時期，奧斯曼土耳其帝...more
",https://www.books.com.tw/products/0010861148?loc=P_0003_040
41,大清皇帝陪我吃頓飯：餐桌上的清史，揭露「朕」的菜單怎麼進入你家廚房，哪些御膳能遇到千萬要嘗,袁燦興,2020-06-01,"
黃金肉、白水煮羊肉、八珍糕、紅白鴨子、大滷麵、窩窩頭……   這些「朕」的菜單是怎麼進入你家廚房?這本書告訴你。   懂「吃」，是最有滲透力的社交利器，讓人對你的素養立刻刮目相看。   ◎康熙與乾隆的長...more
",https://www.books.com.tw/products/0010858370?loc=P_0003_041
42,A History of Cultic Images in China：The Domestic Statuary of Hunan,Alain Arrault,2020-05-29,"
In what period did objects of worship appear in China? Could there be a possible convergence between written testimonies......more
",https://www.books.com.tw/products/0010860591?loc=P_0003_042
43,Everyday Masculinities in 21st-Century China: The Making of Able-Responsible Men,Magdalena Wong,2020-05-29,"
Everyday Masculinities in 21st-Century China: The Making of Able-Responsible Men argues that a moral dimension in Chines......more
",https://www.books.com.tw/products/0010860592?loc=P_0003_043
44,一本書讀懂成語歷史、典故、釋義、出處,劉元,2020-05-27,"
成語是一種形式簡潔、意義精闢的定型片語或短語，歷來為人們所慣用。在中華民族無比璀璨的文化瑰寶中，成語以其言簡意賅、形象生動、內涵深遠的獨特價值，跨越了幾千年文字記載的歷史，傳承了中華博大精深...more
",https://www.books.com.tw/products/0010859001?loc=P_0003_044
45,人在大唐怎麼活?食衣住行、當官、做買賣、搞外交，定居唐朝的必備指南,侯悅,2020-05-16,"
吃牛犯法?結婚只能在晚上?當官做十休一? 商人不可考科舉?留學生住行都免費?女人撐起半邊天? 大唐盛世跟你想的不一樣，為什麼唐朝人這樣生活?那樣工作? 不掌握生存寶典，在大唐行走容易處處碰壁； 怎麼吃、...more
",https://www.books.com.tw/products/0010857411?loc=P_0003_045
46,中國社會政治史(一)(七版),薩孟武,2020-05-08,"
本書共分四冊，自先秦乃至有明，歷數朝代興亡之根源。其資料之蒐集除正史外，實錄、文集、筆記、奏議等也多擇其要者而引用之。相較於其他史學著作，正如書名所示，本書更著重於社會、經濟、思想、政治制度...more
",https://www.books.com.tw/products/0010857442?loc=P_0003_046
