,書名,作者,出版日期,內容介紹,網址
1,妖怪臺灣：三百年奇幻述異合輯(妖鬼神遊卷+怪談奇夢卷，加贈妖怪臺灣撲克牌),何敬堯,2020-10-30,"
考據豐富的《妖怪臺灣》系列 妖鬼神遊卷：收錄229個妖鬼神+42幅黑白插畫 怪談奇夢卷：129篇來自古書的奇幻怪譚，22幅情境繪畫 魔幻蒐羅臺灣「妖、鬼、神、怪」的經典傳奇 限量加贈妖怪臺灣撲克牌    臺灣...more
",https://www.books.com.tw/products/0010874721?loc=P_0003_001
2,臺北老屋三生事,水瓶子,2020-10-20,"
人們為什麼守護老房子、欣賞舊建築?   新的不好嗎?因為故事，   老房子裡的前塵故舊、物是人非，   正是老房子最無可取代的迷人之處。   青田七六文化長、知名走讀講師水瓶子   繼《台北慢步》之後又一老...more
",https://www.books.com.tw/products/0010873537?loc=P_0003_002
3,國家圖書館故事經典套書(卷一)-(卷三),宋建成,2020-10-12,"
國家圖書館，原稱國立中央圖書館，1933年創立於南京迄今，卷一敘述遷臺與聯管處、遷徙與館舍建築，因事名篇，本末原委也依時間編寫，構成完整的國家圖書館發展和遷徙史。卷二敘述了圖書館經營兩次的範式轉...more
",https://www.books.com.tw/products/0010871348?loc=P_0003_003
4,民眾宗教中的權威鑲嵌：場域變遷下的象徵資本與靈性資本,丁仁傑,2020-10-08,"
頭人與上師，是父權社會中的兩種權威型態。 父權社會創造出權威集中的地方頭人與家族領導者， 卻也產生排擠效應，萌生大眾巨大的心靈失落感。 靈性導師的出現，成功化解父權社會的內在緊張性。 神奇效果繼...more
",https://www.books.com.tw/products/0010872582?loc=P_0003_004
5,IN新竹：新竹市在地設計ING,支流有限公司／企畫團隊,2020-09-25,"
● 第一本從產業出發，結合旅遊、文化、生活的城市產物誌   ● 補充「2020台灣設計展—新竹。人來風」，收錄九項有趣新竹市在地設計!   ● 實地走訪、記錄新竹市正在進行中的在地設計，不論種類、不論內用外帶...more
",https://www.books.com.tw/products/0010870435?loc=P_0003_005
6,土地正義(2冊套書)土地正義+超額徵收,"徐世榮,羅伯．庫斯曼",2020-09-16,"
徐世榮教授以這套書揭櫫以公民權益為主體的土地正義觀，藉此評析耕者有其田、區段徵收、市地重劃等政策，是否完整符合公共利益和居民權益的比例原則。這是理論與實踐結合的成果，以嚴謹的分析來支撐社會運...more
",https://www.books.com.tw/products/0010869696?loc=P_0003_006
7,台灣外來語：外國來ê台灣話,李南衡,2020-09-14,"
「外來語」指的是從其他語言中借來的詞彙， 維生素、西裝、白蘭地、番茄、北漂、釘子戶…… 這些常見的外來語，讓我們的生活詞彙更加豐富， 也見證了台灣社會與歷史的變化。    隨著人們生活的變化，語言也...more
",https://www.books.com.tw/products/0010870185?loc=P_0003_007
8,百年戰疫：臺灣疫情史中的人與事1885~1945,"王佐榮,蔡蕙頻",2020-09-14,"
2020年初，神祕的疾病在全球蔓延開來，沒人知道它是什麼、怎麼傳染，有人被確診，甚至病重離世了；有人被感染了，一個接著一個。人人都害怕，戴起口罩之後，儘管沒了表情，但每個人眼中全是惶惶不安。    ...more
",https://www.books.com.tw/products/0010870281?loc=P_0003_008
9,蒸氣裡的造紙人：中興百年史,宜蘭中興文化創意園區,2020-09-10,"
再現宜蘭人的紙廠記憶，書寫百年史   我們每天都跟紙相處，但我們不了解紙張的故事，也不了解造紙人的故事。東南亞最大的造紙廠曾經在台灣，這段故事卻成了一個被遺忘的過去。透過中興紙廠百年史，我們了...more
",https://www.books.com.tw/products/0010869288?loc=P_0003_009
10,當代臺灣本土大眾文化(第二冊)：鄉情深知與影劇創新精選集,"張憲堂,陳正茂",2020-09-09,"
第一輯【愛鄉土更要知鄉土】收錄於本書中的六篇文章，不管是老街或書院等有形之文化資產，或者是文化旅遊、布袋戲、歌仔戲、京劇等非物質文化資產，它們都是共同建構形塑臺灣文化資產重要的元素，當中包含...more
",https://www.books.com.tw/products/0010869344?loc=P_0003_010
