,書名,作者,出版日期,內容介紹,網址
1,島史的求索【台灣史論叢 史學篇】,"吳密察,周婉窈,張隆志,戴國煇,施添福,曹永和,杜正勝,柯志明,王世慶,許雪姬,陳其南",2020-10-30,"
《島史的求索》是一場實驗，一個期待，更是一份邀請!本書透過10篇選文，為年輕讀者們勾勒當代台灣史研究的重要面向及發展動態，從而與前輩學者的先驅性作品進行跨越世代和學科的知識對話，共同想像與構築...more
",https://www.books.com.tw/products/0010874034?loc=P_0003_001
2,手繪台灣關鍵字：畫說1940-2020(中英文雙語),邱顯洵,2020-09-15,"
自法國留學，無意間讀到由史明所繪著，長期被列為禁書的《台灣人四百年史》以來，紀實漫畫職人邱顯洵矢志畫出屬於台灣本土的政治漫畫作品。自2017年出版《手繪台灣人四百年史》後，相隔3年，再次推出《手...more
",https://www.books.com.tw/products/0010869953?loc=P_0003_002
3,一本就懂台灣史【修訂新版】,王御風,2020-09-01,"
《一本就懂台灣史》【修訂新版】   ◎根據最新時事修訂，新增數十幅台灣食衣住行手繪插圖!   【台灣史原來如此生動易懂!】   台灣史活起來了!   本書融合傳統書寫國家大事的「大歷史」，以及與你我生活習習...more
",https://www.books.com.tw/products/0010868403?loc=P_0003_003
4,課綱中的臺灣史：跟著專家學者探索歷史新視野,"吳學明,周婉窈,戴寶村,林文凱,林美容,若林正丈,薛化元,蘇瑞鏘,許雪姬,詹素娟,陳偉智,陳國棟,陳翠蓮,陳芳明",2020-08-05,"
要全面了解臺灣，就不能不知道臺灣的過去、原住民的分類、各時期的移民、多元文化的信仰，甚至貿易與經濟的發展，以及臺灣的定位等各個重要主題，本書精選臺灣史最具代表性的學者作品，全面解析您該知道的...more
",https://www.books.com.tw/products/0010865742?loc=P_0003_004
5,臺灣踏查記(2冊套書)尋找湯姆生+光緒十四年(1888)臺灣內山番社地輿全圖所見的新北山區,"游永福,許毓良",2020-07-29,"
《尋找湯姆生：1871臺灣文化遺產大發現》   1871年湯姆生南臺灣路線實地踏查，   250張珍貴圖像盡收眼底。   1856年第二次鴉片戰爭之後，中英簽訂《天津條約》，隨著1860年臺灣開埠，眾多西方人相繼來到亞...more
",https://www.books.com.tw/products/0010864535?loc=P_0003_005
6,台灣史(三版),"李筱峰,林呈蓉",2020-07-01,"
英國史家湯恩比(A.J.Toynbee﹚說「政治是歷史的現在時態」；義大利史家克羅(B.Croce﹚也有一句名言「一切歷史都是當代史」。他們的意思是說，不論多久遠的歷史，都可以拿來和現狀對話，產生對現實的教育意...more
",https://www.books.com.tw/products/0010865163?loc=P_0003_006
7,制度與經濟成長【台灣史論叢 經濟篇】,"古慧雯,吳聰敏,林文凱,盧佳慧,韓家寶(Pol Heyns),魏凱立(Kelly B. Olds)",2020-05-26,"
「經濟成長」一直是經濟學研究的重要議題。1980年代中期，經濟學界再現一波研究熱潮，重要成果之一是確認制度對於經濟成長的重要性。制度係由人類所制訂，用來規範政治、經濟與社會活動，而經濟學研究的結...more
",https://www.books.com.tw/products/0010858086?loc=P_0003_007
8,圖解台灣史更新版,廖宜方,2020-05-21,"
多元族群文化的島嶼記憶脈絡 理解過去，觀照現在。建構歷史視野，認識文化多元的今日台灣 台灣在地的歷史支撐並影響著我們的生活，除了透過古蹟、舊照片等方式具體出現在你我眼前外，也在風俗習慣、思維方...more
",https://www.books.com.tw/products/0010857667?loc=P_0003_008
9,台灣島史記 (上中下冊) (增訂版) The Chronicle of Taiwan Island,蔡正元,2020-04-17,"
歷史真相是唯一的立場    有關台灣島歷史的著作近來相當豐沛，中國大陸、荷蘭、日本及台灣島本地的史料日益充實，讓現代人有機會對台灣島的歷史可以有更加深刻的了解。但有關台灣島的歷史著作也充斥着許多...more
",https://www.books.com.tw/products/0010855766?loc=P_0003_009
10,圖說清代台北城(風華金典藏版),徐逸鴻,2020-03-05,"
◎台灣新生代古蹟與手繪建築達人三大著作壓軸 ◎了解清代台北城建築的唯一選擇 ◎邱博舜(台北藝術大學建築與文化資產研究所副教授)、顏忠賢(實踐大學建築設計系教授)專文推薦 Ë裝幀設計特色：典藏版以青花底...more
",https://www.books.com.tw/products/0010850349?loc=P_0003_010
11,臺灣最好的時刻，1977-1987：民族記憶美麗島,吳乃德,2020-03-03,"
★☆ 臺灣民主誕生的故事 ★☆   在美麗島事件的時代，臺灣人共同展現的同情、正義和勇氣，讓我們對自己有信心，也讓我們回頭凝視現在並且自問：我們臺灣人，到底要成為什麼樣的民族?   「本書敘述在這個最壞...more
",https://www.books.com.tw/products/0010849770?loc=P_0003_011
12,台獨脈絡記(增訂版),許介鱗,2020-02-24,"
‧日皇領導東南亞「獨立」?   ‧蔣介石是天皇的救星嗎?   ‧台獨是從日本「分家」的嗎?    ‧日本掠奪糧食與二二八事變有關嗎?   ‧歐洲擴張史與美國如何稱霸世界?   ‧中國崛起史如何引起中美貿易戰?   ‧「日台...more
",https://www.books.com.tw/products/0010849725?loc=P_0003_012
13,典藏台灣史(精裝書盒版),"何義麟,劉益昌,戴寶村,李筱峰,林偉盛,林呈蓉,溫振華,蔡錦堂,薛化元,詹素娟",2020-02-05,"
全套共7冊的《典藏台灣史》是由前國史館館長張炎憲教授生前策劃，希望由台灣史相關領域的研究者執筆，在台灣主體性的前提下，能夠以全面性的觀點論述史前到當代台灣的鉅作。   常說：「立足台灣，放眼世界...more
",https://www.books.com.tw/products/0010847591?loc=P_0003_013
