,書名,作者,出版日期,內容介紹,網址
1,翻轉思考力的日本哲學：從哲學史、名著到專門用語，有助自我實現的5大工具,小川仁志,2020-08-19,"
全球化競爭必備的哲學訓練 人生處世及對應之道 商務人士必讀學習法 賈伯斯、谷歌、臉書也活用的最強思考工具 在全球化時代中，日本哲學正是勝出的最強武器 用日本哲學培養和世界對抗的堅強心志   全球菁英...more
",https://www.books.com.tw/products/0010866834?loc=P_0003_001
2,西洋哲學史話(上/下)(三版),鄔昆如,2020-01-10,"
匯集作者於哲學領域的教學經驗，為作者於臺大授課時的心得集成，全書接近講義形式，方便哲學科系學生作為課程的複習指南，一般愛好哲學的社會人士，亦可藉此書無師自通，了解哲學最根本的入門知識──。   ...more
",https://www.books.com.tw/products/0010853381?loc=P_0003_002
3,哲學很有事：近代哲學(下),Cibala,2019-09-27,"
十八世紀的哲學思潮來襲，   在啟蒙時代中，磨擦出哲學的火花，   本書十五個故事，帶您十五次解讀，十五次腦力激盪!   最愛說故事的Cibala老師，   這次要帶領大家，認識被稱為「啟蒙時代」的十八世紀， ...more
",https://www.books.com.tw/products/0010835372?loc=P_0003_003
4,洪耀勳文獻選輯,,2019-09-10,"
洪耀勳是誰?是否有臺灣哲學?何謂臺灣哲學?何以洪耀勳的思想與實存哲學、日本哲學有深刻的關聯?哲學在東亞的接受與發展脈絡和洪耀勳的哲學思想有何關聯?洪耀勳的哲學思想能以何種形式和東亞的哲學發展產生...more
",https://www.books.com.tw/products/0010833024?loc=P_0003_004
5,想到你能這樣讀好哲學史，我就放心了：視覺記憶!只須看精華圖解，2小時就掌握哲學史脈絡，讓你馬上開口聊哲學!,小川仁志,2019-09-06,"
關於又愛又恨的「哲學」 你有更好的學習方式! 精華摘要+簡明圖解 從希臘哲學到現代思想， 2小時掌握哲學史脈絡   想到你能這樣讀好哲學史，69位大師就放心了~呼   不讀哲學，少了一點文青感，   想讀哲學...more
",https://www.books.com.tw/products/0010833330?loc=P_0003_005
6,中國哲學史(上),"岑溢成,楊祖漢,王邦雄,高柏園",2019-08-20,"
...more
",https://www.books.com.tw/products/0010309948?loc=P_0003_006
7,全彩圖解 3分鐘讀懂最有趣的哲學史：故事X 漫畫 X 圖解X對照表，多位中西方哲學家的智慧，不用再問「為什麼」，所有生活、人生、宇宙中的答案就在這些思想裡,,2019-07-24,"
故事X 漫畫 X 圖解X對照表， 37位中西方哲學家的智慧， 不用再問「為什麼」， 所有生活、人生、宇宙中的答案就在這些思想裡   哲學可以很江湖，也可以很人生，更可以很歡樂   江湖中的哲學→大俠一刀砍下去...more
",https://www.books.com.tw/products/0010828237?loc=P_0003_007
8,智慧的河流(增訂二版)：談西洋哲學的發展,卓心美,2019-07-05,"
柏拉圖式戀愛?《蘇菲的世界》中的「蘇菲」(Sophia)是什麼意思?翻開這本書一探究竟吧!   希臘神話與哲學有什麼關係?   「吾愛吾師，但吾更愛真理。」是哪位哲人覺得真理高於權威呢?   何人以駱駝、獅子、小...more
",https://www.books.com.tw/products/0010827195?loc=P_0003_008
9,近代日本哲学と東アジア,,2019-06-21,"
近年來，近代日本哲學相關的研究雖然逐漸受到海外學界關注，多數研究仍侷限在特定視野之下，將這些成果互相對照，綜合檢視的研究並不充分。為了突破這樣的現況，本書網羅東亞各國的研究者，以「東亞」為視...more
",https://www.books.com.tw/products/0010821743?loc=P_0003_009
10,中國哲學簡史(第二版),馮友蘭,2019-03-29,"
本書是馮友蘭先生在美國講授中國哲學史時的講義集結，經趙復三先生譯為中文，時間跨度為從先秦至抗戰時期，是對中國幾千年來哲學思想發展的歷史、範式、動因等的總結與理解，豐富深刻，語言通俗。正文部分...more
",https://www.books.com.tw/products/0010817872?loc=P_0003_010
11,哲學很有事：近代哲學(上),Cibala,2019-01-31,"
跨越漫長的中世紀時期，   在理性的時代之中，激發哲學思考與想像，   本書十六個故事，帶您十六次解讀、十六次腦力激盪!   最愛說故事的Cibala老師，這次又要帶領大家，從「信仰」為主的西方中世紀到文藝...more
",https://www.books.com.tw/products/0010813398?loc=P_0003_011
12,啟蒙與反叛：臺灣哲學的百年浪潮,"吳秀瑾,嚴瑋泓,志野好伸,杜嘉玲,林正弘,洪子偉,苑舉正,蔡士瑋,蔡政宏,蔡行健,鄧敦民,鄭光明,鄭喜恒,陳瑞麟,陸品妃,高君和,黃文宏,黃柏誠,黃雅嫺",2019-01-07,"
從存在問題、價值哲學與新舊典範衝突，詮釋臺灣住民的精神史!   臺灣哲學的歷史已逾百年，但在時代巨變下其發展究竟具何種面貌?為了替過去的臺灣哲學完成首次思想盤點，本書不但從存在問題、價值哲學、知...more
",https://www.books.com.tw/products/0010809652?loc=P_0003_012
