,書名,作者,出版日期,內容介紹,網址
1,臺大學生哲學桂冠獎得獎作品集 第五輯,,2020-11-06,"
本書收錄「臺大學生哲學桂冠獎」第九屆(2019)、第十屆(2020)共三十四篇精華作品，各依人文、社會、自然與生命教育四組，分訂不同重要議題。學生依題深入思考、論述，理性、自省與關懷兼具；學者專家之評論...more
",https://www.books.com.tw/products/0010874049?loc=P_0003_001
2,顧曉軍主義之淺探,盧德素,2020-10-01,"
走近顧曉軍，讀取公正、民權、自由之真諦，樂觀平民主義民主社會的到來!   ◎從多個角度描述顧曉軍曲折艱辛之網路成功崛起歷程，展示其理論建樹和文學業績。   ◎以筆記形式深入解讀顧曉軍主義專著：《大腦...more
",https://www.books.com.tw/products/0010871562?loc=P_0003_002
3,餐桌上的哲學課：吃鯛魚燒遇到康德?煮拉麵秒懂柏拉圖!好吃就是零卡路里?原來哲學竟如此美味,吳秀珉,2020-09-30,"
◎哲學大師+12堂這輩子一定要搞懂的哲學美食思辨課，現正開課中! ◎跟著銀賞哲學家一邊做菜、品嘗美食，一邊快速掌握哲學經典論述，一起開動吧!   哲學不會很難懂，吃炸雞的時候也可以豁然開朗 給每天晚上都...more
",https://www.books.com.tw/products/0010870090?loc=P_0003_003
4,論真實,哈里‧法蘭克福,2020-09-30,"
哲學上的大哉問：我們真能分辨真假嗎? 又，為什麼在意真假這麼重要? 哲學大師法蘭克福引用史賓諾莎的話回答我們： 人們無法不愛真實。忽視真實的人，就是忽視自己生命的人。   哈里•法蘭克福(Harry G.Fran...more
",https://www.books.com.tw/products/0010870930?loc=P_0003_004
5,給哲學家的分手信,哲學新媒體,2020-09-22,"
不以結婚為前提的交往都是耍流氓，   不以分手為前提的哲學研究都是墮落?!      牛頓說：「如果我能看得更遠， 那是因為站在巨人的肩膀上。」   「巨人的肩膀上站久了，難免會發現更高的巨人。」愛因斯坦...more
",https://www.books.com.tw/products/0010869849?loc=P_0003_005
6,哲學現場：人生大哉問，20道生命必經關卡的哲學思辯練習,葉海煙,2020-08-29,"
**台灣哲學大師最臨近人生的經典命題探究** 孤獨、婚姻、家庭、病痛、爭戰、信仰…… 最令人玩味的哲學對話，就在我們每一處生活的現場 哲學真的很重要嗎?­­為何我都看不懂? ­­­­哲學就是天馬行空，不著邊際...more
",https://www.books.com.tw/products/0010867937?loc=P_0003_006
7,愛的盲點.上.新編,陶國璋,2020-08-28,"
本書為《愛的盲點‧80後篇》的增訂版，改動頗多，內容選輯自陶國璋教授在香港中文大學開辦多年、深受學生歡迎的「愛情哲學」課程。作者透過簡明的哲學、心理學、社會學理論和現實處境，分析現今「輕不着地...more
",https://www.books.com.tw/products/0010869337?loc=P_0003_007
8,正義教室：史上最強的「公民與社會」課!,飲茶,2020-08-28,"
——小說版的《正義：一場思辨之旅》!培養現代學生「素養」與「思辨力」的最關鍵讀本——    •右邊是無數的幼童，左邊是自己唯一的孩子，惡火中你只能選擇一邊拯救，你會救誰?    •有一列失控電車，即將高速撞...more
",https://www.books.com.tw/products/0010867059?loc=P_0003_008
9,論幽默,泰瑞・伊格頓,2020-08-06,"
最幽默的理論大師泰瑞・伊格頓，終於寫下一本談「幽默」的書了! 暢談幽默與喜劇在西方文化的重要地位， 剖析「笑」的政治含意與顛覆力量， 以及怎樣把一個笑話講得無比嚴肅、將嚴肅的事付之一笑。 「幽默...more
",https://www.books.com.tw/products/0010865442?loc=P_0003_009
10,緣命之間,王邦雄,2020-07-29,"
說解佛學的達觀智慧   詮釋儒家的價值理念   豁顯道家的生命哲學   儒道兩家講「命」，佛門說「緣」，當「理」已解開，生命就得到了釋放。    一本最理想的人生書：化解生命存在的執著困苦，指點人生未來...more
",https://www.books.com.tw/products/0010864622?loc=P_0003_010
