,書名,作者,出版日期,內容介紹,網址
1,邏輯不好不是你的錯,"吳作樂,吳秉翰",2020-10-28,"
你認為的邏輯只是若p則q嗎?這只是狹義的邏輯，真正的邏輯應該包含演繹邏輯(若p則q)、語言邏輯(中文有很多語病謬誤)、科學邏輯(統計邏輯)，這些可稱為廣義的邏輯。台灣社會充滿邏輯錯誤的言論，從媒體、政...more
",https://www.books.com.tw/products/0010874206?loc=P_0003_001
2,辯論玩很大：從遊戲中學習政策型辯論 2 (桌遊),"吳曜任,常紹如,施勇廷,林于婷",2020-10-01,"
本桌遊是「臺灣高中英語辯論推廣系列叢書」的「新啟航」：結合臺師大英語系常紹如教授、臺南女中吳曜任教師、臺南女中林于婷教師及中科實中施勇廷教師四位老師多年推廣思辨與辯論所用之教材內容，融入學生...more
",https://www.books.com.tw/products/0010874011?loc=P_0003_002
3,邏輯思考：診斷、案例、剖析,"侯建國,謝名娟,陶亦宣",2020-08-24,"
這本書著重在邏輯的理解與運用。   這本書不重理論、不重對錯，重視的是「你」。   我們盡可能地證明給你看，任何事物都與邏輯有關。    以筆者數十年訓練邏輯思考的觀察經驗，只要你提出問題、提出批判，...more
",https://www.books.com.tw/products/0010867751?loc=P_0003_003
4,反智：不願說理的人是偏執，不會說理的人是愚蠢，不敢說理的人是奴隸,古倫姆斯,2020-07-30,"
識破迷惑人心的把戲、似是而非的話術 理性並非本能，理智需要鍛鍊   你覺得下面這個三段論，有沒有問題呢?   前提一：人皆不免一死。   前提二：蘇格拉底不免一死。   結 論：因此，蘇格拉底是人。   如果...more
",https://www.books.com.tw/products/0010864920?loc=P_0003_004
5,街角遇見哲學：從ABC到DNA，生活中35個改變現實的偉大思想,馬丁．勃克哈特,2020-07-29,"
思想之所以能對我們施展力量，乃是因為思想只存在我們的想像之中。事實上的確沒有比我們的想像更強大的力量。——馬丁.勃克哈特(Martin Burckhardt)    哲學無所不在——尤其在我們的日常生活當中   每當我們...more
",https://www.books.com.tw/products/0010864625?loc=P_0003_005
6,歡樂邏輯養成班，超有料!：一學就會，一笑就懂，絕不昏昏欲睡的12堂課,仲島瞳,2020-07-29,"
歪理有邏輯嗎? 沒邏輯也能輕鬆練就邏輯力? 真正初階的邏輯入門12堂課， 就算只看漫畫，也能有概念!   一說到邏輯，就覺得很困難很深奧?通通聽不懂，聽了就想睡覺?本書絕對讓你在清醒狀態中學會邏輯!   想...more
",https://www.books.com.tw/products/0010864626?loc=P_0003_006
7,邏輯新引：一本入門、對話式的邏輯學書,殷海光,2020-07-28,"
這是一本入門、對話式的邏輯學書。   攻習任何科學，相當的牛角尖是一定要鑽的。如其不然，我們將永遠停留在浮光掠影的階段。在鑽過牛角尖以後，如果我們增益了相當的智能，那麼我們就到達了進步之起點。─...more
",https://www.books.com.tw/products/0010865237?loc=P_0003_007
8,不腦殘邏輯課：460道題目輕鬆學，告別鬼打牆、做一個有sense的人!,于雷,2020-07-24,"
這是一本讓你邊遊戲邊學習、寓教於樂的書   數學好困難，背了一大堆公式卻毫無用武之地?   誰說邏輯不重要!當心變成鬼打牆的「腦殘」!   母語每個人都會說，但你是否經常講話「前後矛盾」而不自知呢?   這...more
",https://www.books.com.tw/products/0010864209?loc=P_0003_008
9,培養IQ不腦殘：遠離蠢事，從開發腦力開始,"崔旭,林裕祥,楊忠",2020-07-23,"
IQ命中注定無法改變嗎? 老師最愛講的逆向思維、發散思維該怎麼培養? 日常生活多鍛鍊腦力，不要做了蠢事才被罵腦殘! 快來看看，聰明人都是怎麼想事情的──   從一杯水看逆向思考   你看到桌上剩半杯水時，你...more
",https://www.books.com.tw/products/0010865386?loc=P_0003_009
10,像哲學家一樣思考：27堂超有料人生思辨課，Step by Step打造你的心智護城河,安．魯尼,2020-07-15,"
釐清現況─提出假設─做出決策 哲學，原來可以用來做這些學校不會教的事! 像是指引善惡路徑、挑戰主流思想、最大化推理能力， 甚至是超脫生死愛慾……   ◤ 27堂讓理工人也著迷的人生思辨課 ◢   只要懂這些哲普...more
",https://www.books.com.tw/products/0010863252?loc=P_0003_010
11,想像力實驗室：鍛鍊發想力的33個思考實驗,北村良子,2020-07-10,"
最簡單易懂的思考實驗入門書第 2 彈!   哇~~原來思考這麼有趣!    本書同樣也是以著名的思考實驗作為主軸，像是「沼澤人」、「中文房間」、「烏鴉悖論」、「缸中之腦」、「幸福的奧美斯城」……等，希望幫助...more
",https://www.books.com.tw/products/0010863432?loc=P_0003_011
12,笛卡兒的思辨健身房：我在法國教哲學，看法國學生怎麼學「思考」和「論述」?,孫有蓉,2020-07-06,"
邏輯決定態度，真知扭轉偏誤， 打造思辨力，進階哲學腦!   「108年課綱」思辨教育最佳讀物!   為未來公民的基礎能力養成超前部署!   用「思考」當啞鈴，用「論述」練舉重，   歡迎來到笛卡兒的思辨健身房...more
",https://www.books.com.tw/products/0010862368?loc=P_0003_012
13,思考實驗室：鍛鍊邏輯思考力的33個思考實驗,北村良子,2020-06-12,"
哇~~原來思考這麼有趣! 日本狂銷13萬冊，最簡單易懂的思考實驗入門書!    歡迎來到思考實驗室!這裡從知名哲學問題到原創的謎題都有，包括礦車的開關問題、忒修斯之船、阿基里斯悖論、賭徒謬誤、黑白瑪莉和...more
",https://www.books.com.tw/products/0010860429?loc=P_0003_013
14,邏輯學講義,康德,2020-03-28,"
本書是由學生聽講筆記整理而成的康德著作。   在本書中，康德在傳統的「量」、「質」、「關係」的邏輯判斷分類外，又創設了「模態」，開創了研究概念內容的新局面，並從形式邏輯發展到先驗邏輯。康德範疇...more
",https://www.books.com.tw/products/0010853221?loc=P_0003_014
15,邏輯學原來這麼有趣：顛覆傳統的18堂邏輯課,董桂萍,2020-03-28,"
原來邏輯學一點都不難，可以像讀故事一樣讀懂它。 這不是胡扯，請相信，它絕對是史上最有趣的一本邏輯學讀本!   這是一本跟隨18位邏輯學大師學習其思想精華的書。以18堂課展開，用對話和課堂實錄方式，將...more
",https://www.books.com.tw/products/0010853262?loc=P_0003_015
16,盡情煩惱吧，人生這樣思辨才有答案!：每個人內心的正義，答案都不一樣，怎麼做才能無悔也無愧?,押谷由夫,2020-03-27,"
◎你覺得校規不合理時，會漠視違反?還是乖乖遵守?   ◎我想當電競選手，但爸媽希望我考公務員；選擇職業時，我該聽從父母的話嗎?   ◎一定要讓位給老人嗎?當你內心開始為此煩惱時，你會怎麼辦?   ◎「罪犯也擁...more
",https://www.books.com.tw/products/0010852247?loc=P_0003_016
17,思考之法,梁光耀,2020-02-27,"
作為萬物之靈，人的獨特之處就是有思考能力，但思考必須學習和培養才有所成。   作者認為，有三種思考對個人的發展和成功最為基本和重要，一種是批判思考，另一種是創意思考，還有一種是積極思考。   本書...more
",https://www.books.com.tw/products/0010857007?loc=P_0003_017
18,暫停抄寫：高中國文課的哲學,江毅中,2020-01-03,"
哲學教育在中學教育有何必要性呢?台灣教育改革多年，不可否認的，升學主義卻仍是台灣中學教育現場的主流思維。本書作者為高中國文老師，在書中除了寫出自己在教育現場第一線的觀察，犀利檢討整個教育結構...more
",https://www.books.com.tw/products/0010843971?loc=P_0003_018
19,邏輯的藝術：融合理性與感性的16堂邏輯思維課,鄭樂雋,2019-12-26,"
融合理性與感性的16堂邏輯思維課   眾聲喧嘩中，解讀現代世界的最佳指南   「我若吃了巧克力，就會很開心。」   這句話合邏輯嗎?   「我很開心，就會去吃巧克力。」   這句話跟上面那句話，是相同的意思嗎...more
",https://www.books.com.tw/products/0010844260?loc=P_0003_019
