,書名,作者,出版日期,內容介紹,網址
1,Essentials of MIS (GE)(14版),"Jane P. Laudon,Kenneth C. Laudon",2020-07-23,"
Essentials of MIS is an in-depth look at how today’s businesses use information technologies and systems to achieve thei......more
",https://www.books.com.tw/products/0010867010?loc=P_0003_001
2,大數據時代：企業雲端智慧化管理策略,范玉順,2020-06-19,"
大數據時代，即資訊應用的智慧化階段，   全新的商業模式，你，跟上了嗎?    與過去的數位化應用時代相比，大數據時代在技術上和商業模式上都有著顯著的不同，大數據時代是一個「透過利用無所不在的感知、...more
",https://www.books.com.tw/products/0010862149?loc=P_0003_002
3,Business Driven Information Systems (7版),Paige Baltzan,2020-06-12,"
The 7th edition of Business Driven Information Systems (BDIS) promotes the belief that technology should support the nee......more
",https://www.books.com.tw/products/0010863743?loc=P_0003_003
4,資訊系統安全技術管理策略：資訊安全經濟學,趙柳榕,2020-05-29,"
隨著 「互聯網 +」 戰略的積極推進，資訊化大潮汹湧而至，無論是互聯網企業還是傳統企業都越來越依賴網路方式獲得資訊和交流資訊，資訊系統對企業的日常運行和管理、提高生產營運效率等都起著至關重要的作...more
",https://www.books.com.tw/products/0010860147?loc=P_0003_004
5,"Analytics, Data Science, & Artificial Intelligence: Systems for Decision Support (11版)","Dursun Delen,Efraim Turban,Ramesh Sharda",2020-05-27,"
For courses in decision support systems, computerized decision-making tools, and management support systems.   Market-le......more
",https://www.books.com.tw/products/0010860515?loc=P_0003_005
6,Experiencing MIS (8版),"David M. Kroenke,Randall J. Boyle",2020-04-30,"
1. New - Career Guides in each chapter let students read firsthand accounts from people working in information systems j......more
",https://www.books.com.tw/products/0010860541?loc=P_0003_006
7,企業資源規劃：企業e化之營運管理4/e,張緯良,2020-01-01,"
.以實務為導向，配合理論解說   ERP是一個實務導向的整合性資訊系統，旨在支援企業例常營運，本書依據國際權威理論，搭配本土實務應用情況，作有系統的說明。   .以流程為主軸，介紹企業運作   本書以介紹...more
",https://www.books.com.tw/products/0010844516?loc=P_0003_007
8,管理資訊成本論,符剛,2019-12-06,"
管理訊息成本是指企業在管理過程中，為了減少決策結果的不確定性，收集、加工、儲存、傳遞、利用管理訊息花費的代價和訊息不完全產生的決策損失。本文在對國內外訊息成本研究現狀及進展進行評述後，以訊息...more
",https://www.books.com.tw/products/0010842860?loc=P_0003_008
9,"企業資治通鑑(企業IT治理)：提升企業價值,降低IT風險(第二版)",廖如龍,2019-11-01,"
本書包羅了資訊生態、資訊足跡、科技價值、資訊科技治理(IT governance)、資訊風險管理、資訊外包、董事會的角色、資訊治理( Information governance)等議題。這些都是資管重要議題，如龍兄旁徵博引，加入...more
",https://www.books.com.tw/products/0010839349?loc=P_0003_009
10,資訊管理(7版),"David M. Kroenke,Randall J. Boyle",2019-08-06,"
資訊管理到底是什麼?這個問題的答案隨著近代科技的快速發展，因地域、行業需求的不同而不斷改變。現今人與人之間的交流，則因電腦網路與可攜式行動裝置的發展產生巨大的變化，這全都來自於人們對資訊管理...more
",https://www.books.com.tw/products/0010833524?loc=P_0003_010
11,DevOps Handbook中文版|打造世界級技術組織的實踐指南,"Gene Kim,Jez Humble,John Willis,Patrick Debois",2019-04-18,"
透過DevOps實踐提升獲利能力，精進工作文化，增加生產力   技術的有效管理比以往任何時候都對企業的競爭力至關重要。幾十年來，技術領導者一直在努力平衡敏捷性、可靠性和安全性。失敗的後果從來沒有這麼...more
",https://www.books.com.tw/products/0010819137?loc=P_0003_011
12,安全領航數位時代 企業主管資訊安全指南,"Ann Johnson,Gary A. Bolles,Gerd Leonhard,Mario Chiock,Mark McLaughlin等,Salim Ismail,Tom Farley",2019-04-05,"
歡迎來到《安全領航數位時代》全新第二版。強調「全新」是因為這個版本內容與第一版完全沒有重複。何以如此? 第一版(僅英文版)發行於三年前。歡迎來到數位時代，三年猶如千年。   此版集結超過五十位來自...more
",https://www.books.com.tw/products/0010818155?loc=P_0003_012
13,企業資治通鑑(企業IT治理)：提升企業價值，降低IT風險,廖如龍,2018-09-20,"
本書包羅了資訊生態、資訊足跡、科技價值、資訊科技治理、資訊治理、資訊外包、董事會的角色等議題。作者旁徵博引，加入自己的看法，資訊主管應可獲益良多，省去不少摸索的時間。期待這本書帶給企業的不只...more
",https://www.books.com.tw/products/0010800168?loc=P_0003_013
14,資訊管理：e化企業的核心競爭能力(7版),林東清,2018-08-01,"
人工智慧、物聯網、大數據、金融科技、區塊鏈等等IT的新科技在2017年以後逐漸由實驗室走出，進入了商業市場的實戰階段。AI的自駕車、智慧助理、聊天機器人、工業機器人、AI醫療、AI金融、AI安防、AI法律鋪...more
",https://www.books.com.tw/products/0010797387?loc=P_0003_014
15,鳳凰專案：看IT部門如何讓公司從谷底翻身的傳奇故事,"Gene Kim,George Spafford,Kevin Behr",2017-09-22,"
『本書是業務主管與IT主管必讀的葵花寶典，幫助你克服並駕馭不斷增長的IT複雜度。』 - Jim Whitehurst，Red Hat執行長   『本書情節扣人心弦，清楚捕捉諸多仰賴IT之企業所面臨的困境，並且提供切實可行的...more
",https://www.books.com.tw/products/0010765203?loc=P_0003_015
16,資訊管理,,2016-06-01,"
由於資訊科技瞬息萬變，因此新版書更新了許多重要的概念與最新技術。不但內容已經更新就連單元標題也做了適度的調整，以更為精準的方式下標，並大幅增加淺顯易懂的精美圖片與邏輯清楚的圖表，方能呈現最佳...more
",https://www.books.com.tw/products/0010720785?loc=P_0003_016
17,大腦超載時代的思考學,丹尼爾．列維廷,2016-03-30,"
在資訊氾濫、一心多用的時代,   如何有效組織你生活、工作的各個面向?   認知心理學大師提供你完美解藥。   你的腦中充斥著過量資訊。你在電子郵件、臉書、簡訊和手頭工作之間疲憊不堪地折返，最後沮喪地...more
",https://www.books.com.tw/products/0010709863?loc=P_0003_017
18,資訊倫理與法律(二版),"袁建中,高崑銘",2016-03-01,"
資訊科技與行動網路的多元發展，豐富了我們的生活，而資訊公共政策以及法律規範的研究也因此逐漸受到重視。由於應用資訊科技的方法、價值取向以及態度時時創新，容易引起各種道德及法律爭議；有鑒於此，本...more
",https://www.books.com.tw/products/0010712357?loc=P_0003_018
