,書名,作者,出版日期,內容介紹,網址
1,風控Ego教你100張圖學會 順勢交易抱住飆股：自創「獵鷹9號」，幫你一次賺進50%的獲利目標,"葉韋辰,詹TJ",2020-11-16,"
★台股正念交易第一人Ego老師 100張圖深入淺出帶你了解交易三大要素(交易策略、資金管理、交易心理) 全職交易員Ego正在使用的交易系統不藏私大公開      ★隨書附贈★   1. 飆股策略開發心智圖，讓你也可以開...more
",https://www.books.com.tw/products/0010874910?loc=P_0003_001
2,傳奇股神的交易智慧：多空雙賺的纏論K線分析,培峰,2020-10-07,"
全面解析傳奇股神纏中說禪投資心法，   完整收錄超過400張K線圖，   系統呈現纏論核心思想、結合K線組合型態找買賣點，   教你從零開始穩定獲利    中國傳奇股神「纏中說禪」憑藉其創立的技術分析理論：纏...more
",https://www.books.com.tw/products/0010871468?loc=P_0003_002
3,年賺32%操盤手的K線實戰術,凌波,2020-08-27,"
●操盤心法+K線+指標+波段操作+機率思維，高手養成必備祕技完整集結!   ●45個交易話題，解剖股票操盤的基礎知識、技巧和原則，幫助你像操盤手那樣做股票，穩定獲利!   ●如何擁有盤感?如何買在起漲點?如何找...more
",https://www.books.com.tw/products/0010867484?loc=P_0003_003
4,出圖制勝：技術分析實戰全攻略,譚朗蔚,2020-08-20,"
連分析師都不能夠匹敵的，叫「市場先生」，與其花時間學理論，不如直接在股市上實戰課!   人氣股評人譚朗蔚，十年來實戰無數，善於把握投資者心理及市場大轉勢。他於本書歸納自己每天都應用的技術分析，配...more
",https://www.books.com.tw/products/0010867246?loc=P_0003_004
5,會長教你用 100張圖學會K線當沖：30萬本金「穩穩賺」的每日實戰交易,Johnny,2020-08-10,"
★台灣最暢銷的短線選股APP版主!  本書是台股最細膩的短線當沖交易指南， 詳盡解說「選股型態」與進出場策略， 並教你克服交易心理盲點， 讓當沖比你想像的簡單、易學!    ★我曾是價值投資的擁護者，但自從...more
",https://www.books.com.tw/products/0010865252?loc=P_0003_005
6,順勢交易：多空策略實作指引,安德魯．亞伯拉罕,2020-08-10,"
本書為順勢操作者建立了一套完整的投資策略，包括多空進場原則、停損設定、風險管理，以及複利觀念的運用。除此之外，作者安德魯擅長將順勢法則發揮於全方位的市場，包括股票、期貨、商品以及外匯等等，不...more
",https://www.books.com.tw/products/0010866502?loc=P_0003_006
7,【圖解】日本股神屢戰屢勝的技術線圖投資法：108張圖╳40種K線組合╳23款獨門判讀祕訣，讓你第一次學技術分析就高效獲利,相場師朗,2020-07-02,"
研究基本面，可以讓你買進好公司， 但想精準判斷買賣時機、高效獲利， 更要學會看懂技術線圖! 日本股神近40年屢戰屢勝的親身驗證， 教你用108張圖學會技術分析!   ★ 用一張圖看懂K線、均線、見底、觸頂……...more
",https://www.books.com.tw/products/0010862283?loc=P_0003_007
8,88張圖看懂 技術分析：你也能跟他一樣，10年賺到7000萬!,渋谷高雄,2020-04-23,"
★日本熱銷突破30,000冊!   史上最好懂的股票線圖操作手冊!   詳盡解說5個關鍵詞+88個練習題   不怕你看不懂，就可惜你不跟著做!   ★練就技術分析投資術，讓他每月穩賺3百萬!   投資理財暢銷書作家渋谷高雄...more
",https://www.books.com.tw/products/0010854205?loc=P_0003_008
9,海期刀神的 60分K獲利術：一小時學會「均線與斜率」，賺 100% 的致勝雙刀流!,刀神,2020-02-24,"
台股不是你唯一的選擇! 海期大神20年投資心得，不藏私教你順勢的藝術， 從黃金、原油到指數期貨，讓你學會戰勝市場的秘笈。   身為投資人的你，是否對這些問題感到苦惱?   ‧找不到適當的買賣點。   ‧經常...more
",https://www.books.com.tw/products/0010848887?loc=P_0003_009
10,道氏理論(致富新版)：一次掌握投資獲利趨勢、看懂所有圖表，並能預測未來走向的金贏家寶典,陳東,2019-11-27,"
散戶、新手最佳入門勝經 一次掌握投資獲利趨勢、看懂所有圖表， 並能預測未來走向的金贏家寶典   讓你進出股市不再像玩一場未知的賭局，   而是變成一種有利可圖的職業!   道氏是道瓊指數的創始人、技術分...more
",https://www.books.com.tw/products/0010840858?loc=P_0003_010
11,股票一哥專挑穩健股 保本獲利20%：新手進入股海，該如何挑選安全的投資標的呢?,塩見努,2019-11-14,"
★日本暢銷30,000冊   股神巴菲特有一句名言：「絕對不要相信名嘴!」   但為何我們總是……   別擔心，日本第一名資深財務規劃師，   傳授你從穩健股出發，就能成為股市贏家!   測驗題：你是否有以下幾點特徵...more
",https://www.books.com.tw/products/0010838746?loc=P_0003_011
12,第四類投資模式：行為技術分析，從人性與金融市場的互動與碰撞，洞察獲利勝機,保羅．亞佐巴帝,2019-11-06,"
財訊第594期書摘推薦 第一本將「行為金融」與「技術分析」結合應用的書籍! 「技術分析」人人都會，為什麼真正賺到錢的沒幾個?! 不是因為你沒學好，更不是你研究得不夠透澈， 問題在於你的行為!   獲利的新...more
",https://www.books.com.tw/products/0010838728?loc=P_0003_012
13,【圖解】日本股神35年連戰連勝的線圖投資術,相場師朗,2019-10-17,"
總獲利超過100億的專業操盤手 教你不看財報，把股市變成ATM! 日本股神相場師朗，標榜著一切投資訊息都在技術線圖上表露無遺。 你不必看財報，不用受到基本面、消息面的干擾而困惑。 只要運用「K線」、「移...more
",https://www.books.com.tw/products/0010835353?loc=P_0003_013
14,3天搞懂技術分析：看懂走勢、解讀線圖，橫掃股市乘風破浪!,梁亦鴻,2019-09-05,"
股海茫茫，時有驚濤駭浪 想進股市投資賺大錢 一定要先穿上「技術分析」救生衣!   股市老鳥應該都聽過一句話，「漲時重勢、跌時重質」。因為重勢(看懂趨勢)，所以能夠在多頭格局賺取大波段的利潤；因為重質...more
",https://www.books.com.tw/products/0010831201?loc=P_0003_014
15,看懂線圖，新手也能輕鬆賺外匯：低門檻、高勝率的小資理財術!,田向宏行,2019-08-28,"
決定外匯投資的勝敗不是預測市場，而是「技術」。   只要循序漸進地學習，任誰都能精通操作手法；   只要能正確解讀K線圖，就能賺取高額收益!   還在感嘆景氣低迷、每天老是窮忙?   想靠投資幫自己加薪，...more
",https://www.books.com.tw/products/0010832150?loc=P_0003_015
16,期跡奇績(3)：勝杯在握(精裝),王慶津,2019-08-15,"
轉折何難.峰谷而已.高低有形.尋跡見龍   大道至簡.何須他求.勝杯早在.握之即得   所有轉折訊號，一次大揭露，滿足你想「自在空，無憂買」的願望。   每一步驟、每一細節，條敘清楚，一招學得一招利，台指...more
",https://www.books.com.tw/products/0010830990?loc=P_0003_016
17,最強技術指標組合：日本人氣分析師親授1+1>2的賺錢術,福永博之,2019-07-25,"
日本AMAZON書店「股票投資類」銷售排行NO.1!   人氣分析師傾囊相授，技術指標組合技法大公開，   96張股市走勢圖，按圖索驥輕鬆學習!   每個技術指標，都有它的優點與缺點。   單使用一種指標的話，必定有...more
",https://www.books.com.tw/products/0010827805?loc=P_0003_017
18,金融投資操作：行情研判與K線交易,"曾國展,臧大年,鄭雅瑄",2019-07-15,"
金融市場總是變化多端、高深莫測。為了能細膩地表達市場多變的走勢，因此本書重新定義出許多交易的專有名詞，以利區分各種走勢變化、掌握後勢。以K 線作為分析行情漲跌的主要工具，藉由行情走過的歷史軌跡...more
",https://www.books.com.tw/products/0010827673?loc=P_0003_018
19,移動平均線MA：讓人陷入困境的是一知半解 還有那飲酖止渴的解決方式,科林斯,2019-07-04,"
我們追求的是具體的目標，不是遙遠空虛的願望。我們的字比較大，文筆比較好，內容比較充實，故事比較精彩；光看文筆，就值得收藏；本書創作的目的，在與眾不同，目標是心靈百萬富翁(Millionaire)：擺脫貧...more
",https://www.books.com.tw/products/0010826308?loc=P_0003_019
20,西點軍校33兵法：靈魂有多重 國家就有多重 責任有多重 榮譽就有多重,魏爾,2019-07-04,"
我們追求的是具體的目標，不是遙遠空虛的願望。我們的字比較大，文筆比較好，內容比較充實，故事比較精彩；光看文筆，就值得收藏；本書創作的目的，在與眾不同，目標是心靈百萬富翁(Millionaire)：擺脫貧...more
",https://www.books.com.tw/products/0010826312?loc=P_0003_020
