,書名,作者,出版日期,內容介紹,網址
1,金融怪傑：全球頂尖交易高手對談錄(30周年紀念版),傑克．史瓦格,2020-11-05,"
★ 深受投資人喜愛之《金融怪傑》系列首部曲，三十周年中文紀念版全新上市 ★ 國內外專業經理人、操盤手指定必讀經典 ★ 訪談內容囊括股市、期貨、外匯、金融商品、交易心理及場內交易等領域 ★ 收錄《笑傲股...more
",https://www.books.com.tw/products/0010874116?loc=P_0003_001
2,挑出穩賺股的100%獲利公式：專買「一年會漲三倍」的爆賺小型股，3萬本金在10年滾出3000萬!,遠藤洋,2020-11-04,"
崩盤、股災、黑天鵝好可怕? 懂得選「穩賺股」，別人的危機、就是你的翻身轉機! 8項選股公式╳挑爆賺股5條件╳4大買賣時機點， 專給散戶‧小資‧小本金的選股筆記， 讓有錢途的公司幫你賺錢，沒有富爸媽、也能...more
",https://www.books.com.tw/products/0010874365?loc=P_0003_002
3,股海老牛最新抱緊股名單，殖利率上看8%：高殖利率股、金身不倒股、步步高升股、落難龍頭股，跟著老牛緊緊抱，提早財富自由,股海老牛,2020-10-29,"
重量級理財部落客，聯合推薦!   內附股海老牛20檔最新抱緊股名單：   高殖利率股、金身不倒股、步步高升股、落難龍頭股。   (小編已先超前布局好幾檔)   2018年底，股海老牛發文「2019年7%高殖利率定存股...more
",https://www.books.com.tw/products/0010873247?loc=P_0003_003
4,股債雙存獲利六堂課：財經直播主游庭皓教你抓對景氣做投資,游庭皓,2020-10-29,"
新冠肺炎病毒讓聯準會亂了方寸，三度降息的結果，帶領全球邁入零利率時代，背後代表的是：以往投資模式已不靈光，投資報酬也將跟著淪為龜苓膏。    在這場大恐慌中，知名財經直播主游庭皓抱持景氣投資法則...more
",https://www.books.com.tw/products/0010873471?loc=P_0003_004
5,日本股神的訊號判讀教室(隨書附贈「相場練習筆記」)：上完這堂課，讓你攻守自如、多空都賺,相場師朗（SHIRO AIBA）,2020-10-29,"
▎日本股神狂勝40年最完整的投資寶典 ▎   亞洲最大股票教室獨門獲利課程，近萬名學生高效見證   ★長踞日本AMAZON書店「股票投資」暢銷榜/讀者評鑑4.4星   ★相場式經典絕招+最新技術，全彩解說更簡單   ★隨...more
",https://www.books.com.tw/products/0010873699?loc=P_0003_005
6,華爾街預言師(上冊)：翹楚金融神通,華仔,2020-10-28,"
◆鐵粉活動：每本書書末都有點數開啟碼，只要「開啟五本書籍點數」即可登入作者專頁：wearn.tw/r/d3f038，觀看作者免費的鎖書主題文章!   這是一本用「金融故事情節」和「操盤技術」完美結合的金融預言書。...more
",https://www.books.com.tw/products/0010873988?loc=P_0003_006
7,華爾街投資大師教你3%訊號投資術 + 會長教你用100張圖學會K線當沖,"Johnny,傑森‧凱利",2020-10-28,"
(華爾街投資大師教你3%訊號投資術)    不看盤、免讀財報、不聽消息，   只要用股票基金與債券基金的自動化投資機制，   就能五年賺到100%!    你知道嗎?有一種投資方法──   由你自己操作，卻不會受到多空...more
",https://www.books.com.tw/products/0010874454?loc=P_0003_007
8,專業當沖原理：選股原則、買賣策略、部位管理以及交易心理,安德魯．阿齊茲,2020-10-21,"
★盤前、盤中即時掃描，掌握當沖獲利關鍵的最強攻略 ★亞馬遜書店暢銷書、長踞投資策略榜NO.1、最受全球當沖愛好者推崇 ★連續四年榮登亞馬遜商業金錢類銷售百大作家 ★線上當沖教學網站Bear Bull Traders指定...more
",https://www.books.com.tw/products/0010873890?loc=P_0003_008
9,75張圖看懂均線波動：買對趨勢，讓投資勝率提高100%!,小次郎講師（手塚宏二）,2020-10-19,"
★日本亞馬遜證券類第1名! ★75張圖，超簡單按圖學習!  作者融合自己38年的投資心得， 研發出「移動平均線大循環分析」與「大循環MACD」兩項獨門工具， 無論股市、匯市都能幫你精準判斷買賣時機!    ★擁有38...more
",https://www.books.com.tw/products/0010872576?loc=P_0003_009
10,圖解第一次買股票就上手(全面修訂版),李明黎,2020-10-17,"
最受股票新手信賴的戰前訓練寶典! 慎選優質股+挑對進出時機=自己加薪水  *新手基本功：選股前先看懂公司財務及產業前景，學會4大技術分析。 *完整交易流程：熟悉股票交易流程、術語、股利算法，獲利穩穩來...more
",https://www.books.com.tw/products/0010872984?loc=P_0003_010
11,股票作手回憶錄,傑西．李佛摩,2020-10-14,"
「百年美股第一人」的投資智慧!   從五美元進場，到擁有一億美元的財富，他是二十世紀二○年代從華爾街賺走最多錢的人，堪稱投機行業裡無出其右的奇才。在四十多年的交易生涯中，傑西‧李佛摩曾數次大起大落...more
",https://www.books.com.tw/products/0010871630?loc=P_0003_011
12,股市晴雨表：判斷股市多空轉折的百年金律,威廉‧彼得‧漢密爾頓,2020-10-14,"
──跨世代投資經典，技術分析高手養成的必讀之作── 趨勢一旦形成，就不會輕易改變； 你無法預測價格的起伏，但卻可以站在對的浪頭上!   ★ 睽違百年，唯一繁中全新譯本，三百六十頁重磅重現   ★ 內容涵蓋：...more
",https://www.books.com.tw/products/0010872608?loc=P_0003_012
13,傳奇股神的交易智慧：多空雙賺的纏論K線分析,培峰,2020-10-07,"
全面解析傳奇股神纏中說禪投資心法，   完整收錄超過400張K線圖，   系統呈現纏論核心思想、結合K線組合型態找買賣點，   教你從零開始穩定獲利    中國傳奇股神「纏中說禪」憑藉其創立的技術分析理論：纏...more
",https://www.books.com.tw/products/0010871468?loc=P_0003_013
14,買下全世界：獲利提升、風險驟降的聰明投資法，讓全球最頂尖的企業為你賺錢,亞倫‧安德森,2020-10-07,"
透過買下全球頂尖企業，打造史上最安全投資組合    儘管外國股票在世界股票市場中所占的份額比自己國家股票要大，但絕大多數投資人都嚴重偏好自己國家的股票，造成所謂的「近鄉偏誤」。事實上，許多世界上...more
",https://www.books.com.tw/products/0010871530?loc=P_0003_014
15,95%勝率的「兩倍標準差」股票投資法則：最強基金操盤手的科學統計交易公式，學會「該買就買該賣就賣」不糾結,陳曦,2020-09-29,"
股價什麼叫「便宜」?什麼叫「貴」? 這是令許多新手投資人最頭痛的事!   沒有錯，有一大堆指標可以評價股價，但是都有太多的灰色空間可以「調整」。   這讓許多人就處在猶豫當中，低了不敢買，高了捨不得賣...more
",https://www.books.com.tw/products/0010871065?loc=P_0003_015
16,價值投資操作金律：葛拉漢與陶德預測景氣循環、評估企業價值、選對獲利股票的不敗法則,湯姆斯．奧,2020-09-29,"
★★★最符合現代股市的價值投資法★★★ 問世近百年的「價值投資」， 啟發股神巴菲特，稱霸股海的不敗法則， 市場愈亂，操作愈該回歸經典， 精準投資、穩健致富!    ★ 價值投資的經典鉅作，繁中版終於上市   ★ ...more
",https://www.books.com.tw/products/0010871262?loc=P_0003_016
17,51張K線圖，輕鬆破解股票何時該賣或買?：股市操盤手的不傳之祕，日本K線之神本間宗久的聚富心法,王志鈞,2020-09-23,"
股市操盤手的不傳之祕 日本K線之神本間宗久的聚富心法   全球唯一兩度神準預言2020大股災的神祕作家：   ★2019年12月，公開建議逢高出清所有股票，滿手現金   ★2020年3月，建議逢低大買績優股，不要錯過翻...more
",https://www.books.com.tw/products/0010870799?loc=P_0003_017
18,耕股：價值投資最重要的事,洪鑑穩,2020-09-23,"
投資不必賺得快，但一定要賺得久  投資不是爭一時輸贏， 而是有沒有辦法永遠存活在股市當中。 當你能永久留在股市裡， 就能把握到愈多次絕佳的獲利機會。    ★《Smart智富》月刊封面故事人物   ★「智股網...more
",https://www.books.com.tw/products/0010869803?loc=P_0003_018
