,書名,作者,出版日期,內容介紹,網址
1,為什麼我們總是選到不適任的男性當領導人?,湯瑪斯・查莫洛—普雷謬齊克,2020-11-06,"
《哈佛商業評論》點閱率最高、最具爭議的話題    企業選才出了什麼問題?該如何讓真正有能力的人才出頭?   作者以20多年的研究與實務經驗，破解傳統職場升遷盲點    75%的人是因為直屬主管而離職，超過80%...more
",https://www.books.com.tw/products/0010874866?loc=P_0003_001
2,最高領導力：讓員工把最好的自己帶入工作中,強納森‧雷蒙德,2020-10-21,"
★2018公理商業圖書獎(Axiom Business Book Awards)得獎作品   ★亞馬遜書店讀者5星好評   ★《紫牛》作者賽斯‧高汀(Seth Godin)強力推薦   ★二十年領導力培訓經驗集結，適用各種企業與團隊規模的新......more
",https://www.books.com.tw/products/0010873233?loc=P_0003_002
3,小小主管心很累：不背鍋、不吃虧、不好欺負，小上司也要硬起來,"劉巨得,楊仕昇",2020-10-15,"
★☆★ 對付上司×擺平下屬×培養人才 ☆★☆ 小主管的所有煩惱，本書幫你一次搞定!    ║基層管理者需要提高的三大能力：執行、工作、用人   ‧執行力：「執行力」意即能準確理解上司的指示與工作部署，並貫徹上司...more
",https://www.books.com.tw/products/0010874188?loc=P_0003_003
4,當責主管就是要做這些事!交辦用錯力，當然事倍功半!讓部屬自動自發、服你、挺你的下指令訣竅,伊庭正康,2020-10-07,"
★有效減少工作量50%↓ 加倍提升團隊力200%↑ ★「0加班.0工作倦怠.95%工作滿意度」的帶人領導學   為什麼主管越全能，部屬越無能?   培訓超過20,000名主管、日本知名人力資源集團前董事、本書作者伊庭正康這...more
",https://www.books.com.tw/products/0010871825?loc=P_0003_004
5,解答一萬個主管都煩惱的事,淺井浩一,2020-09-30,"
日本一上市即三刷! 網羅一萬個主管都煩惱的共同難題， 最強的管理疑難雜症處方箋!   你也有以下的問題嗎?   .不知道該如何指導年輕人，也不知道如何叫得動年長的部屬。   .不知道怎麼營造良好團隊氣氛。  ...more
",https://www.books.com.tw/products/0010871186?loc=P_0003_005
6,薩提爾教練模式：學會了，就能激發員工潛力，讓部屬自己找答案!(新編版),"林文琇,陳茂雄",2020-09-30,"
高績效主管都是好教練，關鍵是讓部屬自己會解決問題! 了解行為背後潛藏的心理模式×引導式開放對話 部屬就能改變慣性、自動變優秀，再也不用四處救火    主管：「部屬都不主動、又沒責任感!一件事說需要想...more
",https://www.books.com.tw/products/0010871185?loc=P_0003_006
7,職場「徐」意門：離開新手村,徐聯安,2020-09-15,"
繼《職場「徐」意門~新丁求carry~》後，徐聯安博士再與年輕人分享職場大小事。    本書的小品文章，原載於徐博士任主席的亨達集團所出版的月刊中，透過分享多年來企業管理的經驗和觀察，徐博士冀望能夠幫...more
",https://www.books.com.tw/products/0010869025?loc=P_0003_007
8,何必獅吼：如何運用專業領導在企業叢林中昂首闊步,黛柏拉‧班頓,2020-09-09,"
★ 世界知名企業顧問、紐約時報暢銷書作家——黛柏拉‧班頓 巔峰之作!   ★ 《出版人週刊》、《科羅拉多商業雜誌》、《華爾街日報》 好評推薦!   ★ 眾多財富世界500強企業共同推薦!   ★ 美國亞馬遜4.5顆星好評!...more
",https://www.books.com.tw/products/0010868775?loc=P_0003_008
9,高績效表現力：與杜蘭特、柯瑞、柯比.布萊恩共事，NBA知名運動表現教練剖析頂尖人才與團隊的高成就關鍵,"喬恩．史坦菲爾德,小亞倫．史坦",2020-08-26,"
15大決勝特質x 21項思維鍛鍊 球場如商場，運動場上的致勝戰略適用於所有領域── 長年與頂尖球員共事的高績效教練， 剖析成功球員、教練與團隊的關鍵特質， 揭開一流人才與卓越團隊的贏家心法。   ☆亞馬遜年...more
",https://www.books.com.tw/products/0010867483?loc=P_0003_009
10,輕鬆做主管Be a relaxing manager：用「心」管理，不是用「薪」管理,宋希玉,2020-08-21,"
當上主管之後，你是否認為快樂與權力不可兼得? 領導者要用「心」管理，許多主管卻只會用「薪」管理。 ──要知道，世界上有很多錢沒辦法解決的事，管理就是其中一項。 員工擁有被尊重的需求，主管也有輕鬆愉...more
",https://www.books.com.tw/products/0010868346?loc=P_0003_010
