,書名,作者,出版日期,內容介紹,網址
1,不討好別人的職場生存術：擺脫複雜的人際關係，認清職責做自己，工作表現更優異!,,2020-10-01,"
被使喚、不合理、受委屈 撕掉身上的便利貼，學會拒絕不妥協! 工作卡關、下班進修、人際關係 難以掌控就讓它滾!善用「工作力」， 面對同事上司、工作生涯── 在職場上你也能做自己!   常常被交辦不合理的工...more
",https://www.books.com.tw/products/0010871106?loc=P_0003_001
2,攻克9型職場豬隊友!讓豬化為神的職場隊友培育術,片桐愛唯,2020-09-30,"
~正在職場上掙扎求生的你，必讀的一本書~   運用9型人格分析   摸清上司、下屬的行為模式   把豬隊友通通變成神助攻!   有事要請心情正不爽的上司批准，使人膽顫心驚。   同事每次都不照開會的決議做，又...more
",https://www.books.com.tw/products/0010872239?loc=P_0003_002
3,完美的擺脫：家人、感情、朋友、職場……不能逃跑的人際關係， 如何不再煩惱?,大嶋信賴,2020-09-26,"
◎老闆很苛刻、主管很機車，但這工作……就是沒勇氣離職。   ◎跟舊情人分開多年，還是忍不住去看他 (她)的臉書、推特?   ◎我媽老是用「我這是為你好」情緒勒索我，怎麼擺脫又不讓她傷心?   ◎想戒購物衝動、戒...more
",https://www.books.com.tw/products/0010870208?loc=P_0003_003
4,你都沒在聽：科技讓交談愈來愈容易，人卻愈來愈不會聆聽。聆聽不但給別人慰藉，也給自己出路,凱特‧墨菲,2020-09-26,"
聆聽才是溝通的王道 但為什麼我們失去了聆聽的能力?   在工作場合上，主導對話才能出頭。   在社群媒體上，敘述力決定個人魅力。   交際應酬時，人人都在搶話說。政治人物也一樣。   我們從不好好聽人說話...more
",https://www.books.com.tw/products/0010870927?loc=P_0003_004
5,最強社交學：把朋友升級成為自己人，有關係就可以沒關係,"梁夢萍,王衛峰",2020-09-25,"
社交好難，還在當邊緣人嗎? 不用去夜店、不用玩聯誼，本書就是社交小能手的培養手冊!    ‧讓別人喜歡你──「最完美的統治者」林肯   南北戰爭期間，林肯麾下的一名將軍逃跑，乃至失去了大好的作戰良機。林...more
",https://www.books.com.tw/products/0010872051?loc=P_0003_005
6,擺脫濫好人：學會拒絕的56堂勇氣練習課,"李鑫,蔡賢隆",2020-09-25,"
「你今天要加班喔」、「可以借我這筆錢嗎?」、「你到每個地方都要報備」 不會拒絕上司、朋友、情人，濫好人的你累得像一隻狗，值得嗎?    ◎不拒絕超時工作，是要等自己爆肝嗎?   ‧編造理由法   平時利用和...more
",https://www.books.com.tw/products/0010872053?loc=P_0003_006
7,不善社交的內向人，怎麼打造好人脈?：矽谷人不聚會、少出門，也能與人高效連結的「關鍵人脈術」,竹下隆一郎,2020-09-24,"
如果你不是個性活潑、能言善道、喜歡交際的外向人， 或是你想停止無效社交、多陪家人與獨處， 不如學矽谷人打造「關鍵人脈」，精準社交!    ◎ 討厭社交的人，同樣也能擁有好人脈   過去，拓展人脈大多透過...more
",https://www.books.com.tw/products/0010870579?loc=P_0003_007
8,越內向，越成功：Google媒體關係總監、Twitter總編親授，給內向者的「無壓力社交法」，輕鬆建立深刻人脈,凱倫•維克爾,2020-09-05,"
不需假裝外向，發揮低調本色，內向就是你的最大優勢! 越是內向、不喜熱鬧、覺得自己格格不入、 越有發展「深度社交」的潛力。 讓安靜與低調成為你不可缺的「軟實力」， 默默發揮影響力，讓全世界看到你。 ...more
",https://www.books.com.tw/products/0010867950?loc=P_0003_008
9,深度說服力：培養11項讓人打從心底認同你的人格特質,傑森哈里斯,2020-08-11,"
遠勝話術與策略的關鍵性格 獨特│慷慨│同理心│深度  ―――― Mekanism ――― 哈佛商學院研究個案 合作對象遍及白宮、百事可樂、微軟、HBO、聯合國    比起話術，人們更在意真誠。    如今，不論是銷售、行銷、提...more
",https://www.books.com.tw/products/0010865774?loc=P_0003_009
10,智商前2%的天才都在使用、「OK」「YES」點頭率超高：最強「人心」操控心理學,山本昌哉,2020-07-29,"
隸屬全球智商前2%天才集團MENSA學會   IQ150高智商心理戰略師----山本昌哉   徹底公開「任誰都能使用」的高段技法：   1個大腦開關+3個基本原則+27種實務技巧   談判、簡報、行銷、交際……任何問題都能解決...more
",https://www.books.com.tw/products/0010864494?loc=P_0003_010
11,職場關係學：紅人的職商秘密,耿興永,2020-07-24,"
即使你是一隻孤狼，也要學會先披上羊皮，   即使你有獅子的勇氣，也要先學會踏踏實實地像老牛一樣耕地!   職場生存的祕密，在於潛伏，在於觀察，在於從潛伏中求發展!   初入職場，新人該怎麼生存?   抬頭...more
",https://www.books.com.tw/products/0010864228?loc=P_0003_011
