,書名,作者,出版日期,內容介紹,網址
1,AI驗證!最強PPT製作法：照做就對了!提案成功率94%,越川慎司,2020-10-01,"
★前日本微軟PowerPoint事業部負責人、專家中的專家親授!   ★附「動員1萬人，一舉讓對方說OK」的彩色版投影片範例!    取樣526間公司、跨14業種和13類部門，共5萬多份PPT，   利用Amazon、Microsoft、G......more
",https://www.books.com.tw/products/0010870618?loc=P_0003_001
2,Google必修的圖表簡報術(修訂版)：Google總監首度公開絕活，教你做對圖表、說對話，所有人都聽你的!,柯爾・諾瑟鮑姆・娜菲克,2020-09-24,"
★年度商管書總冠軍、Amazon簡報類長踞no.1 修訂版+練習本，重磅回歸簡報講台★ 「柯爾來拯救大家脫離爛PPT了!」 ——Google前人力營運部資深副總裁狂推 Google最熱門內部訓練，摩根大通、比爾蓋茲基金會搶著...more
",https://www.books.com.tw/products/0010870604?loc=P_0003_002
3,Google必修的圖表簡報術(練習本)：Google總監親授10堂課×100道練習題=圖表做熟、重點畫對、精鍊故事，進階簡報強者!,柯爾‧諾瑟鮑姆‧娜菲克,2020-09-24,"
★暢銷冠軍《Google必修的圖表簡報術》暌違五年推出第2彈★ Google最強總監柯爾聽到讀者敲碗，終於開班授課! 手把手帶你練習：改圖表→講故事→打動聽眾→說服所有人   10堂課、100道練習題，幫你：   圖表做熟...more
",https://www.books.com.tw/products/0010870611?loc=P_0003_003
4,讓老闆聽懂的簡報實力：21堂必修英語簡報課，秒懂聽眾需求，一次學會演說魅力、深入人心的語言技巧,Madeleine鄭宇庭（以熙國際）,2020-09-01,"
有邏輯，有焦點，有故事，又有哏!   21堂必修英語簡報課，不再擔心老闆沒耐心、客戶不專心，   快速傳達想法，準確打動人心。    每次開口，都是一場決定成敗的簡報!   英語簡報是外商、大企業必備的職場...more
",https://www.books.com.tw/products/0010867544?loc=P_0003_004
5,知識，可以這樣賣!：打破思考框架的IDEA法則，輸出觀點就能成為社群、職場KOL,劉恭甫,2020-08-27,"
輸出觀點，是未來最有價值的能力!   個體崛起時代，   拚命閱讀，不如萃取知識；   萃取知識，還需輸出觀點；   輸出觀點，更要引發共鳴!    成功講師的講師、兩岸知名企業顧問劉恭甫「功夫老師」親授──  ...more
",https://www.books.com.tw/products/0010867596?loc=P_0003_005
6,高產出的本事：用8種表達框架X4張圖X15分鐘， 文章、簡報，圖解一次到位，讓輸出成為你的優勢,劉奕酉,2020-08-05,"
年讀百餘本書、撰寫50篇長文、製作60份商業簡報， 同時準備超過百場以上的演講、和培訓課程的 知識變現實踐法   ★ ETtoday 新聞雲、商周、今周刊、風傳媒、遠見、INSIDE等多家媒體爭相刊載文章。   ★ 8種...more
",https://www.books.com.tw/products/0010865668?loc=P_0003_006
7,這樣你看得懂嗎?讓你秒懂的資訊設計 O 與 X： 平面設計、商業簡報、社群小編都要會的資訊傳達術,渡辺克之,2020-07-21,"
最好懂的「OX 系列設計書」又來啦! A 案、B 案，哪個比較好? 透過簡單的「O 與 X」比對圖， 讓你秒懂商業簡報 / 社群貼文 / 廣告傳單的設計眉角， 記好重點法則，你也能做好設計!      你是否有這樣的煩惱...more
",https://www.books.com.tw/products/0010862696?loc=P_0003_007
8,商業簡報技巧〈增訂二版〉,呂國兵,2020-07-15,"
商業簡報就是要「讓別人接受自己的觀點」，簡報成敗與否，直接決定了你所做的努力是否會有回報，能否做出完美的簡報演示，已成為職場競爭力的一個衡量標準。    本書是2020年增訂二版，內文重點全部更動，...more
",https://www.books.com.tw/products/0010863871?loc=P_0003_008
9,TED講者強力推薦的 故事簡報商用技巧：教你用50張圖表說故事，輕鬆讓決策者買單!,家弓正彥,2020-07-06,"
★日本最大商學院GLOBIS教授傳你獨門絕技 ★超簡單、1小時就能學會，故事銷售簡報術   據統計，77.7%的商業人士不擅長做簡報，   因此本書作者教你用32個成功與失敗案例，   矯正你從文案、圖表、鋪陳的31個...more
",https://www.books.com.tw/products/0010861768?loc=P_0003_009
10,升職加薪必備!職場黑馬簡報術：讓你不再莫名踩地雷，在每個關鍵時刻脫穎而出!,黑主任,2020-07-01,"
別再停留在以前的一招半式舊思維，   跟著黑主任不斷精進，就能升職加薪受讚賞!   舉凡產品發布、媒體宣講、融資路演等大場面，每週或每月一次的工作匯報、提案會議，都是發揮實力的關鍵時刻。   在這樣的...more
",https://www.books.com.tw/products/0010861695?loc=P_0003_010
