,書名,作者,出版日期,內容介紹,網址
1,鏡與窗談判課：哥大教授、聯合國談判專家，教你用10個問題談成任何事,愛麗珊德拉‧卡特,2020-11-01,"
幫助無數人活出價值的一堂奇蹟課程!  面對鏡子反思自己， 望向窗外看懂他人， 擁抱｢鏡與窗｣，創造真正的共贏關係!    哥倫比亞法學教授、培訓超過80國外交官的聯合國談判專家   淬鍊15年實戰心法，首創「...more
",https://www.books.com.tw/products/0010873973?loc=P_0003_001
2,【商場談判必備書】哈佛商學院決策必修套組： 《精準決策》+《哈佛商學院的雙贏談判課》,"唐‧摩爾,狄帕克．馬哈特拉,麥斯‧貝澤曼",2020-09-01,"
哈佛商學院 教你繞開大腦的偏誤，找到真正的需求， 在決策與談判上獲得更好的結果!   《精準決策》   ★長銷40年 經典之作★   股神合夥人查理‧蒙格唯一推薦的管理決策書   「這是我讀過關於『管理決策』最...more
",https://www.books.com.tw/products/0010868478?loc=P_0003_002
3,交涉的武器：20個專業級的談判原則 辣腕交涉高手從不外流，精準談判的最強奧義，首度大公開!,萊恩．格斯登,2020-08-05,"
「客戶硬逼我壓低價格，不然就退單，怎麼辦?」   「交貨時混了瑕疵品，對方趁火打劫堅持要求高額賠償，完蛋了!」   「我不擅言辭、講話容易結巴，一想到要跟別人談判就很緊張……。」   「我在公司這麼多年...more
",https://www.books.com.tw/products/0010865393?loc=P_0003_003
4,職場談判,張國忠,2020-08-01,"
★★★ 大專院校商管科系，最受歡迎的談判書 ★★★   第一本結合理論、案例、演練與思考題的職場談判書   建立談判知識系統的同時，也能透過個案與演練，加強思考與實作   總共十四個章節涵蓋生活、工作、商務...more
",https://www.books.com.tw/products/0010867466?loc=P_0003_004
5,HAPPY HAPPY溝通力：瑞典知名談判專家傳授最強說話術，讓彼此化解歧見，達成共識，共創未來,拉斯─約翰．艾格,2020-07-14,"
讓人說Yes，只是合作的開始。 讓對方感覺HAPPY，才能共創美好未來。   ★全球熱銷16國版權!   在商業、外交與人質救援等領域有豐富經驗的頂尖談判專家，   結合心理學、腦科學和經濟學，   歸納出與人達成...more
",https://www.books.com.tw/products/0010862730?loc=P_0003_005
6,商務談判：創造雙贏的策略與技巧,鄧東濱,2020-07-09,"
凡是可以改變的事物，都有談判的餘地。 從家庭生活、商場職場，到公共事務， 只要與人接觸，幾乎都需要談判。 精進談判能力，讓你於公於私無往不利!    談判是現代人的一種生活方式!   我們從小到大，幾乎...more
",https://www.books.com.tw/products/0010862950?loc=P_0003_006
7,哈佛商學院的雙贏談判課,"狄帕克．馬哈特拉,麥斯．貝澤曼",2020-07-08,"
★★★蟬聯Amazon談判類圖書排行榜前列，獲得讀者4.6顆星好評推薦!★★★ ★★★美國企業界、哈佛商學院最受歡迎的談判課★★★ ★★★獲得國際衝突預防與解決協會「傑出圖書獎」★★★ ★★★《與成功有約》作者史蒂芬.柯維、...more
",https://www.books.com.tw/products/0010862981?loc=P_0003_007
8,頂尖名校必修的理性談判課： 哈佛、華頓商學院、MIT指定閱讀，提高人生勝率的經典指南,"瑪格里特．妮爾,麥斯．貝澤曼",2020-07-01,"
★30年不敗經典，你唯一需要的一本談判書!   ★哈佛商學院、華頓商學院、MIT、芝加哥大學、加州大學……全美一流名校指定閱讀。   ★揭開決策背後的思辨機制，提高人生勝率的談判邏輯。談判不只是為了贏，有時...more
",https://www.books.com.tw/products/0010861702?loc=P_0003_008
9,哈佛法學院的情緒談判課：5大核心情緒策略，創造共贏成果,"丹尼爾．夏畢洛,羅傑．費雪",2020-06-04,"
──哈佛法學院經典讀物、一本給所有人的談判書── 運用談判學╳心理學架構5大情緒策略， 把情緒納為談判手段，幫你扭轉情勢、明智決策   ★戴斯蒙.屠圖大主教、艾蓮娜.卡根大法官、《EQ》丹尼爾.高曼、《與成...more
",https://www.books.com.tw/products/0010859314?loc=P_0003_009
10,從說服自己開始的哈佛談判力：搬開內心的絆腳石，與自己達成共識，就能讓別人贊同你〔談判經典暢銷升級版〕,威廉．尤瑞,2020-03-17,"
全球暢銷超過1300萬冊《哈佛這樣教談判力》的前傳   和別人溝通之前，要先學會和自己談判。   因為，「你」才是最難說服的對手。   擁有三十多年資深談判經驗的專家，   歸納出能達到自我認同，並與人達成...more
",https://www.books.com.tw/products/0010851170?loc=P_0003_010
