,書名,作者,出版日期,內容介紹,網址
1,學生島耕作就活篇(02),弘兼憲史,2020-10-16,"
就職雖然重要，但是畢業沒問題嗎?你還差40個學分吧?    1969年，早稻田大學4年級生島耕作，   順利取得第一志願，   大型家電製造商‧初芝電產的內定，   偏偏全校大罷課導致授課無法繼續。   專心打工的島...more
",https://www.books.com.tw/products/0010872944?loc=P_0024_001
2,學生島耕作就活篇(01),弘兼憲史,2020-09-11,"
島耕作深知就活的本質。   ──果然，求職靠的不是成績，而是「人格魅力」。   【名詞解說】   就活乃是「就職活動」的簡稱，意指日本大學生在面臨畢業前展開的一系列求職活動。正式的就活期間是每年3月起到...more
",https://www.books.com.tw/products/0010869142?loc=P_0024_002
3,YES說話術：讓工作、感情、人際、家庭全部升級!,"佐佐木 圭一,大舞 キリコ,星井博文",2020-08-06,"
★表達術書藉漫畫版，原作獲得2013~2015年許多書店的年度最佳銷售。   ★透過漫畫劇情，讓您輕鬆學會日本表達術聖經!   ★新鮮人的救命稻草!透過話語的力量突破看起來不可能的困境!    在時尚雜誌編輯部工作...more
",https://www.books.com.tw/products/0010865715?loc=P_0024_003
4,社長島耕作(06),弘兼憲史,2020-07-03,"
島耕作開出有利的條件，意圖爭取與孫銳的出發集團合夥成立合併公司。可是此舉卻招來公司內部的反彈，認為有技術外流的疑慮。目前，在全球市場上，韓國SOMESAN電子的業績不但遠遠超越了日本電機產業，還不...more
",https://www.books.com.tw/products/0010861989?loc=P_0024_004
5,社長島耕作(05),弘兼憲史,2020-07-03,"
到上海視察的島耕作，在參觀世博之後，深刻體會到正處於巨大轉變期的中國所散發出來的無限能量。出發集團的孫銳向島耕作提出成立合併公司的構想，以技術見長的TECOT和擁有豐富資源的出發，如今為了爭取主...more
",https://www.books.com.tw/products/0010861992?loc=P_0024_005
6,半澤直樹 漫畫版(01),"フジモトシゲキ,池井戶潤,津覇圭一",2020-06-10,"
★在開始追劇前，先來看漫畫吧!    部屬的功勞全歸長官，長官的過失由部屬扛!    ★引爆流行話題、創下平成年間民營電視劇的最高收視率紀錄，全日本無人不知的「半澤直樹」系列，以漫畫的形式再次「加倍奉還...more
",https://www.books.com.tw/products/0010859986?loc=P_0024_006
7,社長島耕作(01),弘兼憲史,2020-05-19,"
剛當上初芝五洋控股公司社長的島耕作，位子都還沒坐熱，就發生旗下的子公司初芝電子部品公司四處向銀行申請融資，打算從初芝獨立，自己另起爐灶的事件。整件事的原動力，是來自一位競選社長失利的男子的堅...more
",https://www.books.com.tw/products/0010857634?loc=P_0024_007
8,會長島耕作(06),弘兼憲史,2020-04-22,"
TECOT上海爆發機密外流和毒品醜聞，   面對地下皇帝曾烈生設下的陷阱，   島耕作該如何化險為夷?   前往米蘭參觀萬博期間，   一位神秘的紅衣女子盯上了島耕作，   還約他『明晚到威尼斯聖馬可廣場見面』...more
",https://www.books.com.tw/products/0010854900?loc=P_0024_008
9,社長島耕作(09),弘兼憲史,2020-04-22,"
不久前，尖閣諸島釣魚台海域附近，發生中國籍漁船衝撞海上保安廳巡視船的事件，造成中日關係陷入極度緊張的情況。眾議院議員加治一明認為這應該是一場經過精心策劃的行動。為了調查那位漁船船長的真實身分...more
",https://www.books.com.tw/products/0010854894?loc=P_0024_009
10,印刷業抓狂日記：出錯才是日常?崩潰再升級!,奈良裕己　,2020-03-26,"
工作中有95%都是苦難!   還能每天強顏歡笑、苦中作樂堪稱變態?!   前印刷公司業務員揭露，   笑著笑著就哭了的業界內幕!   只要錯1個字、有1張紙出錯就是另一場戰爭的開始!   手忙腳亂心好累，號稱最需要...more
",https://www.books.com.tw/products/0010852864?loc=P_0024_010
