,書名,作者,出版日期,內容介紹,網址
1,在家工作：從職場裡自由，在生活中冒險的個人實踐,徐豫（Anita御姊愛）,2020-08-04,"
受夠了「不只會做事，還要會做人」的辦公室老人文化嗎? 讓專業能力說話，不再為人際關係屈膝 全球職場掀起「在家遠端工作」數位轉型浪潮 將是讓你從職場裡自由，在生活中冒險的唯一解方。    「這樣做更好...more
",https://www.books.com.tw/products/0010864737?loc=P_0003_001
2,圈對粉，小生意也能賺大錢：不用百萬關注，只要鐵粉圈住，後網紅時代，IP經濟正崛起!,許景泰,2020-07-31,"
你最大的資產是「自己」，最大的弱點是「沒人認識自己」， 聚焦對的粉絲，創造「認同圈」才是賺錢王道!   小小的夢想，能成為大大的志業?   社群時代，如何讓網路成為你一躍千里的跳板?   個人價值就是一...more
",https://www.books.com.tw/products/0010864311?loc=P_0003_002
3,潛入亞馬遜：了解全球獨大電商的最後一塊拼圖,橫田增生,2020-07-01,"
讀懂一間公司，絕不能只看官方所認可的訊息。 揭露貝佐斯最不想讓你知道的亞馬遜， 所有網路購物者、投資人、電商平臺、物聯網從業者必讀之書!   ★《朝日新聞》《讀賣新聞》《每日新聞》、Yahoo!JAPAN等媒...more
",https://www.books.com.tw/products/0010861706?loc=P_0003_003
4,店家必學!活用「Google我的商家」讓能見度跟營收提升的54招集客密技,永友一朗,2020-06-29,"
招攬顧客不可或缺的商家資訊最佳化、貼文的運用、 網路行銷寫作技巧、獲得信賴的評論回覆技巧。 實體店業主必備的技能，只要有了這一本就能完全掌握!   「2018年夏季，我們官網的搜尋排名從第6名掉到第70...more
",https://www.books.com.tw/products/0010861615?loc=P_0003_004
5,電商百大迷思：網路電商明星問題&解答,安晨妤,2020-02-25,"
電子商務百大迷思您不得不知!不知道讓你破產到底，知道讓你存到一桶金!    現今網路開店的經營型態已經和以往大大不同，然而進入電商門檻及所需投入的資金、人力組織、商品包裝設計、網站動線設計(UIUX)、...more
",https://www.books.com.tw/products/0010853518?loc=P_0003_005
6,百萬電商 一指搞定,一指創業編輯部,2020-01-07,"
透過本書，深入台灣市場，了解各種金流優缺利弊。   1.認識第三方支付的線上金流的強大威力，如何全方位量身訂做。   2.詳解第三方支付如何串接超商物流，同時搞定電子發票。   3.選擇強大夥伴替你顧好資...more
",https://www.books.com.tw/products/0010844925?loc=P_0003_006
7,我如何靠600美元打造一間百萬線上商店,Ellen Lin,2020-01-01,"
一切都從一台電腦開始~不可多得的電子商務創業指南，告訴你一個百萬美元黃金方程式!   ◎看出身自貧困家庭的台灣囝仔，如何僅靠600美元打造輝煌的線上商業帝國。   ◎不僅是闡述個人經驗，更告訴你什麼是電...more
",https://www.books.com.tw/products/0010858855?loc=P_0003_007
8,忌窮：網上無本創業，打出第一個$100萬!,"Angus Hung,Angus@StartFree教室",2019-12-15,"
真實個案!   1% 打工皇帝網上創富分享!   100% 超實戰創富教材!   做人最忌係乜?   無學識?無事業?無樓?   錯!係……窮呀!   為何你未能升職加薪，永遠窮忙買樓無望?   為何新一代「小老闆」在家工作，會過...more
",https://www.books.com.tw/products/0010841746?loc=P_0003_008
9,第一次開網店就大賣(加強版),SHOPLINE 電商教室,2019-11-15,"
全港最受歡迎、最貼地的開網店天書!   2018年榮登誠品書店暢銷書榜Top 10，熱賣加強版強勢加推!   大量增修內容︰   ‧增修版32題網店Q&A   ‧全新PayMe、轉數快付款方式解讀   ‧人氣KOL屎萊姆、手信王海邊...more
",https://www.books.com.tw/products/0010839780?loc=P_0003_009
10,超圖解 網店賺錢一本通：《社群推播立即上手》+《網路行銷立即上手》+《人氣品牌立即上手》+《市調分析立即上手》,"山口義宏,林雅之,石渡佑矢,逸見光次郎",2019-08-07,"
一邊開網店，一邊上班， 兩倍速累積你的第一桶金! 讓收入像「雪球」般越滾越多   微薪時代，許多上班族都想利用正職工作外的零碎時間發展複業，不僅增加收入，也能為職涯帶來更多彈性與保障。其中，「網路...more
",https://www.books.com.tw/products/0010830059?loc=P_0003_010
