,書名,作者,出版日期,內容介紹,網址
1,八字秒斷擂台,陳添賜,2020-09-14,"
...more
",https://www.books.com.tw/products/0010870812?loc=P_0003_001
2,乾部六十甲子命例寶典,鄭照煌,2020-08-24,"
乾部60甲子命寶典是作者搜集許多年的命例，除了命例本身事實的論述講解外，並加入了12長生法的推論方法讓讀者可以參考研讀，並有十分的準確性。作者已至耳順之年，希望給讀者學子們留下正確可查考研讀的資...more
",https://www.books.com.tw/products/0010867504?loc=P_0003_002
3,坤部六十甲子命例寶典,鄭照煌,2020-08-24,"
坤部60甲子命例寶典以女子命例為主體，加入12長生法的推論基礎方法，學子若能細細研讀，多加練習，自然熟能生巧應用自如。老師的書一定寫的毫無保留，盡量白話能讓人看的懂，沒有私心，只望能傳承八字的真...more
",https://www.books.com.tw/products/0010867506?loc=P_0003_003
4,八字集議 癸下,呂家恂,2020-08-03,"
呂家恂老師集結古今之八字命格詳論分析， 第一部有系統之斷命論理大書。   這是一套真正的工具書，有關八字之用神喜忌，都給予清楚明確的觀念，論斷重點及方向，讓想學習命理的同好，一登子平的堂奧，不是...more
",https://www.books.com.tw/products/0010867190?loc=P_0003_004
5,當代名人之命運(千里命稿續集),韋千里,2020-06-20,"
當代名人之命運，韋千里撰。一冊三卷平裝。虛白廬藏民國三十六年(一九四七) 百新書店鉛印初版。    據作者韋千里於本書序言(一九四七) ，韋氏著作中，以《千里命稿》銷量最廣。而本書是《千里命稿》的續集...more
",https://www.books.com.tw/products/0010861832?loc=P_0003_005
6,命相談奇(虛白廬藏本) 第二集,齊東野,2020-05-15,"
真人真事，不可思議   作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「...more
",https://www.books.com.tw/products/0010857493?loc=P_0003_006
7,命相談奇(虛白廬藏本)第五集,齊東野,2020-05-15,"
作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「相學」：「看面相的以...more
",https://www.books.com.tw/products/0010857494?loc=P_0003_007
8,命相談奇(虛白廬藏本)第一集,齊東野,2020-05-15,"
作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「相學」：「看面相的以...more
",https://www.books.com.tw/products/0010857500?loc=P_0003_008
9,命相談奇(虛白廬藏本)第六集,齊東野,2020-05-15,"
作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「相學」：「看面相的以...more
",https://www.books.com.tw/products/0010857501?loc=P_0003_009
10,命相談奇(虛白廬藏本)第七集,齊東野,2020-05-15,"
作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「相學」：「看面相的以...more
",https://www.books.com.tw/products/0010857503?loc=P_0003_010
11,命相談奇(虛白廬藏本)第三集,齊東野,2020-05-15,"
作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「相學」：「看面相的以...more
",https://www.books.com.tw/products/0010857505?loc=P_0003_011
12,命相談奇(虛白廬藏本) 第四集,齊東野,2020-05-15,"
作者吳偶園(齊東野)總結民初的「命理」：「大體可以分『星數』與『子平』， 星數』以『紫微斗數』與『鐡板神數』為代表；『子平』以一般八字上的五行變化為根據的算命為代表。其論「相學」：「看面相的以...more
",https://www.books.com.tw/products/0010861198?loc=P_0003_012
