,書名,作者,出版日期,內容介紹,網址
1,幫孩子取個好名字 二○二一年牛轉乾坤版【附：2021年度運勢預測寶典&簡易命名互動光碟】,黃逢逸,2020-10-17,"
【買1送2，隨書附贈獨家豪禮】 好禮 1〈2021年獨家預測寶典〉投資運勢、生肖運勢、居家開運法、年度命名須知 好禮 2〈簡易命名互動光碟〉隨key隨算、一目了然，「幫孩子取個好名字」變成簡單事 人稱命理界...more
",https://www.books.com.tw/products/0010872983?loc=P_0003_001
2,財丁貴姓名學,高樹雄,2020-10-16,"
第一章姓名與命運   第一節先天命論著   許多研究生辰八字之五術名師，認同生辰八字為先天命，主導人一輩子的命運，此先天命是與生俱來的，無法更改的。雖然有許多學派會強調運用特別的力量，譬如神明、奇...more
",https://www.books.com.tw/products/0010873828?loc=P_0003_002
3,孝順天機姓名學,籃天威,2020-10-01,"
說天機不可洩漏，天機似有還無，天之不諱。唯既名「天機」，有名有相，似無還有，乃解眾生宿業因果應緣而來，只有救人之道，沒有害人之心。    習此天機姓名，靈考、魔考、道考重重凡人無法心靈念出如一，...more
",https://www.books.com.tw/products/0010873053?loc=P_0003_003
4,冰鑑識人學(三版)：看曾國藩如何成功識人、用人,公孫策,2020-09-30,"
深入剖析兩百年來天下第一相人奇書《冰鑑》， 精采破解曾國藩出將入相、明哲保身的官場絕學， 教你準確識人，也教你提升個人形象。 專欄作家 朱振藩 春天診所.艾美郵購 何麗玲 城邦出版集團執行長 何飛鵬 ...more
",https://www.books.com.tw/products/0010870949?loc=P_0003_004
5,玄學錦囊相掌篇(增訂版),蘇民峰,2020-09-18,"
本書所觀之「相」涵蓋甚豐，包括面相、掌相、步姿、髮質、聲線及行態等，涉獵甚廣；   - 作者大量剖析不同相格，如「旺夫相」、「明星相」、「事業有成相」、「剋夫剋妻相」等，因應不同命題來分析人們的...more
",https://www.books.com.tw/products/0010871411?loc=P_0003_005
6,可以傳子傳孫的姓名學,鄧紫婕,2020-09-01,"
名字決定你的角色，名字就是你的劇本，快快拋下C咖人生，往A咖邁進吧!   ◎紫婕老師鑽研命理多年，依據五行、生肖、禮數等原則為許多人改名兼改命，美好人生從好名字開始!   ◎從基礎概論開始，到分述十二生...more
",https://www.books.com.tw/products/0010868569?loc=P_0003_006
7,簡易相法秘傳,,2020-08-31,"
選擇四大名著：《麻衣相法》、《柳莊相法》、《神相鐡關刀》、《水鏡集》   之精華，冶為一爐，正其刊誤，聊供世之同好者之借鑒   簡易相法秘傳，【民國】上海星相研究社編。一冊平裝。虛白廬藏民國年間(...more
",https://www.books.com.tw/products/0010867811?loc=P_0003_007
8,面相故事,沈全榮,2020-08-01,"
一張臉一則故事，沈全榮老師帶你看故事學面相，豐富你的人生!   ◎一百篇真實故事，解析各種不同相理及其命運對應休咎，進而認識面相的玄妙。   ◎面相故事，臉譜人生，探索面相的玄妙與深奧，現代人的必勝...more
",https://www.books.com.tw/products/0010864684?loc=P_0003_008
9,面相答客問,沈全榮,2020-08-01,"
兩百則面相問答，拋磚引玉，掀開面相神祕面紗，公開臉部密碼!   ◎將深奧面相學藉由問答的方式呈現給讀者，除了解析相理外，更傳達作者的生活哲學。   ◎面相故事，臉譜人生，探索面相的玄妙與深奧，現代人...more
",https://www.books.com.tw/products/0010864687?loc=P_0003_009
10,現代簡易相法,韋千里,2020-07-16,"
參古今各家相籍之所載，旁及西歐東瀛有關論相之書。 本乎自然，徵乎人事，擷英去粕，條舉比列之，命其名曰：《現代簡易相法》   現代簡易相法，韋千里撰。一冊平裝。虛白廬藏民國二十九年(一九四零) 韋氏...more
",https://www.books.com.tw/products/0010863677?loc=P_0003_010
11,手相入門指南,胡祥,2020-07-06,"
常言道：「命運掌握在自己手中」當手掌打開時，可知期間到底隱藏了多少玄機?古語云「知命盡事」瞭解自己的命運，往往較易穩住心意方向，進而積極去創造奮鬥。   從「手相」來推論人一生各階段的命運，是知...more
",https://www.books.com.tw/products/0010863057?loc=P_0003_011
12,吉祥起名招財納福好運到,陳繕剛,2020-02-01,"
姓名學是由易經八卦、總格及數理、干支互相配合行成六十甲子納音；姓名的關係又配合字形字義、部首涵義的分析，及出生的生肖。綜合以上故編此書，讓愛好姓名學之讀者參考研究。   本書將告訴您如何利用先...more
",https://www.books.com.tw/products/0010848800?loc=P_0003_012
13,蕭湘相法全集三：專論眼神氣色之部,蕭湘居士,2019-11-20,"
孔子說〔人不可貌相〕，否則會〔失之子羽〕，因此，很多非議人相學的人士，據以呼籲大家不要看相，不要聽信相士之言，否則會踏入宿命論的陷阱，或看到芋人容貌醜陋而認為其才華平庸，或看到芋人容貌俊美而...more
",https://www.books.com.tw/products/0010840373?loc=P_0003_013
14,幫孩子取個好名字 二○二○年鼠來寶版【附：2020年度運勢預測寶典&簡易命名互動光碟】,黃逢逸,2019-10-05,"
人稱命理界的隱藏版老師-「黃逢逸」親筆傳授， 教爸媽從命名的基礎、觀念、格局找到最好名字! 暢銷超過 20,000 個家庭，爸媽為孩子命(改)名的首選參考書! 好名字讓孩子的一生健康快樂，好命格讓孩子的未來...more
",https://www.books.com.tw/products/0010834518?loc=P_0003_014
