,書名,作者,出版日期,內容介紹,網址
1,百年來公認最值得珍藏聖經舊約圖畫史詩：杜雷插畫精彩重現不一樣的聖經世界,柿子文化,2020-11-20,"
人類有史以來最偉大的一部書+百年來公認最好的插畫家 =最教人驚奇、也最值得收藏的一本書!   ★ 近百年公認最好的插畫家杜雷132幅《聖經》刻版畫作精彩重現。   ★ 全新收錄，原貌呈現，從人文、歷史、考證...more
",https://www.books.com.tw/products/0010874455?loc=P_0003_001
2,親手抄聖經：領受上帝的祝福(暢銷經典版，附幻彩鋼筆組),"黃明理,黃明鎮",2020-10-28,"
聖經被稱作「書中之王」，   是全世界出版量最多，被翻譯成最多語言的一本書。   親手抄寫，感受更勝閱讀，   恭敬抄寫，奇蹟將會產生。   本書乃將永恆價值的經典名言，結合書法抄寫，成為最易於誦讀銘記...more
",https://www.books.com.tw/products/0010873641?loc=P_0003_002
3,親手抄聖經(暢銷經典版)：領受上帝的祝福,"黃明理,黃明鎮",2020-10-28,"
聖經被稱作「書中之王」， 是全世界出版量最多，被翻譯成最多語言的一本書。 親手抄寫，感受更勝閱讀， 恭敬抄寫，奇蹟將會產生。    本書乃將永恆價值的經典名言，結合書法抄寫，成為最易於誦讀銘記，並...more
",https://www.books.com.tw/products/0010873642?loc=P_0003_003
4,耶穌降生，童創聖景：繪本+立體聖景禮物套書,凱薩琳‧莎利,2020-10-23,"
★ 充滿感恩節、聖誕節氣氛的最佳禮物套書!   ★ 隨書附場景和角色紙板，邊讀邊玩更有趣!    進入神奇又動人的聖誕故事中，描述耶穌誕生的圖畫書!   配合容易搭建的場景和角色紙板，讓小朋友一邊閱讀耶穌降...more
",https://www.books.com.tw/products/0010873064?loc=P_0003_004
5,聖經：和合本(黑色儷皮禱告壓紋拉鍊索引銀邊精裝),聖經資源中心,2020-10-23,"
★ 皮面燙銀，時尚品味，送禮自用兩相宜。   ★ 禱告圖及主禱文燙銀，具質感與實用性。   ★ 邊緣圓角附拉鏈，翻閱收納更輕巧便利。   ★ 大字易讀，文字級數加大，久讀也不累。   ★ 醒目紅字，紅字標註耶穌的...more
",https://www.books.com.tw/products/0010873583?loc=P_0003_005
6,簡明聖經(藝術版)：創世記、出埃及記1~20章、詩篇、箴言、以賽亞書、約拿書、新約全書,蕭慶松,2020-09-30,"
★ 油畫布素材，兼具美感與實用性! ★ 依照語言學原理翻譯，用最簡單、易懂的現代中文表達! ★ 佈道會、傳福音、小組分享、個人靈修、送禮皆適用。   一本簡單易明、文意清晰，以現代用語寫成的新中文聖經譯...more
",https://www.books.com.tw/products/0010871631?loc=P_0003_006
7,我的趣味聖經：找一找，看一看，聖經多樂趣,吉兒．桂爾,2020-09-30,"
★ 耳熟能詳的聖經故事，精緻的插畫，專為學齡前的兒童設計，玩法多元! ★ 每一頁插畫裡都有可愛的角色，親子一起找找看，遊戲中輕鬆奠定學習基礎! ★ 透過基本的認知力、觀察力、想像力、專注力來啟發孩子的...more
",https://www.books.com.tw/products/0010871632?loc=P_0003_007
8,馬太福音：美感聖經,馬太,2020-08-18,"
一本結合美感，將信仰融入生活的聖經。   「最美的事，莫過於接近上帝，把祂的光芒撒播於人間。」──德國音樂家，貝多芬   聖經蘊含上帝美麗的真理，為我們的生活帶來意義。   信仰曆團隊反覆閱讀、咀嚼、...more
",https://www.books.com.tw/products/0010867385?loc=P_0003_008
9,365日日寫聖經：提筆書寫聖經金句英法美字，寫出一整年的美好時光!(二版),王穎珍,2020-07-24,"
鋼筆、原子筆、鉛筆、各種粗細的代針筆… 任何一種筆都可以隨心書寫 一邊抄寫聖經名句，一邊以手寫字記錄生活點滴 格線簡單明瞭，練字同時享受寫字時的俐落暢快感     ★世界第一本中.英.法三語收錄的聖經金...more
",https://www.books.com.tw/products/0010865185?loc=P_0003_009
10,【牛津通識】 聖經,John Riches,2020-07-01,"
這部有關《聖經》及其應用的通識展示了人們解讀和運用《聖經》的多種方式。《聖經》為人類思想、文學和藝術中某些具有紀念碑意義的作品提供了靈感，同時也滋生了人類某些最惡劣的野蠻、自私和偏狹。《聖經...more
",https://www.books.com.tw/products/0010872445?loc=P_0003_010
11,使我不窮也不富：從聖經神學看財富,克萊格．布魯姆伯格,2020-07-01,"
「使我也不貧窮也不富足;賜給我需用的飲食」 (箴言三十章8節)   當今我們面對最為困難的問題之一就是對於財富所持的正確態度。在富裕的國家，例如英國和美國，個人累積許多財富，然而每一天卻可以清楚看到...more
",https://www.books.com.tw/products/0010866484?loc=P_0003_011
