,書名,作者,出版日期,內容介紹,網址
1,海洋汙染防制,華健,2020-05-10,"
本書從介紹海洋環境開始，廣泛討論人類如何對海洋造成各種汙染，以及這些汙染所可能對環境、經濟及社會帶來的影響。本書並嘗試對各種海洋汙染問題，提出防止與管制之道。    本書適合用作大專相關課程的教...more
",https://www.books.com.tw/products/0010858215?loc=P_0002_001
2,生機互動農法導論,艾倫法•菲佛,2020-05-08,"
此書介紹生機互動農法的歷史，紀錄菲佛博士多年來對於使用生機互動配方的實驗結果，讓讀者能瞭解其功效及對土地的影響，書中對於BD配方的說明，協助現代人理解從有機農業跨足到生機互動農法所需具備的基礎...more
",https://www.books.com.tw/products/0010858814?loc=P_0002_002
3,環境氣象學,陳康興,2020-02-25,"
無雲不成雨，無風不起浪。水氣在大氣中所占的成分不多，但是露、霧、雲、雨、雪皆生之於水，又歸於水，這是如何演變及影響天氣?而大氣穩定度及大氣邊界層如何影響雲的發展及天氣?風又是因何而生?高空風和...more
",https://www.books.com.tw/products/0010851350?loc=P_0002_003
4,新編環境毒物學,"陳健民,黃大駿",2020-01-20,"
本書內容充實廣泛，架構完整，循序漸進的編寫方式，可全方位導引讀者對於環境毒物學之通盤瞭解，是一本值得推薦於環境保護和研究用的教科書，也是綜合理論、實務及具國際宏觀是一本綜合理論、實務並具國際...more
",https://www.books.com.tw/products/0010848874?loc=P_0002_004
5,實用環境化學：生態環境篇,"楊宗翰,葉琮裕,許瑞峯",2019-11-01,"
...more
",https://www.books.com.tw/products/0010844552?loc=P_0002_005
6,大氣輻射傳送原理,劉振榮,2019-10-30,"
本書主要探討輻射在地球大氣系統中與大氣介質的交互作用，以及電磁的輻射傳送原理。除了輻射基本概念外，也應用基本輻射原理推導大氣中輻射的傳送方程，和在不同條件下輻射傳送方程的求解。書中除了探討輻...more
",https://www.books.com.tw/products/0010837744?loc=P_0002_006
7,環境教育：理論、實務與案例,方偉達,2019-09-25,"
人類造成的環境破壞是一個全球性的問題，人類對地球的影響，最主要是溫度升高。而且，全球暖化的主要原因也是因為人類活動而產生。如果環境問題存在於生態環境；環境保護則需要政府、組織，以及個人層面進...more
",https://www.books.com.tw/products/0010836793?loc=P_0002_007
8,海洋環境與生態保育(2版),洪明仕,2019-09-03,"
認識海洋生態的最佳專書   人類的母親是水，也是「海」這個字的由來   ‧作者以自身豐富的海洋保育及生態學背景，完整介紹海洋的環境、物種、生物、資源，並探討全球與臺灣海洋的現況。全書圖文並茂，以流...more
",https://www.books.com.tw/products/0010838408?loc=P_0002_008
9,臺灣PM2.5減量的健康效益評估：均化單位效益指標之建構及應用,劉哲良,2019-08-31,"
本研究之主要目的，在於使用美國環境保護署所建立的均化單位效益方法、配合本土化資料，針對臺灣PM2.5排放減量之健康效益進行模擬評估。本研究涵蓋之評估對象含點源(18個產業類別)、線源(柴油車、汽油車、...more
",https://www.books.com.tw/products/0010834725?loc=P_0002_009
10,圖解生態學,顧祐瑞,2019-03-28,"
★輕鬆理解生態學的理論、環境及產業應用。   ★以簡潔扼要的方式，清楚說明、重點整理。   ★一頁文一頁圖，左右兩頁互為參照化、互補化與趣味化。   生態學是研究生物與生物、生物與環境之間相互關係的科學...more
",https://www.books.com.tw/products/0010817587?loc=P_0002_010
