,書名,作者,出版日期,內容介紹,網址
1,漢西翻譯面面觀：理論與實踐,陸孟雁,2020-06-19,"
首本從多元視角以中文探討漢西翻譯不同面向之著作    作者除了論述翻譯理論與實務外，亦點出譯者常忽略的文法、詞彙、語義、文化等問題，尤其是正寫法等語言規範，雖看似微不足道，卻攸關譯文之優劣。本書...more
",https://www.books.com.tw/products/0010862137?loc=P_0003_001
2,美學與翻譯研究,董務剛,2019-10-24,"
翻譯研究與很多學科都有著密切的聯繫，其中與哲學、美學、語言學的關係應該說最為緊密。從哲學、美學、語言學、文藝理論等的角度探討了翻譯學的建構問題。從他學科吸取理論營養來豐富和充實自己學科的研究...more
",https://www.books.com.tw/products/0010838756?loc=P_0003_002
3,唐詩英譯研究,趙娟,2019-05-17,"
唐詩是中國文化的瑰寶，它以深邃的意境、精巧的思想、隽永的藝術魅力，對後世的文學發展產生著極其深遠的影響。「熟讀唐詩三百首，不會吟詩也會吟。」可見，讀唐詩對提高詩學修養有著不可忽略的作用。因此...more
",https://www.books.com.tw/products/0010822715?loc=P_0003_003
4,譯者的適應和選擇：中國影視翻譯研究,謝紅秀,2019-05-10,"
影視翻譯就是傳遞語言、文化上的最有效譯文，使譯語觀眾享受到源語觀眾同樣的藝術境界和精神內涵。讓觀眾在對話中聽明白人物到底在談論什麼，這項任務看似簡單，可是一旦在人物對話背後嵌入了深厚的歷史文...more
",https://www.books.com.tw/products/0010822105?loc=P_0003_004
5,翻雲：文學與跨文化翻譯,張上冠,2019-04-17,"
翻譯理論是個龐大無比、無邊無界的無限雲系，至今雖有眾多學派，卻難以有人能窺得其全貌。《翻雲》由十三篇有關語言、文學與文化翻譯的專文組成，猶如十三朵飄盪其中的浮雲。各篇雖獨立、各有特色，但屬性...more
",https://www.books.com.tw/products/0010817479?loc=P_0003_005
6,中西視野的翻譯學概論,古添洪,2019-03-01,"
這本小書可提供讀者對這學科精簡的入門外，還有它獨特的跨學科、中西視野並列的陳述。本書包含翻譯的全領域、其歷史、其通則、其理論、其品鑒，是一個多面向的立體呈現，不失爲名副其實的翻譯學。本書在學...more
",https://www.books.com.tw/products/0010820486?loc=P_0003_006
7,外語教育與應用,,2018-12-14,"
本著作主要包括了大學外國語言文學專業及相關專業、學術研究機構的學術論文特別是四川外國語大學成都學院在外語教育、外語教學、翻譯理論與實踐、中外語言學、外國文學、外國文化、文化傳媒、跨文化溝通與...more
",https://www.books.com.tw/products/0010809060?loc=P_0003_007
8,英漢語比較與翻譯,"于德晶,劉政元",2018-11-30,"
從翻譯實踐看，漢語和英語不僅在語言上存在差異，兩種語言使用者在思維、認知、文化以及價值觀上也存在差異，這些差異通常會在詞彙、語義、語法和語篇層次上表現出來，給語言轉換造成困難。翻譯是跨文化、...more
",https://www.books.com.tw/products/0010807325?loc=P_0003_008
9,實用中英翻譯法,彭登龍,2018-01-10,"
本書集結作者任教多年的上課內容、教學經驗和心得，共分三章：   ◎第一章「中英翻譯概論」：   包含前言、翻譯的定義、中英文的差異、中英翻譯的三大標準、中英文的文化思考模式、找英文主詞與動詞的方法...more
",https://www.books.com.tw/products/0010776409?loc=P_0003_009
10,英漢翻譯實例評注,葉子南,2018-01-03,"
葉子南教授以多年教學與實際翻譯經驗，將英譯漢的技巧、理論、策略，藉由55篇短文詳盡介紹給讀者。本書最大特點是將這55個短文單元以「文本質地」區分為四類：軟文本、偏軟文本、偏硬文本、硬文本，因文本...more
",https://www.books.com.tw/products/0010774385?loc=P_0003_010
11,翻譯理論：學習與思辨,廖佳慧,2017-08-25,"
作者跳脫譯本的忠實對錯論述，透過生活譯例與流行文化闡釋譯論，並探究時下翻譯議題與譯觀的發展趨勢，如：「網路粉絲翻譯」與「超譯現象」。同時藉由不同理論的並述，建構對翻譯文化現象多重的思考框架，...more
",https://www.books.com.tw/products/0010762498?loc=P_0003_011
12,翻譯與評介,單德興,2016-11-16,"
本書內容評論與介紹在跨語言、跨文化的傳遞中，作者有緣接觸到的特定文本及觀察到的一些現象。全書二十一篇雖長短有異，但目的則一：希望在原作、譯作與各自的脈絡間，以及作者、譯者與讀者間，搭建一座橋...more
",https://www.books.com.tw/products/0010733440?loc=P_0003_012
13,翻譯研究,蘇珊．巴斯奈特,2016-05-01,"
本書涵蓋了「翻譯」這個重要人類文化活動的各個層面。從重要議題、翻譯簡史、個案討論，內容深入淺出，以簡御繁，兼具知識與啟發。其中又對文學翻譯有更深入的個案研究，涵蓋詩歌、散文、戲劇三大文類。可...more
",https://www.books.com.tw/products/0010715877?loc=P_0003_013
14,文學翻譯自由談,彭鏡禧,2016-01-29,"
在文化的傳遞、交流、轉換中，文學翻譯占了極為重要的地位，因為文學作品以精緻文字承載了厚實的文化內涵。也因此，文學作品應該如何翻譯──直譯抑或意譯?歸化抑或異化?……歷來討論非常熱烈。      在華文世...more
",https://www.books.com.tw/products/0010705311?loc=P_0003_014
15,全球在地化的文化翻譯,李根芳,2016-01-29,"
當今的世界在全球化席天捲地衝擊下，不同區域文化之間的跨越、互動、拉扯與混雜愈益頻繁糾結，意義的生產與傳播也更加複雜多變。    本書意圖以文化翻譯為核心，思考不同類型的作品如何被詮釋衍繹，展現出...more
",https://www.books.com.tw/products/0010705632?loc=P_0003_015
16,英漢口譯基礎教程,王麗毓,2016-01-29,"
本書依作者豐富的教學與口譯實作經驗，針對英中口譯基礎課程所設計的教科書。口譯學科與實務經驗有如車之兩輪，鳥之二翼，不可須臾離。本書特色在於由不同主題的練習素材激發讀者對口譯的興趣，讓讀者能由...more
",https://www.books.com.tw/products/0010705624?loc=P_0003_016
17,解讀德國文學名著,賴麗琇,2015-04-17,"
一板一眼的德國人一向以思想強健著稱，德意志人在冷峻的外表下，其深藏的激情有如海底湧動的暗流，在文學領域裡震古鑠今，劃時代的名家輩出，有如一個路標指引著人類朝向完美的境界邁進。   本書以生動的...more
",https://www.books.com.tw/products/0010675571?loc=P_0003_017
18,翻譯教學理論、實務與研究,廖柏森,2014-12-01,"
過去幾十年來翻譯研究己逐漸登上學術殿堂的門檻，但對翻譯教學議題的探討仍僻處邊陲，不論在理論架構、教學實務和研究方法上皆仍缺乏足夠的論述和研究成果，難以符應實際課堂的需求。本書作者深覺有必要填...more
",https://www.books.com.tw/products/0010863836?loc=P_0003_018
19,認知隱喻與翻譯實用教程,葉子南,2014-03-12,"
本書從認知語言學的角度介紹概念隱喻、語言隱喻、源域、目標域、影射等認知隱喻的基本概念和知識；再從跨文化的角度切入，拉近認知隱喻理論和翻譯實踐的關係。討論翻譯實務上的對等、文本、目的、前景化、...more
",https://www.books.com.tw/products/0010628117?loc=P_0003_019
20,初學翻譯入門書：英漢翻譯習作,胡淑娟,2014-03-06,"
打破對翻譯的迷思，戒除逐字逐詞機械對應的惡習 大專翻譯入門必備(翻譯基礎課程)   A little boy put his hand into his pocket.    錯譯：「一個小男孩把他的手放入了他的口袋。」   If you ......more
",https://www.books.com.tw/products/0010626973?loc=P_0003_020
21,網頁書寫新文體─跨界交流「快譯通」,史宗玲,2013-11-16,"
華文世界第一本控制性漢語書寫指南，開啟中文網路e語言的新時代!   【白象文化學術輕鬆讀】系列作品.國立高雄第一科技大學產學合作專案   無國界漢語書寫分析與實用指南   如何把一句話寫得讓線上機器翻譯...more
",https://www.books.com.tw/products/0010616509?loc=P_0003_021
