,書名,作者,出版日期,內容介紹,網址
1,管路及進出口水力設計,許勝田,2020-09-10,"
管路的水力設計可分為穩定流及暫態流二類別，前者是確認所設計的系統可在規範的流量範圍內達到安全的輸水功能，後者則是確保系統在啟動、關閉或流量調整過程不產生不可接受的水錘效應。    本書以工程實務...more
",https://www.books.com.tw/products/0010871361?loc=P_0003_001
2,海洋事務治理與科技應用實務,吳東明,2020-09-10,"
「海洋事務治理」係屬海洋政策、航運管理、漁業經濟、國際外交及公共行政領域，「科技應用實務」則屬海洋工程、海洋科學、海域監管、生態養護及環境保育領域，本書在兩大專業領域間，搭起海洋科技應用與公...more
",https://www.books.com.tw/products/0010871338?loc=P_0003_002
3,職業安全,蕭森玉,2020-09-01,"
本書特色   本書適於職業安全人員及大專校院職業安全衛生系(科)學生使用，將工作場所之安全知識，集中焦點並以淺顯易懂之文字、圖表呈現出來，期能將職業安全之基礎知識廣為散播，為閱讀者奠立良好的根基...more
",https://www.books.com.tw/products/0010869797?loc=P_0003_003
4,大眾運輸導向發展的成就與挑戰,李家儂,2020-08-25,"
在促進城市永續發展所做的嘗試中，大眾運輸導向發展( TOD)無疑是最成功的一種思維。   TOD思維從1980年代末逐漸成形。它是將運輸工程、土地利用和城市設計一起規劃的思維；也為當代城市問題提供全方位的解...more
",https://www.books.com.tw/products/0010869495?loc=P_0003_004
5,邊界元素法精確上手,李兆芳,2020-08-04,"
這是一本精確介紹邊界元素法計算概念和方法的書，目的在穰讀者能夠真正的學習到這個方法，也同時能夠真正的用來計算問題。本書內容為藉由一維問題說明邊界方法的基本概念，也藉由一維問題說明邊界方法的計...more
",https://www.books.com.tw/products/0010866028?loc=P_0003_005
6,工業安全與衛生最新版(第三版),徐建川,2020-07-21,"
1.本書是依據教育部部訂課程標準編訂。   2.每章均附工業安全案例，可使學生加深學習印象。   3.每章均附習題，方便隨堂練習。...more
",https://www.books.com.tw/products/0010865849?loc=P_0003_006
7,工業通風(第七版),林子賢,2020-07-01,"
本書深入淺出闡述工業通風的基本觀念與原理，並輔以許多範例，幫助讀者們學習有關工業通風的一些觀念、用語，以及應用實務，讓讀者們能夠學以致用。包括局部排氣與整體換氣，並在其後分別安排實務應用與檢...more
",https://www.books.com.tw/products/0010865107?loc=P_0003_007
8,海洋結構的波浪水動力,李兆芳,2020-06-30,"
本書為進入“海洋結構物和波浪互相作用”專業領域的入門書籍，以研究方法來說是屬於理論分析的方法。內容包括：(一)複習的流體力學、進行波波浪理論、小結構物受波浪作用力。(二)最基礎的造波理論介紹、“造...more
",https://www.books.com.tw/products/0010862227?loc=P_0003_008
9,海運商務概論,張雅富,2020-06-10,"
海洋可被視為是藍色國土，海運商務活動更是國民經濟成長的重要支柱之一。近年來國際航運業營運環境面臨各種區域經濟體及國際貿易協定的出現、船舶污染管制措施公布、海運新科技與能源的逐步開發應用，以及...more
",https://www.books.com.tw/products/0010863305?loc=P_0003_009
10,品質管理：永續經營實務(第二版),"吳嘉興,徐肇聰",2020-05-29,"
從80年代全面品質管理活動展開與90年代六標準差的興起，品質管理的演進越趨成熟。站在學術角度包括從流程管理、統計、分析、改善、矯正，都是經過品質大師引導與時間淬煉才有的專業知識，從工作的應用來看...more
",https://www.books.com.tw/products/0010863334?loc=P_0003_010
