,書名,作者,出版日期,內容介紹,網址
1,觀臺灣第47期(2020.10)：島與島,,2020-10-01,"
所有的島嶼，一開始都屬於自己，並不附屬於誰。   「離島」是一種因為地理、歷史的因素所造就的邊緣狀態。在中華民國的政治架構下，臺灣為本島、中心，其他島嶼則是外島、前線。   金馬被國家勢力強制轉型...more
",https://www.books.com.tw/products/0010873333?loc=P_0003_001
2,前世今生臺灣玉,"余炳盛,宋聖榮,方建能,郭力維,陳惠芬,黃翠梅",2020-09-01,"
以臺灣各地重要空間(含博物館典藏品)為基礎，透過專業研究充實詮釋內涵與故事，轉化成為通俗易懂之故事或文字，嘗試與民眾個人情感記憶或生命經驗連結，增強大眾對於所在土地之文化感受力。《前世今生臺灣...more
",https://www.books.com.tw/products/0010872325?loc=P_0003_002
3,國史館館刊第65期(2020.09),國史館館刊編輯委員會,2020-09-01,"
論文：蔡秀美〈日治初期臺中國語傳習所與地方社會〉、林映汝〈舊瓶裝新酒：朱希祖與國史館籌備委員會 (1939-1942)〉、陳鴻獻〈反攻生力軍：中華民國政府遷臺後補充 兵徵集與預備師成立經緯(1950-1956)〉、...more
",https://www.books.com.tw/products/0010874002?loc=P_0003_003
4,歷史文物季刊第30卷3期(109/09)：306 老故事 那些年在史博的日子,國立歷史博物館編輯委員會,2020-09-01,"
...more
",https://www.books.com.tw/products/0010871035?loc=P_0003_004
5,高瞻遠矚：現代建築在臺灣實踐的見證 高而潘建築作品珠玉展,,2020-08-01,"
109年度「高瞻遠矚特展」展覽手冊，介紹高而潘建築師生平、貢獻及13件代表建築設計作品。...more
",https://www.books.com.tw/products/0010869505?loc=P_0003_005
6,科學筆記本(黃),國立臺灣科學教育館,2020-07-01,"
...more
",https://www.books.com.tw/products/0010864325?loc=P_0003_006
7,鐵道文化常設展導覽手冊,,2020-07-01,"
「鐵道文化常設展」以「咱的鐵支路」、「火車日常」、「解碼鐵路信息」、「現代性時空秩序」四大展覽主題，帶領觀眾探索臺灣鐵道歷史上三次陸上交通革命與鐵道路線、城鄉發展的緊密連結，重温車輛演進與生...more
",https://www.books.com.tw/products/0010866238?loc=P_0003_007
8,博物館學季刊-第34卷第3期,,2020-07-01,"
...more
",https://www.books.com.tw/products/0010867465?loc=P_0003_008
9,臺灣學通訊少年福爾摩沙：遇見1920’ 特刊2號,,2020-07-01,"
穿越時空 遇見1920年代的臺灣   在日治時期，甚至整個臺灣史上，1920年是很值得去了解的一年，因為這一年臺灣進行根本性的「行政區劃」，日本政府也讓臺灣人開始從行政底層的「街庄」，學習如何自治；而19...more
",https://www.books.com.tw/products/0010873604?loc=P_0003_009
10,觀臺灣第46期(2020.07)：在福爾摩沙旅行,,2020-07-01,"
福爾摩沙在1860年重新回到世界網絡之中，遠渡而來的國外訪客，懷抱著或多或少的浪漫想像，一面旅行，一面以文字、攝影或博物學標本等方式，將臺灣重新帶回世界的知識網絡之中。   所謂的探險，只能是起於...more
",https://www.books.com.tw/products/0010863693?loc=P_0003_010
11,歷史文物季刊第30卷2期(109/06)-305：跟著文物去旅行 藝遊史博,國立歷史博物館編輯委員會,2020-06-01,"
...more
",https://www.books.com.tw/products/0010861670?loc=P_0003_011
12,國史館館刊第64期(2020.06),國史館館刊編輯委員會,2020-06-01,"
...more
",https://www.books.com.tw/products/0010863904?loc=P_0003_012
13,館藏19-20世紀臺灣歷史地圖,吳佰祿,2020-06-01,"
國立臺灣博物館(簡稱「臺博館」)典藏之臺灣歷史地圖計172件，其中以19-20世紀前期者最多，計115件，佔總數量三分之二，可說是臺灣歷史地圖蒐藏之主體。此項19-20世紀前期臺灣地圖蒐藏於近10餘年增加之數量...more
",https://www.books.com.tw/products/0010865520?loc=P_0003_013
14,博物館與文化 第19期-2020.06,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010866255?loc=P_0003_014
15,文化資產保存學刊第52期109/06,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010867203?loc=P_0003_015
16,臺灣博物季刊第146期(109/06)39:2：博物館的社會責任,,2020-06-01,"
...more
",https://www.books.com.tw/products/0010870653?loc=P_0003_016
17,國立臺灣博物館學刊第73卷2期109/06,國立臺灣博物館學刊編輯委員,2020-06-01,"
...more
",https://www.books.com.tw/products/0010872337?loc=P_0003_017
18,史物論壇 第24期,史物論壇編輯委員會,2020-06-01,"
...more
",https://www.books.com.tw/products/0010873389?loc=P_0003_018
19,歷史臺灣：國立臺灣歷史博物館館刊第19期(109.05),,2020-05-01,"
...more
",https://www.books.com.tw/products/0010863897?loc=P_0003_019
20,博物館學季刊-第34卷第2期,,2020-04-01,"
...more
",https://www.books.com.tw/products/0010858205?loc=P_0003_020
21,臺灣博物季刊第145期(109/04)39：1,,2020-04-01,"
...more
",https://www.books.com.tw/products/0010859984?loc=P_0003_021
22,練習，一起走一段,邱健維等,2020-04-01,"
充沛地方文化能量是展現臺灣文化豐沛生命力以及引領臺灣社會前進的重要關鍵。因此，2017年至2019年間，在文化部博物館系統與在地知識網絡整合計畫(MLA計畫)的支持下與地方夥伴們建構一套可能的路徑與模式...more
",https://www.books.com.tw/products/0010861236?loc=P_0003_022
23,臺灣鐵道旅館(1908-1945)特展專書,"凌宗魁,吳宗岳,沈佳姍,蔡龍保,蔣朝根,馮佳福",2020-04-01,"
國立臺灣博物館2020年於北門館(鐵道部園區)策辦此特展，本書為彙整展示圖文並加邀學者撰文所編成。鐵道旅館為日本時代臺灣最高級的旅館，位於今臺北車站前新光大樓街廓，設施完全西化，成為殖民者展示國力...more
",https://www.books.com.tw/products/0010869511?loc=P_0003_023
24,觀臺灣第45期(2020.04)：住的所在,,2020-04-01,"
住屋，承載了人們的日常與希望，也是最熟悉且安心的所在。 竹籠茨、三合院、透天厝到公寓，家屋的型態隨著時代、政策、經濟發展等大環境變 化，但即使美式公寓逐漸取代傳統合院，我們仍然可以從外觀的陽台...more
",https://www.books.com.tw/products/0010855783?loc=P_0003_024
25,台灣學通訊第116期(2020.03),,2020-03-10,"
...more
",https://www.books.com.tw/products/0010854381?loc=P_0003_025
26,國史館館刊第63期(2020.03),國史館館刊編輯委員會,2020-03-01,"
...more
",https://www.books.com.tw/products/0010855716?loc=P_0003_026
27,歷史文物季刊第30卷1期(109/03)-304,國立歷史博物館編輯委員會,2020-03-01,"
國立歷史博物館館刊《歷史文物》創刊於1961年12月，迄今(2020年)邁入第60年，已出版了303期，歷史悠久，紀錄豐富的臺灣藝術文物故事。為了兼顧視覺閱讀與提供多面向的博物館知識，304期《歷史文物》60年來...more
",https://www.books.com.tw/products/0010858207?loc=P_0003_027
28,文化資產保存學刊第51期109/03,,2020-03-01,"
...more
",https://www.books.com.tw/products/0010859446?loc=P_0003_028
29,國立臺灣博物館學刊第73卷1期109/03,,2020-03-01,"
...more
",https://www.books.com.tw/products/0010872338?loc=P_0003_029
30,想來看海：國立海洋科技博物館簡介(中英日對照),,2020-02-01,"
中英日語對照   海科館是臺灣唯一一個以海洋科學與科技為主題的國家級博物館，放諸世界各地與海科館等量主體規劃的單位亦不多見。海科館結合了北臺灣得天獨厚的海洋資源與歷史人文，我們研究海洋、蒐集海...more
",https://www.books.com.tw/products/0010859979?loc=P_0003_030
31,台灣學通訊第115期(2020.01),臺灣學通訊編輯委員會,2020-01-10,"
...more
",https://www.books.com.tw/products/0010854383?loc=P_0003_031
32,博物館學季刊-第34卷第1期,,2020-01-01,"
...more
",https://www.books.com.tw/products/0010849425?loc=P_0003_032
33,走在通往美的路上，耀眼的福爾摩沙珍珠：臺南市美術館攝影輯,"彭靖茗,曹婷婷,林文盛,鄭凱駿,闕志同,馮偉中",2020-01-01,"
臺南市美術館的誕生，緣自於前輩藝術家郭柏川60年前成立「南美會」時，萌念為這塊土地催生美術館的想法。2010年臺南縣市合併後，當時，賴清德市長上任後第一件推動的文化建設，就是臺南美術館。...more
",https://www.books.com.tw/products/0010857289?loc=P_0003_033
34,觀臺灣第44期(2020.01)：臺灣史上最大戰爭,,2020-01-01,"
1895年，東亞局勢產生鉅變，臺灣成為日本的戰利品。面臨日軍大舉登陸，125年前的臺灣人，如何應對?   臺灣人在1895年間，有的逃離長久耕耘的家園，有人選擇對抗日軍，甚至因此「敗庄」；也有人為了地方秩...more
",https://www.books.com.tw/products/0010846120?loc=P_0003_034
35,國父紀念館館刊第54期 20191230,,2019-12-30,"
...more
",https://www.books.com.tw/products/0010847609?loc=P_0003_035
36,離家紀：史博館「老骨頭」的旅程[附光碟],"劉靜,周佩文,張慈安,翟振孝,郭暉妙,陳勇成",2019-12-01,"
配合本館107年度執行升級展計畫，以「典藏文物整飭包裝移藏」為主題，配合《離家紀》光碟內容架構，將館藏文物整飭包裝移藏作業之寶貴經驗作更深廣的闡述，提供博物館理論與實務參考。...more
",https://www.books.com.tw/products/0010846092?loc=P_0003_036
37,迫力‧破力：戰後臺灣社會運動特展,"張瀛之,曾婉琳,葉萱萱,鍾如",2019-12-01,"
當今身為臺灣公民的我們，享有言論自由，可以民選總統，能夠意識到核能、空污等環境問題，追求工時、工資等工作權益，探討性別、居住、教育等相關議題，理所當然地關心臺灣的土地、鄉親，同時懂得自組組織...more
",https://www.books.com.tw/products/0010846105?loc=P_0003_037
38,國史館館刊第62期(2019.12),國史館館刊編輯委員會,2019-12-01,"
...more
",https://www.books.com.tw/products/0010847110?loc=P_0003_038
39,山海南島：乘風破浪開疆闢土的擴散歷程(AR互動繪本)[精裝],朱正宜,2019-12-01,"
南島語族的擴散是人類文化史上一項偉大的成就。本繪本目的是使讀者能瞭解整個擴散的歷程，因此主題的編排乃以時間軸為編排原則，亦即以南島語系擴散的歷程作為敍事的軸線。...more
",https://www.books.com.tw/products/0010847384?loc=P_0003_039
40,四方來朝：職貢圖特展,,2019-12-01,"
「職貢」是王朝時代的中國對外交往的體制，意指朝貢國向宗主國修職納貢，並接受朝覲、冊封與賞賜，以示臣服。東亞職貢體系的建立，起源於先秦時期。西周訂立甸服、侯服、賓服、要服及荒服等朝貢服制，規範...more
",https://www.books.com.tw/products/0010847572?loc=P_0003_040
